step,omega_l,omega_r,dt
1,0.0,0.0,0.064
2,6.280000000003838,6.280000000003838,0.064
3,6.181875000009995,6.280000000003838,0.064
4,6.280000000003838,6.181875000009995,0.064
5,6.279999999975416,6.279999999975416,0.064
6,6.280000000003838,6.280000000003838,0.064
7,6.181875000009995,6.280000000003838,0.064
8,6.280000000003838,6.280000000003838,0.064
9,6.280000000003838,6.181875000009995,0.064
10,6.280000000003838,6.280000000003838,0.064
11,6.279999999975416,6.279999999975416,0.064
12,6.181875000009995,6.280000000003838,0.064
13,6.280000000003838,6.280000000003838,0.064
14,6.280000000003838,6.181875000009995,0.064
15,6.280000000003838,6.280000000003838,0.064
16,6.280000000003838,6.279999999975416,0.064
17,6.181874999981574,6.280000000003838,0.064
18,6.280000000003838,6.181875000009995,0.064
19,6.280000000003838,6.280000000003838,0.064
20,6.280000000003838,6.280000000003838,0.064
21,6.181874999981574,6.280000000003838,0.064
22,6.280000000003838,6.279999999975416,0.064
23,6.280000000003838,6.181875000009995,0.064
24,6.280000000003838,6.280000000003838,0.064
25,6.280000000003838,6.280000000003838,0.064
26,6.181875000009995,6.280000000003838,0.064
27,6.279999999975416,6.280000000003838,0.064
28,6.280000000003838,6.181874999981574,0.064
29,6.280000000003838,6.280000000003838,0.064
30,6.280000000003838,6.280000000003838,0.064
31,6.181875000009995,6.280000000003838,0.064
32,6.280000000003838,6.181874999981574,0.064
33,6.279999999975416,6.280000000003838,0.064
34,6.280000000003838,6.280000000003838,0.064
35,6.181875000009995,6.280000000003838,0.064
36,6.280000000003838,6.280000000003838,0.064
37,6.280000000003838,6.181875000009995,0.064
38,6.280000000003838,6.279999999975416,0.064
39,6.279999999975416,6.280000000003838,0.064
40,6.181875000009995,6.280000000003838,0.064
41,6.280000000003838,6.280000000003838,0.064
42,6.280000000003838,6.181875000009995,0.064
43,6.280000000003838,6.280000000003838,0.064
44,6.279999999975416,6.279999999975416,0.064
45,6.181875000009995,6.280000000003838,0.064
46,6.280000000003838,6.181875000009995,0.064
47,6.280000000003838,6.280000000003838,0.064
48,6.280000000003838,6.280000000003838,0.064
49,6.181874999981574,6.280000000003838,0.064
50,6.280000000003838,6.279999999975416,0.064
51,6.280000000003838,6.181875000009995,0.064
52,6.280000000003838,6.280000000003838,0.064
53,6.280000000003838,6.280000000003838,0.064
54,6.181874999981574,6.280000000003838,0.064
55,6.280000000003838,6.279999999975416,0.064
56,6.280000000003838,6.181875000009995,0.064
57,6.280000000003838,6.280000000003838,0.064
58,6.280000000003838,6.280000000003838,0.064
59,6.181875000009995,6.280000000003838,0.064
60,6.279999999975416,6.181874999981574,0.064
61,6.280000000003838,6.280000000003838,0.064
62,6.280000000003838,6.280000000003838,0.064
63,6.181875000009995,6.280000000003838,0.064
64,6.280000000003838,6.280000000003838,0.064
65,6.280000000003838,6.181874999981574,0.064
66,6.279999999975416,6.280000000003838,0.064
67,6.280000000003838,6.280000000003838,0.064
68,6.181875000009995,6.280000000003838,0.064
69,6.280000000003838,6.280000000003838,0.064
70,6.280000000003838,6.181875000009995,0.064
71,6.280000000003838,6.279999999975416,0.064
72,6.279999999975416,6.280000000003838,0.064
73,6.181875000009995,6.280000000003838,0.064
74,6.280000000003838,6.181875000009995,0.064
75,6.280000000003838,6.280000000003838,0.064
76,6.280000000003838,6.280000000003838,0.064
77,6.181874999981574,6.279999999975416,0.064
78,6.280000000003838,6.280000000003838,0.064
