step,x,y,h
1,-0.7500000000000001,0.5000000000092306,4.4172048370184106e-14
2,-0.7419620589246364,0.5000000187680051,-2.392309300610026e-06
3,-0.7339235104717625,0.5000000149788136,-7.279762950281898e-07
4,-0.7258852874124037,0.5000000195988977,3.229135858253584e-08
5,-0.7178469906461528,0.5000000221550237,2.501622162531924e-07
6,-0.7098086543596331,0.5000000310671218,4.6418182788159123e-07
7,-0.7017702951802405,0.5000000413716742,5.59486930041337e-07
8,-0.6937319214104698,0.5000000510187532,5.449857522737609e-07
9,-0.6856935389997689,0.5000000584442489,4.7136257499859914e-07
10,-0.6776551495931424,0.5000000641720673,3.3604781724295363e-07
11,-0.6696167563444198,0.5000000676513627,1.9401930778764084e-07
12,-0.6615783606164484,0.5000000693045998,6.793134262888301e-08
13,-0.653539963287624,0.5000000696339063,-3.154721864585798e-08
14,-0.6455015650007537,0.500000069267773,-9.755462411937713e-08
15,-0.637463166074217,0.5000000682138458,-1.458236675548162e-07
16,-0.6294247667817086,0.5000000668707743,-1.7561549156644593e-07
17,-0.6213863672701475,0.5000000653758947,-1.929592646385206e-07
18,-0.6133479676306175,0.500000063801588,-2.0265465234070505e-07
19,-0.6053095679055102,0.5000000621815293,-2.079991167648844e-07
20,-0.5972711681531396,0.500000060547429,-2.1176128307843928e-07
21,-0.5892327682614095,0.5000000588607556,-2.1331636516041634e-07
22,-0.5811943683115156,0.5000000571581803,-2.1416786318193775e-07
23,-0.5731559683097492,0.5000000554439051,-2.145887133612067e-07
24,-0.5651175682628325,0.5000000537221359,-2.147654829888919e-07
25,-0.5570791681896485,0.5000000519961666,-2.1486697469142646e-07
26,-0.5490407681122811,0.5000000502900688,-2.1435307372063712e-07
27,-0.5410023680750567,0.500000048560547,-2.1488501369954466e-07
28,-0.5329639680689426,0.5000000468272969,-2.1565736334732213e-07
29,-0.524925568096859,0.5000000450880852,-2.166736972832406e-07
30,-0.5168871681582614,0.5000000433408436,-2.1786534937795772e-07
31,-0.5088487682396399,0.5000000415842795,-2.1910708163490406e-07
32,-0.5008103683167869,0.5000000398182951,-2.2024264945147223e-07
33,-0.4927719683700913,0.5000000380441503,-2.2111551121827333e-07
34,-0.4847335683920981,0.5000000362643506,-2.2159935047262419e-07
35,-0.4766951683803208,0.5000000344822944,-2.2162304906767673e-07
36,-0.4686567683331179,0.500000032701744,-2.211856624784151e-07
37,-0.4606183682580972,0.5000000309262312,-2.2035863926367327e-07
38,-0.4525799681766685,0.5000000291584888,-2.192751045030486e-07
39,-0.44454156811227924,0.5000000274000076,-2.1810839093998422e-07
40,-0.436503168077206,0.5000000256508007,-2.170441027208816e-07
41,-0.4284647680748475,0.5000000239094021,-2.162507020811812e-07
42,-0.4204263681076641,0.5000000221731066,-2.1585341243052883e-07
43,-0.4123879681731819,0.5000000204384006,-2.1591511750521242e-07
44,-0.4043495682551462,0.5000000187015211,-2.1642674761560662e-07
45,-0.3963111683288622,0.5000000169590465,-2.173084414795946e-07
46,-0.3882727683767378,0.5000000152084383,-2.1842147717242912e-07
47,-0.3802343683928721,0.5000000134484399,-2.1958969978597375e-07
48,-0.3721959683747993,0.5000000116792809,-2.2062742417775792e-07
