step,x,y,h
1,4.0724534529913545e-15,-4.465609919115075e-16,5.439343160987501e-18
2,4.53720718468039e-12,-3.3615037155377406e-11,-0.028214005259377783
3,-7.684197913369503e-13,-7.99902316278255e-11,-0.056439735009143066
4,-1.556027810531944e-11,-1.2188949444362245e-10,-0.08466874820057552
5,-3.9299788408495484e-11,-1.5556964004153732e-10,-0.1128974308876222
6,1.2776193865900165e-07,-6.614813398097789e-10,-0.1411641710219418
7,4.374367392323686e-07,-3.2779633474048883e-09,-0.169467351632578
8,9.299650146809138e-07,-9.34483046411575e-09,-0.19777603456649384
9,1.5979607289711362e-06,-1.9317208820323683e-08,-0.22608010617546476
10,2.434749183741405e-06,-3.261874234230577e-08,-0.2543766905173692
11,3.4428788839585146e-06,-4.783576267862443e-08,-0.2826655137745668
12,4.639228260177795e-06,-6.317871287987898e-08,-0.3109471901627551
13,6.055124289802939e-06,-7.705118075083691e-08,-0.3392225656221761
14,7.632878328856909e-06,-8.837057060250295e-08,-0.3674924725388904
15,9.09508072373007e-06,-9.47294999967046e-08,-0.39575764540855113
16,1.0454031520605948e-05,-9.364663825375769e-08,-0.4240187047044922
17,1.1723190622158938e-05,-8.460344971713607e-08,-0.4522761667779125
18,1.291310941281809e-05,-6.910221072618456e-08,-0.48053045815529927
19,1.4031691904230807e-05,-5.023562549161593e-08,-0.5087819316715706
20,1.5084700242741614e-05,-3.1894854234434085e-08,-0.5370308807081787
21,1.6076444009737055e-05,-1.781322742863928e-08,-0.5652775509885708
22,1.70105496736962e-05,-1.0677892422474481e-08,-0.59352215008822
23,1.789067315244479e-05,-1.1519383883244504e-08,-0.6217648549831358
24,1.872101489225216e-05,-1.9516372306069374e-08,-0.6500058179410982
25,1.9506530386235527e-05,-3.2248677220055036e-08,-0.6782451710425244
26,2.0252794287421983e-05,-4.632238545584267e-08,-0.7064830296398431
27,2.0965558030529283e-05,-5.820356127130455e-08,-0.734719495074449
28,2.165011825059432e-05,-6.505237025642812e-08,-0.7629546569093323
29,2.2310665289305388e-05,-6.535709532099741e-08,-0.791188594808021
30,2.2949792575353014e-05,-5.922393508411752e-08,-0.8194213800765858
31,2.3568313392889085e-05,-4.826801061924914e-08,-0.8476530768553522
32,2.4165458123700474e-05,-3.515038824835215e-08,-0.8758837430062745
33,2.4739429689700062e-05,-2.289015154662237e-08,-0.9041134308161756
34,2.5288201211717165e-05,-1.4129363021788017e-08,-0.9323421876428443
35,2.5810372020530835e-05,-1.0531446863944743e-08,-0.9605700565541365
36,2.6305874543686336e-05,-1.2451406667643069e-08,-0.988797076913251
37,2.6776352904445994e-05,-1.8941901235126284e-08,-1.017023284830567
38,2.7225109029124356e-05,-2.8072674787810387e-08,-1.0452487134582846
39,2.7656616134733542e-05,-3.746455436770814e-08,-1.07347339319228
40,2.8075707261819336e-05,-4.489196637542905e-08,-1.1016973518818536
41,2.8486630807199984e-05,-4.8800210664287264e-08,-1.1299206150997552
42,2.8892203883457894e-05,-4.8615448693340565e-08,-1.1581432064370367
43,2.929327662707919e-05,-4.478627287308879e-08,-1.1863651477415624
