Some weights of ViTForImageClassification were not initialized from the model checkpoint at google/vit-base-patch16-224-in21k and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Some weights of ViTForImageClassification were not initialized from the model checkpoint at google/vit-base-patch16-224-in21k and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
{'loss': 2.6988, 'grad_norm': 2.2899677753448486, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.21}
{'loss': 2.7064, 'grad_norm': 2.5083985328674316, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.43}
{'loss': 2.6948, 'grad_norm': 2.3280375003814697, 'learning_rate': 3e-06, 'epoch': 0.64}
{'loss': 2.6793, 'grad_norm': 1.9211379289627075, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.85}
{'loss': 2.6695, 'grad_norm': 2.017233371734619, 'learning_rate': 5e-06, 'epoch': 1.06}
{'loss': 2.6418, 'grad_norm': 2.106255054473877, 'learning_rate': 6e-06, 'epoch': 1.28}
{'loss': 2.6235, 'grad_norm': 2.025141954421997, 'learning_rate': 7.000000000000001e-06, 'epoch': 1.49}
{'loss': 2.6134, 'grad_norm': 2.601083278656006, 'learning_rate': 8.000000000000001e-06, 'epoch': 1.7}
{'loss': 2.5955, 'grad_norm': 4.736190319061279, 'learning_rate': 9e-06, 'epoch': 1.91}
{'loss': 2.5382, 'grad_norm': 2.157755136489868, 'learning_rate': 1e-05, 'epoch': 2.13}
{'loss': 2.4873, 'grad_norm': 2.302114725112915, 'learning_rate': 1.1000000000000001e-05, 'epoch': 2.34}
{'loss': 2.4399, 'grad_norm': 2.5425944328308105, 'learning_rate': 1.2e-05, 'epoch': 2.55}
{'loss': 2.4013, 'grad_norm': 2.8056602478027344, 'learning_rate': 1.3000000000000001e-05, 'epoch': 2.77}
{'loss': 2.3799, 'grad_norm': 2.7007532119750977, 'learning_rate': 1.4000000000000001e-05, 'epoch': 2.98}
{'train_runtime': 153.8254, 'train_samples_per_second': 7.313, 'train_steps_per_second': 0.917, 'train_loss': 2.5817663027039655, 'epoch': 3.0}
