Dataset,Cutoff,Time,Sol.Quality,Full Tour,RelError_BF
Atlanta.tsp,5.0,6.1396,4109868.0,No,0.4875492351579175
Atlanta.tsp,10.0,11.1084,4109868.0,No,0.4875492351579175
Atlanta.tsp,15.0,16.10865,4090106.0,No,0.48990490710998685
Atlanta.tsp,20.0,21.1522,3945052.0,No,0.5079180198385218
Atlanta.tsp,25.0,26.15815,3886657.0,No,0.5156391814536971
Atlanta.tsp,50.0,51.185199999999995,3811058.5,No,0.5257772148577122
Atlanta.tsp,75.0,76.18125,3775843.0,No,0.5306796389574461
Atlanta.tsp,100.0,101.2111,3748338.0,No,0.5346025087743727
Atlanta.tsp,250.0,251.1806,3630534.0,No,0.5519196349627906
Atlanta.tsp,500.0,771.5002,3630534.0,No,0.5519196349627906
Berlin.tsp,5.0,6.1312,20181.0,No,0.49566423864030523
Berlin.tsp,10.0,11.2822,20181.0,No,0.49566423864030523
Berlin.tsp,15.0,16.2688,20033.0,No,0.4993261119153397
Berlin.tsp,20.0,21.233,19824.0,No,0.504590395480226
Berlin.tsp,25.0,26.1891,19786.0,No,0.50555948650561
Berlin.tsp,50.0,51.1477,19728.0,No,0.5070458231954582
Berlin.tsp,75.0,76.2851,19728.0,No,0.5070458231954582
Berlin.tsp,100.0,101.4278,19728.0,No,0.5070458231954582
Berlin.tsp,250.0,251.192,19438.0,No,0.5146105566416298
Berlin.tsp,500.0,501.199,19249.0,No,0.5196633591355395
Boston.tsp,5.0,6.1759,2261063.0,No,0.4135806919134938
Boston.tsp,10.0,11.1624,2246134.0,No,0.416329568939342
Boston.tsp,15.0,16.1325,2246134.0,No,0.416329568939342
Boston.tsp,20.0,21.1633,2246134.0,No,0.416329568939342
Boston.tsp,25.0,26.1447,2246134.0,No,0.416329568939342
Boston.tsp,50.0,51.1551,2246134.0,No,0.416329568939342
Boston.tsp,75.0,76.1458,2244804.0,No,0.4165762356089886
Boston.tsp,100.0,101.1457,2234116.0,No,0.4185691342795092
Boston.tsp,250.0,251.1502,2227323.0,No,0.4198457071560793
Boston.tsp,500.0,501.1924,2226767.0,No,0.41995053815688843
Champaign.tsp,5.0,6.2223,219301.0,No,0.2804319177751127
Champaign.tsp,10.0,11.1568,219252.0,No,0.28049459069928667
Champaign.tsp,15.0,16.1424,219252.0,No,0.28049459069928667
Champaign.tsp,20.0,21.1324,219252.0,No,0.28049459069928667
Champaign.tsp,25.0,26.0956,219166.0,No,0.2806046558316527
Champaign.tsp,50.0,51.1724,218823.0,No,0.28104449715066515
Champaign.tsp,75.0,76.2189,218823.0,No,0.28104449715066515
Champaign.tsp,100.0,101.3265,218074.0,No,0.28200977649788606
Champaign.tsp,250.0,251.1852,216391.0,No,0.2842031322929327
Champaign.tsp,500.0,501.1415,212857.0,No,0.2889216704172285
Cincinnati.tsp,5.0,6.1735,277952.0,No,1.0
