Dataset,Cutoff,Time,Sol.Quality,Full Tour,RelError_LS
Atlanta.tsp,5,1.24491,2037607,Yes,0.016890221
Atlanta.tsp,10,1.25836,2037607,Yes,0.016890221
Atlanta.tsp,15,1.25916,2037607,Yes,0.016890221
Atlanta.tsp,20,1.23522,2037607,Yes,0.016890221
Atlanta.tsp,25,1.25024,2037607,Yes,0.016890221
Atlanta.tsp,50,1.22878,2037607,Yes,0.016890221
Atlanta.tsp,75,1.26318,2037607,Yes,0.016890221
Atlanta.tsp,100,1.28342,2037607,Yes,0.016890221
Atlanta.tsp,250,1.31013,2037607,Yes,0.016890221
Atlanta.tsp,500,1.34195,2037607,Yes,0.016890221
Berlin.tsp,5,1.35429,10552.8,Yes,0.054963511
Berlin.tsp,10,1.50368,10552.8,Yes,0.054963511
Berlin.tsp,15,1.36607,10552.8,Yes,0.054963511
Berlin.tsp,20,1.37188,10552.8,Yes,0.054963511
Berlin.tsp,25,1.29504,10552.8,Yes,0.054963511
Berlin.tsp,50,1.33916,10552.8,Yes,0.054963511
Berlin.tsp,75,1.34034,10552.8,Yes,0.054963511
Berlin.tsp,100,1.33728,10552.8,Yes,0.054963511
Berlin.tsp,250,1.42777,10552.8,Yes,0.054963511
Berlin.tsp,500,1.36974,10552.8,Yes,0.054963511
Boston.tsp,5,1.3551,972781.5,Yes,0.040261161
Boston.tsp,10,1.36778,972781.5,Yes,0.040261161
Boston.tsp,15,1.34719,972781.5,Yes,0.040261161
Boston.tsp,20,1.32039,972781.5,Yes,0.040261161
Boston.tsp,25,1.31223,972781.5,Yes,0.040261161
Boston.tsp,50,1.26384,972781.5,Yes,0.040261161
Boston.tsp,75,1.29551,972781.5,Yes,0.040261161
Boston.tsp,100,1.29909,972781.5,Yes,0.040261161
Boston.tsp,250,1.32059,972781.5,Yes,0.040261161
Boston.tsp,500,1.29924,972781.5,Yes,0.040261161
Champaign.tsp,5,1.35835,67682.8,Yes,0.100551228
Champaign.tsp,10,1.41935,67682.8,Yes,0.100551228
Champaign.tsp,15,1.40136,67682.8,Yes,0.100551228
Champaign.tsp,20,1.35844,67682.8,Yes,0.100551228
Champaign.tsp,25,1.32826,67682.8,Yes,0.100551228
Champaign.tsp,50,1.3661,67682.8,Yes,0.100551228
Champaign.tsp,75,1.35959,67682.8,Yes,0.100551228
Champaign.tsp,100,1.36917,67682.8,Yes,0.100551228
Champaign.tsp,250,1.36217,67682.8,Yes,0.100551228
Champaign.tsp,500,1.35624,67682.8,Yes,0.100551228
Cincinnati.tsp,5,1.1815,278181.1,Yes,0.000824243
Cincinnati.tsp,10,1.17432,278181.1,Yes,0.000824243
Cincinnati.tsp,15,1.17261,278181.1,Yes,0.000824243
Cincinnati.tsp,20,1.14521,278181.1,Yes,0.000824243
Cincinnati.tsp,25,1.1731,278181.1,Yes,0.000824243
Cincinnati.tsp,50,1.18415,278181.1,Yes,0.000824243
Cincinnati.tsp,75,1.20086,278181.1,Yes,0.000824243
Cincinnati.tsp,100,1.22487,278181.1,Yes,0.000824243
Cincinnati.tsp,250,1.22311,278181.1,Yes,0.000824243
Cincinnati.tsp,500,1.30478,278181.1,Yes,0.000824243
Denver.tsp,5,1.45239,175762.3,Yes,0.099834176
Denver.tsp,10,1.46039,175762.3,Yes,0.099834176
Denver.tsp,15,1.43518,175762.3,Yes,0.099834176
Denver.tsp,20,1.43529,175762.3,Yes,0.099834176
Denver.tsp,25,1.4633,175762.3,Yes,0.099834176
Denver.tsp,50,1.4172,175762.3,Yes,0.099834176
Denver.tsp,75,1.43931,175762.3,Yes,0.099834176
Denver.tsp,100,1.58487,175762.3,Yes,0.099834176
Denver.tsp,250,1.48966,175762.3,Yes,0.099834176
Denver.tsp,500,1.48659,175762.3,Yes,0.099834176
NYC.tsp,5,1.35744,2198949.8,Yes,0.193568047
NYC.tsp,10,1.3774,2198949.8,Yes,0.193568047
NYC.tsp,15,1.37085,2198949.8,Yes,0.193568047
NYC.tsp,20,1.38386,2198949.8,Yes,0.193568047
NYC.tsp,25,1.44822,2198949.8,Yes,0.193568047
NYC.tsp,50,1.3758,2198949.8,Yes,0.193568047
NYC.tsp,75,1.44649,2198949.8,Yes,0.193568047
NYC.tsp,100,1.42798,2198949.8,Yes,0.193568047
NYC.tsp,250,1.44844,2198949.8,Yes,0.193568047
NYC.tsp,500,1.38362,2198949.8,Yes,0.193568047
Philadelphia.tsp,5,1.29451,1470186.2,Yes,0.043226838
Philadelphia.tsp,10,1.2696,1470186.2,Yes,0.043226838
Philadelphia.tsp,15,1.26646,1470186.2,Yes,0.043226838
Philadelphia.tsp,20,1.36582,1470186.2,Yes,0.043226838
Philadelphia.tsp,25,1.32801,1470186.2,Yes,0.043226838
Philadelphia.tsp,50,1.34396,1470186.2,Yes,0.043226838
Philadelphia.tsp,75,1.29193,1470186.2,Yes,0.043226838
Philadelphia.tsp,100,1.58081,1470186.2,Yes,0.043226838
Philadelphia.tsp,250,1.32122,1470186.2,Yes,0.043226838
Philadelphia.tsp,500,1.26879,1470186.2,Yes,0.043226838
Roanoke.tsp,5,1.87212,3195472.2,Yes,0.14509249
Roanoke.tsp,10,1.89152,3195472.2,Yes,0.14509249
Roanoke.tsp,15,1.84225,3195472.2,Yes,0.14509249
Roanoke.tsp,20,1.90581,3195472.2,Yes,0.14509249
Roanoke.tsp,25,1.93412,3195472.2,Yes,0.14509249
Roanoke.tsp,50,1.91442,3195472.2,Yes,0.14509249
Roanoke.tsp,75,1.90523,3195472.2,Yes,0.14509249
Roanoke.tsp,100,1.92437,3195472.2,Yes,0.14509249
Roanoke.tsp,250,1.95003,3195472.2,Yes,0.14509249
Roanoke.tsp,500,2.01779,3195472.2,Yes,0.14509249
SanFrancisco.tsp,5,1.42015,1675613.2,Yes,0.046889222
SanFrancisco.tsp,10,1.41887,1675613.2,Yes,0.046889222
SanFrancisco.tsp,15,1.51403,1675613.2,Yes,0.046889222
SanFrancisco.tsp,20,1.55542,1675613.2,Yes,0.046889222
SanFrancisco.tsp,25,1.70207,1675613.2,Yes,0.046889222
SanFrancisco.tsp,50,1.69997,1675613.2,Yes,0.046889222
SanFrancisco.tsp,75,1.6208,1675613.2,Yes,0.046889222
SanFrancisco.tsp,100,1.57773,1675613.2,Yes,0.046889222
SanFrancisco.tsp,250,1.56005,1675613.2,Yes,0.046889222
SanFrancisco.tsp,500,1.58726,1675613.2,Yes,0.046889222
Toronto.tsp,5,1.48612,2870171.7,Yes,0.132143497
Toronto.tsp,10,1.47535,2870171.7,Yes,0.132143497
Toronto.tsp,15,1.61607,2870171.7,Yes,0.132143497
Toronto.tsp,20,1.45049,2870171.7,Yes,0.132143497
Toronto.tsp,25,1.4679,2870171.7,Yes,0.132143497
Toronto.tsp,50,1.50771,2870171.7,Yes,0.132143497
Toronto.tsp,75,1.47238,2870171.7,Yes,0.132143497
Toronto.tsp,100,1.51557,2870171.7,Yes,0.132143497
Toronto.tsp,250,1.57554,2870171.7,Yes,0.132143497
Toronto.tsp,500,1.51388,2870171.7,Yes,0.132143497
UKansasState.tsp,5,1.18988,62962,Yes,0
UKansasState.tsp,10,1.16476,62962,Yes,0
UKansasState.tsp,15,1.17159,62962,Yes,0
UKansasState.tsp,20,1.19786,62962,Yes,0
UKansasState.tsp,25,1.19693,62962,Yes,0
UKansasState.tsp,50,1.16705,62962,Yes,0
UKansasState.tsp,75,1.18368,62962,Yes,0
UKansasState.tsp,100,1.1991,62962,Yes,0
UKansasState.tsp,250,1.2231,62962,Yes,0
UKansasState.tsp,500,1.21952,62962,Yes,0
UMissouri.tsp,5,1.45484,266850.2,Yes,0.126064243
UMissouri.tsp,10,1.49485,266850.2,Yes,0.126064243
UMissouri.tsp,15,1.43862,266850.2,Yes,0.126064243
UMissouri.tsp,20,1.50848,266850.2,Yes,0.126064243
UMissouri.tsp,25,1.48948,266850.2,Yes,0.126064243
UMissouri.tsp,50,1.49012,266850.2,Yes,0.126064243
UMissouri.tsp,75,1.53503,266850.2,Yes,0.126064243
UMissouri.tsp,100,1.50988,266850.2,Yes,0.126064243
UMissouri.tsp,250,1.49288,266850.2,Yes,0.126064243
UMissouri.tsp,500,1.51076,266850.2,Yes,0.126064243
