Dataset,Brute Force,,,,,2-Approximation,,,,,Simulated Annealing,,,
,cut off (s),time (s),Sol.Qual,Full Tour,Rel.Erro,seed,time (s),Sol.Qual,Full Tour,Rel.Erro,time (s),Sol.Qual,Full Tour,Rel.Erro
Atlanta,5,6.14,4109868,No,0.488,42,1.38,2486842,Yes,0.828,1.24,2037607,Yes,0.017
,10,11.11,4109868,No,0.488,43,1.26,2488307,Yes,0.822,1.26,2037607,Yes,0.017
,15,16.11,4090106,No,0.490,44,1.26,2500425,Yes,0.806,1.26,2037607,Yes,0.017
,20,21.15,3945052,No,0.508,45,1.20,2490014,Yes,0.824,1.24,2037607,Yes,0.017
,25,26.16,3886657,No,0.516,46,1.19,2477233,Yes,0.828,1.25,2037607,Yes,0.017
,50,51.19,3811058.5,No,0.526,47,1.16,2495163,Yes,0.823,1.23,2037607,Yes,0.017
,75,76.18,3775843,No,0.531,48,1.24,2453860,Yes,0.825,1.26,2037607,Yes,0.017
,100,101.21,3748338,No,0.535,49,1.32,2477233,Yes,0.829,1.28,2037607,Yes,0.017
,250,251.18,3630534,No,0.552,50,1.21,2486842,Yes,0.806,1.31,2037607,Yes,0.017
,500,771.50,3630534,No,0.552,51,1.15,2312426,Yes,0.872,1.34,2037607,Yes,0.017
Berlin,5,6.13,20181,No,0.496,42,1.20,10126,Yes,1.060,1.35,10552.8,Yes,0.055
,10,11.28,20181,No,0.496,43,1.18,9976,Yes,1.103,1.50,10552.8,Yes,0.055
,15,16.27,20033,No,0.499,44,1.33,9931,Yes,1.065,1.37,10552.8,Yes,0.055
,20,21.23,19824,No,0.505,45,1.39,10267,Yes,0.974,1.37,10552.8,Yes,0.055
,25,26.19,19786,No,0.506,46,1.15,10194,Yes,1.036,1.30,10552.8,Yes,0.055
,50,51.15,19728,No,0.507,47,1.15,9588,Yes,1.220,1.34,10552.8,Yes,0.055
,75,76.29,19728,No,0.507,48,1.23,10154,Yes,1.002,1.34,10552.8,Yes,0.055
,100,101.43,19728,No,0.507,49,1.17,10194,Yes,1.025,1.34,10552.8,Yes,0.055
,250,251.19,19438,No,0.515,50,1.23,10108,Yes,1.010,1.43,10552.8,Yes,0.055
,500,501.20,19249,No,0.520,51,1.14,9867,Yes,1.025,1.37,10552.8,Yes,0.055
Boston,5,6.18,2261063,No,0.414,42,1.40,1061299,Yes,0.937,1.36,972781.5,Yes,0.040
,10,11.16,2246134,No,0.416,43,1.16,1050695,Yes,0.985,1.37,972781.5,Yes,0.040
,15,16.13,2246134,No,0.416,44,1.14,1045369,Yes,0.896,1.35,972781.5,Yes,0.040
,20,21.16,2246134,No,0.416,45,1.14,1043190,Yes,0.908,1.32,972781.5,Yes,0.040
,25,26.14,2246134,No,0.416,46,1.19,1085113,Yes,0.875,1.31,972781.5,Yes,0.040
,50,51.16,2246134,No,0.416,47,1.14,1125707,Yes,0.884,1.26,972781.5,Yes,0.040
,75,76.15,2244804,No,0.417,48,1.18,1129373,Yes,0.828,1.30,972781.5,Yes,0.040
,100,101.15,2234116,No,0.419,49,1.15,1085113,Yes,0.914,1.30,972781.5,Yes,0.040
,250,251.15,2227323,No,0.420,50,1.18,1085544,Yes,0.878,1.32,972781.5,Yes,0.040
,500,501.19,2226767,No,0.420,51,1.41,1027795,Yes,0.965,1.30,972781.5,Yes,0.040
Champaign,5,6.22,219301,No,0.280,42,1.28,65587,Yes,1.025,1.36,67682.8,Yes,0.101
,10,11.16,219252,No,0.280,43,1.21,68357,Yes,0.910,1.42,67682.8,Yes,0.101
,15,16.14,219252,No,0.280,44,1.20,67546,Yes,1.035,1.40,67682.8,Yes,0.101
,20,21.13,219252,No,0.280,45,1.25,66093,Yes,1.016,1.36,67682.8,Yes,0.101
,25,26.10,219166,No,0.281,46,1.47,67315,Yes,1.020,1.33,67682.8,Yes,0.101
,50,51.17,218823,No,0.281,47,1.30,66516,Yes,1.017,1.37,67682.8,Yes,0.101
,75,76.22,218823,No,0.281,48,1.17,67978,Yes,0.905,1.36,67682.8,Yes,0.101
,100,101.33,218074,No,0.282,49,1.18,67315,Yes,0.965,1.37,67682.8,Yes,0.101
,250,251.19,216391,No,0.284,50,1.19,64759,Yes,1.113,1.36,67682.8,Yes,0.101
,500,501.14,212857,No,0.289,51,1.17,67222,Yes,1.125,1.36,67682.8,Yes,0.101
Cincinnati,5,6.17,277952,No,1.000,42,1.12,320593,Yes,0.867,1.18,278181.1,Yes,0.001
,10,11.25,277952,No,1.000,43,1.09,318227,Yes,0.873,1.17,278181.1,Yes,0.001
,15,16.19,277952,No,1.000,44,1.11,307439,Yes,0.904,1.17,278181.1,Yes,0.001
,20,21.19,277952,No,1.000,45,1.11,307439,Yes,0.912,1.15,278181.1,Yes,0.001
,25,26.13,277952,No,1.000,46,1.11,320593,Yes,0.867,1.17,278181.1,Yes,0.001
,50,37.79,277952,No,1.000,47,1.15,309289,Yes,0.899,1.18,278181.1,Yes,0.001
,75,36.50,277952,No,1.000,48,1.15,317273,Yes,0.876,1.20,278181.1,Yes,0.001
,100,30.61,277952,No,1.000,49,1.12,320593,Yes,0.867,1.22,278181.1,Yes,0.001
,250,34.20,277952,No,1.000,50,1.13,308670,Yes,0.900,1.22,278181.1,Yes,0.001
,500,33.69,277952,No,1.000,51,1.14,309289,Yes,0.899,1.30,278181.1,Yes,0.001
Denver,5,6.24,564669,No,0.283,42,1.52,128256,Yes,1.402,1.45,175762.3,Yes,0.100
,10,11.49,564669,No,0.283,43,1.37,127937,Yes,1.462,1.46,175762.3,Yes,0.100
,15,16.24,564669,No,0.283,44,1.40,127123,Yes,1.427,1.44,175762.3,Yes,0.100
,20,21.17,563620,No,0.284,45,1.27,128336,Yes,1.425,1.44,175762.3,Yes,0.100
,25,26.22,563620,No,0.284,46,1.17,129206,Yes,1.421,1.46,175762.3,Yes,0.100
,50,51.13,563620,No,0.284,47,1.26,129598,Yes,1.311,1.42,175762.3,Yes,0.100
,75,76.18,563620,No,0.284,48,1.35,129643,Yes,1.233,1.44,175762.3,Yes,0.100
,100,101.20,563620,No,0.284,49,1.33,128223,Yes,1.285,1.58,175762.3,Yes,0.100
,250,251.24,562055,No,0.284,50,1.18,130778,Yes,1.354,1.49,175762.3,Yes,0.100
,500,501.16,546925,No,0.292,51,1.22,128073,Yes,1.338,1.49,175762.3,Yes,0.100
NYC,5,6.18,7244933,No,0.254,42,1.16,1891838,Yes,1.148,1.36,2198949.8,Yes,0.194
,10,11.23,7244933,No,0.254,43,1.16,1937161,Yes,1.178,1.38,2198949.8,Yes,0.194
,15,16.22,7244933,No,0.254,44,1.15,1845662,Yes,1.193,1.37,2198949.8,Yes,0.194
,20,21.21,7244933,No,0.254,45,1.23,1845662,Yes,1.152,1.38,2198949.8,Yes,0.194
,25,26.20,7244933,No,0.254,46,1.14,1855713,Yes,1.199,1.45,2198949.8,Yes,0.194
,50,51.23,7244933,No,0.254,47,1.19,1948652,Yes,1.297,1.38,2198949.8,Yes,0.194
,75,76.20,7244933,No,0.254,48,1.16,1948810,Yes,0.945,1.45,2198949.8,Yes,0.194
,100,101.22,7239945,No,0.254,49,1.18,1896513,Yes,1.232,1.43,2198949.8,Yes,0.194
,250,251.18,7218153,No,0.255,50,1.17,1959210,Yes,1.062,1.45,2198949.8,Yes,0.194
,500,510.32,7210976,No,0.255,51,1.29,1937026,Yes,1.134,1.38,2198949.8,Yes,0.194
