Dataset,Algorithm,Cutoff,Seed,Time,Sol.Quality,Full Tour
Atlanta.tsp,LS,100.0,47.0,1.2736,2054590.0,Yes
Atlanta.tsp,LS,100.0,48.0,1.2124,2023779.0,Yes
Atlanta.tsp,LS,100.0,49.0,1.2261,2054590.0,Yes
Atlanta.tsp,LS,100.0,50.0,1.2238,2003763.0,Yes
Atlanta.tsp,LS,100.0,51.0,1.2411,2016322.0,Yes
Atlanta.tsp,LS,250.0,42.0,1.3627,2058468.0,Yes
Atlanta.tsp,LS,250.0,43.0,1.1907,2044281.0,Yes
Atlanta.tsp,LS,250.0,44.0,1.2835,2016322.0,Yes
Atlanta.tsp,LS,250.0,45.0,1.3195,2052219.0,Yes
Atlanta.tsp,LS,250.0,46.0,1.5329,2051736.0,Yes
Atlanta.tsp,LS,250.0,47.0,1.331,2054590.0,Yes
Atlanta.tsp,LS,250.0,48.0,1.2903,2023779.0,Yes
Atlanta.tsp,LS,250.0,49.0,1.2338,2054590.0,Yes
Atlanta.tsp,LS,250.0,50.0,1.3099,2003763.0,Yes
Atlanta.tsp,LS,250.0,51.0,1.247,2016322.0,Yes
Atlanta.tsp,LS,500.0,42.0,1.1899,2058468.0,Yes
Atlanta.tsp,LS,500.0,43.0,1.2432,2044281.0,Yes
Atlanta.tsp,LS,500.0,44.0,1.2746,2016322.0,Yes
Atlanta.tsp,LS,500.0,45.0,1.4957,2052219.0,Yes
Atlanta.tsp,LS,500.0,46.0,1.4313,2051736.0,Yes
Atlanta.tsp,LS,500.0,47.0,1.5249,2054590.0,Yes
Atlanta.tsp,LS,500.0,48.0,1.5229,2023779.0,Yes
Atlanta.tsp,LS,500.0,49.0,1.2938,2054590.0,Yes
Atlanta.tsp,LS,500.0,50.0,1.2117,2003763.0,Yes
Atlanta.tsp,LS,500.0,51.0,1.2315,2016322.0,Yes
Berlin.tsp,LS,5.0,42.0,1.2711,10736.0,Yes
Berlin.tsp,LS,5.0,43.0,1.3395,11002.0,Yes
Berlin.tsp,LS,5.0,44.0,1.301,10578.0,Yes
Berlin.tsp,LS,5.0,45.0,1.3253,10003.0,Yes
Berlin.tsp,LS,5.0,46.0,1.3325,10563.0,Yes
Berlin.tsp,LS,5.0,47.0,1.6685,11694.0,Yes
Berlin.tsp,LS,5.0,48.0,1.3264,10176.0,Yes
Berlin.tsp,LS,5.0,49.0,1.3023,10449.0,Yes
Berlin.tsp,LS,5.0,50.0,1.2916,10213.0,Yes
Berlin.tsp,LS,5.0,51.0,1.3847,10114.0,Yes
Berlin.tsp,LS,10.0,42.0,1.3565,10736.0,Yes
