Time to maturity,Interest Rate
9,0.0070438
8.9973,0.007
8.9945,0.0068875
8.9918,0.006825
8.989,0.006775
8.9808,0.0067625
8.9781,0.00675
8.9753,0.0067625
8.9726,0.0067938
8.9699,0.0067563
8.9616,0.0067625
8.9589,0.0066813
8.9562,0.0066063
8.9534,0.0063938
8.9507,0.0063625
8.9425,0.0063875
8.9397,0.0063125
8.937,0.0062875
8.9342,0.0062
8.9315,0.0060313
8.9233,0.0060188
8.9205,0.006
8.9178,0.006
8.9151,0.005975
8.9123,0.0059688
8.9041,0.0060125
8.9014,0.0059563
8.8986,0.0059313
8.8959,0.0059
8.8932,0.0059125
8.8849,0.005925
8.8822,0.0058563
8.8795,0.00585
8.8767,0.0058188
8.874,0.0058063
8.8658,0.0058063
8.863,0.0057688
8.8603,0.0057
8.8575,0.0056438
8.8548,0.0056438
8.8466,0.0056688
8.8438,0.0056219
8.8411,0.0056344
8.8384,0.00554
8.8356,0.0055
8.8274,0.0054063
8.8247,0.0053625
8.8219,0.0053125
8.8192,0.0052438
8.8164,0.0052063
8.8082,0.0051781
8.8055,0.0050625
8.8027,0.0050188
8.8,0.004925
8.7973,0.0048938
8.789,0.0048563
8.7863,0.004825
8.7836,0.0047813
8.7808,0.0047625
8.7781,0.0048438
8.7699,0.0048813
8.7671,0.0048188
8.7644,0.0047813
8.7616,0.00485
8.7589,0.0048375
8.7507,0.0048438
8.7479,0.0046813
8.7452,0.0046188
8.7425,0.0045756
8.7397,0.0045575
8.7315,0.0045313
8.7288,0.004525
8.726,0.0045125
8.7233,0.0044388
8.7205,0.0043538
8.7123,0.0043063
8.7096,0.0043125
8.7068,0.0043063
8.7041,0.0043125
8.6904,0.0043438
8.6877,0.0043
8.6849,0.0042969
8.674,0.0043438
8.6712,0.004275
8.6685,0.0042563
8.6658,0.004175
8.663,0.0042
8.6548,0.0040375
8.6521,0.004
8.6493,0.004
8.6466,0.0039875
8.6438,0.003925
8.6356,0.0039
8.6329,0.0039063
8.6301,0.0039
8.6274,0.0039031
8.6247,0.0038469
8.6164,0.0038563
8.6137,0.003825
8.611,0.0038344
8.6082,0.0038563
8.6055,0.0038438
8.5973,0.0038375
8.5945,0.0038375
8.5918,0.0038375
8.589,0.00385
8.5863,0.00385
8.5781,0.0038625
8.5753,0.0038875
8.5726,0.0038875
8.5699,0.0039
8.5671,0.0038813
8.5589,0.0038813
8.5562,0.0038813
8.5534,0.00385
8.5507,0.0038438
8.5479,0.0039531
8.5397,0.0039313
8.537,0.0039375
8.5342,0.0039125
8.5315,0.0038688
8.5288,0.0038688
8.5205,0.0038375
8.5178,0.0038319
8.5151,0.0038319
8.5123,0.0038319
8.5096,0.0039
8.5014,0.0039531
8.4986,0.0039438
8.4959,0.0039438
8.4932,0.0039344
8.4904,0.0039781
8.4822,0.0040063
8.4795,0.0040125
8.4767,0.0040188
8.474,0.0040766
8.4712,0.0042325
8.463,0.0043656
8.4603,0.0043375
8.4575,0.0043531
8.4548,0.0043688
8.4521,0.0043938
8.4438,0.004425
8.4411,0.0044188
8.4384,0.0044438
8.4356,0.0044156
8.4219,0.0045438
8.4192,0.004525
8.4164,0.004525
8.4137,0.0045375
8.4055,0.0045563
8.4027,0.0045563
8.4,0.004625
8.3973,0.00465
8.3945,0.0046438
8.3863,0.0046063
8.3836,0.00465
8.3808,0.004725
8.3781,0.0048219
8.3753,0.0049281
8.3671,0.0050031
8.3644,0.0050563
8.3616,0.005225
8.3589,0.0052719
8.3562,0.0053063
8.3452,0.0054578
8.3425,0.0055531
8.3397,0.0056563
8.337,0.0063688
8.3288,0.006225
8.326,0.006185
8.3233,0.0062231
8.3205,0.0062263
8.3178,0.00635
8.3096,0.0065475
8.3068,0.00655
8.3041,0.0067338
8.3014,0.0067875
8.2986,0.0069563
8.2904,0.0071625
8.2877,0.0075913
8.2849,0.0075788
8.2822,0.007585
8.2795,0.0075188
8.2685,0.0076113
8.2658,0.0075363
8.263,0.00753
8.2603,0.0074919
8.2521,0.0075731
8.2493,0.0075363
8.2466,0.0075081
8.2438,0.0074938
8.2411,0.0074613
8.2329,0.0075031
8.2301,0.0075481
8.2274,0.0075456
8.2247,0.0075475
8.2219,0.0075063
8.2137,0.0074956
8.211,0.00747
8.2082,0.0074869
8.2055,0.0075194
8.2027,0.0075319
8.1945,0.0074719
8.1918,0.0075069
8.189,0.007525
8.1863,0.00751
8.1836,0.0075006
8.1753,0.0074344
8.1726,0.0074244
8.1699,0.0074244
8.1671,0.0073719
8.1644,0.0073319
8.1562,0.0073163
8.1534,0.0073313
8.1507,0.0073131
8.1479,0.0072988
8.1452,0.0072656
8.137,0.0071813
8.1342,0.0071088
8.1315,0.0070263
8.1288,0.0070075
8.126,0.00697
8.1178,0.0069769
8.1151,0.0069431
8.1123,0.0068794
8.1096,0.0067769
8.1068,0.0066781
8.0986,0.0065994
8.0959,0.0064956
8.0932,0.0063831
8.0904,0.0063894
8.0877,0.0063375
8.0795,0.006275
8.0767,0.0062031
8.074,0.006025
8.0712,0.0059406
8.0685,0.0059188
8.0603,0.0058731
8.0575,0.005765
8.0548,0.0056844
8.0521,0.0055594
8.0493,0.0054563
8.0411,0.0053375
8.0384,0.0051831
8.0356,0.0051125
8.0329,0.0050725
8.0301,0.0050319
8.0192,0.0049669
8.0164,0.0049625
8.0137,0.0049563
8.011,0.0049363
8.0027,0.0048922
8,0.0048875
7.9973,0.0048953
7.9945,0.0049
7.9918,0.0048969
7.9836,0.0048719
7.9808,0.0048188
7.9781,0.0047453
7.9753,0.0047438
