Date,Signal,Position,AccountValue
2010-01-04,0,0,10000.0
2010-01-05,0,0,10000.0
2010-01-06,0,0,10000.0
2010-01-07,0,0,10000.0
2010-01-08,0,0,10000.0
2010-01-11,0,0,10000.0
2010-01-12,0,0,10000.0
2010-01-13,0,0,10000.0
2010-01-14,0,0,10000.0
2010-01-15,0,0,10000.0
2010-01-19,0,0,10000.0
2010-01-20,0,0,10000.0
2010-01-21,0,0,10000.0
2010-01-22,0,0,10000.0
2010-01-25,0,0,10000.0
2010-01-26,0,0,10000.0
2010-01-27,1,10,10000.0
2010-01-28,0,10,9996.932139396667
2010-01-29,-1,0,9994.349999427795
2010-02-01,0,0,9994.349999427795
2010-02-02,0,0,9994.349999427795
2010-02-03,1,10,9994.349999427795
2010-02-04,0,10,9991.78572177887
2010-02-05,0,10,9993.003568649292
2010-02-08,0,10,9992.525000572205
2010-02-09,0,10,9993.264288902283
2010-02-10,0,10,9992.882142066956
2010-02-11,0,10,9994.14999961853
2010-02-12,0,10,9994.760718345642
2010-02-16,1,20,9995.839290618896
2010-02-17,0,20,9995.232152938843
2010-02-18,0,20,9995.503568649292
2010-02-19,0,20,9994.603567123413
2010-02-22,-1,0,9993.710708618164
2010-02-23,0,0,9993.710708618164
2010-02-24,0,0,9993.710708618164
2010-02-25,0,0,9993.710708618164
2010-02-26,1,10,9993.710708618164
2010-03-01,1,20,9995.271430015564
2010-03-02,0,20,9995.171427726746
2010-03-03,0,20,9995.51426410675
2010-03-04,0,20,9996.499981880188
2010-03-05,0,20,10002.38570690155
2010-03-08,0,20,10002.478566169739
2010-03-09,0,20,10005.29284954071
2010-03-10,0,20,10006.592841148376
2010-03-11,0,20,10007.064261436462
2010-03-12,0,20,10007.84999370575
2010-03-15,0,20,10005.878567695618
2010-03-16,0,20,10006.314272880554
2010-03-17,0,20,10006.078562736511
2010-03-18,0,20,10006.457133293152
2010-03-19,0,20,10004.742846488953
2010-03-22,0,20,10006.52856349945
2010-03-23,0,20,10009.107127189636
2010-03-24,0,20,10009.828562736511
2010-03-25,0,20,10007.885699272156
2010-03-26,0,20,10010.92143535614
2010-03-29,0,20,10011.985697746277
2010-03-30,0,20,10014.457125663757
2010-03-31,0,20,10013.84997844696
2010-04-01,0,20,10014.542841911316
2010-04-05,0,20,10016.342844963074
2010-04-06,0,20,10017.092852592468
2010-04-07,0,20,10017.84999370575
2010-04-08,0,20,10017.38570690155
2010-04-09,0,20,10018.699984550476
2010-04-12,0,20,10019.05713558197
2010-04-13,0,20,10019.157118797302
2010-04-14,0,20,10021.485705375671
2010-04-15,0,20,10023.792853355408
2010-04-16,0,20,10022.707133293152
2010-04-19,-1,0,10022.471423149109
2010-04-20,0,0,10022.471423149109
2010-04-21,0,0,10022.471423149109
2010-04-22,0,0,10022.471423149109
2010-04-23,1,10,10022.471423149109
2010-04-26,0,10,10021.996426582336
2010-04-27,-1,0,10019.33213710785
2010-04-28,0,0,10019.33213710785
2010-04-29,0,0,10019.33213710785
2010-04-30,0,0,10019.33213710785
2010-05-03,0,0,10019.33213710785
2010-05-04,0,0,10019.33213710785
2010-05-05,0,0,10019.33213710785
2010-05-06,0,0,10019.33213710785
2010-05-07,0,0,10019.33213710785
2010-05-10,0,0,10019.33213710785
2010-05-11,0,0,10019.33213710785
2010-05-12,1,10,10019.33213710785
2010-05-13,0,10,10017.999997138977
2010-05-14,-1,0,10016.378560066223
2010-05-17,0,0,10016.378560066223
2010-05-18,0,0,10016.378560066223
2010-05-19,0,0,10016.378560066223
2010-05-20,0,0,10016.378560066223
2010-05-21,0,0,10016.378560066223
2010-05-24,0,0,10016.378560066223
2010-05-25,0,0,10016.378560066223
2010-05-26,0,0,10016.378560066223
2010-05-27,0,0,10016.378560066223
2010-05-28,0,0,10016.378560066223
2010-06-01,1,10,10016.378560066223
2010-06-02,1,20,10017.492852210999
2010-06-03,0,20,10016.899991035461
2010-06-04,-1,0,10011.785702705383
2010-06-07,0,0,10011.785702705383
2010-06-08,0,0,10011.785702705383
2010-06-09,0,0,10011.785702705383
2010-06-10,0,0,10011.785702705383
2010-06-11,0,0,10011.785702705383
2010-06-14,1,10,10011.785702705383
2010-06-15,1,20,10013.717846870422
2010-06-16,0,20,10019.117856025696
2010-06-17,0,20,10022.417855262756
2010-06-18,0,20,10023.989262580872
2010-06-21,0,20,10021.203560829163
2010-06-22,0,20,10023.8321352005
2010-06-23,0,20,10021.774983406067
2010-06-24,-1,0,10020.367856025696
2010-06-25,0,0,10020.367856025696
2010-06-28,0,0,10020.367856025696
2010-06-29,0,0,10020.367856025696
2010-06-30,0,0,10020.367856025696
2010-07-01,0,0,10020.367856025696
2010-07-02,0,0,10020.367856025696
2010-07-06,0,0,10020.367856025696
2010-07-07,0,0,10020.367856025696
2010-07-08,0,0,10020.367856025696
2010-07-09,0,0,10020.367856025696
2010-07-12,0,0,10020.367856025696
2010-07-13,0,0,10020.367856025696
2010-07-14,0,0,10020.367856025696
2010-07-15,0,0,10020.367856025696
2010-07-16,0,0,10020.367856025696
2010-07-19,0,0,10020.367856025696
2010-07-20,0,0,10020.367856025696
2010-07-21,0,0,10020.367856025696
2010-07-22,1,10,10020.367856025696
2010-07-23,1,20,10020.696425437927
2010-07-26,0,20,10020.225005149841
2010-07-27,0,20,10023.65357875824
2010-07-28,0,20,10021.424994468689
2010-07-29,-1,0,10019.389281272888
2010-07-30,0,0,10019.389281272888
2010-08-02,0,0,10019.389281272888
2010-08-03,0,0,10019.389281272888
2010-08-04,1,10,10019.389281272888
2010-08-05,0,10,10018.932137489319
2010-08-06,-1,0,10018.357138633728
2010-08-09,0,0,10018.357138633728
2010-08-10,0,0,10018.357138633728
2010-08-11,0,0,10018.357138633728
2010-08-12,0,0,10018.357138633728
2010-08-13,0,0,10018.357138633728
2010-08-16,0,0,10018.357138633728
2010-08-17,0,0,10018.357138633728
2010-08-18,0,0,10018.357138633728
2010-08-19,0,0,10018.357138633728
2010-08-20,0,0,10018.357138633728
2010-08-23,0,0,10018.357138633728
2010-08-24,0,0,10018.357138633728
2010-08-25,0,0,10018.357138633728
2010-08-26,0,0,10018.357138633728
2010-08-27,0,0,10018.357138633728
2010-08-30,0,0,10018.357138633728
2010-08-31,1,10,10018.357138633728
2010-09-01,1,20,10020.9392786026
2010-09-02,0,20,10022.253556251526
2010-09-03,0,20,10026.967854499817
2010-09-07,0,20,10026.282143592834
2010-09-08,0,20,10029.932141304016
2010-09-09,0,20,10030.039277076721
2010-09-10,0,20,10030.282139778137
2010-09-13,0,20,10032.874989509583
2010-09-14,0,20,10033.603558540344
2010-09-15,0,20,10035.146412849426
2010-09-16,0,20,10039.682126045227
