path,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100
path_0,100,100.794,99.9641,102.071,102.816,102.632,101.222,100.476,97.4636,96.1068,96.6894,96.4638,96.5889,95.9719,96.0124,95.8495,95.0869,93.9929,94.3183,94.2767,94.4888,94.3466,95.9933,98.8296,98.0533,99.7421,96.7286,95.1334,96.2734,96.8284,98.5123,96.8029,96.2449,95.2293,96.0593,95.5539,93.584,93.6867,93.0406,94.7602,94.515,94.2771,95.2899,97.033,95.7141,99.6601,100.864,103.418,103.841,103.986,104.724,105.887,103.496,102.701,101.404,100.989,100.931,99.7281,97.398,98.4136,99.822,100.094,101.169,101.549,102.584,104.422,104.165,102.964,102.589,104.537,106.487,107.532,105.002,106.73,103.477,104.725,103.26,103.792,102.837,102.408,100.293,101.775,101.691,102.6,105.442,103.818,104.297,104.608,102.388,103.346,103.568,104.146,105.275,106.72,104.379,102.885,102.73,100.58,99.9574,101.112,100.593
path_1,100,98.7091,98.2277,98.9258,98.5472,97.0428,95.0835,93.3051,93.4931,93.2836,96.087,94.9103,93.6206,92.8222,92.1518,93.9445,91.0165,90.9864,90.9727,89.5356,90.6618,91.3012,90.2639,90.7454,90.6645,90.3406,90.2385,91.718,93.7435,95.8819,92.3211,94.0715,97.2132,96.2097,95.9054,95.0165,96.0801,96.0564,96.5853,96.0241,97.8243,98.3959,97.745,97.8735,100.798,102.127,101.492,100.045,101.15,102.857,102.032,98.2858,98.9348,100.344,101.09,102.143,100.861,101.478,104.413,103.597,102.626,103.225,103.254,104.052,104.16,104.455,104.231,102.569,104.091,104.267,104.448,104.098,105.572,107.363,108.442,110.392,107.344,105.586,104.027,102.775,98.3882,97.8257,97.8267,96.1968,95.5319,96.9401,98.2329,95.468,96.0839,96.3067,99.6964,97.4629,98.2728,98.8997,98.8909,100.217,100.012,98.0011,99.9631,100.572,101.887
path_2,100,97.6522,97.6535,98.2517,100.492,100.13,97.4648,98.2254,98.7229,99.2445,99.0609,101.422,104.746,103.81,102.334,99.661,99.5013,97.0902,95.1414,97.1777,95.5075,94.0381,92.8331,92.2099,93.4618,92.4423,93.0395,93.7103,91.1898,90.4936,88.3949,88.6649,87.6914,87.529,86.8008,89.4844,87.397,89.0129,87.4135,87.6081,87.815,85.3513,85.819,85.1632,86.429,86.2381,87.8446,86.147,85.6659,86.2242,85.2353,82.7054,81.0866,82.134,81.0787,80.2561,82.4627,82.0413,80.1418,80.8547,81.0876,81.3742,84.0611,83.4796,85.6111,84.8513,84.9701,84.6382,83.7762,83.0187,82.6728,84.0678,83.3769,82.7556,85.4602,86.1507,85.7349,85.8517,90.1146,92.26,93.6401,94.974,95.4794,96.9958,97.9031,98.2155,96.6937,97.3899,98.1122,98.7883,100.517,101.431,99.6924,98.648,97.3428,97.1865,96.5793,98.2389,95.9719,98.295,96.5941
path_3,100,101.974,100.256,97.6856,97.6517,99.6462,98.0895,97.9806,98.6585,100.77,97.444,99.9815,102.87,103.478,102.525,100.183,100.943,102.606,102.897,101.184,102.374,103.619,102.279,98.8473,99.8099,99.7025,96.0613,95.6355,94.7914,96.226,95.6352,96.0327,96.1919,91.4111,89.575,92.5448,94.1446,94.5096,94.0274,96.4572,96.9418,97.6828,99.0182,99.1172,99.2092,98.6418,96.5181,96.1844,97.4953,95.7783,95.851,93.7556,94.3998,94.1398,94.563,96.1188,93.6166,96.3067,96.0756,94.8096,96.9692,95.2675,94.1375,93.5441,91.3261,88.7174,90.6907,91.7624,92.9646,94.0129,94.8159,95.9264,94.34,90.8911,90.1441,89.0041,89.0892,88.7103,90.5667,91.111,91.1819,91.046,90.6849,89.2365,90.3941,89.0844,88.1479,87.2214,89.152,88.3505,88.166,87.192,86.7925,85.4392,86.0487,85.3297,83.6029,81.9293,80.9494,78.9418,78.5619
path_4,100,97.7682,100.375,99.7701,98.8045,96.2514,98.7528,100.328,100.553,98.792,98.337,100.652,100.495,102.719,101.772,103.702,104.119,103.365,103.718,104.082,106.712,108.038,108.32,109.674,111.233,110.172,107.945,106.685,105.636,104.575,103.208,103.994,104.535,103.87,103.876,103.741,105.778,104.876,106.388,108.586,109.28,108.208,104.015,105.957,106.925,107.015,107.354,109.46,112.178,112.386,110.924,113.865,114.499,114.329,115.851,112.595,112.981,114.104,115.804,115.561,117.716,116.869,117.107,116.051,114.056,115.66,112.519,116.054,112.295,114.89,111.864,112.831,111.296,114.169,112.882,114.746,114.832,115.459,115.602,114.688,115.775,113.52,111.345,110.531,110.626,111.5,107.936,106.061,104.126,102.722,102.665,105.796,106.002,104.32,103.73,102.525,102.817,103.319,103.365,103.463,103.416
path_5,100,102.463,102.77,102.978,102.592,103.337,104.715,106.167,105.6,105.246,103.873,104.794,103.583,103.944,105.847,104.459,104.587,102.719,101.638,101.045,97.7693,101.056,100.608,101.469,103.914,106.14,109.561,111.36,108.027,107.563,108.74,109.737,107.414,107.388,104.06,102.099,101.156,101.101,102.951,104.388,104.673,105.402,105.397,106.316,107.65,110.613,111.104,110.969,113.09,114.201,112.645,115.615,116.004,117.368,119.15,117.587,117.62,118.484,118.139,120.397,117.287,113.885,117.525,117.945,115.475,115.943,114.932,113.169,113.055,113.865,116.124,118.817,117.822,115.631,114.752,115.379,115.711,116.95,117.908,118.772,119.716,118.496,117.478,117.923,119.27,116.228,117.695,121.161,120.254,120.805,121.833,125.997,127.369,124.362,128.202,125.111,122.844,122.957,121.581,118.799,119.246
path_6,100,98.8542,96.0997,97.7118,99.0885,99.0483,101.655,103.234,104.549,105.175,104.394,102.972,104.015,103.963,106.596,105.083,105.231,101.789,100.6,104.509,104.605,109.448,107.778,107.015,109.347,109.132,109.186,110.056,112.953,113.578,115.644,116.229,116.041,113.521,112.831,110.299,111.679,110.945,110.503,113.168,114.288,115.471,117.612,117.295,116.189,115.372,114.807,114.071,113.386,115.046,114.232,112.983,111.199,113.623,110.934,112.062,110.725,112.973,113.801,112.185,111.838,107.218,104.725,105.974,106.243,103.813,104.568,103.474,105.128,103.993,102.58,100.302,100.43,101.096,101.047,101.326,103.052,103.294,101.224,99.529,97.9484,95.1557,93.2156,94.8347,94.0297,93.2225,96.479,95.911,97.5135,98.5649,96.1341,98.8323,99.1936,103.503,101.128,101.109,103.591,102.48,102.025,101.749,101.927
path_7,100,99.5626,100.351,100.55,102.741,104.36,103.963,104.511,101.977,99.8253,99.8725,101.425,98.8365,99.1041,100.572,101.256,103.938,104.612,106.624,104.935,104.506,104.107,103.167,104.389,106.58,108.006,108.558,109,109.885,111.811,109.306,111.136,110.375,109.267,111.26,110.662,112.278,112.727,112.131,112.206,112.701,112.503,110.257,105.703,109.432,111.212,112.699,111.909,109.634,112.773,111.082,113.05,114.969,117.291,117.516,119.976,119.971,118.751,118.493,118.466,121.778,120.118,118.5,120.039,118.409,122.622,122.449,122.938,125.182,124.255,126.942,125.06,121.598,121.199,121.48,121.261,122.798,125.639,127.084,128.17,127.933,127.703,124.357,124.642,122.344,122.787,123.238,127.624,126.708,124.188,121.831,120.546,123.623,128.031,126.219,125.096,126.993,130.811,131.254,133.853,135.277
path_8,100,101.431,102.686,102.712,102.783,103.944,104.375,104.578,104.138,104.33,103.848,108.047,106.024,105.453,104.295,105.283,103.991,102.489,102.194,103.438,104.483,103.445,103.348,103.892,107.415,109.754,107.661,112.246,110.807,112.534,112.68,110.514,107.088,107.615,109.826,110.647,114.14,117.158,117.427,117.087,118.907,114.712,112.832,110.828,110.104,109.031,113.426,110.846,109.721,108.629,108.2,108.486,111.395,111.177,111.172,110.42,111.755,114.537,115.712,115.284,116.102,115.628,113.976,111.365,112.331,112.695,114.136,113.009,112.763,113.799,112.989,112.142,111.934,112.81,113.625,114.625,112.481,113.295,117.69,118.018,115.023,120.698,117.4,116.229,120.251,118.669,114.701,111.684,111.387,111.08,110.973,111.37,111.591,110.164,108.571,107.545,107.628,107.696,109.199,110.577,113.762
path_9,100,100.21,101.912,104.634,104.893,105.776,105.18,104.761,104.347,103.186,101.38,102.308,100.885,100.748,102.36,102.132,102.498,103.857,102.595,99.6983,100.699,99.3685,98.9508,97.9572,97.3859,96.9077,96.8476,98.4977,97.9824,96.9493,97.781,98.522,97.703,96.8199,97.5516,100.333,99.9861,102.937,102.034,104.75,106.529,106.265,105.265,107.089,106.371,107.567,106.653,106.585,107.697,107.882,110.039,109.225,110.626,111.87,110.658,111.077,111.815,114.485,113.899,111.901,110.03,111.486,113.101,112.617,113.233,116.24,117.14,114.241,118.697,117.842,117.105,112.786,115.615,115.175,116.087,118.772,121.773,118.898,119.57,118.74,117.72,119.811,117.433,120.999,118.369,117.689,121.259,121.136,121.752,124.141,125.863,126.773,127.281,128.138,126.948,125.214,125.534,124.817,124.801,122.658,121.539
