index,time
0,0
1,0.004
2,0.008
3,0.012
4,0.016
5,0.02
6,0.024
7,0.028
8,0.032
9,0.036
10,0.04
11,0.044
12,0.048
13,0.052
14,0.056
15,0.06
16,0.064
17,0.068
18,0.072
19,0.076
20,0.08
21,0.084
22,0.088
23,0.092
24,0.096
25,0.1
26,0.104
27,0.108
28,0.112
29,0.116
30,0.12
31,0.124
32,0.128
33,0.132
34,0.136
35,0.14
36,0.144
37,0.148
38,0.152
39,0.156
40,0.16
41,0.164
42,0.168
43,0.172
44,0.176
45,0.18
46,0.184
47,0.188
48,0.192
49,0.196
50,0.2
51,0.204
52,0.208
53,0.212
54,0.216
55,0.22
56,0.224
57,0.228
58,0.232
59,0.236
60,0.24
61,0.244
62,0.248
63,0.252
64,0.256
65,0.26
66,0.264
67,0.268
68,0.272
69,0.276
70,0.28
71,0.284
72,0.288
73,0.292
74,0.296
75,0.3
76,0.304
77,0.308
78,0.312
79,0.316
80,0.32
81,0.324
82,0.328
83,0.332
84,0.336
85,0.34
86,0.344
87,0.348
88,0.352
89,0.356
90,0.36
91,0.364
92,0.368
93,0.372
94,0.376
95,0.38
96,0.384
97,0.388
98,0.392
99,0.396
100,0.4
