path,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100
path_0,0,0.0223924,0.0432015,0.0170928,0.0417383,0.0730397,0.0778052,0.101251,0.00823316,0.0111555,0.0349135,0.0620127,0.0899172,0.112214,0.139764,0.166824,0.185617,0.195237,0.219486,0.244931,0.270296,0.295727,0.28973,0.21233,0.234954,0.22802,0.125769,0.118043,0.130378,0.156677,0.149533,0.136988,0.162272,0.175859,0.196423,0.221637,0.19447,0.219607,0.238192,0.229456,0.255733,0.281588,0.297182,0.287063,0.290941,0.0939424,0.110049,0.0410882,0.0815142,0.125077,0.160222,0.181786,0.124496,0.157456,0.169546,0.209752,0.253531,0.268065,0.206737,0.228912,0.236849,0.27985,0.304851,0.350502,0.379603,0.362214,0.414417,0.435966,0.486284,0.458934,0.431724,0.464771,0.382175,0.372919,0.182441,0.207322,0.214951,0.272554,0.312148,0.371197,0.309517,0.319306,0.384359,0.432562,0.26845,0.264169,0.339854,0.423066,0.331493,0.389765,0.48232,0.571195,0.627791,0.647249,0.521649,0.523868,0.641305,0.499078,0.516049,0.534396,0.534239
path_1,0,0.00706148,0.0325814,0.0557997,0.0829926,0.081061,0.0575426,0.0421752,0.0654928,0.0883754,0.0211641,0.0291094,0.0324457,0.0476651,0.0642928,0.0523435,-0.0281113,-0.00808761,0.011919,0.00821318,0.0154839,0.0318972,0.0391684,0.0564681,0.0757677,0.0934128,0.111838,0.110955,0.089476,0.0602991,-0.0826491,-0.0927204,-0.191782,-0.17662,-0.148574,-0.131839,-0.117019,-0.0869953,-0.0596688,-0.034166,-0.047253,-0.0171672,0.0100106,0.0442193,-0.0531167,-0.041501,-0.00783961,-0.00511148,0.015388,0.00800961,0.0384583,-0.173744,-0.142012,-0.134536,-0.101079,-0.0761172,-0.0637861,-0.0255515,-0.141978,-0.106649,-0.077406,-0.0348288,0.01534,0.0540403,0.106049,0.157425,0.210003,0.202108,0.207159,0.262818,0.319444,0.374497,0.3839,0.369764,0.401772,0.377089,0.25218,0.242188,0.244527,0.267042,-0.178527,-0.144021,-0.103259,-0.119593,-0.101495,-0.0931807,-0.0774952,-0.179386,-0.160291,-0.138089,-0.248873,-0.324173,-0.29774,-0.26315,-0.225908,-0.201244,-0.154949,-0.20118,-0.196846,-0.182467,-0.178331
path_2,0,-0.0436367,-0.0155344,0.00878505,-0.0254967,0.00319317,-0.0627655,-0.0408807,-0.014194,0.0127363,0.0426448,1.52707e-05,-0.115393,-0.0938076,-0.0906892,-0.158796,-0.127491,-0.179197,-0.203465,-0.22768,-0.238251,-0.241166,-0.235903,-0.21841,-0.211944,-0.201986,-0.182339,-0.162693,-0.217793,-0.20409,-0.23113,-0.216395,-0.210825,-0.19798,-0.190184,-0.227062,-0.251223,-0.255292,-0.263594,-0.251354,-0.238899,-0.269788,-0.261885,-0.256305,-0.254527,-0.245573,-0.248452,-0.257638,-0.251073,-0.244046,-0.2419,-0.26018,-0.263249,-0.262121,-0.262,-0.261383,-0.264496,-0.26256,-0.265771,-0.26484,-0.263548,-0.26225,-0.267674,-0.265885,-0.26973,-0.267873,-0.26475,-0.262328,-0.261612,-0.260976,-0.260125,-0.25998,-0.259382,-0.258948,-0.261483,-0.259835,-0.258413,-0.256923,-0.278304,-0.286179,-0.282059,-0.275245,-0.252706,-0.248269,-0.220972,-0.179773,-0.190935,-0.163201,-0.131435,-0.0936337,-0.0956414,-0.0419201,-0.0803764,-0.0668551,-0.0720258,-0.0595488,-0.0560431,-0.0529377,-0.0617841,-0.0617502,-0.0617667
path_3,0,-0.0189292,-0.0274936,-0.0858487,-0.0575486,-0.0786748,-0.082031,-0.0532144,-0.0293286,-0.0568736,-0.177806,-0.231858,-0.311801,-0.283212,-0.262563,-0.307079,-0.282083,-0.286473,-0.253307,-0.261731,-0.247132,-0.233751,-0.225,-0.364731,-0.34443,-0.311164,-0.474106,-0.448452,-0.43127,-0.428843,-0.40528,-0.378027,-0.348642,-0.626191,-0.643991,-0.708173,-0.712407,-0.68716,-0.66439,-0.7117,-0.682927,-0.657327,-0.648568,-0.612138,-0.575288,-0.544505,-0.58456,-0.55492,-0.545988,-0.561329,-0.530498,-0.567043,-0.545083,-0.519663,-0.494338,-0.49568,-0.560588,-0.623498,-0.592195,-0.587866,-0.619941,-0.636041,-0.628064,-0.608924,-0.64548,-0.686163,-0.694654,-0.686698,-0.679285,-0.666843,-0.647461,-0.632367,-0.643496,-0.750272,-0.7445,-0.74414,-0.738444,-0.734276,-0.736715,-0.729157,-0.720824,-0.71359,-0.70828,-0.710758,-0.709011,-0.710149,-0.710055,-0.710086,-0.710244,-0.710198,-0.710097,-0.710185,-0.710247,-0.710322,-0.710392,-0.710463,-0.710534,-0.710606,-0.710677,-0.710748,-0.710819
path_4,0,-0.0366727,-0.093338,-0.0682975,-0.0513834,-0.109561,-0.15977,-0.161313,-0.130697,-0.1428,-0.115962,-0.155766,-0.124301,-0.158307,-0.137917,-0.154957,-0.123025,-0.0968451,-0.0639385,-0.0308536,-0.0906086,-0.0787569,-0.0449811,-0.0337886,-0.0297528,-0.00921475,-0.0364767,-0.0218061,-0.000619172,0.019942,0.0288086,0.0574097,0.0912694,0.122586,0.161151,0.199642,0.175027,0.201882,0.206641,0.17377,0.205645,0.228676,-0.00330331,-0.0229656,0.00392916,0.0457305,0.0860825,0.0585204,-0.00764357,0.0283165,0.039391,-0.0387848,-0.0104446,0.0223668,0.0280138,-0.0484227,-0.0135042,0.00570567,0.00477634,0.0347532,0.0172693,0.0383708,0.064232,0.0835461,0.0778109,0.0799368,0.0100429,-0.113295,-0.226216,-0.280945,-0.349153,-0.322408,-0.311013,-0.396288,-0.376773,-0.388119,-0.356496,-0.33168,-0.304281,-0.280975,-0.26646,-0.278765,-0.295836,-0.253201,-0.19853,-0.163595,-0.3525,-0.373106,-0.413923,-0.400305,-0.312372,-0.587892,-0.482883,-0.492983,-0.391412,-0.354109,-0.236996,-0.105431,0.0566129,0.244573,0.375829
path_5,0,-0.0466271,-0.01642,0.0146502,0.0442321,0.0692004,0.0773607,0.0833938,0.11194,0.143184,0.151194,0.173511,0.187036,0.218982,0.204884,0.212999,0.247103,0.232562,0.249519,0.277877,0.155172,0.0375582,0.0682854,0.0923777,0.0418563,0.00775339,-0.115201,-0.121169,-0.2227,-0.189054,-0.171348,-0.148436,-0.183497,-0.145659,-0.271349,-0.294165,-0.271173,-0.233615,-0.248678,-0.241321,-0.201951,-0.169305,-0.128013,-0.0998522,-0.0863734,-0.177671,-0.14293,-0.10489,-0.12781,-0.10889,-0.100829,-0.171623,-0.143688,-0.134004,-0.136167,-0.12836,-0.102857,-0.0851259,-0.0619871,-0.0777712,-0.114003,-0.187675,-0.300425,-0.277892,-0.297949,-0.270665,-0.248525,-0.246215,-0.207641,-0.179711,-0.207486,-0.245342,-0.229819,-0.237604,-0.212959,-0.18721,-0.160217,-0.150334,-0.13786,-0.126835,-0.119013,-0.110432,-0.0984206,-0.0849706,-0.0825173,-0.0980205,-0.097123,-0.123875,-0.120988,-0.118946,-0.11845,-0.120617,-0.120634,-0.120646,-0.120687,-0.120699,-0.120711,-0.120723,-0.120735,-0.120747,-0.120759
path_6,0,0.0117781,-0.0594986,-0.0636148,-0.0582119,-0.0285458,-0.08615,-0.0864417,-0.0760556,-0.0480518,-0.0231431,-0.0174796,0.00153305,0.0350657,-0.022871,-0.0191364,0.0149033,-0.115107,-0.102419,-0.282654,-0.247658,-0.528923,-0.529448,-0.501894,-0.538441,-0.504254,-0.469266,-0.444049,-0.511423,-0.484385,-0.49851,-0.473917,-0.446332,-0.476004,-0.44852,-0.488689,-0.477688,-0.448679,-0.414722,-0.469373,-0.451383,-0.435777,-0.451441,-0.425925,-0.408172,-0.384469,-0.356464,-0.329475,-0.300557,-0.299715,-0.273887,-0.256236,-0.257898,-0.299716,-0.350782,-0.329731,-0.313318,-0.346611,-0.319763,-0.313219,-0.274635,-0.561503,-0.631239,-0.610725,-0.560073,-0.629881,-0.5879,-0.560376,-0.564138,-0.537164,-0.528072,-0.596176,-0.54563,-0.501417,-0.4471,-0.39261,-0.402587,-0.340249,-0.393543,-0.412863,-0.425089,-0.530527,-0.554456,-0.553977,-0.544499,-0.538107,-0.590028,-0.571248,-0.567891,-0.542483,-0.61749,-0.660327,-0.615447,-1.0448,-1.20699,-1.13031,-1.23886,-1.19073,-1.10387,-1.04697,-1.03258
path_7,0,0.0269743,0.0493411,0.0793693,0.0487065,0.0473218,0.0774863,0.106286,0.0534129,0.0214889,0.0525513,0.0525437,-0.00906544,0.0209208,0.0239925,0.0505756,-0.0145297,0.0139023,-0.00584808,-0.00964007,0.0227957,0.0557374,0.0781312,0.0928582,0.0616171,0.0699943,0.101614,0.134618,0.159774,0.148131,0.107624,0.0998358,0.127902,0.148454,0.132339,0.163498,0.165622,0.196942,0.227229,0.261853,0.293215,0.327332,0.301903,0.0404716,-0.136725,-0.142947,-0.135595,-0.106685,-0.136222,-0.236263,-0.234107,-0.249104,-0.259433,-0.284851,-0.259375,-0.283679,-0.263571,-0.250521,-0.227837,-0.20472,-0.256963,-0.251799,-0.24537,-0.242004,-0.235794,-0.323731,-0.311553,-0.30131,-0.307756,-0.301499,-0.310345,-0.308997,-0.323855,-0.312432,-0.301789,-0.291117,-0.29026,-0.300004,-0.299599,-0.298895,-0.297801,-0.296821,-0.298562,-0.296634,-0.296662,-0.294216,-0.292552,-0.297506,-0.297379,-0.297391,-0.297331,-0.296543,-0.298251,-0.298473,-0.298502,-0.298531,-0.298561,-0.298591,-0.298621,-0.298651,-0.298681
path_8,0,0.0045721,0.0158324,0.0473249,0.0789616,0.0938862,0.123967,0.156055,0.186117,0.21859,0.248419,0.0532484,0.0352416,0.0645293,0.0802378,0.10146,0.112757,0.115042,0.147723,0.160911,0.180986,0.200643,0.235818,0.26745,0.128999,0.0923935,0.0717804,-0.163162,-0.153206,-0.155431,-0.123239,-0.142954,-0.260057,-0.226124,-0.256714,-0.229488,-0.343319,-0.404953,-0.379459,-0.353817,-0.356591,-0.470435,-0.474514,-0.486708,-0.45534,-0.431743,-0.661133,-0.704493,-0.682149,-0.658255,-0.618436,-0.576697,-0.66537,-0.626457,-0.586509,-0.553174,-0.53922,-0.60449,-0.588682,-0.559321,-0.536683,-0.508546,-0.502465,-0.547889,-0.521005,-0.483401,-0.474744,-0.451776,-0.412921,-0.390409,-0.359584,-0.327152,-0.284203,-0.254756,-0.226232,-0.20508,-0.218527,-0.189024,-0.371323,-0.35455,-0.385152,-0.590687,-0.609374,-0.596322,-0.667758,-0.663828,-0.708841,-0.761188,-0.713586,-0.663699,-0.611723,-0.567545,-0.5258,-0.500556,-0.477503,-0.406362,-0.294765,-0.180647,-0.207539,-0.222016,-0.222886
path_9,0,0.0294778,0.0233528,-0.0396781,-0.00841488,0.0141841,0.0419454,0.072154,0.10254,0.117177,0.104998,0.126299,0.130439,0.162359,0.160242,0.192842,0.224836,0.233896,0.245541,0.15816,0.177645,0.184355,0.213932,0.230791,0.256618,0.283337,0.313355,0.307817,0.335812,0.350825,0.373216,0.398639,0.420715,0.440087,0.464878,0.385143,0.419342,0.320984,0.346344,0.268256,0.259213,0.298865,0.323972,0.312375,0.345854,0.365052,0.394029,0.436853,0.459735,0.502109,0.471144,0.503211,0.514601,0.531743,0.552207,0.590365,0.622285,0.56515,0.596035,0.586056,0.578941,0.588235,0.589979,0.625996,0.658805,0.584013,0.602747,0.559794,0.388707,0.406569,0.427294,0.286636,0.218219,0.24724,0.266625,0.230238,0.200767,0.189038,0.200329,0.212394,0.224934,0.215357,0.210935,0.167446,0.162956,0.174315,0.14255,0.14582,0.147571,0.145988,0.145881,0.145912,0.145935,0.14595,0.145965,0.14598,0.145994,0.146009,0.146024,0.146038,0.146053
