path,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100
path_0,4.39168,4.70583,4.30884,5.22848,5.55747,5.42935,4.72418,4.35682,3.13612,2.65027,2.80845,2.70383,2.71355,2.48777,2.46999,2.39022,2.13909,1.82073,1.87596,1.8376,1.86399,1.7997,2.21914,3.12585,2.81221,3.4019,2.31224,1.82868,2.11179,2.24387,2.75958,2.16959,1.97471,1.67284,1.85872,1.69359,1.2144,1.20826,1.05728,1.38088,1.29741,1.21822,1.41101,1.82392,1.44766,2.58619,3.00016,4.08426,4.24507,4.26897,4.60185,5.19139,3.87872,3.4562,2.85057,2.63909,2.56918,2.09066,1.36699,1.59718,1.98438,2.02829,2.36427,2.45866,2.83083,3.63891,3.45077,2.8275,2.60694,3.4571,4.4752,5.06081,3.50891,4.42859,2.62717,3.16402,2.39753,2.5688,2.08156,1.84248,1.08764,1.47582,1.37892,1.62844,2.86282,1.9683,2.10147,2.1608,1.1529,1.41103,1.40208,1.54302,1.98522,2.74109,1.28931,0.609749,0.445149,0.0592621,0.00845065,0.00333945,0
path_1,4.39168,3.82734,3.6085,3.84774,3.6664,3.08291,2.42425,1.91109,1.93289,1.85458,2.61397,2.23251,1.86076,1.6433,1.47044,1.86257,1.19933,1.17218,1.14814,0.891471,1.05129,1.14206,0.945133,1.00257,0.96845,0.896922,0.861526,1.08242,1.46363,1.96898,1.122,1.4551,2.2605,1.93246,1.81718,1.56,1.7997,1.76089,1.87161,1.68732,2.16629,2.31129,2.06832,2.07047,3.06076,3.57703,3.2574,2.64228,3.02624,3.72182,3.30371,1.88726,2.04784,2.48854,2.72551,3.11033,2.54244,2.73521,4.02557,3.56593,3.06529,3.28259,3.24149,3.56813,3.56487,3.65571,3.48393,2.65599,3.29483,3.32096,3.34974,3.11278,3.81842,4.82418,5.47515,6.83382,4.61208,3.48483,2.60817,1.98717,0.656386,0.515776,0.473688,0.244955,0.166154,0.251333,0.359069,0.0964661,0.10509,0.0936794,0.36499,0.103019,0.121014,0.127459,0.0888377,0.13965,0.0739793,0.00375174,0.0085169,0.00106516,0
path_2,4.39168,3.42492,3.39406,3.58548,4.46842,4.27736,3.19992,3.44584,3.60231,3.77374,3.66683,4.63553,6.26534,5.72746,4.95063,3.73262,3.63309,2.71985,2.09614,2.6839,2.13987,1.72301,1.42073,1.26817,1.50717,1.26606,1.36335,1.48316,0.969584,0.83966,0.553835,0.567354,0.453167,0.424418,0.351271,0.593032,0.372857,0.507278,0.348165,0.350336,0.353403,0.188419,0.202385,0.16304,0.214944,0.195216,0.278203,0.172311,0.143343,0.157994,0.112884,0.0481901,0.0253758,0.0337386,0.0210265,0.0138538,0.0289841,0.0224844,0.00942225,0.0112657,0.0110027,0.010969,0.0288353,0.0205204,0.041847,0.0280391,0.0261112,0.0200987,0.0120422,0.00725173,0.00514863,0.00854454,0.00505448,0.00296472,0.00983225,0.0114499,0.00762342,0.00653684,0.0427387,0.0905968,0.1363,0.198684,0.212256,0.325975,0.400502,0.400643,0.197732,0.225644,0.260018,0.293701,0.505636,0.627232,0.251608,0.110128,0.0301956,0.013955,0.0028359,0.00502471,6.8648e-06,2.30663e-06,0
path_3,4.39168,5.25283,4.43407,3.37432,3.3304,4.07346,3.42754,3.35485,3.57746,4.4149,3.06542,4.00559,5.28751,5.55578,5.04272,3.94763,4.23702,4.96765,5.07073,4.23127,4.73959,5.31449,4.61646,3.13242,3.46594,3.3863,2.11401,1.96314,1.71175,2.06604,1.87046,1.94755,1.95985,0.896588,0.621416,1.04191,1.33159,1.38326,1.25078,1.80266,1.90343,2.08606,2.4815,2.47597,2.46773,2.23676,1.5805,1.46255,1.77249,1.30006,1.28365,0.842688,0.926653,0.852674,0.897948,1.17547,0.688331,1.14761,1.06362,0.793175,1.18784,0.810541,0.604044,0.500425,0.265219,0.112244,0.192421,0.245943,0.323902,0.405467,0.472996,0.595711,0.36478,0.111089,0.075346,0.0418234,0.0373969,0.0268908,0.0519695,0.056219,0.0493096,0.038827,0.0267274,0.00967791,0.0142131,0.00476937,0.00171124,0.00051744,0.00141412,0.000407589,0.000166654,2.3647e-05,4.25108e-06,1.08462e-07,2.93271e-08,2.7112e-10,1.65967e-14,0,0,0,0
path_4,4.39168,3.46769,4.48587,4.19292,3.76677,2.81661,3.68044,4.29289,4.35534,3.59561,3.38893,4.29147,4.18791,5.17535,4.68557,5.59417,5.77278,5.34385,5.48468,5.63446,7.07104,7.8449,7.98361,8.83237,9.87265,9.08942,7.57939,6.76396,6.11157,5.48434,4.73946,5.09407,5.33455,4.94412,4.90393,4.79139,5.8425,5.29727,6.10495,7.42425,7.83893,7.0873,4.6166,5.62269,6.14594,6.15246,6.31265,7.63761,9.55717,9.67166,8.53142,10.7483,11.2226,11.0417,12.2763,9.56487,9.82443,10.6889,12.0811,11.8329,13.694,12.9016,13.0774,12.104,10.347,11.6835,8.98965,11.9546,8.71073,10.8488,8.26401,9.00151,7.70668,10.0486,8.89807,10.4728,10.5086,11.0375,11.1316,10.2559,11.2202,9.11746,7.18337,6.45352,6.46726,7.14089,4.25873,2.95011,1.83797,1.17906,1.06803,2.39189,2.40084,1.39013,1.01827,0.513294,0.466837,0.460042,0.30795,0.140833,0
path_5,4.39168,5.49018,5.60687,5.67488,5.44626,5.78417,6.47672,7.26055,6.89554,6.65743,5.87458,6.32995,5.6482,5.79719,6.80406,5.99296,6.0228,5.02239,4.47327,4.16987,2.8505,4.09918,3.86865,4.20503,5.34501,6.52733,8.63317,9.84304,7.54696,7.21307,7.92033,8.54209,6.99086,6.93108,4.99864,4.00306,3.54719,3.48247,4.27072,4.94701,5.05206,5.40282,5.35333,5.83106,6.59282,8.53752,8.84646,8.70263,10.2604,11.1031,9.82687,12.1914,12.483,13.6265,15.1856,13.7502,13.7449,14.4866,14.1418,16.184,13.3092,10.3356,13.4529,13.8002,11.5608,11.9321,11.0086,9.47242,9.33163,9.96454,11.9042,14.3603,13.3955,11.347,10.5194,11.0414,11.3053,12.4207,13.2983,14.1026,14.9977,13.7864,12.7766,13.1822,14.4785,11.4898,12.8903,16.3058,15.3886,15.9247,16.9391,21.0913,22.4528,19.4354,23.2653,20.1639,17.886,17.9883,16.6017,13.8094,14.2462
path_6,4.39168,3.88485,2.85604,3.38391,3.87961,3.83022,4.92404,5.65765,6.31089,6.61748,6.15109,5.37601,5.87314,5.8071,7.24182,6.33333,6.37604,4.58045,4.01439,5.86122,5.87295,8.76182,7.64075,7.12994,8.57191,8.38812,8.3827,8.92779,10.975,11.412,13.0059,13.4466,13.2566,11.2112,10.644,8.75808,9.70261,9.12866,8.77105,10.6981,11.5363,12.4549,14.2231,13.9155,12.9394,12.2206,11.7166,11.0802,10.4929,11.7944,11.0866,10.0471,8.63992,10.4688,8.35013,9.15142,8.09939,9.77301,10.3971,9.05979,8.74226,5.45312,3.96737,4.59575,4.69371,3.33674,3.65455,3.05943,3.8284,3.18603,2.48542,1.59376,1.58038,1.74334,1.66918,1.7051,2.30756,2.34447,1.48729,0.949062,0.578618,0.212287,0.0862254,0.145026,0.0879646,0.0495652,0.180948,0.118611,0.201932,0.267411,0.0659043,0.206781,0.196672,1.05337,0.322512,0.240964,0.695147,0.267558,0.0949357,0.0111626,0
path_7,4.39168,4.17335,4.47542,4.52831,5.52012,6.3216,6.07252,6.32833,5.00346,4.01042,3.99523,4.63651,3.5114,3.58104,4.14868,4.41277,5.67734,5.99638,7.09939,6.09284,5.81945,5.56776,5.0467,5.63514,6.82749,7.65974,7.97106,8.21762,8.76947,10.0881,8.2941,9.51862,8.93911,8.13978,9.48236,9.01277,10.1458,10.4427,9.95255,9.96663,10.2986,10.1061,8.42071,5.47829,7.75935,8.9705,10.0432,9.39782,7.71016,9.97012,8.64758,10.0998,11.6112,13.5598,13.7227,15.9099,15.8759,14.7282,14.4622,14.4048,17.457,15.8672,14.34,15.7372,14.1923,18.1468,17.9572,18.4093,20.5839,19.6554,22.2895,20.413,17.0024,16.5924,16.8449,16.6102,18.0988,20.8967,22.3231,23.395,23.1465,22.9058,19.5552,19.8268,17.5235,17.9516,18.3891,22.7609,21.8345,19.3041,16.9373,15.6419,18.7069,23.1049,21.2823,20.1486,22.0347,25.8421,26.2753,28.8638,30.2773
path_8,4.39168,4.99659,5.56483,5.54191,5.54085,6.09979,6.29237,6.36433,6.09014,6.15476,5.86176,8.2487,6.98473,6.61888,5.94416,6.44502,5.70529,4.91112,4.73151,5.30199,5.80735,5.22606,5.1375,5.37455,7.33231,8.80469,7.40154,10.4873,9.40869,10.6212,10.6904,9.07843,6.79161,7.07225,8.47446,9.00241,11.5765,14.0094,14.2027,13.8791,15.4168,11.8366,10.3152,8.78171,8.22266,7.44167,10.6087,8.61381,7.77011,6.98272,6.65282,6.79016,8.78609,8.57712,8.52563,7.92702,8.87002,11.0475,12.0026,11.5964,12.2631,11.8126,10.3679,8.23097,8.93524,9.17923,10.3271,9.34033,9.09072,9.90868,9.18137,8.43647,8.21613,8.88666,9.53179,10.3641,8.46076,9.10673,13.0907,13.3757,10.5226,15.941,12.7011,11.5497,15.4471,13.8676,9.99982,7.18722,6.86888,6.53958,6.38457,6.68223,6.83212,5.47358,4.02086,3.09497,3.03968,2.97148,4.25012,5.58766,8.7617
path_9,4.39168,4.44835,5.18781,6.54446,6.64969,7.10993,6.73396,6.46415,6.2019,5.55888,4.65265,5.05062,4.35768,4.26155,4.96345,4.81696,4.9535,5.59603,4.92361,3.60454,3.98246,3.40217,3.2067,2.81343,2.587,2.40048,2.3489,2.86253,2.64842,2.28077,2.51104,2.72659,2.41532,2.10758,2.29655,3.24998,3.07376,4.30805,3.84513,5.13878,6.09629,5.89515,5.2801,6.29309,5.81548,6.49309,5.88654,5.79701,6.42944,6.49786,7.89716,7.28488,8.22094,9.09728,8.14791,8.40738,8.91547,11.0046,10.4778,8.83954,7.39417,8.42282,9.64841,9.21194,9.6644,12.1952,12.9665,10.3728,14.336,13.5098,12.7974,8.96484,11.371,10.9373,11.7235,14.2063,17.0913,14.274,14.8989,14.0712,13.0628,15.0697,12.733,16.204,13.5944,12.9073,16.4163,16.2805,16.8818,19.2571,20.9677,21.8673,22.3651,23.212,22.0108,20.2661,20.576,19.848,19.8215,17.6684,16.5386
