date,stock,option,implied_vol,delta,hedging_error,pnl_call,pnl_with_hedge,tau,rate
2011-07-05,532.44,44.2,0.259686,0.722654,0,0,0,0.210317,0.0019
2011-07-06,535.36,46.9,0.269337,0.733318,-0.592419,-2.7,-0.592419,0.206349,0.0019
2011-07-07,546.6,55.3,0.269861,0.787576,-0.752541,-11.1,-0.752541,0.202381,0.002
2011-07-08,531.99,43.95,0.268563,0.719396,-0.912005,0.25,-0.912005,0.198413,0.0017
2011-07-11,527.28,41,0.27595,0.691509,-1.35265,3.2,-1.35265,0.194444,0.0017
2011-07-12,534.01,46.4,0.286788,0.722767,-2.10098,-2.2,-2.10098,0.190476,0.0018
2011-07-13,538.26,49.3,0.287137,0.745056,-1.93166,-5.1,-1.93166,0.186508,0.0016
2011-07-14,528.94,41.15,0.272178,0.706903,-0.727831,3.05,-0.727831,0.18254,0.0015
2011-07-15,597.62,99.65,0.28149,0.940744,-10.6797,-55.45,-10.6797,0.178571,0.0015
2011-07-18,594.94,97.65,0.300413,0.926444,-11.2037,-53.45,-11.2037,0.174603,0.0015
2011-07-19,602.55,103.8,0.266228,0.96029,-10.3063,-59.6,-10.3063,0.170635,0.0017
2011-07-20,595.35,97.8,0.299707,0.931925,-11.2236,-53.6,-11.2236,0.166667,0.0019
2011-07-21,606.99,108.15,0.275666,0.964257,-10.7295,-63.95,-10.7295,0.162698,0.002
2011-07-22,618.23,118.7,0.24842,0.985999,-10.4452,-74.5,-10.4452,0.15873,0.002
2011-07-25,618.98,119.95,0.294243,0.971589,-10.9596,-75.75,-10.9596,0.154762,0.002
2011-07-26,622.52,123.25,0.28697,0.978582,-10.8241,-79.05,-10.8241,0.150794,0.0021
2011-07-27,607.22,108.65,0.304805,0.957691,-11.2006,-64.45,-11.2006,0.146825,0.0021
2011-07-28,610.94,112.1,0.302652,0.964977,-11.092,-67.9,-11.092,0.142857,0.0021
2011-07-29,603.69,106.8,0.370045,0.924709,-12.7922,-62.6,-12.7922,0.138889,0.002
