,open,close,high,low,volume,money,avg,high_limit,low_limit,pre_close,paused,factor
2017-01-03,10.45,10.48,10.62,10.45,3669731.0,38604948.77,10.52,11.48,9.39,10.44,0.0,0.9522120776071801
2017-01-04,10.53,10.69,10.74,10.47,4380691.0,46509394.51,10.62,11.53,9.44,10.48,0.0,0.9522120776071801
2017-01-05,10.7,10.8,10.88,10.65,6346620.0,68418940.24,10.78,11.76,9.63,10.69,0.0,0.9522120776071801
2017-01-06,10.76,10.67,10.84,10.67,2941209.0,31560341.29,10.73,11.87,9.72,10.8,0.0,0.9522120776071801
2017-01-09,10.71,10.77,10.79,10.61,3270111.0,35086266.92,10.73,11.74,9.61,10.67,0.0,0.9522120776071801
2017-01-10,10.8,10.75,10.81,10.68,3276817.0,35200983.51,10.74,11.85,9.69,10.77,0.0,0.9522120776071801
2017-01-11,10.73,10.91,11.25,10.7,15929783.0,175601990.69,11.02,11.83,9.67,10.75,0.0,0.9522120776071801
2017-01-12,10.94,10.91,11.09,10.77,11147947.0,121770391.94,10.92,12.01,9.82,10.91,0.0,0.9522120776071801
2017-01-13,10.89,10.47,10.94,10.47,6957976.0,73908219.0,10.62,12.01,9.82,10.91,0.0,0.9522120776071801
2017-01-16,10.45,9.92,10.52,9.62,6664379.0,67683544.08,10.16,11.52,9.43,10.47,0.0,0.9522120776071801
2017-01-17,9.97,10.02,10.03,9.78,3340673.0,33093388.49,9.91,10.91,8.93,9.92,0.0,0.9522120776071801
2017-01-18,10.03,9.85,10.04,9.8,3081034.0,30556766.18,9.92,11.02,9.02,10.02,0.0,0.9522120776071801
2017-01-19,9.85,9.73,9.86,9.67,2839148.0,27729125.98,9.77,10.83,8.87,9.85,0.0,0.9522120776071801
2017-01-20,9.76,9.86,9.93,9.71,3392694.0,33396236.17,9.84,10.7,8.76,9.73,0.0,0.9522120776071801
2017-01-23,9.86,10.02,10.15,9.84,2639263.0,26335987.46,9.98,10.86,8.87,9.86,0.0,0.9522120776071801
2017-01-24,10.0,9.97,10.06,9.96,2299304.0,23014693.37,10.01,11.02,9.02,10.02,0.0,0.9522120776071801
2017-01-25,9.92,10.04,10.1,9.92,1794893.0,18015398.9,10.04,10.97,8.97,9.97,0.0,0.9522120776071801
2017-01-26,10.04,10.07,10.11,10.01,1524635.0,15375361.0,10.08,11.04,9.04,10.04,0.0,0.9522120776071801
2017-02-03,10.06,10.02,10.1,10.0,1363737.0,13686500.55,10.04,11.08,9.07,10.07,0.0,0.9522120776071801
2017-02-06,10.0,10.14,10.15,10.0,2393206.0,24163002.27,10.1,11.02,9.02,10.02,0.0,0.9522120776071801
2017-02-07,10.13,10.12,10.14,10.04,2142160.0,21613733.19,10.09,11.16,9.13,10.14,0.0,0.9522120776071801
2017-02-08,10.11,10.18,10.2,10.04,2621901.0,26555703.6,10.13,11.13,9.11,10.12,0.0,0.9522120776071801
2017-02-09,10.15,10.27,10.36,10.14,4131003.0,42435772.83,10.27,11.2,9.16,10.18,0.0,0.9522120776071801
2017-02-10,10.24,10.4,10.71,10.21,7044281.0,73699486.51,10.46,11.3,9.25,10.27,0.0,0.9522120776071801
2017-02-13,10.36,10.41,10.54,10.22,5105959.0,52995931.2,10.38,11.44,9.36,10.4,0.0,0.9522120776071801
2017-02-14,10.38,10.32,10.43,10.25,4296379.0,44292514.21,10.31,11.45,9.37,10.41,0.0,0.9522120776071801
2017-02-15,10.28,10.12,10.36,10.1,3585353.0,36736281.31,10.25,11.35,9.29,10.32,0.0,0.9522120776071801
2017-02-16,10.12,10.18,10.21,10.07,3844105.0,39026961.13,10.15,11.13,9.11,10.12,0.0,0.9522120776071801
2017-02-17,10.17,10.17,10.26,10.07,3758035.0,38188074.71,10.16,11.2,9.16,10.18,0.0,0.9522120776071801
2017-02-20,10.16,10.36,10.45,10.13,8257508.0,85172377.97,10.31,11.19,9.15,10.17,0.0,0.9522120776071801
2017-02-21,10.33,10.39,10.39,10.29,3535802.0,36609718.27,10.35,11.4,9.32,10.36,0.0,0.9522120776071801
2017-02-22,10.4,10.42,10.43,10.3,4763925.0,49452573.64,10.38,11.43,9.35,10.39,0.0,0.9522120776071801
2017-02-23,10.42,10.39,10.46,10.33,3767919.0,39152921.41,10.39,11.46,9.38,10.42,0.0,0.9522120776071801
2017-02-24,10.37,10.37,10.41,10.32,3530737.0,36599486.71,10.37,11.43,9.35,10.39,0.0,0.9522120776071801
2017-02-27,10.42,10.32,10.42,10.29,3348753.0,34679398.01,10.36,11.41,9.33,10.37,0.0,0.9522120776071801
2017-02-28,10.33,10.46,10.66,10.3,7490272.0,78659966.81,10.5,11.35,9.29,10.32,0.0,0.9522120776071801
2017-03-01,10.5,10.4,10.52,10.37,3547535.0,37029113.12,10.44,11.5,9.41,10.46,0.0,0.9522120776071801
2017-03-02,10.45,10.34,10.48,10.34,2770909.0,28833134.7,10.41,11.44,9.36,10.4,0.0,0.9522120776071801
2017-03-03,10.33,10.3,10.36,10.22,2945397.0,30306159.26,10.29,11.38,9.3,10.34,0.0,0.9522120776071801
2017-03-06,10.33,10.61,10.86,10.29,9398341.0,99724965.62,10.61,11.33,9.27,10.3,0.0,0.9522120776071801
2017-03-07,10.59,10.55,10.62,10.46,4350300.0,45786042.21,10.52,11.66,9.55,10.61,0.0,0.9522120776071801
2017-03-08,10.57,10.55,10.59,10.49,2059285.0,21679418.38,10.53,11.61,9.49,10.55,0.0,0.9522120776071801
2017-03-09,10.6,10.7,10.75,10.39,8722522.0,92441865.43,10.6,11.61,9.49,10.55,0.0,0.9522120776071801
2017-03-10,10.65,10.78,10.82,10.65,6926571.0,74476208.22,10.75,11.77,9.64,10.7,0.0,0.9522120776071801
2017-03-13,10.76,11.13,11.34,10.73,26005475.0,287863682.39,11.07,11.86,9.7,10.78,0.0,0.9522120776071801
2017-03-14,11.05,11.05,11.2,10.99,10674536.0,118297798.22,11.08,12.25,10.02,11.13,0.0,0.9522120776071801
2017-03-15,11.06,11.46,11.66,10.97,22589917.0,257739889.38,11.41,12.15,9.94,11.05,0.0,0.9522120776071801
2017-03-16,11.39,11.55,11.9,11.37,18757271.0,218113606.61,11.63,12.6,10.31,11.46,0.0,0.9522120776071801
2017-03-17,11.46,11.14,11.62,11.12,10103992.0,114887973.09,11.37,12.7,10.4,11.55,0.0,0.9522120776071801
2017-03-20,11.24,11.22,11.38,11.14,7386125.0,83222927.95,11.27,12.25,10.03,11.14,0.0,0.9522120776071801
2017-03-21,11.14,11.48,11.5,11.11,8355927.0,94528965.06,11.31,12.34,10.09,11.22,0.0,0.9522120776071801
2017-03-22,11.41,11.44,11.57,11.28,7396582.0,84529065.09,11.43,12.64,10.33,11.48,0.0,0.9522120776071801
2017-03-23,11.56,11.46,11.71,11.26,9058977.0,104151855.89,11.5,12.58,10.29,11.44,0.0,0.9522120776071801
2017-03-24,11.46,11.49,11.57,11.37,6573478.0,75414668.09,11.47,12.6,10.31,11.46,0.0,0.9522120776071801
2017-03-27,11.5,11.48,11.65,11.33,6787140.0,78013032.15,11.49,12.65,10.34,11.49,0.0,0.9522120776071801
