Date,Hour_of_Day,Close
4/20/19,8,17.02
4/20/19,9,19.08
4/20/19,10,19.84
4/20/19,11,21.24
4/20/19,12,20.12
4/20/19,13,19.67
4/20/19,14,17.56
4/20/19,15,18.1
4/20/19,16,20.71
4/20/19,17,23.23
4/20/19,18,21.3
4/20/19,19,19.63
4/20/19,20,19.48
4/20/19,21,18.5
4/20/19,22,15.59
4/20/19,23,11.26
4/20/19,24,9.16
4/21/19,1,7.45
4/21/19,2,6.57
4/21/19,3,5.66
4/21/19,4,5.4
4/21/19,5,5.73
4/21/19,6,6.3
4/21/19,7,6.88
4/21/19,8,7.53
4/21/19,9,10.76
4/21/19,10,14.24
4/21/19,11,13.46
4/21/19,12,17.28
4/21/19,13,18.45
4/21/19,14,18.54
4/21/19,15,19.68
4/21/19,16,21.85
4/21/19,17,24.05
4/21/19,18,24
4/21/19,19,24.26
4/21/19,20,24.15
4/21/19,21,32.51
4/21/19,22,17.34
4/21/19,23,14.86
4/21/19,24,10.69
4/22/19,1,12.52
4/22/19,2,9.62
4/22/19,3,8.97
4/22/19,4,10.23
5/18/19,1,17.3
5/18/19,2,16.41
5/14/19,1,16.97
5/14/19,2,15.4
5/14/19,3,14.25
5/14/19,4,14.07
5/14/19,5,14.57
5/14/19,6,16.61
5/14/19,7,21.94
5/14/19,8,21.98
5/14/19,9,24
5/14/19,17,60.61
5/14/19,18,47.74
5/14/19,19,33.44
5/14/19,20,32.2
5/14/19,21,29.7
5/14/19,22,23.49
5/14/19,23,21.84
5/14/19,24,19
5/16/19,1,16.4
5/16/19,2,13.61
5/16/19,3,12.12
5/16/19,4,11.18
5/16/19,5,12.33
5/16/19,6,16.27
5/16/19,7,18.58
5/15/19,1,16.57
5/15/19,2,14.84
5/15/19,3,13.11
5/15/19,4,13
5/15/19,5,13.35
5/15/19,6,16.41
5/15/19,7,21.25
5/15/19,8,20.37
5/15/19,9,22.13
5/15/19,10,22.17
5/15/19,11,25.01
5/15/19,12,27.87
5/15/19,13,31.27
5/15/19,14,44.04
5/15/19,15,48.11
5/15/19,16,59.42
4/22/19,5,11.34
4/22/19,6,17.31
4/22/19,7,17.27
4/22/19,8,19.78
4/22/19,9,20.41
4/22/19,10,21.46
4/22/19,11,22.54
4/22/19,12,24.83
4/22/19,13,25.78
4/22/19,14,30
4/22/19,15,32.83
4/22/19,16,40.75
4/22/19,17,52.25
4/22/19,18,42.83
4/22/19,19,29.95
4/22/19,20,28.55
4/22/19,21,32.25
4/22/19,22,26.23
4/22/19,23,23.25
4/22/19,24,19.97
4/24/19,1,19.43
4/24/19,2,18.37
4/23/19,10,25.39
4/23/19,11,26.5
4/23/19,12,26.28
4/23/19,13,24.58
4/23/19,14,27.22
4/23/19,15,32.25
4/23/19,16,37.21
4/23/19,17,44.78
4/23/19,18,33.58
4/23/19,19,29.35
4/23/19,20,29.07
4/23/19,21,38.89
4/23/19,22,23.57
4/23/19,23,23.12
4/23/19,24,20.54
4/26/19,1,15.25
4/26/19,2,14.91
4/24/19,3,17.76
4/24/19,4,17.71
4/24/19,5,18.33
4/24/19,6,19.76
4/24/19,7,26.21
4/24/19,8,24.63
4/24/19,9,24.82
4/24/19,10,25.84
4/24/19,11,24.21
4/24/19,12,26.88
4/24/19,13,27.37
4/24/19,14,30.39
4/24/19,15,33.72
4/24/19,16,35.62
4/24/19,17,40.05
4/24/19,18,34.04
4/24/19,19,31.92
4/24/19,20,34.71
4/24/19,21,54.05
4/24/19,22,30.93
4/24/19,23,30.69
4/24/19,24,24.28
4/25/19,1,20.79
4/25/19,2,19.28
4/25/19,3,18.44
4/25/19,4,17.6
4/25/19,5,17.77
4/25/19,6,19.5
4/25/19,7,27.47
4/25/19,8,26.33
