date,open,high,low,close,volume
2015-01-02,46.7654,46.8497,45.6319,46.0722,8637318
2015-01-05,46.3345,46.3532,44.7888,45.304,10556547
2015-01-06,45.482,45.66,43.3273,44.236,12880447
2015-01-07,44.4796,44.5827,43.5709,44.0018,10516211
2015-01-08,44.4796,45.2665,44.2735,45.1447,10499282
2015-01-09,45.2759,45.4351,43.8332,43.9175,8860770
2015-01-12,43.7676,44.0018,42.6716,43.1493,11573371
2015-01-13,43.7302,44.7325,43.051,43.6646,12499135
2015-01-14,42.9432,43.243,41.6599,42.4467,13115651
2015-01-15,42.2406,42.8683,42.072,42.2032,8532393
2015-01-16,42.1563,42.9948,41.791,42.9432,13020121
2015-01-20,44.0393,46.1752,43.9456,46.0628,21172687
2015-01-21,45.6881,46.4656,45.1541,46.0722,14918670
2015-01-22,46.7748,47.5992,46.0722,47.4961,16033175
2015-01-23,47.1682,47.8334,46.8966,47.365,8613617
2015-01-26,47.0558,47.6135,46.7935,46.9809,9386182
2015-01-27,46.1752,46.7466,45.8192,46.0722,9786613
2015-01-28,46.372,46.756,45.2291,45.3977,9575403
2015-01-29,45.5944,47.1682,45.1541,47.0371,9764625
2015-01-30,46.2127,46.653,44.0393,44.3203,17133904
2015-02-02,44.1236,44.1798,41.9783,43.5709,20909783
2015-02-03,42.1563,43.3086,42.0907,43.1025,17598979
2015-02-04,43.6084,44.4515,43.496,43.9925,12204291
2015-02-05,43.9644,44.0112,42.4093,43.2243,11306743
2015-02-06,43.065,43.7302,42.428,42.6341,10883972
2015-02-09,41.6879,42.0439,40.9478,41.6411,14026976
2015-02-10,42.2781,42.8496,41.9128,42.4561,11276448
2015-02-11,42.8308,43.0276,41.969,42.1376,9619135
2015-02-12,41.5474,42.0626,40.9666,41.9783,15764754
2015-02-13,41.2945,41.716,40.6106,41.6879,16355663
2015-02-17,41.9502,42.4561,41.8003,41.9315,12153506
2015-02-18,42.3821,42.6637,41.9127,42.4947,9889564
2015-02-19,43.9872,44.4847,43.0251,43.1049,14676185
2015-02-20,42.9265,44.5692,42.72,44.5317,13624845
2015-02-23,45.0292,45.3108,43.9872,44.297,12104648
2015-02-24,44.0248,45.3108,43.5554,45.0855,12044304
2015-02-25,44.9916,45.0667,43.7432,43.9685,10815825
2015-02-26,44.3064,44.4754,42.7763,43.1049,14477456
2015-02-27,42.9922,43.0579,41.7719,41.7907,15235198
2015-03-02,42.3258,42.72,42.2225,42.6074,11247492
2015-03-03,41.847,43.0016,41.556,42.9734,12972514
2015-03-04,42.5792,42.7106,42.0535,42.3821,10364109
2015-03-05,42.6825,42.6825,41.3495,41.6687,12145319
2015-03-06,41.5936,41.9737,40.9553,41.0961,7527208
2015-03-09,41.1805,41.9784,41.1148,41.8376,8415248
2015-03-10,41.6405,41.6687,40.6173,40.7581,9909369
2015-03-11,40.7957,41.6687,40.7769,41.3213,8603546
2015-03-12,41.4246,42.6167,41.3683,42.551,9284917
2015-03-13,42.6637,43.5273,42.551,42.7106,10039222
2015-03-16,43.3208,43.6399,43.1424,43.3302,8517041
2015-03-17,43.6493,44.0717,43.3677,43.7901,11583542
2015-03-18,43.884,43.9121,42.6261,43.0016,19021373
2015-03-19,43.5179,44.4472,43.5085,44.3627,16818121
2015-03-20,43.9403,44.71,43.9403,44.5129,21270709
2015-03-23,44.5129,44.6725,43.7056,43.7244,10793902
2015-03-24,43.4991,43.5836,43.1988,43.2081,9517440
2015-03-25,43.0955,43.1518,41.6593,41.7907,10383847
2015-03-26,40.4953,41.6311,39.9884,41.3871,15909655
2015-03-27,41.6593,42.4478,41.603,42.1286,7983193
2015-03-30,42.5604,43.0861,42.5604,42.7669,8325796
2015-03-31,42.7857,42.8233,41.9221,42.2037,9679113
2015-04-01,40.9928,41.2932,40.2888,40.6079,19301727
2015-04-02,40.2794,40.7112,39.6599,39.6599,15554810
2015-04-06,38.8714,39.3407,38.5053,39.1999,18500417
2015-04-07,39.4252,39.8476,39.0591,39.0873,9166262
2015-04-08,39.3689,40.6455,39.3407,40.6361,14039114
2015-04-09,40.7581,41.2744,40.1386,40.4953,9704775
