date,open,high,low,close,volume
2015-01-02,61.1396,61.223,60.0083,60.611,1649052
2015-01-05,60.3514,60.3653,59.0577,59.2571,2176396
2015-01-06,59.4148,59.438,57.727,57.8661,2944155
2015-01-07,58.3205,59.0438,58.2185,58.7285,2382522
2015-01-08,59.3591,59.999,59.2108,59.6744,2051812
2015-01-09,59.6744,59.9248,58.6822,58.7193,2585914
2015-01-12,58.9047,59.0717,58.033,58.4411,1739212
2015-01-13,59.0624,59.4426,57.421,57.9032,3653288
2015-01-14,56.6977,57.3236,55.9604,56.6791,3776962
2015-01-15,56.7626,57.3932,55.6961,55.7332,4489011
2015-01-16,55.4365,55.8538,54.8059,55.7981,6404525
2015-01-20,56.1042,56.507,55.9929,56.4473,4149498
2015-01-21,56.3545,56.7626,55.8816,56.4195,5609522
2015-01-22,53.8136,53.8229,51.7086,53.1552,19602148
2015-01-23,53.0903,54.2402,52.3948,52.469,8161859
2015-01-26,52.8214,52.8214,51.9775,52.5803,7049054
2015-01-27,51.9682,52.5246,51.6158,51.69,5257940
2015-01-28,51.8291,52.2093,51.0131,51.0409,6460069
2015-01-29,50.707,51.1151,50.0946,50.8554,7319590
2015-01-30,50.4845,51.0502,50.2897,50.4288,6967073
2015-02-02,50.4567,51.384,50.1599,51.2913,5047625
2015-02-03,51.5241,52.53,51.431,52.5021,6601816
2015-02-04,52.1668,53.2658,52.1481,52.8653,6332561
2015-02-05,53.0236,53.7687,52.9771,53.5545,6071355
2015-02-06,53.8991,55.3427,53.806,54.5325,7022825
2015-02-09,54.118,54.8165,53.8526,54.6722,4078150
2015-02-10,55.1285,55.1937,54.2251,54.7281,3386836
2015-02-11,54.5045,54.7839,54.2251,54.4859,4638506
2015-02-12,54.579,55.3893,54.1879,55.3521,4871248
2015-02-13,55.2869,55.9109,55.096,55.7805,5202130
2015-02-17,55.3893,55.6222,54.5604,54.8678,5674594
2015-02-18,54.933,55.4173,54.5557,55.1937,3876075
2015-02-19,55.1751,55.883,55.0354,55.557,3011654
2015-02-20,55.38,56.4232,55.2985,56.3859,4558674
2015-02-23,56.4045,56.4977,55.9202,56.4697,3452690
2015-02-24,56.3766,56.7864,56.2648,56.5908,3054885
2015-02-25,56.6188,57.0006,56.2648,56.9354,3210217
2015-02-26,56.8609,57.2381,56.7864,57.0565,3660138
2015-02-27,57.0286,57.28,56.7305,56.7957,3209168
2015-03-02,56.7585,57.0286,55.883,56.1251,4492904
2015-03-03,55.9761,56.1158,55.394,55.8364,3609472
2015-03-04,55.6967,55.7619,54.9795,55.2403,3452976
2015-03-05,55.1844,55.4173,54.905,55.0447,2713994
2015-03-06,55.0447,55.9761,54.7374,54.8584,4441154
2015-03-09,54.8398,55.0354,54.43,54.9516,3676527
2015-03-10,54.3182,54.5232,53.7967,53.7967,3650681
2015-03-11,54.0109,54.1692,53.806,53.8805,3595566
2015-03-12,55.1751,56.0413,54.9609,55.7712,5302823
2015-03-13,55.7805,55.9668,54.6908,55.2683,3149431
2015-03-16,55.3987,55.5756,55.0075,55.4173,2840756
2015-03-17,55.1844,55.2776,54.7467,54.8678,3004824
2015-03-18,54.7746,55.0354,54.0295,54.905,4105605
2015-03-19,54.7281,54.9888,54.4207,54.5697,2451945
2015-03-20,54.7467,55.529,54.5883,55.3335,4008786
2015-03-23,55.4359,55.7805,54.8491,54.8491,2500431
2015-03-24,54.6722,54.7281,53.7687,53.806,4437024
2015-03-25,53.9643,54.1227,53.2006,53.2192,3226051
2015-03-26,52.9212,53.3108,52.6976,52.9025,3650805
2015-03-27,53.0236,53.2658,52.6511,52.6883,3086952
2015-03-30,52.8653,53.303,52.8653,52.8932,2375013
2015-03-31,52.7163,52.9305,52.1947,52.4834,4238453
2015-04-01,52.3344,53.7734,52.3158,53.6756,4265063
2015-04-02,53.6756,54.2437,53.4893,54.2065,3076937
2015-04-06,53.5452,54.2344,53.2658,53.8339,2742255
2015-04-07,54.0109,54.0388,53.2565,53.2565,3017159
2015-04-08,53.4521,54.0202,53.2937,53.5359,2832784
2015-04-09,53.2472,53.7222,52.9771,53.4986,2886372
2015-04-10,53.5545,54.0388,53.4614,53.9829,2827993
2015-04-13,53.9457,54.2717,53.9084,53.9084,2121800
2015-04-14,54.0575,54.5977,53.8712,54.4207,2304810
2015-04-15,55.7898,55.7898,54.8864,54.905,3447884
2015-04-16,54.8026,55.3987,54.6815,55.3428,2517660
2015-04-17,54.8864,55.2031,54.6209,55.0261,3998595
2015-04-20,55.1565,55.5896,54.9562,55.408,3136264
2015-04-21,55.5197,55.7433,55.1658,55.1937,4484252
2015-04-22,54.0761,54.7281,53.5545,53.9178,9578589
2015-04-23,53.9457,54.6722,53.8246,54.6442,5097837
