date,open,high,low,close,volume
2015-01-02,67.582,68.0293,67.2012,67.3725,2718863
2015-01-05,67.106,67.6486,66.6396,66.9347,2508512
2015-01-06,67.087,67.4963,65.821,66.0875,3644076
2015-01-07,66.6491,67.2107,66.2494,66.8871,4239081
2015-01-08,66.6301,67.0299,65.4498,66.1637,8738545
2015-01-09,66.2969,66.5349,64.7835,64.8406,6671093
2015-01-12,64.5075,64.8692,62.1754,63.8792,11344866
2015-01-13,64.5265,64.7835,63.6317,64.536,5957829
2015-01-14,63.8126,64.4408,63.2034,64.3932,4987155
2015-01-15,62.9178,64.6693,62.4895,62.6989,9812238
2015-01-16,62.5466,64.4599,62.1754,64.3742,8606548
2015-01-20,64.4884,64.7359,63.8716,64.0982,5085578
2015-01-21,64.003,64.5265,63.6032,63.9744,3854319
2015-01-22,63.8887,66.5349,63.6889,66.4112,11936476
2015-01-23,66.7253,67.4106,66.1351,66.1542,7592410
2015-01-26,65.2975,65.8686,64.8406,65.5259,5424056
2015-01-27,64.7645,65.069,64.3552,64.3932,4546191
2015-01-28,65.069,65.0786,63.7555,63.8887,5054200
2015-01-29,64.4123,64.8311,63.5533,64.6312,4148690
2015-01-30,64.1553,64.7835,63.7079,63.8316,6425012
2015-02-02,63.9078,64.003,62.6894,63.784,3380344
2015-02-03,64.2409,65.288,64.0315,65.2118,3365746
2015-02-04,65.2404,66.1542,64.8407,65.4974,3905375
2015-02-05,65.5545,66.1066,65.1071,65.1928,4462006
2015-02-06,65.5355,65.6973,64.536,64.8882,2789141
2015-02-09,64.5265,64.9072,64.2029,64.3742,2529781
2015-02-10,64.6122,64.7359,64.041,64.555,7474433
2015-02-11,64.536,64.812,64.3742,64.4503,3539201
2015-02-12,64.6026,64.6978,64.1933,64.3361,9888719
2015-02-13,64.5075,65.564,64.3647,65.5069,5141415
2015-02-17,66.1922,66.5349,65.9686,66.2113,4540185
2015-02-18,66.2779,67.1346,66.0495,66.9347,3339767
2015-02-19,66.9442,68.1245,66.8966,67.2964,4349822
2015-02-20,67.3059,68.2768,66.9157,68.2387,3506993
2015-02-23,68.7908,69.2382,67.6771,68.0293,3113225
2015-02-24,67.8865,68.4957,67.601,68.4672,2360746
2015-02-25,68.7242,69.7427,68.7242,68.9907,3240031
2015-02-26,68.8384,69.2096,68.4672,68.7147,2563513
2015-02-27,68.6004,69.3048,68.6004,69.124,2359053
2015-03-02,69.1335,69.9902,69.124,69.5713,2624081
2015-03-03,69.3239,69.4476,67.5439,68.2007,3776141
2015-03-04,68.1245,68.8241,67.8865,68.4862,3285702
2015-03-05,68.7242,68.7242,68.1436,68.2578,2648135
2015-03-06,67.9817,68.4434,67.6962,67.8865,2212421
2015-03-09,67.858,68.353,67.5915,68.2959,2263279
2015-03-10,67.8485,68.2959,67.4677,67.6105,3384406
2015-03-11,67.6391,68.4196,67.5629,68.0103,4325138
2015-03-12,70.4375,70.7802,69.0193,70.7041,8983063
2015-03-13,70.8183,71.6274,70.2662,70.7231,4954154
2015-03-16,70.9515,71.9415,70.8373,71.7701,5080415
2015-03-17,71.3323,71.8082,71.0658,71.1229,3682793
2015-03-18,71.3323,72.1699,70.9135,71.7606,2660883
2015-03-19,71.7701,72.1033,71.2656,71.3037,2666800
2015-03-20,71.7035,72.6078,71.3989,72.1318,4648102
2015-03-23,72.1414,72.5126,71.8177,71.8177,3219587
2015-03-24,71.6274,72.484,71.5798,71.8748,2055975
2015-03-25,71.7321,72.1794,70.5994,70.5994,3025661
2015-03-26,70.2567,71.4751,69.8379,71.18,3950081
2015-03-27,71.1705,72.3627,70.9801,71.3799,4185521
2015-03-30,71.9415,71.9795,71.0848,71.3132,4259235
2015-03-31,71.3037,72.3413,71.2656,71.7511,3289211
2015-04-01,71.4751,71.7225,70.5327,71.5798,3408020
2015-04-02,71.8463,72.1985,71.4655,71.9224,2738958
2015-04-06,71.6933,72.3998,71.4547,71.9034,2714039
2015-04-07,71.8652,72.2017,70.5478,70.586,3620031
2015-04-08,70.9487,72.8676,70.9487,72.6289,5450082
2015-04-09,72.9248,72.9248,71.5883,72.2375,2303964
2015-04-10,72.4762,72.8771,72.247,72.6193,2485258
2015-04-13,72.543,72.8103,71.6743,71.7506,3371599
2015-04-14,71.6456,72.0943,71.1206,71.8747,2019448
2015-04-15,71.9034,72.1802,71.006,71.1301,2483557
