date,open,high,low,close,volume
2015-01-02,24.4464,24.4656,23.5733,23.9475,3174270
2015-01-05,23.8611,23.9571,23.3622,23.4486,5012542
2015-01-06,23.5733,23.5733,22.8825,23.1319,7431519
2015-01-07,23.3718,24.6766,23.3142,24.3216,11395172
2015-01-08,24.5519,25.1468,24.5135,24.8781,8526861
2015-01-09,24.9932,25.4058,24.8781,25.0028,5999891
2015-01-12,25.1564,25.2235,24.7054,25.022,6038608
2015-01-13,25.5689,25.732,23.0264,23.8131,20717409
2015-01-14,23.4677,24.1585,23.2087,24.1202,10727858
2015-01-15,23.9954,24.2641,22.1725,22.2397,14786621
2015-01-16,22.0958,22.8777,21.2226,22.7961,14762819
2015-01-20,22.7578,22.7578,21.712,22.019,6573443
2015-01-21,22.0574,22.6043,22.0478,22.4603,5673277
2015-01-22,22.5659,22.8441,22.2781,22.729,5639513
2015-01-23,22.8249,22.8729,22.0766,22.1629,11388133
2015-01-26,23.5157,23.9667,22.8345,23.391,13984995
2015-01-27,22.9305,23.3622,22.777,23.1799,8099575
2015-01-28,23.391,23.4486,22.9113,22.9113,6322583
2015-01-29,23.0072,23.9043,22.9784,23.8323,7416537
2015-01-30,23.6213,23.8323,23.295,23.5253,7582883
2015-02-02,23.6596,24.0194,23.391,23.8419,9977479
2015-02-03,23.9379,24.4464,23.7076,24.4368,9132310
2015-02-04,24.3334,25.1317,24.2757,24.9201,9857126
2015-02-05,24.872,25.0836,24.3563,24.795,7541843
2015-02-06,24.9105,25.8626,24.8624,25.4779,11377665
2015-02-09,25.4106,25.7568,25.3048,25.4394,6187968
2015-02-10,25.6126,26.0454,25.3337,25.8723,6211179
2015-02-11,26.055,26.1512,25.6126,25.8145,4758389
2015-02-12,25.9107,26.3147,25.7472,26.2954,3431517
2015-02-13,26.2474,26.3243,25.9684,26.1512,3467127
2015-02-17,26.0358,26.3532,25.7953,26.3243,3917399
2015-02-18,26.2858,26.3532,25.9107,26.18,5036003
2015-02-19,26.1127,26.5455,26.0165,26.2858,3400898
2015-02-20,26.1993,26.2858,25.8915,26.2762,3614993
2015-02-23,26.257,26.4109,25.728,26.1031,3824300
2015-02-24,26.6417,26.7763,26.3435,26.5744,5573241
2015-02-25,26.5936,26.7283,26.257,26.3339,3584606
2015-02-26,26.2954,26.3724,25.9781,26.18,4209168
2015-02-27,26.1896,26.4782,26.1127,26.2666,2948548
2015-03-02,26.3051,26.4782,26.0454,26.1031,3120515
2015-03-03,26.0358,26.1031,25.526,25.5549,4849091
2015-03-04,25.4683,25.9588,25.3817,25.8434,3488330
2015-03-05,25.9396,26.0646,25.8049,25.9877,2296286
2015-03-06,25.7665,25.8242,25.0066,25.1701,5816994
2015-03-09,25.4298,25.5164,25.1413,25.2086,3294347
2015-03-10,24.9297,25.1846,24.8528,24.9201,3483239
2015-03-11,24.9489,25.2567,24.7854,24.997,2693961
2015-03-12,25.1413,25.6126,25.074,25.5837,2739120
2015-03-13,25.4683,25.7376,25.1413,25.3433,2321555
2015-03-16,25.5549,25.8194,25.4491,25.603,3608053
2015-03-17,25.4683,25.5356,25.1701,25.3529,3403861
2015-03-18,25.3625,26.3051,25.1038,26.0646,5365538
2015-03-19,26.2762,26.5551,25.5741,25.9203,4559433
2015-03-20,26.1896,26.6802,26.1512,26.2858,5568348
2015-03-23,26.2377,26.4493,26.0838,26.0838,2939123
2015-03-24,25.9492,26.8244,25.8338,26.382,4150561
2015-03-25,26.4012,26.7475,25.8242,25.8819,4530216
2015-03-26,25.7472,25.9588,25.5645,25.6703,3155152
2015-03-27,25.7665,26.4782,25.6991,26.382,3638423
2015-03-30,26.5263,27.1514,26.4301,26.9398,4368047
2015-03-31,27.1034,27.6708,26.7379,27.3919,6792222
2015-04-01,27.5073,27.5073,27.0264,27.1707,5215986
2015-04-02,27.2572,27.969,27.1899,27.9016,5075998
2015-04-06,27.7574,28.1709,27.5073,27.6131,4475272
2015-04-07,27.6323,27.6756,26.8821,26.9591,4353703
2015-04-08,26.9591,27.4881,26.8821,27.4496,3782081
2015-04-09,27.3438,27.5939,26.8052,27.3919,3612715
2015-04-10,27.3919,27.5458,27.113,27.5169,2520185
2015-04-13,27.4592,27.6053,27.2091,27.2957,2081814
2015-04-14,27.3053,27.6708,27.0553,27.642,3030276
2015-04-15,27.7574,28.1325,27.6323,27.9305,4006406
2015-04-16,27.7862,27.7862,27.1899,27.3727,5499628
2015-04-17,27.1226,27.2909,26.5647,27.1899,6220597
2015-04-20,27.4592,27.5169,26.6513,26.9687,6062527
2015-04-21,27.0553,27.8632,27.0553,27.4688,8286141
2015-04-22,27.2572,27.5458,25.6414,25.9973,17809923
2015-04-23,25.8915,25.8915,24.9393,25.1509,15602049
2015-04-24,25.2663,25.6414,25.1605,25.5549,5557973
2015-04-27,25.6222,25.6703,25.1509,25.2567,5866500
2015-04-28,25.1317,25.4605,24.872,25.3914,4017578
2015-04-29,25.2086,25.2279,24.7373,24.9489,5323864
2015-04-30,24.7854,24.9297,24.3719,24.4296,6600451
2015-05-01,24.5546,24.9393,24.4632,24.8047,3827732
2015-05-04,24.8335,25.0743,24.5161,24.6412,3352228
2015-05-05,24.6219,24.8143,24.1891,24.218,5165695
2015-05-06,24.3045,24.4103,23.9631,24.3045,3299575
2015-05-07,24.2372,24.8239,24.2276,24.7373,3945170
2015-05-08,25.0355,25.4394,24.8912,24.9297,3760425
2015-05-11,24.9008,25.0066,24.4007,24.468,4168603
2015-05-12,24.2757,24.6219,24.1218,24.468,3886877
2015-05-13,24.5669,24.7983,24.3499,24.374,2590158
2015-05-14,24.5669,24.9429,24.4126,24.8658,3837837
2015-05-15,24.8561,25.3671,24.562,25.3671,6455231
2015-05-18,25.3575,25.6178,25.1743,25.5117,4841519
