date,open,high,low,close,volume
2015-01-02,63.6489,63.8562,62.9829,63.4343,2063903
2015-01-05,63.1161,63.3455,62.4945,62.8053,3021736
2015-01-06,62.9977,63.1531,61.847,62.3761,2887661
2015-01-07,62.9533,63.1679,62.5833,62.7535,3306959
2015-01-08,63.3455,63.8451,63.2863,63.7229,2959997
2015-01-09,63.945,64.0264,63.1682,63.2937,2084843
2015-01-12,62.9311,63.1901,62.2725,62.5093,3052264
2015-01-13,63.1383,63.5897,61.9728,62.1467,2053293
2015-01-14,61.7767,62.2281,61.1625,61.4363,4793418
2015-01-15,61.7619,61.8655,60.6889,60.7037,4193127
2015-01-16,60.5113,61.1551,60.1265,61.0811,4250294
2015-01-20,61.4511,61.7545,60.9775,61.3993,3385289
2015-01-21,61.2439,61.9025,61.0145,61.6139,3024691
2015-01-22,62.1467,62.1911,61.5399,61.6139,305110
2015-01-23,62.5315,62.5611,62.2207,62.2651,3784081
2015-01-26,62.0579,62.2614,61.5843,61.9099,3061308
2015-01-27,62.5019,63.1161,61.8803,62.6351,3593105
2015-01-28,62.9459,63.0051,61.3031,61.3105,3967309
2015-01-29,61.6805,62.1467,60.8369,62.1097,2725652
2015-01-30,61.7989,61.9543,60.9331,60.9627,2963634
2015-02-02,61.0071,61.9839,60.3855,61.9691,3450313
2015-02-03,62.6869,62.9977,62.3613,62.9163,4348331
2015-02-04,62.5315,62.9607,62.2429,62.4131,2864845
2015-02-05,62.7979,63.3455,62.7387,63.2567,2026439
2015-02-06,63.1975,63.4935,62.5315,62.7461,1977045
2015-02-09,62.3835,62.9681,62.2429,62.4945,1868374
2015-02-10,62.8423,63.2937,62.4057,63.2419,1939654
2015-02-11,63.2049,63.5823,63.0125,63.3899,2104130
2015-02-12,63.5749,64.1115,63.4861,64.0856,2043420
2015-02-13,63.9376,64.3224,63.7896,64.241,1977785
2015-02-17,64.1966,64.3594,63.9968,64.2336,1919456
2015-02-18,64.5962,64.8034,63.9672,64.7146,1976095
2015-02-19,64.6406,64.7516,64.3742,64.5592,2209800
2015-02-20,64.3446,65.0439,64.056,64.8848,4021530
2015-02-23,64.574,64.8478,64.2336,64.278,1936977
2015-02-24,64.0708,64.4778,64.019,64.4112,2455351
2015-02-25,64.5148,64.8922,64.2484,64.5444,2332984
2015-02-26,64.4778,65.1956,64.3964,64.981,2151373
2015-02-27,64.796,65.018,64.5518,64.5888,2216105
2015-03-02,64.537,65.0032,64.537,64.7294,2065978
2015-03-03,64.5444,64.6776,64.1354,64.4186,1632209
2015-03-04,63.3381,64.019,63.2345,63.7229,4799134
2015-03-05,63.8784,64.056,63.6119,63.8932,2264939
2015-03-06,63.6193,63.7377,62.9385,63.0643,3002799
2015-03-23,64.6702,64.7516,64.1966,64.2114,2807476
