date,open,high,low,close,volume
2015-01-02,23.7291,23.9227,23.4555,23.6576,5901204
2015-01-05,23.506,23.6702,23.2737,23.4576,7447007
2015-01-06,23.485,23.485,23.0178,23.1567,9649307
2015-01-07,23.224,23.3503,22.9126,23.1167,9251549
2015-01-08,23.2788,23.7459,23.2746,23.7417,10238405
2015-01-09,23.7038,23.7501,23.3587,23.4134,7008771
2015-01-12,23.4261,23.506,23.1357,23.2325,4541996
2015-01-13,23.4934,23.7375,23.1125,23.203,6468381
2015-01-14,22.8831,23.0347,22.5233,22.74,10080944
2015-01-15,22.799,22.8578,22.2855,22.3128,11705090
2015-01-16,22.2771,22.7064,22.2055,22.5843,9823604
2015-01-20,22.6853,22.7569,22.2729,22.5927,8338938
2015-01-21,22.4791,22.719,22.3697,22.4665,15990768
2015-01-22,23.224,24.0868,23.1441,24.0511,29893308
2015-01-23,23.9858,24.1079,23.7017,23.889,13389664
2015-01-26,23.7249,23.9606,23.4976,23.5944,10291011
2015-01-27,23.3671,23.4682,23.0094,23.0178,9527389
2015-01-28,23.1693,23.2661,22.639,22.6601,8592907
2015-01-29,22.6222,22.7527,22.4496,22.7106,6348775
2015-01-30,22.6643,22.7527,22.2897,22.3065,10509343
2015-02-02,22.3528,22.6895,22.1129,22.6054,7796712
2015-02-03,22.6895,22.9379,22.6811,22.8326,7400601
2015-02-04,22.7653,22.8873,22.5212,22.6054,6839873
2015-02-05,22.6643,22.9421,22.6054,22.8495,6174963
2015-02-06,22.8116,23.1062,22.7527,22.9379,7999432
2015-02-09,22.7316,23.0767,22.7316,22.8663,4297064
2015-02-10,22.9126,23.3861,22.6769,23.2619,10928457
2015-02-11,23.3251,23.3377,23.001,23.2072,6225366
2015-02-12,23.4177,23.4219,23.0178,23.0368,8954466
2015-02-13,23.1567,23.8238,23.1483,23.767,10285359
2015-02-17,23.6407,23.7607,23.4892,23.7438,7448365
2015-02-18,23.7333,23.9858,23.6996,23.948,5919456
2015-02-19,23.9774,24.2847,23.7501,24.2636,7792235
2015-02-20,24.272,24.432,24.0973,24.4193,7009697
2015-02-23,24.3436,24.6635,24.3015,24.4404,8120259
2015-02-24,24.4404,24.6382,24.3562,24.5793,5041831
2015-02-25,24.6382,24.6635,24.3983,24.5582,7677679
2015-02-26,24.5077,24.7729,24.4993,24.6382,5710837
2015-02-27,24.6971,24.7055,24.3015,24.373,6269539
2015-03-02,24.2215,24.6887,24.2215,24.5709,6490791
2015-03-03,24.5624,24.6761,24.4151,24.5182,4903877
2015-03-04,24.352,24.7455,24.2468,24.5414,5791024
2015-03-05,24.5288,24.9539,24.5288,24.8655,6883186
2015-03-06,24.8739,25.4505,24.8402,25.198,13804831
2015-03-09,25.198,25.6441,25.139,25.5915,13773801
2015-03-10,25.2737,25.4631,24.8592,24.9202,15744620
2015-03-11,24.9707,25.3369,24.9665,25.1159,10799886
2015-03-12,25.2779,25.3158,24.8697,25.0044,7425117
