date,open,high,low,close,volume
2015-01-02,100.1882,100.7145,99.1546,99.8245,1191485
2015-01-05,99.3651,99.7097,97.5564,97.5947,2074312
2015-01-06,97.3172,97.3555,93.5753,94.6759,3396212
2015-01-07,95.6424,96.3123,94.8194,96.0635,2315516
2015-01-08,97.0971,98.724,97.0109,98.2072,1935508
2015-01-09,98.1498,98.3794,96.8674,96.9727,1785333
2015-01-12,97.2406,97.3746,95.2309,96.4272,2157701
2015-01-13,96.8961,97.8435,96.4846,97.5373,2082974
2015-01-14,95.9582,97.0588,95.652,96.9727,1721269
2015-01-15,97.3555,97.9966,96.3219,96.3506,1460542
2015-01-16,96.5994,97.9871,96.1975,97.8148,1754278
2015-01-20,98.5613,99.0302,97.0109,98.1498,1937991
2015-01-21,97.9966,99.5757,97.4224,99.5278,1716380
2015-01-22,100.2456,101.8629,99.7958,101.7959,2078719
2015-01-23,101.8725,102.5807,101.2217,101.327,1753778
2015-01-26,101.4514,102.4563,100.8868,102.418,1884962
2015-01-27,101.0973,102.8199,101.0016,101.9012,1462733
2015-01-28,102.3606,102.3606,99.0876,99.1259,1730474
2015-01-29,99.0111,100.1499,98.0445,99.8915,2048116
2015-01-30,98.59,100.1403,98.59,99.3077,2634520
2015-02-02,98.121,99.8532,97.2023,99.0398,2058983
2015-02-03,99.4417,101.5758,99.3269,101.5184,1566362
2015-02-04,101.4418,101.4418,99.6522,99.9489,1384065
2015-02-05,100.5997,102.1117,100.1403,101.8055,1281691
2015-02-06,102.0256,102.7338,101.7768,102.0926,1052861
2015-02-09,102.0065,102.8199,101.9586,102.6285,1358535
2015-02-10,102.9826,103.6812,102.1692,103.6716,1305800
2015-02-11,103.5951,105.0832,103.241,104.6095,1834730
2015-02-12,105.3177,106.3799,104.9062,106.0067,1585047
2015-02-13,106.246,107.2795,105.8633,106.8202,1150321
2015-02-17,106.8489,107.1647,106.1311,106.868,1029627
2015-02-18,106.5331,106.7723,105.9206,106.7627,1246877
2015-02-19,106.0833,106.9924,105.2794,106.9637,1324246
2015-02-20,106.9254,107.7293,106.1503,107.691,2188056
2015-02-23,107.2508,107.2795,106.2077,106.6192,1481430
2015-02-24,106.4469,108.5045,105.6335,108.1408,2182522
2015-02-25,108.1408,110.7056,108.0451,110.6769,2135534
2015-02-26,110.3611,111.7009,109.5955,111.1554,1820595
2015-02-27,110.9927,111.964,110.4855,110.5716,1612739
2015-03-02,110.5525,111.0405,109.8175,110.9735,1369810
2015-03-03,110.3323,111.3659,109.7964,111.1936,1179075
2015-03-04,110.8013,111.5286,109.8251,111.1841,1681256
2015-03-05,111.72,111.8635,110.7343,111.7487,1029626
2015-03-06,111.8063,112.0174,109.8965,110.0692,1360322
2015-03-09,110.0692,111.5472,109.8965,111.2113,1117448
2015-03-10,110.1268,110.8466,109.5606,110.2612,1665183
2015-03-11,109.8965,110.7506,109.7045,109.8869,1167606
2015-03-12,109.8293,111.2113,109.8293,111.1441,1030459
2015-03-13,110.6738,110.885,109.4166,109.8581,1074339
2015-03-16,110.1556,110.9329,109.8677,110.5299,1220693
2015-03-17,109.8005,110.242,108.8408,109.7045,1156435
2015-03-18,109.2822,111.7583,108.2026,111.0385,1338847
2015-03-19,110.5203,110.8706,109.7045,110.3763,968344
2015-03-20,111.0865,111.3456,110.597,110.6258,1572471
2015-03-23,110.8082,110.8082,109.6661,109.6757,1290188
2015-03-24,109.6757,109.954,108.9463,109.0039,1529040
2015-03-25,109.5702,110.3475,108.7544,109.2343,1893650
2015-03-26,108.9367,110.026,108.9081,109.6565,1029624
2015-03-27,109.5414,109.9348,109.1249,109.6373,1077246
2015-03-30,110.2612,111.0097,109.7333,110.1652,1188921
2015-03-31,109.7237,110.7602,109.5893,109.7717,929507
2015-04-01,109.7717,109.9636,108.5913,108.9655,1279497
2015-04-02,108.6008,109.7525,108.6008,108.8024,900786
2015-04-06,108.6488,110.3475,108.4857,110.0212,1085740
2015-04-07,109.9636,110.6354,109.7774,109.954,516680
2015-04-08,110.0884,110.8466,110.0884,110.693,807464
2015-04-09,110.8466,111.5088,110.6546,111.1921,901745
2015-04-10,111.3264,112.2286,110.789,111.6719,947184
2015-04-13,111.4128,112.1326,110.7506,110.7794,897786
2015-04-14,110.837,111.6335,110.4195,111.4704,1015983
2015-04-15,111.6815,112.5549,111.5951,112.3053,850287
2015-04-16,111.8927,112.584,111.5961,112.123,809736
2015-04-17,111.4032,111.5855,109.8773,110.5587,1189903
2015-04-20,111.3072,111.7487,110.9905,111.4704,857530
2015-04-21,111.5472,111.931,110.8082,111.2113,982817
2015-04-22,111.2113,111.384,110.4147,111.3744,1109416
2015-04-23,111.336,111.721,110.9713,111.1825,505289
2015-04-24,111.2209,111.4608,110.6066,110.9329,699639
2015-04-27,111.5088,111.7967,110.885,111.4128,1533176
2015-04-28,109.2343,109.7717,105.597,108.4185,3209276
2015-04-29,108.025,110.0212,107.0845,109.8005,2125393
