date,open,high,low,close,volume
2015-01-02,72.9428,73.1143,71.4754,72.028,926393
2015-01-05,71.6469,71.6945,70.9856,71.1609,1350913
2015-01-06,71.1609,71.3039,70.3319,70.5034,1588333
2015-01-07,70.8941,71.1133,70.4272,70.8274,1586647
2015-01-08,71.1228,72.0471,70.9132,71.847,1475316
2015-01-09,71.8756,72.0376,71.1323,71.3706,1155948
2015-01-12,71.2086,71.5516,70.0937,70.7607,1947406
2015-01-13,70.8179,72.2139,70.5416,71.0085,1451045
2015-01-14,70.0175,70.7417,69.5887,70.6273,1321466
2015-01-15,70.5797,70.6702,69.9698,70.2366,1540745
2015-01-16,69.865,70.8751,69.6077,70.7226,1654298
2015-01-20,71.199,71.2181,70.5034,71.018,1549727
2015-01-21,69.8841,71.0847,69.4553,70.4939,1972690
2015-01-22,70.9418,71.7803,70.2748,71.5707,2247915
2015-01-23,71.5135,71.5135,69.703,70.2271,3109271
2015-01-26,69.9127,70.1509,69.1122,69.4267,2360697
2015-01-27,68.4929,68.6072,67.4447,68.369,3381183
2015-01-28,68.5691,68.5691,67.0636,67.0826,2644459
2015-01-29,67.4733,68.6644,67.3589,68.5786,2648669
2015-01-30,68.0069,68.4738,67.1779,67.2637,2362237
2015-02-02,67.3875,68.4643,67.0921,68.4452,3291650
2015-02-03,68.8931,69.522,68.5691,69.4076,2163572
2015-02-04,69.3123,69.9365,69.0074,69.1313,2392588
2015-02-05,71.0752,74.982,71.0752,74.7056,6222523
2015-02-06,74.7342,77.3165,74.5818,75.8014,5206138
2015-02-09,75.6299,75.8777,74.7152,75.7157,2667889
2015-02-10,76.4685,76.5828,75.4012,76.2398,2400266
2015-02-11,76.316,77.0021,76.0301,76.5733,1770613
2015-02-12,76.4208,77.4413,76.4208,77.0974,1666889
2015-02-13,77.3642,78.8316,77.1641,78.6029,3703888
2015-02-17,78.0312,78.2694,77.469,77.9264,2051571
2015-02-18,77.5071,78.1265,77.3785,77.6596,1283623
2015-02-19,77.6214,77.7548,77.1069,77.2593,1189952
2015-02-20,77.0116,77.9835,76.821,77.9454,1229854
2015-02-23,77.7739,78.4981,77.6405,78.2694,1524962
2015-02-24,77.9645,78.4409,77.7263,77.9168,1174968
2015-02-25,78.0984,78.6431,77.8977,78.2513,1499321
2015-02-26,78.1844,78.6909,77.8021,78.6336,1802304
2015-02-27,78.6336,79.2643,78.4616,79.0063,1756225
2015-03-02,78.7196,79.7709,78.5285,79.704,1784227
2015-03-03,79.2166,79.5415,78.8916,79.2357,1259328
2015-03-04,79.1688,79.2261,78.2035,78.5858,2125954
2015-03-05,79.1019,79.6657,78.6814,79.5319,1881879
2015-03-06,79.1114,79.3408,78.2035,78.5858,2446261
2015-03-09,78.5571,79.3217,78.3564,79.207,1575513
2015-03-10,78.4902,78.4902,77.6684,77.6684,1835938
2015-03-11,77.2861,77.6684,76.4355,76.9325,2040236
2015-03-12,77.1905,77.7544,77.0185,77.6206,1497776
2015-03-13,77.5346,77.7448,76.5884,76.9611,1253002
2015-03-16,77.3816,77.7066,76.7987,77.5537,1202704
2015-03-17,77.3721,77.4772,76.9516,77.2383,1109284
2015-03-18,77.181,78.6336,76.5789,78.1175,1452044
2015-03-19,77.697,78.28,77.2956,78.0506,1057877
2015-03-20,78.5571,79.9429,78.2513,79.8282,1755321
2015-03-23,79.6657,80.2774,79.1879,79.207,1470151
2015-03-24,80.1531,80.6501,79.6562,79.6657,1917322
2015-03-25,80.8508,81.5006,80.0098,80.0098,2713831
2015-03-26,79.9907,79.9907,78.6814,78.71,1464404
2015-03-27,78.5571,79.7422,78.4157,79.2166,1266938
2015-03-30,79.5988,80.5354,79.4746,80.3443,1231330
2015-03-31,80.2009,80.4207,79.4746,79.4746,1297906
2015-04-01,79.8855,79.8951,79.1974,79.4746,1383444
2015-04-02,79.5128,80.5163,79.4937,80.3729,1079466
2015-04-06,79.7709,81.3477,79.6944,81.2044,1638431
2015-04-07,81.0801,81.3955,80.2296,80.2583,1354937
2015-04-08,80.2296,80.7456,79.8282,80.4398,1046061
2015-04-09,80.4207,80.889,80.1197,80.7456,951299
2015-04-10,80.6596,80.8221,79.5415,79.7422,1150140
2015-04-13,79.8186,80.1818,79.5128,79.5128,995286
2015-04-14,79.5224,81.1088,79.4555,80.889,1296658
2015-04-15,80.8317,81.2235,80.22,80.5736,943268
2015-04-16,80.6979,80.7456,80.1245,80.2009,821857
2015-04-17,79.6371,80.0002,78.8438,79.1497,1025547
2015-04-20,79.7231,79.876,78.6575,78.8821,1391589
2015-04-21,79.5319,79.6084,78.8247,79.0636,1241514
2015-04-22,79.3504,79.5625,78.3947,78.7674,1177124
2015-04-23,78.5762,79.2452,78.5762,78.7961,1012464
2015-04-24,78.8725,79.1305,78.4425,78.6145,762426
2015-04-27,79.5224,80.4207,79.379,79.4841,1363959
2015-04-28,79.1019,79.4937,78.8247,79.2739,863820
2015-04-29,79.1974,79.7995,78.6814,78.7865,1718425
2015-04-30,78.71,79.0828,77.4868,77.6875,1384233
2015-05-01,78.3278,79.1401,77.8883,79.1019,1296084
2015-05-04,79.2643,80.0958,79.0063,79.8378,2208117
2015-05-05,83.8325,85.8586,82.7144,83.0488,5943765
2015-05-06,83.1062,84.1383,82.4563,83.5458,2482411
2015-05-07,83.1157,85.1227,82.6857,84.4155,2774697
2015-05-08,84.922,85.2469,84.1049,84.5015,2032022
2015-05-11,84.3772,84.9984,83.8516,84.0236,2294568
2015-05-12,83.6509,84.253,83.4311,83.7083,1379639
2015-05-13,83.8803,84.3295,83.4216,83.6605,1188735
2015-05-14,84.253,85.544,84.2148,85.4285,2668857
2015-05-15,85.6196,85.6196,84.3581,85.008,1749998
2015-05-18,84.6926,85.5527,84.6926,85.2182,1034868
2015-05-19,85.0749,85.6483,84.5015,85.6005,1287834
2015-05-20,85.3712,85.8968,85.1131,85.1322,1217821
2015-05-21,85.0367,85.5623,84.5971,85.3903,1453279
2015-05-22,85.4381,86.3221,85.3043,86.2217,1577950
2015-05-26,85.9924,86.0019,84.1383,84.5588,2315093
2015-05-27,84.7792,85.3973,84.4342,85.0667,1028812
2015-05-28,84.7696,84.9229,84.1371,84.7696,1033550
2015-05-29,85.0667,85.0667,83.7826,83.7826,1676678
2015-06-01,84.3384,84.4917,82.9968,84.0701,1044912
2015-06-02,83.6101,84.1755,83.428,83.6197,1035996
2015-06-03,83.8497,84.0988,83.4088,83.7155,1316818
2015-06-04,83.4951,84.0509,83.3226,83.7442,1487660
2015-06-05,83.7442,84.1276,83.2412,83.8113,1363204
2015-06-08,83.8784,84.3575,83.5564,83.8784,1381110
2015-06-09,83.8209,84.6259,83.8113,84.2809,1329749
2015-06-10,84.6834,85.2392,84.348,84.6642,1143346
2015-06-11,84.6929,84.9517,83.888,84.0317,1192133
2015-06-12,83.9838,84.1563,83.1597,83.3609,1026001
2015-06-15,82.8051,83.1405,82.5656,82.8435,1146457
2015-06-16,83.1501,84.5109,82.8339,84.1659,1454998
2015-06-17,84.2521,84.5205,83.4184,84.2426,1132425
2015-06-18,84.6546,85.2871,84.578,84.6546,1362999
2015-06-19,84.3959,85.1433,84.3096,84.6354,968297
2015-06-22,84.9133,85.7566,84.5109,84.645,758598
2015-06-23,84.4534,84.9708,84.0317,84.0509,870840
2015-06-24,84.0701,84.2426,83.6101,83.8305,1180835
2015-06-25,84.118,84.1371,82.9393,83.1309,1747660
2015-06-26,83.4472,84.3575,83.2167,84.3288,1995791
2015-06-29,83.7826,83.9072,82.3931,82.4601,1611056
2015-06-30,83.0064,83.2747,82.4027,83.0447,1556275
2015-07-01,83.4759,84.0317,83.3226,84.0126,991604
2015-07-02,84.3,84.6642,83.7155,83.8688,1064706
2015-07-06,83.2459,83.9742,82.8914,83.3034,1379111
2015-07-07,83.5238,84.7121,83.0351,84.5588,1643098
2015-07-08,83.5526,84.1084,82.5176,82.6039,2287850
2015-07-09,83.658,83.9167,82.4601,82.6231,1298781
2015-07-10,83.5718,84.0701,83.3705,83.773,951026
2015-07-13,84.578,85.5841,84.3288,85.4596,1265520
2015-07-14,85.5554,85.8908,84.8559,85.4787,1278863
2015-07-15,85.1721,86.1974,85.1002,85.6896,1496871
2015-07-16,86.2741,86.5999,85.5267,85.5841,1932570
2015-07-17,85.5171,85.5458,84.8271,84.9804,1347210
2015-07-20,84.99,85.3829,84.578,84.8367,1456156
2015-07-21,84.9517,86.025,84.3384,85.5171,1174750
2015-07-22,85.3925,86.0058,84.8871,85.5937,864381
2015-07-23,85.7854,85.9195,85.2392,85.4308,764863
2015-07-24,85.4787,85.7566,84.4821,84.7121,901968
2015-07-27,84.4055,84.7792,83.016,83.2459,1694087
2015-07-28,83.5143,84.4438,83.5143,84.348,1356798
