date,open,high,low,close,volume
2015-01-02,54.8387,55.9085,54.6718,55.696,1408947
2015-01-05,55.567,56.3864,55.3394,56.1892,1800293
2015-01-06,56.3788,56.8872,56.2271,56.5078,2043199
2015-01-07,56.7354,57.5245,56.5685,57.3424,1719631
2015-01-08,57.479,58.0252,56.9099,57.9873,2122400
2015-01-09,58.0176,58.6929,57.6307,58.4197,1909726
2015-01-12,58.6246,59.2164,58.5411,59.095,1803308
2015-01-13,59.1557,59.2012,58.2604,58.488,2071558
2015-01-14,58.1694,59.3226,58.1694,59.2391,1460900
2015-01-15,59.4971,59.6944,59.0191,59.5806,1388031
2015-01-16,59.6944,60.4075,59.3454,60.233,2204285
2015-01-20,60.6503,60.7565,58.7574,59.1633,3457183
2015-01-21,58.8219,59.1177,58.2452,58.9736,2149673
2015-01-22,59.0115,60.1799,58.9508,60.1723,1805056
2015-01-23,60.3772,60.7679,59.9296,60.5441,2127956
2015-01-26,60.4455,60.9083,60.142,60.7717,1792807
2015-01-27,60.62,61.1738,60.5441,60.8779,1373438
2015-01-28,61.28,61.4773,60.3772,60.4151,1641685
2015-01-29,60.2027,60.5441,59.664,60.1951,1768605
2015-01-30,59.9144,60.142,58.8294,58.8825,2333060
2015-02-02,58.966,59.0115,57.6231,58.4956,2397703
2015-02-03,58.5184,59.1709,57.9797,59.1709,2193612
2015-02-04,61.0373,61.0448,58.9046,59.8916,2702182
2015-02-05,59.9523,61.0904,59.922,60.9007,2177743
2015-02-06,60.6048,60.6958,58.9926,59.2695,2992413
2015-02-09,59.3378,59.5502,59.0191,59.0798,1346679
2015-02-10,59.3681,59.6033,58.5791,58.9508,3667034
2015-02-11,59.0646,59.4895,58.6398,59.1557,2092617
2015-02-12,59.2391,60.7565,59.1557,60.5896,1950674
2015-02-13,60.4834,60.5137,59.444,59.7475,1884956
2015-02-17,59.4971,60.233,59.4667,59.9447,2024515
2015-02-18,59.9675,60.7641,59.6185,60.6882,1674654
2015-02-19,60.5365,60.5487,58.6853,58.8598,1672279
