date,open,high,low,close,volume
2015-01-02,47.3144,47.5531,46.7841,47.5,1693400
2015-01-05,47.5177,47.5619,46.8902,47.0758,1400700
2015-01-06,47.1907,47.8978,46.899,47.1023,2680800
2015-01-07,47.4647,48.0392,47.12,47.7917,1463200
2015-01-08,47.6945,48.1364,47.5884,47.8713,2115100
2015-01-09,47.8713,47.9773,46.9432,47.2702,1595600
2015-01-12,47.4735,47.5,46.8371,47.1376,1032600
2015-01-13,47.4205,48.1895,47.1642,47.447,1460900
2015-01-14,47.0493,47.8801,47.0227,47.8624,1422800
2015-01-15,47.8624,48.7463,47.7299,48.6933,2110200
2015-01-16,48.9054,49.1176,48.543,49.0999,1464300
2015-01-20,48.9761,49.2678,48.5872,48.9319,1262100
2015-01-21,48.764,49.3562,48.3751,49.2855,1396800
2015-01-22,49.533,49.5772,48.711,49.1087,1298400
2015-01-23,49.2413,49.639,49.0203,49.3562,1176700
2015-01-26,49.2148,49.3385,48.764,49.3208,889400
2015-01-27,49.0645,49.5949,49.0557,49.3297,1052100
2015-01-28,49.312,50.1163,49.0734,49.1971,1223800
2015-01-29,49.1264,49.9572,48.8612,49.8512,1060000
2015-01-30,49.754,50.2313,49.0557,49.1264,2041300
2015-02-02,49.0203,49.7009,48.4635,49.6302,2120300
2015-02-03,49.3032,49.6832,49.2236,49.533,1569900
2015-02-04,49.2767,49.9572,49.038,49.1529,1739300
2015-02-05,49.4092,49.8512,49.038,49.7451,1231700
2015-02-06,49.3739,49.4888,47.12,47.4735,1842600
2015-02-09,47.4824,47.7299,46.7664,46.9786,1465000
2015-02-10,47.0139,48.4193,46.9874,48.3309,2298900
2015-02-11,48.1099,48.1099,46.9962,47.12,1895600
2015-02-12,47.1995,47.7033,46.0947,46.2272,3488000
2015-02-13,45.7588,46.024,44.5655,45.0959,2894000
2015-02-17,45.0782,45.6085,44.6186,45.2815,2602700
2015-02-18,45.2373,46.4571,45.1843,46.4394,2162800
2015-02-19,46.7222,47.4028,46.0151,46.404,1119730
2015-02-20,45.7323,46.5101,45.6174,46.4394,1880592
2015-02-23,46.351,46.7929,46.0594,46.5808,1164216
2015-02-24,46.4659,47.3029,46.2891,47.1465,1251185
2015-02-25,46.5808,47.2791,46.3245,46.5012,1479772
2015-02-26,46.7931,46.8198,46.0179,46.1872,1204365
2015-02-27,46.0046,46.3298,45.8308,46.107,1176643
2015-03-02,45.8843,46.205,44.4944,44.7706,1904298
2015-03-03,44.6102,45.1002,44.432,45.0824,1266495
2015-03-04,44.824,45.0111,44.236,44.4766,1119335
2015-03-05,44.726,45.225,44.5033,45.0379,867795
2015-03-06,44.1915,44.4766,43.247,43.4431,1293923
2015-03-23,45.5368,45.9823,45.4655,45.8575,1197822
2015-03-24,45.6794,45.9511,45.1314,45.2695,1961354
2015-03-25,45.3675,45.7774,44.6548,44.6548,1251940
2015-03-26,44.6726,45.0777,44.1368,44.4677,930197
2015-03-27,44.3607,45.0022,44.334,44.6548,1063469
2015-03-30,44.7439,45.3052,44.6102,45.118,622648
2015-03-31,44.9933,45.5457,44.7439,45.0111,1192264
2015-04-01,44.6904,45.3408,44.4231,45.1982,1060779
2015-04-02,45.1626,45.519,45.0735,45.118,978506
2015-04-06,45.1982,45.813,45.0557,45.4833,1318806
2015-04-07,45.4121,45.7061,44.7706,44.824,1135479
