date,open,high,low,close,volume
2015-01-02,186.8565,189.437,186.353,189.1313,258804
2015-01-05,188.5109,190.8081,188.1782,189.8865,350671
2015-01-06,189.3471,192.9256,189.3471,192.6199,470381
2015-01-07,192.6109,195.7308,191.9905,195.5241,620575
2015-01-08,196.1939,197.0166,194.4361,196.7828,379765
2015-01-09,197.2684,199.2105,196.2604,198.3653,335925
2015-01-12,199.1565,201.0986,198.6081,199.642,282274
2015-01-13,199.7769,201.0986,198.1693,200.0017,389549
2015-01-14,199.2824,203.1486,198.3653,202.6991,312404
2015-01-15,203.1307,204.6502,202.744,204.3445,401365
2015-01-16,203.9129,205.3065,203.0093,205.1537,536526
2015-01-20,206.943,207.1767,202.4833,203.3015,330384
2015-01-21,203.3195,203.4454,201.764,203.0497,382407
2015-01-22,203.1307,206.0618,202.5462,205.7381,486978
2015-01-23,206.1697,206.5096,203.9489,204.875,429607
2015-01-26,205.2166,207.2397,204.7446,206.898,437181
2015-01-27,205.873,208.5884,205.4504,206.1607,408652
2015-01-28,206.6103,208.3186,204.3265,204.3804,489489
2015-01-29,204.0298,206.5653,203.1396,206.3675,393092
2015-01-30,205.882,206.4529,202.5013,203.2475,1474817
2015-02-02,203.1576,203.8859,198.3338,203.5443,541276
2015-02-03,202.3754,205.4954,200.5592,205.3515,551389
2015-02-04,205.0098,205.5044,202.6991,205.1447,350472
2015-02-05,205.5583,207.4824,201.8449,207.2307,434332
2015-02-06,207.2307,207.2307,199.678,201.1346,358050
2015-02-09,201.1706,201.6111,199.2105,199.723,379618
2015-02-10,200.0556,201.7685,198.68,201.6741,360358
2015-02-11,200.8379,203.1307,199.723,201.2245,257748
2015-02-12,201.5842,205.0188,200.8469,204.9919,296162
2015-02-13,204.7041,204.9559,202.0068,203.823,276856
2015-02-17,203.4184,205.4234,202.5462,203.3914,234177
2015-02-18,202.4473,205.1717,201.5482,204.9649,303359
2015-02-19,204.9649,204.9649,200.5052,200.9997,235830
2015-02-20,200.721,203.8949,199.6061,203.7061,268040
2015-02-23,204.1287,205.8101,203.0875,205.4324,276007
2015-02-24,204.1377,204.4794,199.669,200.6581,224753
2015-02-25,200.6581,202.798,199.8039,199.9478,258843
2015-02-26,199.5611,200.6311,197.8348,198.1135,257792
2015-02-27,198.4552,200.1995,196.3283,199.9927,295502
2015-03-02,200.73,204.4776,200.73,202.4473,345091
2015-03-03,201.4943,201.9888,199.3543,200.9548,232799
2015-03-04,200.5771,201.8,198.7159,198.9227,396954
