date,open,high,low,close,volume
2015-01-02,60.1318,60.2901,58.9009,59.7274,1638237
2015-01-05,59.0064,59.0328,57.1054,57.2567,3206165
2015-01-06,57.2303,57.371,55.8956,56.6148,3246867
2015-01-07,57.4237,57.6523,56.5797,56.7819,3121006
2015-01-08,57.327,58.8393,57.327,58.8129,3445867
2015-01-09,58.9888,59.1207,57.8985,58.0832,2810794
2015-01-12,57.9865,58.2063,57.094,57.5732,2848828
2015-01-13,57.8106,58.5492,56.8346,57.5556,3576876
2015-01-14,56.2807,56.7819,55.6652,56.4829,2394482
2015-01-15,56.7379,56.8521,55.9026,56.3335,3640779
2015-01-16,55.9642,56.8346,55.9378,56.7907,3488807
2015-01-20,57.0545,57.1248,56.4917,56.9753,3265241
2015-01-21,56.5797,57.9557,56.4741,57.8722,3277056
2015-01-22,58.558,59.7098,58.1536,59.5076,3463428
2015-01-23,59.5515,59.5515,58.6635,58.9185,2360690
2015-01-26,58.6635,59.0152,58.0923,58.7514,1950483
2015-01-27,57.5029,57.8634,56.8786,57.1687,3771724
2015-01-28,57.4501,57.5996,55.8499,55.929,3197406
2015-01-29,55.7795,56.5797,55.2168,56.439,3359637
2015-01-30,55.8587,56.3598,55.4542,55.4718,3911540
2015-02-02,55.9378,57.072,55.252,56.6236,4116886
2015-02-03,59.6922,61.8376,59.2789,61.3628,7275174
2015-02-04,61.0023,61.099,59.9384,60.211,4301176
2015-02-05,60.4308,61.1781,60.4308,60.8616,2552639
2015-02-06,61.099,62.3124,61.099,61.5914,3272425
2015-02-09,61.1517,62.1805,61.143,61.6705,2079740
2015-02-10,62.3387,62.3695,61.2397,62.1981,1971648
2015-02-11,61.8639,62.1981,61.5034,61.8376,2024695
2015-02-12,62.242,63.174,61.8551,62.9982,2697345
2015-02-13,62.9806,63.9302,62.8223,63.7895,3118775
2015-02-17,63.6312,63.6312,62.8927,63.4202,1977798
2015-02-18,63.3762,63.9873,63.0685,63.5609,1656188
2015-02-19,63.1389,63.7807,62.8663,63.4114,1381737
2015-02-20,63.4202,63.8247,62.6904,63.7543,1779937
2015-02-23,63.4554,63.7016,62.8751,62.9894,1996626
2015-02-24,62.9454,63.3058,62.8399,63.0597,2073817
2015-02-25,63.1916,63.3059,62.2948,62.9102,2585577
2015-02-26,62.8927,63.2795,62.7031,63.1213,1905292
2015-02-27,62.5937,62.8751,62.2156,62.4355,2396575
2015-03-02,62.4355,62.8575,62.1893,62.4267,2208432
2015-03-03,61.9607,62.4091,61.7057,61.9343,2239769
2015-03-04,61.7496,61.8332,60.8,61.2397,2186389
2015-03-05,61.4169,61.5587,60.9915,61.4613,1733474
2015-03-06,60.8675,61.3372,60.2471,60.4155,1969058
2015-03-09,60.4687,60.8409,60.2825,60.7079,1633834
2015-03-10,60.061,60.123,59.5204,59.5204,1988589
2015-03-11,59.6622,59.6975,58.9089,58.9975,1874590
2015-03-12,59.2545,59.6267,59.0595,59.6001,2301528
2015-03-13,59.3786,59.6001,58.5278,59.0595,2503415
2015-03-16,60.3712,60.4687,59.2811,60.0787,3203040
2015-03-17,59.8128,60.1319,59.4938,59.9812,2215701
2015-03-18,59.6888,60.9029,59.1393,60.7257,3470858
2015-03-19,60.3534,60.4465,59.609,59.8926,2032313
2015-03-20,60.2914,60.8409,60.1851,60.6902,4282411
2015-03-23,60.6725,60.8852,60.0964,60.318,2288443
2015-03-24,60.2914,60.5839,59.804,60.1496,2150644
2015-03-25,60.1939,60.4332,59.2102,59.2102,2193605
2015-03-26,58.9355,59.352,58.6963,59.0861,1981312
2015-03-27,59.3343,59.3343,58.7759,59.1127,1386792
2015-03-30,59.3786,60.3623,59.3786,60.1053,1385296
2015-03-31,59.6267,60.3357,59.4229,60.2117,3182345
2015-04-01,60.2205,60.2382,59.4672,59.8926,2935223
2015-04-02,59.7154,60.5307,59.3609,59.9812,1987786
2015-04-06,59.3963,61.4701,59.3343,61.0979,2186667
2015-04-07,60.77,61.222,60.575,60.7611,1765904
2015-04-08,60.4509,60.7079,60.0787,60.3978,1967203
2015-04-09,60.38,60.8941,59.9546,60.7523,2398816
2015-04-10,60.7257,61.1245,60.3446,60.8763,2529406
2015-04-13,60.9561,60.9561,60.2914,60.5661,1839855
2015-04-14,60.2737,61.0359,60.0521,60.8497,2583061
2015-04-15,61.1511,62.0373,60.7966,61.8069,2984674
2015-04-16,61.7892,61.7892,61.1818,61.5322,1662366
2015-04-17,61.0979,61.2486,60.5307,61.2486,2910111
2015-04-20,61.5233,61.8689,61.3904,61.8689,2749395
2015-04-21,62.0373,62.2589,61.1865,61.4613,2378418
2015-04-22,61.541,61.6296,60.8763,61.3992,2352653
2015-04-23,61.2574,61.5353,60.9738,61.2397,2075272
2015-04-24,61.4701,61.4701,60.637,60.7788,2130901
2015-04-27,60.8675,61.7005,60.8675,61.4878,3086583
2015-04-28,61.0004,61.1511,60.3756,60.8054,4924284
2015-04-29,61.4878,62.3741,60.5927,61.6296,4306807
2015-04-30,61.1115,62.0048,60.9686,61.3974,3521370
2015-05-01,61.8798,63.0411,61.5939,62.9964,3468193
2015-05-04,63.0232,63.4073,62.7909,63.2465,2805316
2015-05-05,63.4341,64.9974,63.4163,63.7915,4437081
2015-05-06,64.1756,64.2917,63.5235,63.9254,3019953
2015-05-07,63.9433,63.9433,63.2733,63.6485,2448315
2015-05-08,64.3185,64.5776,64.0952,64.4078,2076145
2015-05-11,64.2292,64.9081,64.2292,64.5597,1854551
2015-05-12,64.247,64.3274,63.8183,64.2649,1693423
2015-05-13,64.4078,65.4441,64.3274,65.0421,2621003
2015-05-14,65.5781,65.9443,65.319,65.6585,2767436
2015-05-15,65.5334,65.5691,64.9438,65.4977,2944728
2015-05-18,65.2565,65.7657,64.9081,65.6227,1748890
2015-05-19,65.462,65.5334,64.6848,65.0332,1904750
2015-05-20,65.1314,65.2118,64.7562,65.0064,6877855
2015-05-21,64.6848,65.7612,64.6669,65.5691,2564566
2015-05-22,65.5513,65.6674,65.2922,65.2922,1515202
2015-05-26,65.0332,65.0707,64.0058,64.3274,2452156
2015-05-27,64.6044,65.328,64.2917,65.194,1949406
2015-05-28,64.8813,65.1609,64.4168,65.0153,1716606
2015-05-29,65.0421,65.2118,63.7557,63.9522,2497283
2015-06-01,64.1309,64.381,63.6709,63.9433,1613159
2015-06-02,63.8987,64.9706,63.8629,64.6312,1759643
2015-06-03,64.9528,65.462,64.432,65.0957,1776876
2015-06-04,64.7205,64.7562,64.0148,64.3542,2222738
2015-06-05,64.247,64.3989,63.8361,64.0952,1854453
2015-06-08,64.0237,64.3989,63.8629,64.0148,1575500
2015-06-09,64.0148,64.4169,63.7825,63.8629,1292284
2015-06-10,64.3453,64.926,64.2649,64.8009,1718466
2015-06-11,65.1046,65.2028,64.4704,64.8277,1315857
2015-06-12,64.5954,64.7473,63.8875,64.2113,1746589
2015-06-15,63.72,63.72,63.0053,63.3269,1781159
2015-06-16,63.0857,63.2644,62.4962,62.9249,2345250
2015-06-17,63.0947,63.1483,62.4336,62.8713,2082837
2015-06-18,63.0232,63.7021,62.9607,63.4699,1826000
2015-06-19,63.318,63.318,62.6837,62.7105,3127233
2015-06-22,63.0768,63.2108,62.5944,62.7105,1863306
2015-06-23,62.6033,62.9071,62.5319,62.7999,1936160
2015-06-24,62.5765,62.7373,62.0674,62.1656,2142345
2015-06-25,62.2371,62.38,61.1472,61.2276,2238822
2015-06-26,61.4063,61.4599,60.8346,60.9954,2348730
2015-06-29,60.5219,60.8257,59.7269,59.7894,2255789
2015-06-30,60.5934,60.8703,59.9502,60.2897,3044900
2015-07-01,60.7274,60.8614,60.2003,60.4237,2151564
2015-07-02,60.5309,60.9507,60.1646,60.2182,1971058
2015-07-06,59.5482,60.2539,59.2713,59.6197,1868899
2015-07-07,59.7805,59.8162,58.3065,59.7715,3143465
2015-07-08,59.3249,59.4142,58.2529,58.4316,2036997
2015-07-09,59.1552,60.4951,58.4137,58.4137,2297215
2015-07-10,59.182,59.2981,58.4494,58.7532,1570240
2015-07-13,59.2088,59.3874,58.914,59.3249,1795525
2015-07-14,59.1909,59.5036,58.9944,59.3428,1712125
2015-07-15,59.2266,59.2802,58.4405,58.7264,2299917
2015-07-16,59.2534,59.316,58.6013,58.9408,2103188
2015-07-17,58.6549,58.9318,57.9849,58.1636,2177670
2015-07-20,58.1011,58.5209,58.0207,58.2886,1659398
2015-07-21,58.0475,58.1904,57.0916,57.1809,3461995
2015-07-22,56.9844,57.3507,56.6092,56.7075,2167038
2015-07-23,56.645,57.0027,56.1626,56.2698,3664898
2015-07-24,56.2787,56.3055,54.0275,54.6261,7003745
2015-07-27,54.3581,54.6975,53.898,54.1079,3084930
2015-07-28,54.5546,55.2023,54.2107,54.9298,3041183
2015-07-29,53.6434,55.8499,53.1521,55.2067,7330771
2015-07-30,54.6569,55.2338,54.1882,55.0535,3394471
2015-07-31,55.2608,55.2608,54.5398,54.6028,3295168
2015-08-03,54.4857,54.6028,53.9359,54.3144,2767745
2015-08-04,54.4676,54.72,53.6204,53.7015,3022150
2015-08-05,54.1792,54.6209,53.6294,53.7376,3420158
2015-08-06,53.9719,54.4586,53.6294,54.062,2528258
2015-08-07,53.9268,54.3415,53.6745,53.9449,2371350
2015-08-10,54.3144,55.3419,54.2153,55.3329,2425208
2015-08-11,54.6659,54.6659,53.8728,54.1792,2668060
2015-08-12,53.8818,54.4496,53.5663,54.3505,2953456
2015-08-13,54.062,54.6119,53.8097,54.026,1719018
2015-08-14,53.7195,54.3144,53.7195,54.044,2080336
2015-08-17,53.7736,54.4676,53.4131,54.3775,1375452
2015-08-18,54.1432,54.2874,53.8457,53.9178,2128754
2015-08-19,53.5032,53.7285,52.4667,52.8633,3259631
2015-08-20,52.5388,52.8272,52.2774,52.3856,3600350
2015-08-21,51.9439,52.2774,51.0967,51.0967,4869162
2015-08-24,46.6621,50.5378,44.3547,48.9605,6020168
2015-08-25,50.8263,50.8263,47.4733,47.5093,4600337
2015-08-26,48.6811,49.3706,47.8969,49.1858,4609687
2015-08-27,49.7987,51.1417,49.5824,51.0426,4180453
2015-08-28,50.7902,51.7817,50.6235,51.4211,2974520
2015-08-31,51.1057,51.8628,50.5919,51.4301,2835255
2015-09-01,50.2494,50.7632,49.2219,49.4833,3634443
2015-09-02,50.2855,50.2855,49.1588,50.0872,2914996
2015-09-03,49.8708,50.4928,49.6094,49.8348,3216686
2015-09-04,49.1137,49.8528,48.7892,49.6185,3366998
2015-09-08,50.4567,51.2048,50.2584,51.0876,2952013
2015-09-09,51.6825,51.9439,50.3576,50.4657,2676011
2015-09-10,50.5919,50.9389,49.988,50.3485,2396002
2015-09-11,50.3936,50.6189,49.8799,50.2224,1762794
2015-09-14,50.1503,50.2359,49.1678,49.285,4092788
2015-09-15,49.312,50.3125,49.1678,50.2404,3461474
2015-09-16,50.2855,51.0606,50.0511,50.9614,2364096
2015-09-17,50.682,50.8533,49.4923,49.6185,4300842
2015-09-18,48.9425,49.0686,47.3291,47.7076,6767394
2015-09-21,47.7978,48.2124,47.4913,48.0051,3546522
2015-09-22,47.275,47.7797,47.0046,47.7707,3802452
2015-09-23,47.8248,47.9295,47.0588,47.1939,3649920
2015-09-24,46.626,47.1623,45.8419,47.0406,6620242
2015-09-25,47.2299,47.3741,46.5269,46.7973,6819522
2015-09-28,46.4007,46.581,45.0036,45.1118,6838024
2015-09-29,45.265,45.8329,45.0036,45.6616,3104170
2015-09-30,46.2294,46.4818,45.7427,46.2385,3120541
2015-10-01,46.3646,46.572,45.3078,45.5895,2934781
2015-10-02,44.8684,46.3376,44.58,46.3286,5100825
