date,open,high,low,close,volume
2015-01-02,73.6631,74.1852,72.9726,73.8568,1945307
2015-01-05,73.941,74.3197,72.8884,73.301,1662065
2015-01-06,73.3516,74.7325,73.1158,73.1663,1838006
2015-01-07,73.2758,74.3588,72.9811,73.9073,1094190
2015-01-08,74.0505,74.7157,73.9326,74.3452,1018479
2015-01-09,74.5304,74.8487,73.1579,73.9242,1468234
2015-01-12,74.2105,74.2863,72.88,73.2926,1114882
2015-01-13,73.6968,74.6315,72.1727,72.4506,2595390
2015-01-14,72.0801,73.4274,71.718,73.3853,1521252
2015-01-15,73.6042,74.6399,73.2589,74.5136,1482739
2015-01-16,74.5641,74.9431,74.101,74.6652,1295743
2015-01-20,75.0273,75.4146,74.0505,74.6904,1196882
2015-01-21,74.4968,75.583,74.0421,75.5157,957553
2015-01-22,75.8188,76.063,74.6989,75.2967,1503876
2015-01-23,75.5072,75.6841,75.1283,75.4483,1255198
2015-01-26,75.3557,75.5493,74.4378,74.7999,1217345
2015-01-27,74.8504,75.1725,74.3873,74.4715,1145713
2015-01-28,74.4799,75.8862,74.4799,74.8841,2028579
2015-01-29,74.6652,75.8356,74.3284,75.7009,1200952
2015-01-30,75.423,75.6058,73.621,73.6884,1281377
2015-02-02,73.7305,74.581,73.0737,74.2273,1542265
2015-02-03,74.2778,75.3809,73.6547,75.2967,1757523
2015-02-04,74.9936,75.1536,73.3937,73.6547,1581846
2015-02-05,73.6631,74.2105,72.0801,72.8548,2212510
2015-02-06,72.5432,72.7284,69.0402,69.3939,2851671
2015-02-09,69.5034,70.0086,68.2319,68.4592,2098965
2015-02-10,68.6294,69.6673,68.5613,69.6247,2476638
2015-02-11,69.5907,69.5992,68.4677,68.8761,1725067
2015-02-12,68.9782,69.1483,68.2806,68.6123,1509757
2015-02-13,68.1955,68.2721,66.6556,67.3107,2088228
2015-02-17,67.2767,67.9232,66.4855,67.0895,1516703
2015-02-18,67.1235,68.3741,66.8088,68.2806,1303475
2015-02-19,68.4337,68.74,67.5915,67.8552,812706
2015-02-20,67.7871,67.9147,66.7832,67.4809,1160649
2015-02-23,67.8127,68.3146,67.4979,68.2976,999863
2015-02-24,68.2721,68.9697,67.9489,68.4507,1370560
2015-02-25,68.204,68.7485,67.3532,67.5319,1208582
2015-02-26,67.8127,67.9147,67.1661,67.3788,1028067
2015-02-27,67.4213,67.6935,66.7918,67.6425,1509468
2015-03-02,67.3618,67.5404,65.371,66.0771,2070320
2015-03-03,65.975,66.1707,65.2689,65.9155,1067737
2015-03-04,65.4221,65.7453,64.6649,65.0818,1146681
2015-03-05,65.371,65.7709,65.1839,65.5242,846204
2015-03-06,64.7415,64.7415,63.2118,63.5249,1245147
2015-03-09,63.6695,64.0778,63.3463,63.5504,1031747
2015-03-10,63.3207,64.5628,63.2527,64.214,1645030
2015-03-11,64.4097,64.4097,63.3037,63.5419,1108262
2015-03-12,63.9077,65.2434,63.9077,64.8776,1207781
2015-03-13,64.4352,64.4862,62.8528,63.5079,1916518
2015-03-16,63.7971,65.2051,63.7971,64.6564,1076329
2015-03-17,64.4012,64.9627,64.2906,64.6309,929584
2015-03-18,64.5203,66.9109,64.3757,66.477,1295442
2015-03-19,66.3153,67.1661,66.0771,66.3068,2430929
2015-03-20,66.6131,67.5191,66.3919,67.2512,3037019
2015-03-23,67.2001,67.3362,66.5876,66.7747,1214768
2015-03-24,66.511,66.9364,65.6518,65.7539,1219643
2015-03-25,66.0941,66.477,65.405,65.4561,1373019
2015-03-26,65.1243,65.8049,64.5713,65.0988,963379
2015-03-27,65.0477,65.7113,64.8691,65.2349,826027
2015-03-30,65.3965,66.2643,64.9712,65.7709,1193493
2015-03-31,65.7879,66.4259,65.3285,65.924,1308664
2015-04-01,65.7709,66.2116,64.8691,66.0941,951805
2015-04-02,65.9921,66.4259,65.7453,66.0771,841396
2015-04-06,66.2898,67.6,66.2898,67.5574,1134467
2015-04-07,67.5574,67.5744,66.3749,66.4515,832097
2015-04-08,66.3749,66.528,65.5769,66.3239,1040844
2015-04-09,66.1707,66.5025,65.2434,65.5156,1130128
2015-04-10,65.8644,66.6897,65.5922,66.4344,594388
2015-04-13,66.0941,66.443,65.6943,65.7453,566554
2015-04-14,65.975,66.4174,65.6518,66.1707,604817
2015-04-15,66.1707,67.013,66.1707,66.1962,638027
2015-04-16,66.1282,66.3136,65.2349,65.8134,849021
2015-04-17,65.5667,66.2218,65.5242,65.7539,1119005
2015-04-20,65.9921,67.1618,65.958,66.6641,862205
2015-04-21,66.7237,67.2894,66.2473,66.4089,1194674
2015-04-22,66.5536,66.6641,65.6007,66.2473,958689
2015-04-23,66.2388,67.3958,66.0856,66.8428,941200
2015-04-24,66.7747,67.9232,66.443,67.3277,1407517
2015-04-27,67.5574,67.5574,66.1962,66.477,1114053
2015-04-28,66.2983,67.3958,66.0006,67.2256,1365645
2015-04-29,66.0261,66.9449,65.3115,66.6982,1867335
2015-04-30,66.6471,66.6471,65.2009,65.6603,1249760
2015-05-01,65.6773,65.8644,65.1583,65.6688,894415
2015-05-04,65.6603,66.7492,65.5071,66.2047,906086
2015-05-05,65.89,66.2932,64.1715,64.2736,1284788
2015-05-06,64.3246,64.8521,63.7036,64.4692,1390868
2015-05-07,64.8351,65.4646,64.4624,65.0562,1139175
2015-05-08,65.6262,66.0091,64.6479,64.9967,1279666
2015-05-11,64.9967,65.2774,64.6649,64.733,1860084
2015-05-12,64.5179,64.6254,63.6062,63.847,1779863
2015-05-13,64.1395,64.6985,63.2191,63.4428,1585419
2015-05-14,63.7008,64.2083,63.5643,63.847,1156110
2015-05-15,64.0707,64.7674,63.9416,64.4921,1501412
2015-05-18,64.1825,64.8448,64.1481,64.7502,733774
2015-05-19,64.5351,65.6017,64.2943,65.5501,1161012
2015-05-20,65.4641,65.8941,65.1802,65.4039,1107505
2015-05-21,65.4383,65.7135,65.077,65.4727,830648
2015-05-22,65.3006,65.6103,64.8362,65.4039,659315
2015-05-26,65.4383,65.6275,64.4663,64.9222,1278360
2015-05-27,65.1114,65.8511,64.9824,65.7221,1134102
2015-05-28,65.5759,66.0747,65.3118,65.8425,1068511
2015-05-29,65.8425,66.2984,65.6189,65.7737,1077918
2015-06-01,65.8339,66.3672,65.7393,65.8683,1128837
2015-06-02,65.292,65.636,64.1481,64.6039,1422786
2015-06-03,64.3717,64.6899,63.1073,63.503,2053136
2015-06-04,63.2277,64.0621,63.1245,63.4428,1028227
2015-06-05,62.8235,62.8235,61.8687,62.0322,1235063
2015-06-08,62.1354,62.4363,61.8945,61.9117,1063707
2015-06-09,62.4708,62.4708,60.9656,60.9828,1459449
2015-06-10,61.3527,61.701,60.7592,60.8194,2708899
2015-06-11,61.2409,61.7138,60.8282,61.4301,1744112
2015-06-12,61.2064,61.5677,60.8108,60.8194,904538
2015-06-15,60.6302,61.0688,60.3128,61.0258,1475815
2015-06-16,60.9656,61.2322,60.5872,60.9226,782807
2015-06-17,60.871,61.6021,60.57,61.2322,1584561
2015-06-18,61.3441,62.2386,61.3441,61.9634,1953447
2015-06-19,61.6193,62.1268,61.4645,61.5591,1494124
2015-06-22,61.7741,61.8429,61.2839,61.4989,845741
2015-06-23,61.4645,61.5677,60.6732,60.8796,1066081
2015-06-24,60.9398,61.2236,60.6388,60.6474,1194541
2015-06-25,60.656,60.6646,59.7442,59.7528,786133
2015-06-26,59.684,60.7506,59.4002,60.6474,1986663
2015-06-29,60.6818,61.2322,60.0711,60.1657,1354880
2015-06-30,60.4667,61.4215,60.2001,60.6388,4553878
2015-07-01,60.7764,61.4989,60.6216,61.4559,2327968
2015-07-02,62.1354,62.5052,61.5591,61.8257,1394070
2015-07-06,61.7053,62.3332,61.4817,62.3332,1422026
2015-07-07,62.5826,63.6492,62.5052,63.3137,2686295
2015-07-08,63.0643,63.7265,62.9052,63.0471,1731980
2015-07-09,63.1933,63.417,62.2472,62.3762,1266202
2015-07-10,62.3504,62.9267,62.0236,62.3504,949515
2015-07-13,62.6343,62.7805,61.9461,62.144,839322
2015-07-14,62.1526,62.6687,61.9203,62.1784,1296916
2015-07-15,62.3074,62.3745,61.7053,62.144,1536900
2015-07-16,62.2386,63.1675,62.2386,62.7633,1482984
2015-07-17,62.8923,62.8923,62.1956,62.2472,866809
2015-07-20,62.2214,62.2988,61.6107,62.1698,905511
2015-07-21,62.1182,62.2653,61.0086,61.3269,1038645
2015-07-22,61.3613,61.7569,60.957,61.0688,1423368
2015-07-23,60.8022,60.8882,59.4776,59.9507,1705450
2015-07-24,60.0195,60.1141,59.4776,59.5292,921725
2015-07-27,59.5636,60.8968,59.5636,60.5528,1111070
2015-07-28,59.9937,60.613,59.8216,60.1915,1456056
2015-07-29,60.0625,60.3979,59.7184,60.3033,1184743
2015-07-30,60.1227,61.1462,59.9679,60.5183,1026709
2015-07-31,60.9742,61.4989,60.9742,61.086,1187894
2015-08-03,61.2839,61.5505,60.9742,61.2409,1603377
2015-08-04,60.2087,60.7248,58.6863,58.9873,2829100
2015-08-05,58.9873,58.9959,58.2734,58.3852,2976784
2015-08-06,58.368,59.77,57.8262,59.727,1771773
2015-08-07,59.6754,60.957,59.2282,60.4323,1381411
2015-08-10,60.4839,60.8194,58.9615,59.2712,1879382
2015-08-11,59.4801,60.5336,59.4192,60.0199,1904173
2015-08-12,59.75,61.1343,59.6368,60.9515,1937754
2015-08-13,60.9515,60.995,60.1418,60.7599,1243377
2015-08-14,60.5945,61.1169,60.4639,61.0298,1531278
2015-08-17,61.0124,61.7307,60.8644,61.5174,1782754
2015-08-18,61.3171,61.8308,61.143,61.4825,1331129
