date,open,high,low,close,volume
2018-06-05,54.0599,54.2979,52.7803,53.8119,2904786
2018-06-06,53.6135,53.7524,51.6892,51.8677,3642973
2018-06-07,51.828,52.1355,51.3221,51.5106,2928630
2018-06-08,51.8379,52.0859,50.846,50.9055,1830776
2018-06-11,51.0444,51.342,50.479,51.1535,2490703
2018-06-12,51.4114,52.0363,51.0543,51.828,2956130
2018-06-13,51.9768,52.691,51.2527,51.7586,2088989
2018-06-14,52.0264,52.324,51.213,51.5305,2494432
2018-06-15,51.6396,52.7307,51.2329,52.3537,5928826
2018-06-18,52.3537,52.7902,51.8379,52.5025,1874817
2018-06-19,52.81,53.5639,52.6612,53.5341,2585688
2018-06-20,53.2862,54.0202,52.8695,53.7623,1355965
2018-06-21,53.9507,54.3277,53.4746,53.7325,1951191
2018-06-22,53.6234,54.1095,53.5242,54.0003,2453877
2018-06-25,53.921,54.6451,53.5937,54.4665,2031643
2018-06-26,54.1293,55.399,54.1293,54.7641,2018132
2018-06-27,54.655,55.3593,54.5657,55.0121,1506724
2018-06-28,54.9228,55.8354,54.8534,55.2601,1226498
2018-06-29,55.0915,55.7957,54.6253,55.6965,2189669
2018-07-02,55.6866,56.4306,55.6569,56.3512,1952092
2018-07-03,56.3512,56.6091,55.8056,56.0933,849502
2018-07-05,56.0933,56.2768,55.5081,56.1032,1523880
2018-07-06,55.9941,56.6289,55.9544,56.3016,1242355
2018-07-09,56.2421,56.2818,54.1591,54.3277,1309031
2018-07-10,53.9309,54.5955,53.7325,54.5558,1776735
2018-07-11,54.7344,55.6866,54.4864,55.518,1061935
2018-07-12,55.2601,55.6172,54.903,55.2998,1423293
2018-07-13,55.3494,55.6172,55.1014,55.4585,888701
2018-07-16,55.3097,55.637,55.1014,55.5477,740531
2018-07-17,55.7858,55.9445,55.3948,55.5775,1213722
2018-07-18,55.3791,55.5775,54.7344,55.1014,680418
2018-07-19,55.2006,56.1231,55.2006,55.6965,874451
2018-07-20,55.3196,55.7065,55.1123,55.2601,817541
2018-07-23,55.3394,55.3494,54.4864,54.6054,1459946
2018-07-24,54.4665,54.8633,53.9309,54.5459,1560829
2018-07-25,54.5062,55.0815,54.3971,54.5955,1947552
2018-07-26,54.8633,55.4287,54.6649,55.0319,951611
2018-07-27,54.9823,55.2799,54.4566,54.8832,1013210
2018-07-30,54.8534,55.4386,54.3802,54.9625,951443
2018-07-31,55.0617,55.7759,54.6054,55.637,1155699
2018-08-01,55.3593,55.5874,54.4963,55.151,914627
2018-08-02,55.0915,55.6668,54.9328,55.3692,1081343
2018-08-03,55.4386,56.1826,54.9923,55.7263,1089819
2018-08-06,55.7164,56.4405,55.4982,55.6965,1159138
2018-08-07,55.6965,56.3115,55.4585,56.1627,1412066
2018-08-08,55.9544,56.1627,55.6569,55.9148,1111468
2018-08-09,55.151,56.8571,55.0617,56.5595,1610132
2018-08-10,56.6587,57.5217,56.6587,57.2142,1507528
2018-08-13,56.986,57.3382,56.5496,57.1447,1977295
2018-08-14,57.1745,57.4919,56.8769,56.9761,1033225
2018-08-15,56.996,57.7498,56.7976,57.2241,1423625
2018-08-16,57.1051,57.4126,56.8372,57.2142,1828457
2018-08-17,57.1051,57.7498,56.9048,57.4026,3784634
2018-08-20,57.4026,57.7697,57.1745,57.3828,1413355
2018-08-21,57.1844,57.2142,56.8571,56.9464,1729299
2018-08-22,57.0654,57.1646,56.3512,56.5297,1304378
2018-08-23,56.4504,56.9464,56.3611,56.4802,995955
2018-08-24,56.5099,57.0555,56.1528,56.986,1137851
2018-08-27,56.9662,57.2935,56.2421,56.5,2003756
2018-08-28,56.44,57.28,56.27,56.9,1428868
2018-08-29,56.82,57.31,56.72,57.11,1266092
2018-08-30,57.28,57.61,57.12,57.35,994138
2018-08-31,57.46,57.64,56.93,57.05,1422216
2018-09-04,57.27,57.68,57.03,57.51,1135348
2018-09-05,57.63,58.62,57.63,58.52,1871963
2018-09-06,58.41,59.28,58.41,58.95,1559552
2018-09-07,58.43,58.86,58.28,58.3,1598405
2018-09-10,58.43,58.98,58.3,58.48,1660024
2018-09-11,58.34,58.75,58.34,58.41,1194773
