date,open,high,low,close,volume
2015-01-02,42.7449,43.1826,42.0481,42.3429,1345485
2015-01-05,42.1196,42.2178,41.4496,41.6148,1913840
2015-01-06,41.6997,41.7176,40.3776,40.9046,1789498
2015-01-07,40.86,41.0997,40.3151,40.6367,2146923
2015-01-08,41.0565,41.5746,40.9315,41.5568,1591990
2015-01-09,41.5121,41.6148,41.0565,41.0833,2085167
2015-01-12,40.994,41.3156,40.4937,40.7885,1423470
2015-01-13,41.0833,42.0124,40.4759,40.985,2909862
2015-01-14,40.6903,40.8779,39.6451,40.1364,4336571
2015-01-15,40.2615,41.1458,39.1716,39.2967,4948510
2015-01-16,39.252,40.4669,39.0555,40.4223,3268145
2015-01-20,40.4759,40.8064,40.1453,40.5563,2168329
2015-01-21,40.3776,41.128,40.2257,40.9761,1615802
2015-01-22,41.2262,41.6908,40.726,41.4942,1583112
2015-01-23,41.5389,41.798,41.2798,41.3513,1455164
2015-01-26,41.3156,41.5836,41.1012,41.1816,1279055
2015-01-27,40.6188,40.6188,39.9131,40.5563,1679603
2015-01-28,40.7001,40.8888,40.1518,40.2057,1801136
2015-01-29,40.0349,40.5652,39.7383,40.4394,2255272
2015-01-30,40.1158,40.5562,39.7922,39.9091,2541330
2015-02-02,39.936,40.5832,39.5226,40.4214,2713390
2015-02-03,40.709,41.1765,40.6551,41.1495,1860472
2015-02-04,40.1248,40.1338,37.7878,37.9496,9099765
2015-02-05,37.8597,38.0844,37.4372,37.8058,4790009
2015-02-06,37.9586,38.3541,37.617,38.0529,4185644
2015-02-09,37.9226,38.4889,37.8777,37.9855,2482949
2015-02-10,38.3091,38.3091,37.5361,38.2102,2625541
2015-02-11,38.1204,38.3091,37.8327,37.9271,2636307
2015-02-12,37.9136,38.0574,36.835,37.9631,5592895
2015-02-13,38.1833,38.9204,37.9675,38.2012,4364265
2015-02-17,38.2282,38.5158,38.0574,38.3001,2815130
2015-02-18,38.3091,38.9293,38.2759,38.7046,2190813
2015-02-19,38.6776,38.9653,38.5698,38.6147,1955949
2015-02-20,38.5878,38.5878,38.1944,38.4394,2648170
2015-02-23,38.426,38.5383,37.8687,37.9361,2251260
2015-02-24,37.9316,38.0574,37.59,37.8417,3684410
2015-02-25,37.8777,38.2192,37.7159,38.1383,4304367
2015-02-26,38.1833,38.2102,37.8956,37.9406,1571156
2015-02-27,38.0934,38.1653,37.3339,37.3473,2410203
2015-03-02,37.3024,37.3473,36.7901,37.3024,7641387
2015-03-03,37.1046,37.3383,36.8799,36.9429,7851794
2015-03-04,35.9451,36.3047,35.4687,35.7923,10345861
2015-03-05,35.7384,36.6283,35.6036,36.5114,5530112
2015-03-06,36.2328,36.5833,36.071,36.4485,3593393
2015-03-09,36.4035,36.862,36.1968,36.7316,2771253
2015-03-10,36.4305,36.8889,36.044,36.4889,3663976
2015-03-11,36.5923,36.7541,36.2328,36.3316,3989445
2015-03-12,36.6732,36.8979,36.2462,36.853,3499915
2015-03-13,37.0327,37.0327,36.1519,36.7002,2483176
2015-03-16,36.7811,37.2575,36.6732,37.1721,2115497
2015-03-17,36.9159,39.1001,36.9159,38.2821,7977256
2015-03-18,38.2012,38.5967,37.8507,38.5158,4565314
2015-03-19,38.4439,38.4799,37.9855,38.1743,2526954
2015-03-20,38.4799,38.6147,37.8867,38.0215,5405168
2015-03-23,38.0305,38.2462,37.6619,37.9496,4730674
2015-03-24,37.8867,38.5158,37.8867,38.1024,2872738
2015-03-25,38.2732,38.381,37.6529,37.6529,3093770
2015-03-26,37.4642,37.6799,37.1676,37.2664,2227717
2015-03-27,37.1226,37.3114,36.8709,37.0058,1779848
2015-03-30,37.2035,37.7428,37.1406,37.5721,1578124
2015-03-31,37.4552,37.599,37.1676,37.244,1705580
2015-04-01,37.1136,37.3473,36.799,37.0687,2052532
2015-04-02,37.1226,37.2296,36.835,36.8979,2035507
2015-04-06,36.7901,37.1855,36.7002,36.9698,2604770
2015-04-07,36.5833,36.9339,36.008,36.2642,3449541
2015-04-08,36.2687,36.5653,36.1698,36.3676,2173899
2015-04-09,36.4215,36.5024,35.9721,36.2957,2405504
2015-04-10,36.3047,36.4035,35.8552,35.9631,4111379
2015-04-13,36.08,36.2238,35.7654,35.9721,4511621
2015-04-14,37.5091,37.7518,36.2418,37.5676,9567652
2015-04-15,37.5721,37.7518,36.9608,37.1766,4501456
2015-04-16,37.2664,37.3923,36.6642,36.8709,3415604
2015-04-17,36.6822,36.862,36.3092,36.4395,3215379
2015-04-20,36.6372,36.817,36.3496,36.6732,2622343
2015-04-21,36.862,37.2664,36.7361,37.0867,3078735
2015-04-22,37.1766,37.599,37.0687,37.3743,2731980
2015-04-23,37.2215,37.9855,37.1586,37.8147,3064459
2015-04-24,37.8871,37.8871,37.2628,37.67,2607968
2015-04-27,37.7967,38.783,37.6157,38.3758,4239923
2015-04-28,38.2672,38.8282,38.0048,38.6608,3639572
2015-04-29,38.5206,39.2716,38.2853,38.9685,3923268
2015-04-30,38.9459,39.1449,38.4029,38.5658,4257012
2015-05-01,38.6472,38.9006,38.4075,38.7649,2462403
2015-05-04,38.7558,39.1268,38.6925,39.0454,2138896
2015-05-05,38.7015,38.7468,37.5931,37.679,4163721
2015-05-06,37.6881,37.8643,37.3261,37.7197,1942285
2015-05-07,37.5976,38.1858,37.5976,38.0229,1727938
2015-05-08,38.4482,39.0363,38.1586,38.6563,2042118
2015-05-11,38.5477,38.6509,38.2672,38.4255,1589424
2015-05-12,38.3215,39.0725,38.0772,38.9187,2119988
2015-05-13,38.9187,39.0635,38.6834,38.7558,2535966
2015-05-14,38.9459,39.163,38.8101,39.154,1460885
2015-05-15,39.2173,39.2897,38.6382,38.7106,1871135
2015-05-18,38.5839,38.8735,38.2717,38.611,1751590
2015-05-19,38.5839,38.6291,38.1043,38.4753,1245847
2015-05-20,38.6382,38.6563,38.394,38.5206,932070
2015-05-21,38.4844,38.8735,38.4482,38.6291,1144603
2015-05-22,38.4934,38.6744,38.3305,38.3667,997115
2015-05-26,38.3667,38.4933,38.1405,38.3351,1851652
2015-05-27,38.3939,38.6065,38.1496,38.5658,1076096
2015-05-28,38.4572,38.6744,38.3667,38.5025,1486222
2015-05-29,38.4482,38.5387,37.489,37.5614,2362820
2015-06-01,38.2129,38.2129,37.3714,37.7152,1395255
2015-06-02,37.498,38.2762,37.4926,38.1088,1368880
2015-06-03,38.3124,38.5025,37.9052,38.4844,1793467
2015-06-04,38.3305,38.4482,38.0772,38.1315,1493253
2015-06-05,38.0953,38.1767,37.7469,37.9052,1003537
2015-06-08,37.8238,37.9595,37.5614,37.5704,1086870
2015-06-09,37.5704,37.8962,37.498,37.7152,1555781
2015-06-10,37.9414,38.3124,37.9414,38.1586,1480347
2015-06-11,38.2853,38.3667,37.9595,38.3124,1531743
2015-06-12,38.1948,38.2762,37.9595,38.0319,1157353
2015-06-15,37.8238,37.9505,37.4257,37.8962,1313175
2015-06-16,37.7786,38.1767,37.6066,38.1405,1143392
2015-06-17,38.2129,38.6925,38.0953,38.6337,1822575
2015-06-18,38.8011,39.3259,38.6871,39.2807,2183979
2015-06-19,39.2354,39.2626,38.8101,38.8916,2252916
