date,open,high,low,close,volume
2015-01-02,168.4965,169.3304,165.1514,167.2069,1249847
2015-01-05,166.5961,166.7027,164.1988,164.6375,1726204
2015-01-06,167.1778,168.0505,164.4242,164.6278,2613704
2015-01-07,166.7415,167.1003,164.8799,165.8398,1835878
2015-01-08,167.9147,170.0285,167.2166,169.7182,1819587
2015-01-09,169.2043,169.9024,167.11,167.4105,1396181
2015-01-12,168.768,169.6794,167.2457,167.3233,1884729
2015-01-13,168.6419,169.4176,164.9286,166.2858,1738541
2015-01-14,164.8314,167.7014,163.8715,167.4978,1928977
2015-01-15,168.0214,169.1558,166.8482,168.5644,2221250
2015-01-16,167.6045,171.5216,167.6045,171.3859,2588860
2015-01-20,172.8888,174.0135,171.8125,173.6838,2596301
2015-01-21,173.4996,174.9443,172.0937,173.2572,1616398
2015-01-22,174.0717,175.9721,172.8888,175.8848,1537443
2015-01-23,172.1616,175.2449,170.2127,170.6587,3344296
2015-01-26,170.5908,172.53,169.8442,171.2889,1393780
2015-01-27,170.203,170.2515,168.3317,168.5935,1387968
2015-01-28,170.0963,170.2806,165.9467,166.2373,1221417
2015-01-29,166.9064,167.9729,164.8799,167.6336,1640567
2015-01-30,166.3537,168.3608,163.7455,163.9685,2194561
2015-02-02,164.1527,166.0919,162.9242,166.0434,1475662
2015-02-03,167.7596,168.7001,165.5586,167.7111,1649544
2015-02-04,166.9064,167.9463,165.9658,166.8482,1442277
2015-02-05,167.4687,168.8746,167.3524,168.099,1149661
2015-02-06,168.7971,169.66,167.0906,167.9826,1056568
2015-02-09,167.0518,167.9341,165.7622,166.4216,1210544
2015-02-10,167.6917,168.4577,165.5877,168.0311,1497878
2015-02-11,168.1184,169.6697,167.6917,168.6322,1386041
2015-02-12,169.3982,171.4344,168.894,170.9399,2116184
2015-02-13,170.5133,172.084,170.2612,171.1047,1674385
2015-02-17,171.2308,174.2074,171.1435,174.0814,1527595
2015-02-18,173.9359,174.5759,173.4027,174.3141,1270725
2015-02-19,174.4983,174.5274,173.1893,173.2184,1698730
2015-02-20,172.6367,173.4317,171.5507,173.073,1430245
2015-02-23,173.073,173.3736,171.9967,172.8791,956499
2015-02-24,172.5106,173.1603,172.0452,172.3943,1136426
2015-02-25,172.5979,172.6464,169.9703,170.2999,1419397
2015-02-26,170.1545,170.6199,168.1474,169.2916,1893896
2015-02-27,171.6768,172.6367,170.8914,171.5992,2398241
2015-03-02,171.5992,172.7336,170.7073,171.4247,1535324
2015-03-03,171.1338,171.1532,169.5049,170.7944,1282163
2015-03-04,170.2224,170.4357,169.1073,169.311,1035588
2015-03-05,170.0091,170.0091,168.2444,169.5049,932207
2015-03-06,168.7389,169.883,167.7402,167.9244,1132294
2015-03-09,167.7886,169.0796,167.5847,167.8468,1539119
2015-03-10,166.2063,167.0217,165.022,165.022,1478393
2015-03-11,165.022,167.2838,165.022,166.5363,1352572
2015-03-12,166.9343,168.5457,166.9343,168.4972,987947
2015-03-13,168.5069,169.6912,167.2839,168.2448,1150762
2015-03-16,169.1087,172.2655,169.1087,172.1277,1796668
2015-03-17,171.7103,173.3702,170.5648,170.5648,2721145
2015-03-18,166.9635,169.0408,165.5171,168.2254,4244328
2015-03-19,168.5069,170.0018,167.4488,168.7593,2095873
2015-03-20,169.002,169.2349,166.847,167.0023,2701611
2015-03-23,167.1285,167.2353,165.6433,165.6433,1754173
2015-03-24,165.3035,165.5074,164.2066,164.2066,1237425
2015-03-25,164.7696,164.823,160.5082,160.5858,1978407
2015-03-26,159.4695,161.7507,158.8094,160.6441,1752675
2015-03-27,160.217,160.7703,159.6928,159.7704,917054
2015-03-30,160.217,162.4787,160.149,161.8672,1530370
2015-03-31,161.1392,161.5954,160.1636,160.6053,1568237
2015-04-01,160.1878,161.6245,159.4695,161.3721,1612488
2015-04-02,161.8284,161.9254,160.8479,161.3527,1642748
2015-04-06,160.5276,162.3623,160.1684,161.7895,1270599
2015-04-07,167.6915,168.7496,165.7129,166.1481,5488747
2015-04-08,166.0704,166.8567,164.3522,166.8081,3196068
2015-04-09,166.4393,168.371,166.0801,167.8565,1944592
2015-04-10,168.2351,169.3903,167.4682,169.2641,2235391
2015-04-13,168.5554,170.1668,167.9439,168.0604,1397697
2015-04-14,166.9732,168.0604,166.0898,166.4781,1816150
2015-04-15,166.5558,167.3129,164.3619,164.5561,2057985
2015-04-16,164.6046,165.2744,163.7407,164.2843,1760361
2015-04-17,163.3039,163.6436,162.4254,163.0806,1643084
2015-04-20,163.3621,165.022,163.3621,164.1095,1243997
2015-04-21,164.4687,165.4588,164.129,164.9347,1086554
2015-04-22,164.8182,165.7743,163.7407,165.0317,1054635
2015-04-23,164.0998,165.9247,164.0998,165.1191,1050449
2015-04-24,164.7599,165.2647,164.061,164.9735,949492
2015-04-27,165.3715,165.6142,163.9154,164.0804,1472490
2015-04-28,164.3134,166.9246,163.5757,166.2257,1522218
2015-04-29,164.8667,165.9345,163.7795,164.6046,1115325
2015-04-30,163.4592,164.9735,163.43,164.6046,1818816
2015-05-01,165.022,166.8955,164.9541,166.7014,1164647
2015-05-04,166.5849,168.4001,166.4878,167.2838,1041388
2015-05-05,166.4781,167.2838,164.5464,164.8376,1166962
2015-05-06,165.6918,165.7695,163.5271,164.5949,1045670
2015-05-07,164.8958,167.5556,164.6143,166.7111,1148646
2015-05-08,167.9245,168.9923,167.7206,168.2739,1236429
2015-05-11,168.9146,169.8562,167.7012,169.099,1327742
2015-05-12,168.0895,168.6137,167.3906,168.3419,1126731
2015-05-13,167.9245,168.4195,166.6431,166.8955,1214183
2015-05-14,167.7789,168.9049,167.0702,168.371,1478842
2015-05-15,169.1087,170.1571,168.4195,170.0115,1492242
2015-05-18,170.0115,172.2345,169.8853,171.9918,1558037
2015-05-19,172.3121,173.4673,171.817,172.7684,1237492
2015-05-20,172.5063,173.5546,171.9628,172.3218,941665
2015-05-21,171.7297,172.0597,170.3416,171.3802,1112357
2015-05-22,171.3123,171.5452,169.565,170.0503,775816
2015-05-26,169.8756,169.9144,168.6913,169.0117,953620
2015-05-27,169.5164,171.7103,168.8273,171.487,808808
2015-05-28,170.9531,170.9939,169.4388,169.9727,1300951
2015-05-29,169.4097,169.7591,167.9342,168.1477,1158219
2015-06-01,168.7787,170.8269,167.8565,170.2348,1272487
2015-06-02,169.4291,171.4773,168.0312,170.5745,1001537
2015-06-03,171.3317,175.0107,170.5745,174.6515,1930902
2015-06-04,173.6614,174.7195,173.5352,174.37,1354982
2015-06-05,174.2633,177.6656,173.3702,176.9036,1940448
2015-06-08,176.593,176.6706,174.3797,174.6224,1617691
