date,open,high,low,close,volume
2015-01-02,51.8415,52.1079,50.8676,51.4832,949937
2015-01-05,51.1157,51.5337,50.6931,51.3454,2045620
2015-01-06,51.474,51.5888,49.5401,50.0133,2715623
2015-01-07,50.5737,52.6132,50.5553,52.2916,3255544
2015-01-08,52.8153,52.9347,52.3192,52.8244,2266556
2015-01-09,52.1079,52.2732,51.2994,51.6485,1749278
2015-01-12,51.8966,52.3835,51.7312,52.1722,1866834
2015-01-13,52.4478,52.4983,50.5829,51.1065,2210114
2015-01-14,49.5109,49.5109,47.6385,49.0774,5715096
2015-01-15,48.9944,49.1235,47.7492,48.0813,3303127
2015-01-16,48.072,48.441,47.1497,48.0259,3130700
2015-01-20,48.3211,48.3949,47.5924,47.8138,2340524
2015-01-21,47.7216,48.4963,47.5463,48.4318,1597929
2015-01-22,48.2473,49.6216,48.2473,49.3264,2305178
2015-01-23,49.4002,49.806,48.8791,49.2987,1886510
2015-01-26,49.1881,49.9167,48.8929,49.7968,1360378
2015-01-27,49.225,50.2488,49.1004,49.8798,1286462
2015-01-28,50.1012,50.4886,49.4279,49.6123,1386089
2015-01-29,49.9167,50.1841,49.2526,50.1288,1527688
2015-01-30,50.5439,50.6454,49.0174,49.0866,1795210
2015-02-02,49.2157,49.5109,48.072,49.1973,2147345
2015-02-03,49.3356,50.4517,49.0774,50.4148,2139697
2015-02-04,49.806,50.3594,49.391,50.1104,2216737
2015-02-05,50.2303,51.0696,50.0182,50.175,2748319
2015-02-06,50.3594,50.4517,48.773,48.9759,2998835
2015-02-09,48.7361,48.8929,48.1458,48.358,1793407
2015-02-10,48.6808,49.1788,48.4779,49.1512,1498227
2015-02-11,49.1143,49.6031,49.0729,49.2342,1473005
2015-02-12,49.6123,49.9905,49.1051,49.889,1990093
2015-02-13,49.8245,50.2579,49.6031,49.7691,1050845
2015-02-17,49.6585,49.9352,49.0036,49.4832,1069380
2015-02-18,49.2619,49.9352,49.2619,49.5939,1681768
2015-02-19,50.2764,51.0327,50.1842,50.8022,2466957
2015-02-20,50.839,51.291,50.4701,51.2449,2104417
2015-02-23,51.3832,51.8259,51.2495,51.6415,1311299
2015-02-24,51.6507,51.8259,51.0973,51.4755,1265168
2015-02-25,51.3556,51.8075,51.0973,51.54,1200723
2015-02-26,51.5031,51.9366,51.291,51.5031,1206274
2015-02-27,51.6046,52.0104,51.5216,51.8075,1283994
2015-03-02,51.8444,52.1488,51.5123,51.7983,1422318
2015-03-03,51.8905,52.3793,51.4386,52.0565,2587801
2015-03-04,52.1303,53.1357,51.706,53.025,4106499
2015-03-05,53.2648,53.357,52.0934,52.6007,3523554
2015-03-06,54.0211,55.2017,53.5968,54.759,6211260
2015-03-09,55.2017,56.4284,55.2017,56.3177,4634934
2015-03-10,55.9857,56.207,55.5798,55.9211,2465131
2015-03-11,55.792,56.3915,55.792,56.373,2239723
2015-03-12,56.7328,57.0925,56.4192,56.7143,1776703
2015-03-13,56.6866,56.908,56.1978,56.5483,1223554
2015-03-16,56.8619,57.2585,55.8565,55.9949,2382029
2015-03-17,55.9949,56.9449,55.8658,56.4745,2742873
2015-03-18,56.2439,56.5575,55.5429,56.4192,1791860
2015-03-19,56.3915,57.3507,56.3915,57.2585,1668944
