date,open,high,low,close,volume
2015-01-02,120.728,121.9674,119.7849,121.9135,250622
2015-01-05,121.4644,123.62,121.2668,123.5661,500200
2015-01-06,124.1858,125.3354,123.7457,125.1827,563008
2015-01-07,125.5779,127.976,124.087,127.8053,347528
2015-01-08,127.8053,128.3801,126.7276,127.2485,419301
2015-01-09,127.2664,128.1735,126.1887,127.3652,310324
2015-01-12,127.5089,128.7124,127.5089,128.1197,266083
2015-01-13,128.443,129.0537,126.8353,127.4371,353237
2015-01-14,126.7814,128.8831,126.4401,128.5328,394928
2015-01-15,128.5418,129.2513,127.9221,128.416,243735
2015-01-16,128.425,129.7992,127.7604,129.5477,295257
2015-01-20,129.6016,130.1135,127.9849,128.5777,283438
2015-01-21,128.3083,128.7572,127.1856,128.5418,213366
2015-01-22,128.9549,131.1284,128.7214,130.841,309365
2015-01-23,131.3889,131.7571,129.9878,130.2932,182831
2015-01-26,129.9608,132.8259,129.0538,132.8169,327201
2015-01-27,132.3858,133.3378,131.6044,132.2421,257975
2015-01-28,132.8708,133.2031,131.7392,131.802,274060
2015-01-29,131.793,132.5744,130.7692,132.3858,238147
2015-01-30,131.7841,132.1523,128.9998,129.1256,969006
2015-02-02,129.5387,129.6285,126.6557,129.2064,399407
2015-02-03,129.2064,130.7512,128.205,130.6973,226577
2015-02-04,130.3201,130.6794,129.4714,129.9788,265607
2015-02-05,130.9578,132.1523,130.0417,132.0625,198787
2015-02-06,131.9906,132.0625,126.8982,127.8053,446277
2015-02-09,128.0209,128.6136,126.8533,127.006,165750
2015-02-10,127.5538,127.949,125.8923,127.8682,256882
2015-02-11,128.9459,129.5836,126.1527,127.7514,240445
2015-02-12,128.2185,129.8441,127.3113,129.8171,301988
2015-02-13,129.4848,129.7094,128.3442,129.2962,354178
2015-02-17,128.6496,130.6704,128.6496,128.9549,372909
2015-02-18,128.8292,130.2303,127.6661,130.0866,334846
2015-02-19,129.5297,129.7812,127.4416,127.7424,340819
2015-02-20,127.2036,129.7633,126.7545,129.5477,266211
2015-02-23,129.6914,130.6883,128.9549,130.6075,285740
2015-02-24,129.6106,129.7269,127.8502,128.443,403767
2015-02-25,128.2993,129.4399,127.5269,128.0119,285913
2015-02-26,128.1646,128.4969,126.1976,126.2515,242466
2015-02-27,126.5659,128.0209,125.4791,127.5628,377939
2015-03-02,127.5718,129.8082,127.2305,128.1376,379611
2015-03-03,127.9131,128.434,126.3952,127.2485,246683
2015-03-04,127.464,127.7694,126.1527,126.5569,246196
2015-03-05,127.4281,128.5418,126.3054,127.4011,264378
2015-03-06,125.9102,125.9102,122.6859,123.144,342884
2015-03-09,123.9613,124.9043,123.7278,124.581,302019
2015-03-10,124.1499,124.6528,123.6379,123.9613,346462
2015-03-11,124.3115,125.9237,123.8625,125.4701,401196
2015-03-12,125.6767,127.5089,125.6138,126.7455,323121
2015-03-13,126.5569,127.4461,125.6319,127.2844,340380
2015-03-16,128.0119,129.9249,127.5448,128.901,497377
2015-03-17,128.7034,129.8082,128.1601,129.0537,378349
2015-03-18,129.0809,133.0477,128.3986,132.5598,443628
2015-03-19,131.9453,133.7345,131.7294,132.2887,407062
2015-03-20,132.5507,135.1893,132.4333,135.0357,773546
2015-03-23,135.0176,136.5447,134.376,135.7857,526891
2015-03-24,135.6953,135.7766,134.4031,134.5116,406355
2015-03-25,134.6652,135.126,131.5568,131.7013,348453
2015-03-26,131.5658,131.9092,130.4182,130.9604,344268
2015-03-27,130.8971,131.9634,130.87,131.62,241930
2015-03-30,131.873,134.5658,131.6381,134.5116,389753
2015-03-31,134.376,134.9092,132.4784,133.0206,606862
2015-04-01,133.0116,133.2646,130.9242,132.3158,398137
2015-04-02,132.0809,134.6652,132.0809,134.1411,279303
2015-04-06,134.0055,135.9845,133.9965,134.8188,382623
2015-04-07,134.6833,134.6833,131.9905,132.0357,332336
2015-04-08,132.1531,132.8851,132.117,132.614,244928
2015-04-09,132.2977,132.2977,128.8188,129.0718,384852
2015-04-10,130.2556,131.0778,128.3128,128.6923,397180
2015-04-13,128.8188,129.0899,127.4273,127.4273,302942
2015-04-14,128.0417,128.7465,127.5267,127.617,334526
2015-04-15,127.7164,128.123,125.8369,125.9453,315725
2015-04-16,125.611,126.758,125.042,125.8279,355725
2015-04-17,125.4303,126.1712,124.0703,125.62,371337
2015-04-20,125.8459,126.6321,125.4221,126.099,289974
2015-04-21,126.8038,127.617,125.9092,126.6953,272030
2015-04-22,126.6682,127.8339,126.4604,126.9122,207002
2015-04-23,126.5417,127.4002,126.2706,126.7496,228571
2015-04-24,127.1652,127.8023,126.1712,126.8851,233453
2015-04-27,127.0839,127.861,126.5417,126.9032,421406
2015-04-28,126.6863,126.7496,125.602,125.8279,243198
2015-04-29,124.5718,125.4484,123.0447,123.5056,292282
2015-04-30,123.1713,123.6773,119.864,120.7857,661692
2015-05-01,121.2646,122.9002,120.7676,122.0417,288266
2015-05-04,122.2405,123.4333,121.6622,121.9694,268431
2015-05-05,121.599,121.852,119.4664,119.7285,386056
2015-05-06,119.7104,120.3701,118.364,119.1863,286159
2015-05-07,119.358,121.4454,118.8881,121.0839,319434
2015-05-08,122.3128,123.1893,120.9032,121.111,398762
2015-05-11,120.849,121.7978,118.9785,119.5297,306659
2015-05-12,118.5357,120.614,117.5869,120.2255,239296
2015-05-13,121.1201,121.8609,118.0026,118.355,535646
2015-05-14,118.5899,121.8701,118.5899,121.8158,358067
2015-05-15,122.2134,123.5598,121.7887,123.3972,368574
2015-05-18,122.6562,123.849,122.2405,123.4243,375824
2015-05-19,123.4062,123.7993,122.7827,123.352,251169
2015-05-20,123.5779,124.1652,122.7194,122.7556,303023
2015-05-21,122.7827,123.0628,121.3595,122.0056,230577
2015-05-22,121.5357,123.1938,121.4363,122.1773,159151
2015-05-26,121.4996,122.2993,120.9032,121.5809,444177
2015-05-27,121.5267,122.7917,121.1833,122.5116,249228
2015-05-28,122.105,123.1261,121.6803,122.5839,340057
2015-05-29,122.8821,122.8821,121.1833,121.5086,791926
2015-06-01,121.5357,123.7044,121.0794,123.2978,645248
2015-06-02,122.8188,122.864,121.0026,121.3821,292204
2015-06-03,121.599,121.6893,118.8791,119.2857,498018
2015-06-04,119.0869,119.611,118.4273,118.7616,343445
2015-06-05,117.3068,118.5809,116.6833,117.8219,351556
2015-06-08,118.1562,118.8881,117.0267,118.3098,242723
2015-06-09,118.1562,118.7978,116.8189,116.9454,292637
2015-06-10,116.9634,118.7164,116.3896,117.7134,265035
2015-06-11,118.111,119.2225,118.0387,118.7345,849639
2015-06-12,118.6893,119.1773,118.0207,118.8068,268223
2015-06-15,118.4905,119.0056,117.9122,118.6442,341489
2015-06-16,118.5086,119.9996,118.2601,119.8911,415473
2015-06-17,120.2345,121.4363,119.0914,121.1381,452859
2015-06-18,121.5656,123.5666,121.1382,123.0209,371386
2015-06-19,122.5934,122.7844,120.2468,121.6748,577699
2015-06-22,121.7385,122.4479,120.6652,120.7289,560787
2015-06-23,120.5106,121.693,119.4101,119.7011,317876
2015-06-24,119.883,121.0909,118.919,119.0099,270428
2015-06-25,118.8553,120.5242,117.4819,117.6911,267922
2015-06-26,117.7821,119.1463,116.4724,118.6916,637364
2015-06-29,118.5006,119.6739,116.1358,116.2723,255522
2015-06-30,116.8726,117.7366,115.9448,116.4997,425544
2015-07-01,116.8544,118.6734,116.1813,118.6461,365179
2015-07-02,120.0922,121.1655,118.8462,119.1372,254118
2015-07-06,118.537,120.7471,117.6365,120.5925,401966
2015-07-07,120.9563,122.6207,120.547,122.1386,340579
2015-07-08,121.5475,122.5024,120.929,122.3023,274606
2015-07-09,122.7298,123.0209,120.9563,121.3019,241011
2015-07-10,121.9294,123.3465,121.4383,121.9294,374715
2015-07-13,122.8572,123.7394,121.6202,122.3569,172496
2015-07-14,122.5479,123.1755,121.8476,122.1023,278420
2015-07-15,121.8021,123.3119,120.9472,122.4206,482279
2015-07-16,122.6843,124.6034,122.6843,124.1941,235148
2015-07-17,124.3306,124.4215,122.9845,123.603,313420
2015-07-20,123.3665,124.0486,122.3023,123.9759,248865
2015-07-21,124.0122,124.6034,122.8662,122.9936,277768
2015-07-22,123.3574,123.894,123.0391,123.2846,285909
2015-07-23,123.321,123.603,121.1655,121.7294,334017
2015-07-24,121.6566,122.9754,121.1655,122.3023,272767
2015-07-27,122.6753,123.4756,121.2473,121.9022,368535
2015-07-28,122.0022,123.1436,121.502,122.7753,235214
2015-07-29,122.7389,124.2032,121.8749,124.0668,259234
2015-07-30,123.321,124.3124,123.221,124.2032,276998
2015-07-31,125.1946,126.2951,124.3306,124.4124,512691
2015-08-03,124.4397,126.4952,124.3488,126.4679,315309
2015-08-04,126.7226,126.7863,124.7444,124.9763,209212
2015-08-05,125.2674,126.4134,123.6211,123.8576,410396
2015-08-06,124.5943,125.8404,121.9931,123.4756,495398
2015-08-07,123.3938,124.4761,122.366,124.2487,298558
2015-08-10,124.7489,125.4401,122.2205,122.6025,397578
2015-08-11,122.6025,123.9122,122.2933,123.0845,523344
2015-08-12,122.839,123.8849,122.2023,123.7212,404529
2015-08-13,123.4392,124.7762,121.7093,124.2032,208672
2015-08-14,123.7667,124.6489,122.3878,124.6034,217792
2015-08-17,124.6307,125.7039,123.6939,125.6585,312824
2015-08-18,125.5038,125.9813,124.8218,125.4311,313968
2015-08-19,124.6034,125.4584,124.1669,124.3488,324037
2015-08-20,124.3215,124.8808,123.0027,123.5211,359907
2015-08-21,122.648,123.7576,121.7976,121.8749,429790
2015-08-24,118.3369,120.1286,115.8539,116.0358,479717
2015-08-25,118.5188,118.5642,113.571,113.6529,589238
2015-08-26,115.7175,119.1009,114.6146,118.5915,725380
2015-08-27,119.5283,122.5115,119.0099,121.1564,639777
2015-08-28,120.9472,121.2669,119.8285,120.6925,378030
