date,open,high,low,close,volume
2015-01-02,128.3451,128.8827,127.1309,128.3265,1112187
2015-01-05,127.8724,128.4934,125.481,125.6479,1437105
2015-01-06,125.8518,126.6211,124.3688,125.7962,2772798
2015-01-07,125.861,126.6767,125.101,125.3142,2067425
2015-01-08,126.1762,128.4378,126.0232,128.3358,3858422
2015-01-09,128.2524,129.309,127.3348,128.8085,3032676
2015-01-12,129.3832,129.3925,127.4738,127.8168,1386557
2015-01-13,129.309,130.4584,126.6952,127.7148,1722098
2015-01-14,126.4672,128.3201,126.0669,127.8824,1258766
2015-01-15,128.6366,128.9346,127.3145,128.2176,1482226
2015-01-16,128.0128,129.5584,127.3797,129.4839,1681524
2015-01-20,129.5025,130.2474,127.1935,128.5714,1761889
2015-01-21,128.7763,129.7353,128.3107,129.3163,1197950
2015-01-22,129.8098,131.8023,128.9159,131.4764,1311172
2015-01-23,131.4298,132.5937,130.657,131.5788,896415
2015-01-26,131.4019,131.4019,129.8936,130.4056,1223728
2015-01-27,128.7949,129.1859,127.6031,127.7428,1590220
2015-01-28,129.4187,132.1374,126.7465,126.9979,2764677
2015-01-29,126.9234,127.4076,123.8695,125.2103,3133151
2015-01-30,123.674,125.7969,123.4878,124.0278,3479826
2015-02-02,124.6609,127.0817,123.3668,126.7372,2031002
2015-02-03,127.4635,129.5072,127.0631,129.3722,1893141
2015-02-04,129.1859,130.2287,128.7297,128.9811,1500466
2015-02-05,129.009,129.6048,128.5063,129.1301,1399690
2015-02-06,129.1301,130.6757,128.767,129.6887,1428411
2015-02-09,129.0928,129.6608,127.2121,127.5007,1902148
2015-02-10,129.1673,129.1673,127.2773,128.6366,1361432
2015-02-11,128.5714,128.7111,126.9234,127.7521,1297443
2015-02-12,127.808,128.9997,127.6124,128.6273,860934
2015-02-13,128.2083,128.6739,127.5286,128.1245,1361709
2015-02-17,127.8452,128.7297,126.8676,128.5342,1242510
2015-02-18,128.2456,129.3256,128.1525,129.1021,755161
2015-02-19,128.8042,130.2753,128.497,129.8936,742822
2015-02-20,129.7167,132.724,129.456,132.4354,1341241
2015-02-23,131.9698,132.2585,131.0667,131.5229,747378
2015-02-24,131.1691,132.2678,131.1133,131.914,764208
2015-02-25,131.914,131.914,130.3312,130.4801,735321
2015-02-26,130.536,130.9466,129.4187,129.8191,1059622
2015-02-27,129.4746,129.9215,129.1673,129.2139,1267795
2015-03-02,129.6142,130.927,129.2325,130.1636,1278156
2015-03-03,129.5304,129.577,126.9515,127.6404,1513454
2015-03-04,127.119,128.05,126.6534,126.8583,1866777
2015-03-05,126.821,127.8173,126.3834,127.0259,1660498
2015-03-06,126.3089,126.821,125.2103,125.322,1393123
2015-03-09,125.1079,127.1469,124.8285,126.551,1115279
2015-03-10,125.2382,125.6851,123.4878,123.5437,1997371
2015-03-11,124.2513,124.5492,122.9664,123.1805,1495151
2015-03-12,123.404,124.8285,123.404,124.4561,1520060
2015-03-13,124.3351,125.5548,122.2774,123.0781,1627329
2015-03-16,123.7764,125.7131,123.6554,125.6665,1899845
2015-03-17,125.0148,125.2736,124.2047,124.8844,1171209
2015-03-18,124.2978,126.8955,123.3202,126.7372,2032843
2015-03-19,126.2158,126.8769,125.7131,125.9551,1628547
2015-03-20,126.2531,127.8359,125.6013,126.0762,5233203
2015-03-23,127.0445,127.5845,126.4672,126.5138,1596608
2015-03-24,126.4765,127.7149,125.8062,125.8806,1435101
2015-03-25,126.5138,127.119,124.4561,124.5399,1803518
2015-03-26,123.823,125.741,123.1619,125.2568,1856225
2015-03-27,125.0892,125.9924,124.8937,125.7317,945707
2015-03-30,126.3089,128.5342,125.862,128.0314,1099072
2015-03-31,127.0724,127.5566,126.3183,126.3741,1286351
2015-04-01,125.7596,125.8248,123.5344,124.7447,1131993
2015-04-02,124.8472,125.8619,124.4096,124.512,815193
2015-04-06,124.0744,126.7,123.8416,126.1693,1112140
2015-04-07,126.4393,126.821,125.6479,125.6944,1611554
2015-04-08,125.5915,127.0046,125.5915,126.5648,1157845
2015-04-09,126.6116,127.7907,126.0688,127.0701,845215
2015-04-10,127.4819,128.0434,126.8549,127.1918,1028101
2015-04-13,126.9391,127.6504,125.919,126.1249,754121
2015-04-14,126.0126,126.1249,123.6636,124.562,1486378
2015-04-15,125.0955,125.7974,123.9818,124.0941,1257083
2015-04-16,123.804,125.2639,123.0366,124.6088,1352484
2015-04-17,124.066,124.066,122.5125,122.8494,1223847
2015-04-20,123.5794,125.2919,123.4764,124.7305,777463
2015-04-21,125.2359,125.5166,124.1971,124.5995,742259
2015-04-22,124.4872,125.3856,123.5326,125.1329,869456
2015-04-23,124.4872,124.796,123.7853,124.2813,1613799
2015-04-24,124.2813,125.5915,124.0192,125.4979,1229013
2015-04-27,125.8629,126.022,124.8147,124.9925,1070351
2015-04-28,124.7305,125.0861,123.7151,124.9177,1163881
2015-04-29,127.9217,131.1972,127.4445,129.6437,2822574
2015-04-30,129.0635,130.2333,128.0153,128.5113,2907986
2015-05-01,128.9793,131.3095,128.9699,131.1504,1885698
2015-05-04,130.8697,131.9459,130.0181,131.5809,1697698
2015-05-05,131.5341,131.5341,128.7359,129.129,1652119
2015-05-06,129.7092,129.8215,128.3616,128.8015,1793564
2015-05-07,128.6798,129.5127,128.268,129.4285,1157451
2015-05-08,131.113,132.8537,129.8496,132.5729,1727724
2015-05-11,132.4232,132.4232,131.1785,131.2253,968263
2015-05-12,130.2146,130.8884,129.5689,130.486,804110
2015-05-13,131.0194,131.375,129.859,130.1023,953333
2015-05-14,131.0194,132.0676,130.9258,131.8991,875466
2015-05-15,131.9553,132.3483,130.8978,131.1224,1278279
2015-05-18,131.2066,131.7026,130.8978,131.2815,1074634
2015-05-19,131.2253,131.7681,130.748,131.0662,881124
2015-05-20,131.5248,131.8617,130.9258,130.9726,951473
2015-05-21,130.982,132.0489,130.8744,131.8336,1248114
2015-05-22,130.9071,131.3563,129.8683,130.6825,1183972
2015-05-26,130.5141,130.5421,128.6891,129.1384,1092171
