date,open,high,low,close,volume
2015-01-02,30.0731,30.1072,29.3398,29.7065,9756706
2015-01-05,29.8258,30.056,29.0499,29.2716,16223019
2015-01-06,29.3398,30.0305,29.0712,29.715,17747573
2015-01-07,30.039,30.6529,29.877,30.5591,19319169
2015-01-08,30.7467,31.0792,30.525,30.8661,15206551
2015-01-09,30.8746,31.011,30.1925,30.3459,14690589
2015-01-12,30.5335,30.6444,30.2436,30.5591,10656713
2015-01-13,30.7637,31.0366,29.57,30.056,21893453
2015-01-14,29.2972,29.4762,28.6406,29.246,27901338
2015-01-15,29.6553,29.732,28.4616,28.5042,19437427
2015-01-16,28.4019,28.8112,28.3678,28.7174,17780004
2015-01-20,28.905,28.9987,28.4361,28.9305,12052466
2015-01-21,28.8367,29.0925,28.581,28.8964,14349944
2015-01-22,29.1181,29.1437,28.4019,28.8367,14261091
2015-01-23,28.905,29.1437,28.743,28.7771,13990222
2015-01-26,28.743,29.0243,28.6492,28.7344,10824806
2015-01-27,28.4786,28.7259,28.2655,28.4957,14793333
2015-01-28,28.5724,28.6237,27.9244,28.0011,16936184
2015-01-29,28.0608,28.4275,27.5919,28.274,15819211
2015-01-30,28.0353,28.2655,27.8136,27.8136,19166536
2015-02-02,27.8562,28.2655,27.6601,28.2314,18396981
2015-02-03,28.5639,29.1608,28.5127,28.9732,26206992
2015-02-04,30.0731,30.6785,29.1181,30.5506,49298111
2015-02-05,30.9343,31.2071,30.7041,30.9087,20854860
2015-02-06,30.9172,31.156,30.6273,30.6955,16320448
2015-02-09,30.5165,30.7808,30.2777,30.6955,14797519
2015-02-10,31.7869,32.0171,31.0366,31.9916,32369377
2015-02-11,31.983,32.2815,31.7869,32.1195,22633984
2015-02-12,32.2729,32.5543,32.1706,32.4179,15537409
2015-02-13,32.3412,32.4605,31.8466,32.0768,14696328
2015-02-17,31.7187,31.9447,31.5908,31.7528,13147128
2015-02-18,31.7613,31.9532,31.6599,31.7102,8513289
2015-02-19,31.5738,32.0683,31.5311,31.983,11780752
2015-02-20,31.966,32.1621,31.6846,32.1024,9345203
2015-02-23,32.0768,32.2047,31.8338,32.1365,10970972
2015-02-24,32.0768,32.3241,32.0427,32.1877,8562371
2015-02-25,32.2218,32.3667,32.0683,32.2815,11161472
2015-02-26,32.2388,32.5117,31.9839,32.0257,10708173
2015-02-27,31.8722,31.9319,31.642,31.8125,10490184
2015-03-02,31.8978,32.1536,31.8551,32.0683,11234205
2015-03-03,31.8722,32.2388,31.804,32.2303,10036013
2015-03-04,32.0854,32.2303,31.804,32.0342,12736383
2015-03-05,32.0939,32.2474,32.0257,32.0683,6620673
2015-03-06,31.9404,32.0171,31.318,31.4118,13764204
2015-03-09,32.28,32.5035,32.0823,32.3746,22979347
2015-03-10,32.1768,32.4777,31.9361,32.28,20314007
2015-03-11,32.323,32.7786,32.2542,32.4777,13191640
2015-03-12,32.5465,33.0709,32.5293,33.0365,13985996
2015-03-13,33.0021,33.0021,32.4347,32.7098,11404195
2015-03-16,32.899,33.1826,32.8474,33.1654,11218995
2015-03-17,32.7958,33.0709,32.7184,32.9161,9702673
2015-03-18,32.813,33.1826,32.4777,33.0967,19015621
2015-03-19,33.0537,33.3374,32.9161,33.2256,11255677
2015-03-20,33.3202,33.4663,33.1397,33.4147,19769673
2015-03-23,33.3632,33.5222,33.174,33.174,11656895
2015-03-24,33.1139,33.1139,32.4519,32.5379,15855925
2015-03-25,32.5637,32.5895,32.1253,32.1339,10209799
2015-03-26,32.4089,32.5895,31.9361,32.1081,13814459
2015-03-27,32.0995,32.2198,31.876,32.0737,9237616
2015-03-30,32.3058,32.5551,32.2628,32.3918,9980316
2015-03-31,32.3918,32.7012,32.2069,32.237,12633373
2015-04-01,32.0393,32.1253,31.4289,31.5837,16631209
2015-04-02,31.4719,31.5751,31.2312,31.3774,16517696
2015-04-06,31.171,31.7814,31.1281,31.5149,13178964
2015-04-07,30.9389,31.0249,30.6381,30.7154,56224010
2015-04-08,30.853,31.1109,30.7326,31.0421,27460319
2015-04-09,31.0335,31.2828,30.9733,31.1968,15475319
2015-04-10,31.5837,31.6181,31.2656,31.4375,16768879
2015-04-13,31.4891,31.6868,31.2785,31.2914,13530698
2015-04-14,31.343,31.6525,31.3258,31.3602,12989688
2015-04-15,31.6525,31.876,31.5063,31.7556,13734922
2015-04-16,31.9189,31.9619,31.5837,31.876,12225840
2015-04-17,31.661,31.6782,31.3774,31.4977,14375154
2015-04-20,31.7642,31.9533,31.5923,31.9018,13880809
2015-04-21,32.0909,32.194,31.6568,31.9447,17130529
2015-04-22,31.9189,31.9963,31.5235,31.9447,16025077
2015-04-23,31.1624,31.2054,30.5865,30.8788,41820353
2015-04-24,30.7068,30.7842,30.4661,30.5951,21252471
