date,open,high,low,close,volume
2015-01-02,96.4602,97.0575,94.7628,95.6699,582345
2015-01-05,95.4992,95.8944,94.6999,95.0591,1170674
2015-01-06,90.6313,93.5054,90.0385,91.1612,2295557
2015-01-07,92.0594,92.7507,91.7091,92.5533,1083828
2015-01-08,93.1461,93.6131,92.1312,92.7509,1218794
2015-01-09,92.697,92.706,90.6942,91.0445,1106952
2015-01-12,91.0445,91.0714,87.1465,87.5866,1816074
2015-01-13,88.4758,89.347,86.5807,87.1914,1380473
2015-01-14,86.7424,87.1735,84.5329,85.5748,1542347
2015-01-15,85.7724,86.1945,85.2425,85.3952,1471101
2015-01-16,85.4131,87.2543,85.1437,87.2094,991639
2015-01-20,87.2543,87.5866,86.1765,87.5417,1152208
2015-01-21,87.2633,88.0459,86.7783,87.8022,799635
2015-01-22,88.2333,88.9248,87.389,88.5386,779531
2015-01-23,88.6644,88.835,87.9099,88.377,996929
2015-01-26,88.5297,88.9428,87.9099,88.6015,870953
2015-01-27,87.6854,88.1884,87.0837,87.5866,784217
2015-01-28,88.0177,88.0177,85.5658,85.7005,1060571
2015-01-29,85.9251,86.0149,84.8922,85.7005,1363182
2015-01-30,84.7305,84.982,83.3743,83.4731,2806015
2015-02-02,83.8324,84.2994,82.4852,83.9222,2076887
2015-02-03,83.9042,88.3411,83.4821,87.9459,6016283
2015-02-04,87.6854,88.0087,85.3862,85.7724,1573716
2015-02-05,86.1945,87.1375,85.5928,86.1765,1330320
2015-02-06,86.2664,87.2956,86.114,86.7513,882603
2015-02-09,86.1676,87.1465,86.1676,86.2933,575085
2015-02-10,86.6885,87.1735,86.0867,86.6885,761469
2015-02-11,86.6615,87.1537,86.2214,86.5987,528748
2015-02-12,86.4819,87.0792,86.1496,86.931,656658
2015-02-13,87.0118,87.5507,86.6975,87.1286,1088095
2015-02-17,88.0177,88.4488,86.3651,86.7693,1435769
2015-02-18,86.4729,86.4998,85.0988,85.8173,916804
2015-02-19,85.9071,86.6615,85.6556,85.961,583535
2015-02-20,85.8532,86.5448,85.3772,86.4729,676472
2015-02-23,86.3921,86.6166,86.1855,86.5987,350571
2015-02-24,86.446,87.0028,86.446,86.5627,370582
2015-02-25,86.1676,87.2363,86.1676,86.922,714238
2015-02-26,86.6166,86.931,86.3651,86.6975,440176
2015-02-27,86.7963,87.0208,86.1047,86.2933,541903
2015-03-02,86.3562,87.38,86.1137,87.0657,688866
2015-03-03,86.6795,87.0343,84.8742,85.7814,811557
2015-03-04,85.4876,85.7587,84.8367,85.0085,654926
2015-03-05,85.1712,85.5508,84.9452,85.1802,435602
2015-03-06,85.0085,85.0085,83.6616,83.987,749327
2015-03-09,84.2311,85.0175,84.2039,84.8729,829682
2015-03-10,84.1678,84.5655,83.4898,83.4898,664001
2015-03-11,83.4356,83.8875,83.1282,83.4627,599216
2015-03-12,83.9689,85.7135,83.9689,85.6232,774132
2015-03-13,85.6232,85.6232,84.3847,85.3972,943849
2015-03-16,85.9938,87.0152,85.7226,86.7802,707928
2015-03-17,86.1746,86.5452,85.2923,85.5599,509886
2015-03-18,85.4604,86.4367,84.439,86.0932,951329
2015-03-19,86.0028,86.6085,85.6232,86.3554,577323
2015-03-20,86.6808,86.952,86.509,86.7169,926719
2015-03-23,86.7441,87.3768,86.4096,86.4096,428872
2015-03-24,85.9938,86.4367,85.4514,85.4876,372887
2015-03-25,85.6593,85.7859,83.8785,83.9327,449366
2015-03-26,83.5802,83.8243,82.9293,83.4627,472899
2015-03-27,83.3452,84.2582,83.1644,84.0051,432601
2015-03-30,84.3847,85.2118,84.2853,84.8457,342122
2015-03-31,83.8785,85.4966,83.8604,84.2401,959511
