date,open,high,low,close,volume
2015-01-02,9.6023,9.6023,9.4301,9.5117,6410317
2015-01-05,9.4754,9.4935,9.2308,9.2308,7515167
2015-01-06,9.2308,9.2852,8.9319,8.9863,11543216
2015-01-07,9.0859,9.1856,8.9998,9.104,13178323
2015-01-08,9.1765,9.326,9.1584,9.3124,11257807
2015-01-09,9.2218,9.3214,9.0134,9.0497,10312798
2015-01-12,9.0587,9.095,8.9591,9.0678,11017179
2015-01-13,9.1493,9.2943,8.9591,9.0406,15079815
2015-01-14,8.95,8.9591,8.7417,8.9228,14271097
2015-01-15,8.8776,8.9319,8.7417,8.796,10945191
2015-01-16,8.7507,8.9953,8.7236,8.9863,10062223
2015-01-20,9.0044,9.0134,8.796,8.8504,8355235
2015-01-21,8.8504,8.9455,8.787,8.8413,13969682
2015-01-22,8.8866,9.2218,8.8051,9.1991,12438797
2015-01-23,9.1856,9.2399,9.0316,9.095,10773865
2015-01-26,9.1131,9.2308,9.0859,9.2127,7661519
2015-01-27,9.095,9.181,9.0226,9.0859,11043864
2015-01-28,9.1584,9.1946,8.8413,8.8504,10052983
2015-01-29,8.8957,9.1312,8.8504,9.1312,15199578
2015-01-30,8.9953,9.1584,8.9591,9.0768,12693472
2015-02-02,9.1403,9.3305,9.0406,9.3033,12822867
2015-02-03,9.3305,9.4935,9.3124,9.3939,13757364
2015-02-04,9.3758,9.3758,9.2037,9.258,15902284
2015-02-05,9.2852,9.3758,9.2698,9.3396,13631171
2015-02-06,9.4392,9.557,9.3939,9.4301,12621211
2015-02-09,9.3667,9.4754,9.3033,9.3939,6814824
2015-02-10,9.4754,9.6113,9.4573,9.6023,9093874
2015-02-11,9.5751,9.5932,9.4754,9.5117,7198124
2015-02-12,9.5751,9.7019,9.5026,9.7019,8227895
2015-02-13,9.7019,9.7381,9.6113,9.6838,4351528
2015-02-17,9.6385,9.7381,9.5977,9.6928,4669199
2015-02-18,9.6747,9.7336,9.6204,9.6294,5515037
2015-02-19,9.6204,9.711,9.5117,9.6385,6359134
2015-02-20,9.5932,9.72,9.5207,9.711,6921174
2015-02-23,9.6566,9.7101,9.5932,9.6657,6212563
2015-02-24,9.6928,9.9374,9.6838,9.9284,12726852
2015-02-25,9.9102,9.9827,9.8921,9.9465,12424849
2015-02-26,9.9012,9.9465,9.8559,9.9374,8900260
2015-02-27,9.9102,9.9646,9.865,9.9102,5375796
2015-03-02,9.8831,9.9555,9.8468,9.9284,7315541
2015-03-03,9.865,9.9465,9.8061,9.8921,7149823
2015-03-04,9.8378,9.8468,9.7019,9.8015,9579863
2015-03-05,9.8015,9.8559,9.6838,9.8468,7668323
2015-03-06,9.8559,10.1277,9.7834,9.9737,17018826
2015-03-09,9.9918,10.0914,9.9691,10.0461,8463133
2015-03-10,9.9012,9.9102,9.7381,9.7472,12554946
2015-03-11,9.7472,9.8378,9.7381,9.8378,6029313
