date,open,high,low,close,volume
2015-01-02,68.1703,69.6885,67.9467,69.0551,1908489
2015-01-05,67.658,67.9933,65.1432,65.7113,3510494
2015-01-06,65.0873,66.7918,64.0534,64.6961,3652977
2015-01-07,65.4785,66.2329,64.2118,64.5471,2309647
2015-01-08,65.3947,66.6427,64.8265,66.4844,3350083
2015-01-09,66.3913,66.6986,65.404,66.2422,2155140
2015-01-12,64.9848,65.553,63.2897,63.7367,3523984
2015-01-13,64.1372,64.7427,62.5818,63.0475,3370009
2015-01-14,62.3769,64.5564,61.6317,64.4912,3730744
2015-01-15,65.4226,65.8883,63.1233,63.2617,5392460
2015-01-16,63.8019,65.8324,63.746,65.2177,3776911
2015-01-20,63.7833,64.9103,63.597,64.7986,2656450
2015-01-21,65.5809,66.8756,65.2177,66.5123,2077711
2015-01-22,66.8849,67.2016,65.7207,67.1271,3192537
2015-01-23,66.3913,67.0526,65.7579,65.9721,2647019
2015-01-26,65.9256,66.9129,65.1711,66.7359,2836848
2015-01-27,66.6334,67.509,65.3853,66.6986,2511749
2015-01-28,65.6648,66.028,61.4734,61.492,6723341
2015-01-29,62.0322,62.6842,59.4336,61.194,5022858
2015-01-30,60.5792,64.072,60.3557,62.8612,5993532
2015-02-02,64.1186,65.553,63.7814,65.2736,3589637
2015-02-03,66.354,68.3286,66.205,67.6952,4812359
2015-02-04,66.5217,67.63,65.9908,67.0712,3624952
2015-02-05,67.7604,68.8595,67.2202,68.1516,4893510
2015-02-06,68.8036,69.2414,67.5276,67.9654,2682030
2015-02-09,69.3625,69.5301,68.1982,68.7198,2905564
2015-02-10,68.4311,68.608,66.5589,67.7977,2917287
2015-02-11,66.7359,68.5149,66.4658,67.807,2983767
2015-02-12,68.7012,69.735,68.3845,69.586,3718624
2015-02-13,70.4895,71.7748,70.2008,71.5606,3505170
2015-02-17,70.7782,72.3058,70.3498,72.0356,3622452
2015-02-18,70.9738,72.2312,70.7834,71.8121,2869046
2015-02-19,69.4277,71.691,69.0272,71.2346,4111342
2015-02-20,71.1787,71.4395,70.3218,71.067,2563247
2015-02-23,70.0052,71.3091,69.8654,70.6665,3779856
2015-02-24,71.1974,71.4582,70.4522,71.2439,2011781
2015-02-25,71.1229,72.0636,70.9366,71.393,2044701
2015-02-26,70.7223,71.1042,69.5674,70.2566,2704813
2015-02-27,70.6385,70.8155,69.8189,69.9306,3349041
2015-03-02,69.6698,69.7164,68.1423,69.0272,3050868
2015-03-03,69.1296,69.9865,68.9061,69.3811,2188286
2015-03-04,69.5953,69.8096,68.7105,69.7071,2241440
2015-03-05,69.2787,69.4463,68.459,68.459,2630678
2015-03-06,68.0306,68.2681,66.2143,66.4937,3166181
2015-03-09,66.5869,66.8663,65.5716,65.5902,2392898
2015-03-10,64.7613,65.4319,64.3701,64.4912,2955050
2015-03-11,64.7427,65.5716,64.4074,64.8265,2311545
