date,open,high,low,close,volume
2015-01-02,32.7827,33.6482,32.6953,33.6045,1668226
2015-01-05,32.7827,32.9838,31.8036,32.1533,2650810
2015-01-06,32.2058,32.6778,31.4714,31.7774,2149339
2015-01-07,32.1708,32.2407,31.0343,31.1043,2063870
2015-01-08,31.4102,32.5467,31.2791,32.0746,3056651
2015-01-09,31.9085,32.0746,30.9119,31.2179,2470896
2015-01-12,30.9294,30.9294,29.7055,29.9066,2922726
2015-01-13,30.0814,30.3743,28.1407,28.4379,4203123
2015-01-14,28.1494,28.2194,26.6808,27.4676,5976780
2015-01-15,27.7298,27.7823,26.3573,26.3923,5611300
2015-01-16,26.6633,27.3452,26.5409,26.9605,5206521
2015-01-20,27.013,28.2281,26.7507,27.9921,5777793
2015-01-21,28.0882,28.3287,27.7473,27.9746,4890695
2015-01-22,28.2543,28.9013,27.826,28.7964,4592985
2015-01-23,28.9625,29.8541,28.5865,29.6531,3516252
2015-01-26,29.6356,30.265,29.5919,29.994,2325280
2015-01-27,29.8541,30.2738,29.7755,30.0989,1775331
2015-01-28,30.1689,30.606,29.7055,30.265,2981010
2015-01-29,30.7196,30.9556,29.8716,30.6234,3148003
2015-01-30,30.3175,31.5938,30.1077,31.4015,4634373
2015-02-02,31.655,32.4768,31.5938,32.4068,4264150
2015-02-03,32.6953,33.0843,32.2495,32.9925,3249168
2015-02-04,32.6429,33.4122,32.3456,33.2286,3245039
2015-02-05,33.587,33.8318,33.01,33.6395,1824377
2015-02-06,33.8405,34.0329,33.2924,33.6832,2848674
2015-02-09,33.7531,34.0591,33.281,33.7531,2356794
2015-02-10,33.7531,34.6623,33.5171,34.5399,2264518
2015-02-11,34.1552,34.4088,33.8598,34.1727,2019059
2015-02-12,34.4874,35.4552,34.199,35.3879,2595441
2015-02-13,35.4403,36.5418,35.4403,36.5331,3138740
2015-02-17,36.5331,36.8391,35.9736,36.4282,2857598
2015-02-18,36.3408,36.7167,36.096,36.5943,2235739
2015-02-19,36.1921,36.297,35.3267,35.9911,4588323
2015-02-20,36.0697,36.5069,35.4491,35.9386,3547961
2015-02-23,35.7376,36.7779,35.7288,36.6118,3580435
2015-02-24,36.4981,36.4981,35.6239,35.6851,5627407
2015-02-25,35.8337,37.0576,35.1868,36.9352,4896884
2015-02-26,37.3024,38.9721,37.1975,38.8235,6037040
2015-02-27,38.9197,39.383,38.1941,38.4563,3945018
2015-03-02,38.1678,38.2553,35.7734,35.9648,6046181
2015-03-03,36.2883,36.7691,36.1484,36.5855,3374037
2015-03-04,36.2883,36.3233,35.2305,35.3529,3098078
2015-03-05,35.8774,36.4369,35.6589,36.0785,3095426
2015-03-06,35.8494,36.7833,34.9155,35.0213,2973131
2015-03-09,35.1798,36.1754,34.4221,34.4486,4188677
2015-03-10,34.1666,34.3429,33.1094,33.5323,4142705
2015-03-11,33.5323,34.3076,33.2504,34.2459,3634029
2015-03-12,34.5807,34.9331,33.7437,33.7878,2564890
2015-03-13,33.7085,34.5367,33.5411,34.4662,4050143
2015-03-16,34.0433,35.356,33.6117,35.2768,2927204
2015-03-17,35.0389,35.2503,34.2636,35.2063,2064721
2015-03-18,35.2415,36.8979,35.0829,36.6776,3067069
2015-03-19,36.2723,36.3692,35.7966,36.0609,2307895
2015-03-20,36.149,36.4882,35.7349,35.9375,7842582
2015-03-23,36.2371,36.6952,36.2283,36.2635,2258089
2015-03-24,36.1578,36.519,35.7701,36.2811,1787457
2015-03-25,36.6247,37.0741,36.3781,36.4309,3570916
2015-03-26,36.7569,36.8548,35.5411,35.7085,2773434
2015-03-27,35.8494,35.9816,34.66,34.8362,2125634
2015-03-30,35.127,36.0784,35.1094,35.9199,3177373
2015-03-31,35.356,35.9992,35.3472,35.4794,2272827
2015-04-01,35.4794,36.0785,35.4442,35.5675,2411980
2015-04-02,35.4265,35.6115,32.7834,33.3473,4571196
2015-04-06,33.5763,33.9288,32.5367,33.409,4008575
2015-04-07,33.5235,33.7261,32.7746,33.0653,2894448
2015-04-08,33.2151,33.7948,32.4662,32.6248,2713684
2015-04-09,32.5543,32.898,32.29,32.4839,2189895
2015-04-10,32.7041,33.0125,32.5984,32.9861,2224267
2015-04-13,32.757,33.1094,31.6229,31.7702,3531535
2015-04-14,31.9905,32.6513,31.779,32.6513,2569100
2015-04-15,32.8451,33.4001,32.801,33.1799,4239401
2015-04-16,33.083,33.7261,32.9596,33.409,3005099
2015-04-17,33.2327,33.4706,32.8891,33.409,2511650
2015-04-20,33.5147,33.92,33.4178,33.5059,2072826
2015-04-21,33.5411,34.1314,33.4442,33.6468,2195451
2015-04-22,33.779,34.1931,33.4882,34.0874,2114578
2015-04-23,34.1402,34.3517,33.6204,33.92,2191325
2015-04-24,33.9904,35.0961,33.8935,35.0301,4495505
2015-04-27,35.0036,35.6027,34.6732,35.1622,3053024
2015-04-28,35.0829,35.6292,35.0301,35.1094,2540371
2015-04-29,35.0477,35.4177,34.7658,34.986,1976967
2015-04-30,35.0213,35.3913,33.9288,34.1666,2807428
2015-05-01,34.1666,35.0653,34.0697,34.986,2123191
2015-05-04,35.0477,35.0477,34.1534,34.3164,1477521
2015-05-05,34.334,34.6336,34.2636,34.4486,1921139
2015-05-06,35.638,36.2988,34.2724,34.8098,4406609
2015-05-07,35.0741,36.9595,34.9331,36.6952,4647071
2015-05-08,36.7393,37.5146,36.0433,37.2238,3203593
2015-05-11,37.1269,37.1269,35.9904,36.4309,2062813
2015-05-12,36.4133,36.4221,35.6556,35.9375,1813239
2015-05-13,35.9992,36.8186,35.8935,36.6864,2021652
2015-05-14,36.8979,38.0608,36.7393,38.0168,2733683
2015-05-15,37.726,38.1225,37.2943,37.9287,2223792
2015-05-18,37.9287,38.5102,37.4221,38.2106,2435810
2015-05-19,37.9727,38.14,37.6203,37.8318,1699874
2015-05-20,37.7965,38.0696,37.5498,37.682,1591178
2015-05-21,37.6644,37.9463,37.4177,37.7789,2004674
2015-05-22,37.497,37.9155,37.497,37.7789,1786600
2015-05-26,37.4882,37.6467,36.66,36.7481,2039113
2015-05-27,37.1357,37.3472,36.5014,36.6247,2978988
2015-05-28,36.5719,37.2591,36.3255,37.0564,2384779
2015-05-29,37.0124,37.7437,36.5146,36.6952,2994715
2015-06-01,36.66,37.1886,36.3781,36.4662,2687139
2015-06-02,36.3604,36.4309,35.453,36.0785,3150658
2015-06-03,35.9542,36.0963,35.5278,35.8831,2206409
2015-06-04,35.5634,36.0519,35.3768,35.7588,2701911
2015-06-05,35.7232,36.8024,35.7232,36.6381,2563830
2015-06-08,36.4338,36.7713,36.0874,36.3272,2343027
2015-06-09,36.4693,36.6647,36.0607,36.1673,1935681
2015-06-10,36.3805,37.0378,36.3539,36.5848,2564662
2015-06-11,36.5226,37.2909,36.4338,36.8601,1617420
2015-06-12,36.6292,36.7447,36.114,36.2739,1786839
2015-06-15,35.9897,36.5848,35.8565,36.1762,1195674
2015-06-16,36.1229,36.5048,35.9009,36.4871,1349698
2015-06-17,36.7002,37.171,36.4833,36.6914,1710882
2015-06-18,36.869,37.9171,36.6914,37.322,2855280
2015-06-19,37.1976,37.8816,37.1177,37.2154,2420509
2015-06-22,37.3575,37.544,36.7358,36.8335,2769349
2015-06-23,36.8779,37.544,36.8335,37.4552,1633348
2015-06-24,37.3486,37.6062,36.9756,37.171,1684624
2015-06-25,37.1088,37.2865,36.7624,36.8779,1688916
2015-06-26,36.8868,37.5174,36.7447,37.1621,2403076
2015-06-29,36.718,37.4197,36.6248,36.7624,2457791
2015-06-30,37.1532,37.997,37.1532,37.9171,3175738
2015-07-01,38.0681,39.276,37.9082,39.054,5194384
2015-07-02,38.9918,39.9155,38.903,39.8089,3703508
2015-07-06,39.427,40.3419,39.205,40.1198,2999426
2015-07-07,39.9955,40.3863,38.9474,40.2886,3676707
