date,open,high,low,close,volume
2015-01-02,39.0705,39.3034,38.6997,38.9308,1847053
2015-01-05,38.6793,38.7538,37.934,38.111,2723995
2015-01-06,38.0644,38.1855,37.3192,37.4868,3262140
2015-01-07,37.8036,37.9806,37.4775,37.8408,2705527
2015-01-08,38.2228,38.5395,38.1576,38.2507,2836669
2015-01-09,38.2787,38.4091,37.7664,37.8967,1773560
2015-01-12,37.9526,37.9806,37.1641,37.5521,2836643
2015-01-13,37.8688,38.167,37.2819,37.6452,3409523
2015-01-14,37.077,37.2167,36.5366,37.0676,3566482
2015-01-15,37.1049,37.5381,36.8254,36.872,3833204
2015-01-16,36.7788,37.2726,36.7509,37.226,4386651
2015-01-20,37.4496,37.5707,36.8534,36.9931,3279605
2015-01-21,36.9,37.2726,36.6391,36.9838,3247001
2015-01-22,37.2353,37.948,36.9279,37.8502,4223040
2015-01-23,37.8408,37.9806,37.3667,37.3937,2097456
2015-01-26,37.2353,37.403,37.1515,37.3098,3097268
2015-01-27,36.8254,37.431,36.7229,37.1981,2719601
2015-01-28,37.4682,37.5055,36.5832,36.5925,3851999
2015-01-29,36.6391,37.0117,36.4807,36.8627,3022281
2015-01-30,36.4435,37.063,36.2199,36.2385,4580233
2015-02-02,36.2665,36.9931,36.0056,36.8534,5173902
2015-02-03,36.9279,37.2167,36.2292,36.9186,12259282
2015-02-04,36.9279,37.5753,36.8347,37.0304,4703742
2015-02-05,36.9745,37.4356,36.8161,37.2726,4024010
2015-02-06,37.5521,37.962,37.4403,37.5241,3763602
2015-02-09,37.2726,37.7011,37.2633,37.608,2159212
2015-02-10,37.9526,38.0458,37.4682,37.8129,1896739
2015-02-11,37.8036,37.8874,37.4868,37.7756,1954786
2015-02-12,37.8874,38.2973,37.8315,38.2694,1994980
2015-02-13,38.1948,38.5162,38.1483,38.4464,2111122
2015-02-17,38.3532,38.9122,38.288,38.6886,2115033
2015-02-18,38.5209,38.6606,38.2694,38.3719,2292689
2015-02-19,38.2228,38.6606,38.2042,38.5954,2005354
2015-02-20,38.4184,38.7165,38.0691,38.6327,4042583
2015-02-23,38.6141,38.6234,38.1855,38.3439,1626787
2015-02-24,38.3066,38.5768,38.288,38.493,2326210
2015-02-25,38.3905,38.5582,38.1855,38.2042,2496911
2015-02-26,38.1483,38.3439,38.0039,38.1855,2858293
2015-02-27,38.1948,38.3066,37.9154,38.1576,3730008
2015-03-02,38.0831,38.4697,37.9713,38.4371,2844554
2015-03-03,38.2228,38.4603,38.2042,38.4277,1696822
2015-03-04,37.9899,38.0551,37.7291,37.9154,3589177
2015-03-05,38.0464,38.4581,37.9902,38.3552,2446868
2015-03-06,38.3365,39.1505,38.1774,38.3739,3257672
2015-03-09,38.3552,38.7669,38.2335,38.7201,2152040
2015-03-10,38.3645,38.4207,37.8218,38.0745,5442690
2015-03-11,38.3365,38.8698,38.271,38.6546,3662662
2015-03-12,38.8418,39.5435,38.8418,39.5435,2524594
2015-03-13,39.4313,39.8804,39.0616,39.347,5693142
2015-03-16,39.4874,40.0582,39.4219,39.9459,3899011
2015-03-17,39.7494,39.974,39.5529,39.7868,3257069
2015-03-18,39.7681,40.3483,39.6465,40.1143,3464958
2015-03-19,39.9646,40.0208,39.6465,39.8336,2458284
2015-03-20,39.8898,40.3576,39.871,40.3295,4385972
2015-03-23,40.3295,40.629,40.2266,40.2266,2480745
2015-03-24,40.236,40.4325,40.0395,40.0582,2582277
2015-03-25,40.0582,40.1985,39.4968,39.4968,2310391
2015-03-26,39.4032,39.5529,39.2067,39.4125,2388647
2015-03-27,39.3377,39.4125,39.085,39.2535,2448823
2015-03-30,39.3938,39.7494,39.319,39.6465,1836956
2015-03-31,39.3751,39.4359,39.0195,39.1318,3514572
2015-04-01,39.0195,39.2628,38.8511,39.1038,2142664
2015-04-02,39.1131,39.478,39.0008,39.4219,1433142
2015-04-06,39.0383,39.843,38.8885,39.609,2432383
2015-04-07,39.609,39.8149,39.3096,39.319,1407190
2015-04-08,39.319,39.7026,39.2067,39.6745,1773049
2015-04-09,39.5061,39.7588,39.3751,39.7213,2320912
2015-04-10,39.6839,39.8523,39.4968,39.8243,1721228
2015-04-13,39.7213,40.1892,39.6184,40.105,1869360
2015-04-14,40.002,40.1892,39.7213,39.8898,1569582
2015-04-15,39.8991,40.1518,39.8055,39.9459,3060541
2015-04-16,39.9085,40.0582,39.6465,39.9178,1656822
2015-04-17,39.6371,39.712,39.0429,39.2067,2364736
2015-04-20,39.4406,39.5155,39.3096,39.3845,1329475
2015-04-21,39.4593,39.5716,38.7108,38.7575,2533426
2015-04-22,38.7295,38.8792,38.561,38.7482,2629537
2015-04-23,38.5985,38.9915,38.5985,38.8043,3749939
2015-04-24,38.8043,39.2114,38.7388,39.1505,2574896
2015-04-27,39.1973,39.2254,38.7061,38.7388,3862565
2015-04-28,38.7388,39.2722,38.4675,38.7108,4425330
2015-04-29,38.4862,38.9915,38.4581,38.7108,5071400
2015-04-30,38.5423,38.7669,38.0183,38.1493,3879168
2015-05-01,38.43,38.7014,38.2897,38.4581,2270921
2015-05-04,38.4581,38.7669,38.4487,38.6827,2731928
2015-05-05,38.664,38.954,38.4721,38.5236,2123166
2015-05-06,38.7014,38.8043,38.0511,38.2429,3095874
2015-05-07,38.3365,38.7014,38.1493,38.5423,2882724
2015-05-08,38.8885,39.0476,38.6452,39.0289,1970916
2015-05-11,39.0195,39.1693,38.8885,38.926,1655518
2015-05-12,38.8043,38.8511,38.5049,38.5798,1470594
2015-05-13,38.4675,38.7669,38.4675,38.7108,1428045
2015-05-14,38.8605,39.0663,38.7201,38.9447,1973304
2015-05-15,39.0383,39.0757,38.5891,38.6733,2519184
2015-05-18,38.6359,38.9728,38.6265,38.9634,2861775
2015-05-19,39.1038,39.4593,39.0289,39.4125,2533550
2015-05-20,39.4687,39.7307,39.1786,39.6558,2157007
2015-05-21,39.5435,39.7681,39.3003,39.3377,1835273
2015-05-22,39.2815,39.4968,39.1131,39.1693,1648200
2015-05-26,39.0944,39.1505,38.5002,38.5517,2699210
2015-05-27,38.7014,38.8792,38.5798,38.8137,2749578
2015-05-28,38.7197,38.8982,38.6539,38.8513,2532621
2015-05-29,38.7573,38.8795,38.5176,38.6351,2720149
2015-06-01,38.8137,38.8982,38.4049,38.5411,2494790
2015-06-02,38.5505,38.964,38.4847,38.5599,3309705
2015-06-03,38.7855,39.4809,38.6915,39.1426,6589195
2015-06-04,38.9076,39.0909,38.6915,38.7291,2652198
2015-06-05,39.0956,39.34,38.8137,39.0392,2840850
2015-06-08,38.9076,39.152,38.5223,38.5317,2431576
2015-06-09,38.4565,38.7009,38.3908,38.5411,1523201
2015-06-10,38.7479,39.5373,38.7479,39.4997,2681135
2015-06-11,39.5185,39.8803,39.4245,39.7817,2104960
2015-06-12,39.6219,39.7911,39.4903,39.6595,1296509
2015-06-15,39.2272,39.4621,39.0016,39.2366,1744303
2015-06-16,39.2366,39.5843,39.1614,39.4997,1644155
2015-06-17,39.6219,39.6971,39.2366,39.3493,2204436
2015-06-18,39.4715,39.8944,39.3306,39.8286,2003405
2015-06-19,39.6595,39.7911,39.4621,39.4903,2425216
2015-06-22,39.838,41.4733,39.7348,40.12,3346399
2015-06-23,40.2328,40.2797,39.885,39.9884,2664799
2015-06-24,39.9696,40.0824,39.7159,39.7253,2069625
2015-06-25,39.7723,39.9038,39.3024,39.3118,2263647
2015-06-26,39.4715,39.5373,39.2798,39.5373,2273346
2015-06-29,39.0016,39.0956,38.7526,38.7761,4505392
2015-06-30,39.1896,39.3587,38.7761,39.0674,2901561
2015-07-01,40.0542,41.5767,39.9696,41.5297,9824615
2015-07-02,41.6331,42.1969,41.3323,41.3793,7424976
2015-07-06,40.947,41.4827,40.853,41.4263,3509103
2015-07-07,41.2853,41.5203,40.604,41.4733,3439146
