date,open,high,low,close,volume
2015-01-02,59.8781,59.9231,58.4021,59.2121,1014165
2015-01-05,58.5821,58.6811,57.7721,58.0511,1516028
2015-01-06,58.2851,58.2851,56.503,57.358,1754393
2015-01-07,57.8711,58.3031,57.475,58.3031,1013640
2015-01-08,58.8971,59.6018,58.8971,59.5181,1180331
2015-01-09,59.7971,59.8781,58.1051,58.3211,981262
2015-01-12,58.5551,58.5641,57.8171,58.1951,1575206
2015-01-13,58.6091,59.3381,57.3535,57.7721,1909637
2015-01-14,57.376,57.376,55.945,57.142,1932403
2015-01-15,57.385,57.6641,56.341,56.377,2575439
2015-01-16,56.278,56.917,55.756,56.881,1357536
2015-01-20,56.872,57.214,56.305,57.025,1260578
2015-01-21,56.674,57.7271,56.458,57.6101,1394837
2015-01-22,57.9611,59.2481,57.7631,59.0591,1674474
2015-01-23,59.5091,59.6531,58.4921,58.5011,2068191
2015-01-26,58.3391,58.8611,58.2041,58.3661,1988731
2015-01-27,57.6371,57.6641,55.639,56.242,4182396
2015-01-28,56.359,56.701,55.09,56.062,4263108
2015-01-29,56.755,58.7531,56.404,58.1411,3473617
2015-01-30,57.241,57.286,55.459,55.531,3576539
2015-02-02,55.468,55.855,54.6985,55.513,2184586
2015-02-03,56.026,57.178,55.981,57.142,1379266
2015-02-04,56.809,57.106,56.386,56.485,1276647
2015-02-05,56.71,57.205,56.674,56.827,1223890
2015-02-06,57.061,57.9251,56.9476,57.7901,1571647
2015-02-09,57.457,58.1321,57.358,57.412,1337173
2015-02-10,57.6821,57.9251,56.71,57.43,1231920
2015-02-11,57.169,57.5831,56.341,56.485,1830511
2015-02-12,56.629,56.8,56.143,56.773,1720625
2015-02-13,56.8996,57.8403,56.8815,57.7951,1182068
2015-02-17,57.8674,58.4463,57.5599,58.1749,1027897
2015-02-18,57.8312,58.0212,57.1438,57.2162,1489985
2015-02-19,57.2162,57.5689,56.963,57.3157,766767
2015-02-20,56.9177,57.7046,56.5288,57.4152,1464647
2015-02-23,57.171,57.3247,56.3027,56.4293,1862805
2015-02-24,56.4293,56.5017,55.959,56.3298,2278395
2015-02-25,56.167,57.3428,56.1489,57.3066,1690416
2015-02-26,57.3609,57.8855,57.2976,57.7408,1838967
2015-02-27,57.9398,58.2741,57.4423,57.4966,1405080
2015-03-02,57.4875,58.9709,57.4333,58.8533,2274315
2015-03-03,58.7447,58.7447,57.7498,58.0212,1267518
2015-03-04,57.7046,57.8493,56.5379,56.8363,1159546
2015-03-05,56.9268,57.2886,56.7187,56.981,1051050
2015-03-06,56.7549,57.2162,56.0404,56.1308,2634348
2015-03-09,56.0947,57.0082,55.4254,56.8725,2044808
2015-03-10,56.3841,56.7187,56.0585,56.2665,1422539
2015-03-11,56.4384,56.7278,56.2213,56.2213,1947354
2015-03-12,56.5107,56.7549,54.5028,55.0364,4481008
2015-03-13,54.4576,54.4757,52.6758,53.1823,6399091
2015-03-16,53.3541,53.6345,53.1371,53.5803,2256171
2015-03-17,53.3903,54.2586,53.3903,54.0415,2484373
2015-03-18,54.0415,55.4977,53.3722,55.0817,2467765
2015-03-19,54.9189,55.561,54.9189,55.3349,1425905
2015-03-20,55.561,56.158,55.4073,56.0223,4502578
2015-03-23,55.9047,56.4203,55.6967,55.8414,2249360
2015-03-24,55.6696,55.8052,55.0998,55.0998,1027065
2015-03-25,55.9228,56.2122,54.5119,54.5119,1428029
2015-03-26,54.0868,54.4938,54.0687,54.2496,1199224
2015-03-27,54.0868,54.4847,53.6526,53.7792,1927740
2015-03-30,54.2405,55.1405,54.1229,54.946,1887301
2015-03-31,54.6656,55.0726,54.6475,54.937,1593947
2015-04-01,54.9008,55.2626,54.2586,54.5209,1733246
2015-04-02,54.4485,55.353,54.2677,55.2173,1444867
2015-04-06,54.9641,56.0314,54.7653,55.7238,2703206
2015-04-07,55.5068,55.9861,55.3171,55.5339,2130394
2015-04-08,55.8776,56.5559,55.8776,56.3751,2773575
2015-04-09,56.1128,56.6735,56.0585,56.6102,1788295
2015-04-10,56.6645,56.9449,56.3208,56.5379,1661696
2015-04-13,56.6373,56.9087,56.357,56.4745,1412377
2015-04-14,56.1308,56.4076,55.344,56.2303,1382867
2015-04-15,56.2394,56.3117,55.6877,55.8052,2012980
2015-04-16,55.751,56.0133,55.2987,55.8143,2277510
2015-04-17,55.4525,55.4706,54.5299,54.8103,2490112
2015-04-20,55.1631,55.9228,55.1088,55.8686,3422535
2015-04-21,51.0478,52.2598,50.279,50.3966,15471892
2015-04-22,50.4327,51.5181,50.2066,50.8578,7543136
2015-04-23,51.084,51.7352,50.7764,51.5091,2999767
2015-04-24,51.9251,52.2665,51.6266,51.7623,2458511
2015-04-27,51.9432,52.1512,51.4367,52.0065,2775067
2015-04-28,52.1603,52.3773,51.2377,51.491,2963423
2015-04-29,51.1925,51.6221,51.1292,51.4186,2265865
2015-04-30,51.3282,51.4457,50.8036,50.8398,2481268
2015-05-01,51.2739,51.3553,50.9754,51.1834,2044349
2015-05-04,51.3553,51.6085,51.1382,51.2829,2296457
2015-05-05,51.3372,52.0789,51.2468,51.699,3318034
2015-05-06,51.7352,51.7985,50.9302,51.1292,2186150
2015-05-07,51.0387,51.5543,50.9223,51.4276,1081574
2015-05-08,51.9161,52.3592,51.708,51.7623,1236756
2015-05-11,51.5633,52.097,51.4186,51.4457,1166232
2015-05-12,51.2196,51.4096,50.7493,50.8126,1749834
2015-05-13,51.0116,51.0794,50.383,50.4689,1910019
2015-05-14,50.1795,50.2066,47.9726,49.3926,7396694
2015-05-15,49.5011,50.3966,49.3926,50.3694,3959626
2015-05-18,50.3875,50.8217,50.3061,50.7945,2004563
2015-05-19,50.9483,50.9483,50.4056,50.6317,1944411
2015-05-20,50.6317,51.2558,50.5503,51.1292,2241670
2015-05-21,51.102,51.647,51.0026,51.5543,1966713
2015-05-22,51.5543,51.7804,51.4638,51.5091,2110102
2015-05-26,51.5818,51.5818,49.6175,49.963,2561381
2015-05-27,50.0176,50.254,49.7448,49.9903,1973000
2015-05-28,49.8539,49.9539,48.8899,49.1264,2670285
2015-05-29,49.0627,49.0991,48.5444,48.6444,2596771
2015-06-01,48.8172,48.8172,48.2897,48.5534,2347974
2015-06-02,48.3807,49.9903,48.3807,49.1264,2121328
2015-06-03,49.3264,50.0722,49.2901,49.5902,1729077
2015-06-04,49.2264,49.7448,49.1127,49.2628,1314019
2015-06-05,49.281,49.5629,49.0536,49.381,1324338
2015-06-08,49.3174,49.4538,48.9718,49.0172,1718162
2015-06-09,49.0536,49.3901,48.7808,49.1264,1412676
