date,open,high,low,close,volume
2015-01-02,56.3927,57.4361,55.526,56.6619,1312795
2015-01-05,55.5428,55.7027,54.2723,55.0969,1995048
2015-01-06,54.6846,55.7784,52.5642,53.5655,2171153
2015-01-07,52.5137,52.8755,49.1396,50.0315,5164995
2015-01-08,50.57,52.0762,50.4269,51.159,4431851
2015-01-09,51.2095,51.5292,49.779,51.159,3109994
2015-01-12,50.2082,50.225,48.9629,49.9557,2731026
2015-01-13,49.9642,51.6807,49.7117,51.3273,2786774
2015-01-14,50.7803,51.6218,49.7706,51.5208,3192353
2015-01-15,52.236,52.5894,50.5868,50.6373,2079891
2015-01-16,51.2011,53.5907,51.0706,53.4056,2019902
2015-01-20,53.3888,53.3888,51.1927,52.0257,1734299
2015-01-21,52.6904,53.8516,52.194,53.7843,1755136
2015-01-22,54.0872,54.2723,52.7914,54.0788,2073965
2015-01-23,53.9525,54.693,52.7241,52.9765,2560613
2015-01-26,53.1279,54.0872,52.7073,54.0535,1451426
2015-01-27,53.6917,54.4574,53.0438,53.6917,2355461
2015-01-28,53.616,53.616,49.8632,50.2082,4188863
2015-01-29,46.9518,48.702,45.4373,48.3486,6594968
2015-01-30,48.0878,51.0159,47.6586,50.1156,3929266
2015-02-02,51.0496,53.8516,50.8897,53.5991,3758141
2015-02-03,55.2399,57.2762,55.0212,57.0911,5642516
2015-02-04,55.5597,57.5875,54.0199,55.2988,5031461
2015-02-05,56.2917,56.6363,54.7014,56.4432,3404388
2015-02-06,56.9144,57.8063,55.8373,57.2341,2728097
2015-02-09,57.8568,59.1358,57.6843,58.5468,2792562
2015-02-10,58.0082,58.0082,54.9875,55.8289,4100537
2015-02-11,54.543,55.9458,54.2114,55.5292,1996364
2015-02-12,56.5155,57.6038,55.8863,56.0819,1830426
2015-02-13,57.1362,59.2023,57.1107,59.1598,2555103
2015-02-17,58.7346,60.8347,57.8802,60.4861,2405703
2015-02-18,59.2023,60.1971,58.6241,60.129,2059170
2015-02-19,58.2755,60.8347,58.0885,59.7209,2206776
2015-02-20,59.8315,60.1546,58.7019,59.2873,1484534
2015-02-23,58.3605,58.7176,56.9236,57.4763,2798968
2015-02-24,58.0034,58.2245,56.2519,57.2212,2371720
2015-02-25,57.5358,57.8759,55.8608,57.5188,2347659
2015-02-26,57.1617,57.5613,56.0394,56.286,2264941
2015-02-27,56.507,57.3828,56.49,57.0172,1931333
2015-03-02,56.7366,56.7621,55.1976,55.8693,2310471
2015-03-03,55.9289,57.5443,55.5122,57.2467,1835505
2015-03-04,57.0767,57.1447,55.3507,56.6516,2139903
2015-03-05,56.354,58.0119,55.3847,57.9184,1647091
2015-03-06,57.4338,58.318,57.0087,57.1192,1952509
2015-03-09,56.7876,57.2722,55.3932,55.9118,1960657
2015-03-10,55.0021,55.7588,54.645,54.696,2124928
2015-03-11,54.8916,54.9511,53.8798,54.8405,2340053
2015-03-12,55.3847,55.3847,53.5057,53.7947,2042647
2015-03-13,53.2336,53.3271,51.8562,53.1316,2301742
2015-03-16,52.6809,54.5515,51.8392,54.5089,3537000
2015-03-17,53.8628,54.679,53.6162,54.4409,1607347
2015-03-18,54.1178,57.4423,53.5482,56.9151,2066879
2015-03-19,55.9203,56.2604,55.1296,56.1584,1849721
2015-03-20,57.1872,57.9609,56.7876,57.9524,7755228
2015-03-23,57.9524,59.2448,57.8164,58.25,2194952
2015-03-24,58.3095,58.6241,56.7281,57.9269,2417793
2015-03-25,58.301,59.2958,57.6889,58.7261,2138118
2015-03-26,59.6869,59.993,58.1225,58.7602,2083762
2015-03-27,58.267,58.2755,57.2467,57.8164,1641620
2015-03-30,58.3435,58.9472,57.3318,58.4371,2594621
2015-03-31,57.9184,58.5306,57.3318,57.8759,1782072
2015-04-01,58.1905,58.7091,57.5783,57.9949,2517894
2015-04-02,57.6293,59.5509,57.4763,58.8537,2363349
2015-04-06,59.4318,62.3142,59.0237,61.9401,2857066
2015-04-07,62.0166,63.1942,61.1663,62.0846,2053056
2015-04-08,62.2291,62.9433,60.5117,60.6052,1887711
2015-04-09,60.9623,63.1389,60.9623,62.8583,2123977
2015-04-10,63.0284,63.0284,61.6425,62.1356,1656607
2015-04-13,62.1526,62.5947,61.0771,61.2259,2124286
