date,open,high,low,close,volume
2015-01-02,24.1438,24.2317,23.7642,23.8938,887072
2015-01-05,23.7596,23.8568,23.4263,23.468,1389242
2015-01-06,23.5744,23.667,23.2273,23.2921,2561540
2015-01-07,23.4633,23.7735,23.4633,23.6716,2520872
2015-01-08,23.8336,24.0095,23.7781,23.9262,1923814
2015-01-09,24.0419,24.1715,23.6948,23.7364,1389146
2015-01-12,23.7457,23.8336,23.3337,23.3846,1238720
2015-01-13,23.4911,23.7225,23.306,23.468,1578236
2015-01-14,23.3106,23.4587,23.2134,23.417,1624190
2015-01-15,23.5706,23.8125,23.4217,23.6962,1820576
2015-01-16,23.7008,23.9799,23.6869,23.952,1578048
2015-01-20,24.0218,24.1799,23.7659,24.1706,1262194
2015-01-21,24.1381,24.6777,24.0404,24.6498,2789674
2015-01-22,24.6591,25.0033,24.3288,24.994,1860502
2015-01-23,24.9707,25.1568,24.7521,24.8172,1333274
2015-01-26,24.8498,24.887,24.6172,24.7754,1266504
2015-01-27,24.5846,24.7289,24.4777,24.6265,1099724
2015-01-28,24.6916,24.9149,24.3288,24.3753,1233366
2015-01-29,24.4544,24.4916,24.073,24.4404,1304118
2015-01-30,24.3009,24.4637,23.7566,23.8264,3569256
2015-02-02,23.4496,24.0916,23.3194,24.0683,2119398
2015-02-03,24.1706,24.4079,24.1009,24.3148,1801310
2015-02-04,24.2683,25.208,24.2474,25.101,3316258
2015-02-05,25.101,25.1336,24.78,25.1243,1759580
2015-02-06,25.0917,25.1196,24.8405,24.9242,1742972
2015-02-09,24.8545,24.9242,24.6637,24.6963,1178832
2015-02-10,24.8312,25.208,24.7661,25.1475,1055590
2015-02-11,25.2592,25.3056,24.8451,25.087,1123664
2015-02-12,25.0917,25.2033,24.901,25.1987,1709412
2015-02-13,25.1801,25.9337,25.0126,25.9244,3503314
2015-02-17,25.9244,26.0034,25.4313,25.9151,3747382
2015-02-18,25.9058,26.2825,25.8174,26.1151,2980386
2015-02-19,26.5617,26.9803,26.1569,26.8175,3914836
2015-02-20,26.7989,27.0501,26.5756,26.9431,1664614
2015-02-23,26.9152,27.0547,26.7524,26.8873,1510124
2015-02-24,26.8268,26.9431,26.7247,26.8733,1172964
2015-02-25,26.8501,27.4362,26.7617,27.2269,3401478
2015-02-26,27.1524,27.2408,26.9989,27.1943,1295482
2015-02-27,27.1617,27.4176,27.0827,27.2176,1677674
2015-03-02,27.2501,27.2966,27.0524,27.2176,1109940
2015-03-03,27.2036,27.2036,26.8082,27.1524,1833518
2015-03-04,27.1524,27.1524,26.8966,26.9571,1738914
2015-03-05,27.064,27.064,26.7803,26.9524,966916
2015-03-06,26.7803,26.7942,26.3105,26.4035,1326976
2015-03-09,26.5058,26.8826,26.4547,26.7989,1713186
2015-03-10,26.5663,26.6175,26.1663,26.1663,1502930
2015-03-11,26.2081,26.2174,25.3615,25.6964,3578862
2015-03-12,25.6546,26.0825,25.5894,26.0314,1697448
2015-03-13,25.943,25.9523,25.4917,25.7011,1268880
2015-03-16,25.836,25.9709,25.622,25.8871,2288862
2015-03-17,25.7011,25.7802,25.4592,25.715,1716972
2015-03-18,25.6871,26.1756,25.4592,26.0872,2866686
2015-03-19,26.0453,26.143,25.8778,26.0453,925532
2015-03-20,26.1569,26.4593,26.129,26.4221,1699170
2015-03-23,26.4547,26.7198,26.4547,26.5058,867098
2015-03-24,26.4779,26.7012,26.25,26.2593,1284004
2015-03-25,26.4407,26.7896,26.3291,26.357,2529718
2015-03-26,26.2732,26.45,26.0803,26.357,1100594
2015-03-27,26.3291,26.6593,26.2267,26.6361,1225516
2015-03-30,26.2825,26.6942,26.2825,26.6826,2043890
2015-03-31,26.5942,26.7198,26.4081,26.4454,1443446
2015-04-01,26.4454,26.571,26.2593,26.5617,1387188
2015-04-02,26.5896,26.864,26.4733,26.7105,950612
2015-04-06,26.571,26.9943,26.5477,26.8966,2494018
2015-04-07,26.8966,27.1152,26.771,26.9757,1589346
2015-04-08,26.9757,27.1292,26.8361,27.0873,1314310
2015-04-09,27.0966,27.1106,26.7942,26.9943,1314040
2015-04-10,27.0547,27.2129,26.8826,26.9617,1093820
2015-04-13,26.9757,26.9896,26.6547,26.6919,1089096
2015-04-14,26.6919,27.0547,26.5896,27.0361,1346172
2015-04-15,27.078,27.2687,26.7617,26.8035,1166326
2015-04-16,26.8783,26.9554,26.6727,26.8456,922720
2015-04-17,26.654,26.654,26.07,26.327,1573944
2015-04-20,26.3784,26.5839,26.327,26.3457,1087122
2015-04-21,26.0514,26.1541,25.4253,25.7383,3721062
2015-04-22,25.5888,25.8341,25.3599,25.7804,1762130
2015-04-23,25.6402,25.7664,25.3926,25.6402,2892504
2015-04-24,25.6636,25.743,25.5561,25.6262,930798
2015-04-27,25.6169,25.743,25.5187,25.5795,1110084
2015-04-28,25.5281,25.7664,25.5047,25.7056,862666
2015-04-29,25.6916,25.7196,25.4346,25.5001,1621776
2015-04-30,25.5187,25.6169,25.2992,25.3926,2453062
2015-05-01,25.4066,25.8411,25.4066,25.8271,1475686
2015-05-04,25.7944,26.1214,25.7589,26.042,1260866
2015-05-05,26.1682,26.3971,25.9159,25.9906,1721702
2015-05-06,26.0654,26.0864,25.5841,25.7383,1297262
2015-05-07,25.757,25.8925,25.5795,25.8691,1089530
2015-05-08,26.0934,26.2476,25.9486,26.1495,931744
2015-05-11,26.1308,26.1728,26.0327,26.07,995506
2015-05-12,25.9439,26.1354,25.8037,26.0514,1162718
2015-05-13,26.1401,26.3083,26.0654,26.1495,1144268
2015-05-14,26.2943,26.5326,26.2896,26.4999,1373702
2015-05-15,26.4905,26.57,26.3644,26.4765,1933718
2015-05-18,26.3644,26.4578,26.0186,26.0327,2616456
2015-05-19,26.1775,26.2719,25.9579,26.0654,2563488
2015-05-20,26.3504,27.7333,26.3036,27.1633,5329838
2015-05-21,27.0418,27.2381,26.7708,26.8736,3006370
2015-05-22,26.7989,26.8503,26.5466,26.5933,1981546
2015-05-26,26.4859,26.584,26.341,26.4485,2143030
2015-05-27,27.3175,27.4997,26.9507,27.2988,3840722
2015-05-28,27.2427,27.2894,26.8596,27.1913,2903560
2015-05-29,27.1072,27.1913,26.7335,26.7335,4573660
2015-06-01,26.7195,26.8082,26.4064,26.6634,1766226
2015-06-02,26.6354,26.6354,26.3223,26.5186,1825180
2015-06-03,26.6447,26.6681,26.3971,26.584,1206336
2015-06-04,26.5232,26.5559,26.2709,26.299,1718806
2015-06-05,26.2569,26.3527,26.0794,26.285,2346960
2015-06-08,26.285,26.3504,26.1682,26.2336,1242932
2015-06-09,26.2055,26.355,25.9859,26.2663,1324986
2015-06-10,26.3177,26.7148,26.3177,26.5466,1202884
2015-06-11,26.5326,26.6494,26.3644,26.4064,1002104
2015-06-12,26.3363,26.4765,26.1915,26.3784,1362158
2015-06-15,26.299,26.341,26.1074,26.3177,1724834
2015-06-16,26.3737,26.5279,26.2242,26.4718,1410342
2015-06-17,26.4905,26.6914,26.4064,26.6494,954710
2015-06-18,26.6681,26.925,26.598,26.7615,1200056
2015-06-19,26.7568,26.9717,26.6027,26.7428,1245316
2015-06-22,26.9204,27.0932,26.8783,27.0045,999276
2015-06-23,27.0979,27.1656,26.9063,27.154,1220560
2015-06-24,27.1633,27.2334,27.0418,27.1259,1089358
2015-06-25,27.3969,27.3969,26.9869,27.0839,1164216
2015-06-26,27.1072,27.1072,26.7895,26.9671,1586264
2015-06-29,26.6307,26.6307,26.2709,26.2896,1133872
2015-06-30,26.4578,26.626,26.3177,26.3363,1632196
2015-07-01,26.4485,26.654,26.3597,26.6213,1566006
2015-07-02,26.7008,26.7942,26.4158,26.5606,1197488
2015-07-06,26.3083,26.4859,26.1588,26.2663,1712600
2015-07-07,26.341,26.8363,26.1121,26.7942,1470848
2015-07-08,26.6167,26.7428,26.5139,26.5886,1034298
2015-07-09,26.8736,26.9671,26.7148,26.7335,1760228
2015-07-10,26.897,26.897,26.654,26.7755,1685882
2015-07-13,27.0045,27.21,26.8923,27.196,1166906
2015-07-14,27.2381,27.3502,27.1633,27.2614,1262980
2015-07-15,27.196,27.3035,26.9904,27.0325,1073844
2015-07-16,27.1826,27.3797,27.1545,27.3797,1148428
2015-07-17,27.3,27.3563,26.8401,27.0372,1231604
2015-07-20,27.0184,27.1639,26.8823,27.1498,1223136
2015-07-21,27.1357,27.2483,26.9433,26.9621,1453172
2015-07-22,26.9762,27.1545,26.9062,27.1029,841838
2015-07-23,27.0513,27.2835,26.948,27.056,791750
2015-07-24,27.0043,27.1216,26.8988,27.009,1020698
2015-07-27,26.8964,26.9996,26.6923,26.9433,1107044
2015-07-28,27.0043,27.4454,26.9011,27.436,970996
2015-07-29,27.4079,27.6096,27.3281,27.5909,972896
2015-07-30,27.4689,27.9006,27.314,27.8443,1246412
2015-07-31,27.9616,27.9803,27.7082,27.7833,2027742
2015-08-03,27.5674,27.8865,27.4548,27.8865,1521200
2015-08-04,27.8302,28.4261,27.802,28.2947,1599182
2015-08-05,28.473,28.7733,28.3088,28.5293,1795200
2015-08-06,28.6232,28.6232,28.1774,28.2853,1363610
2015-08-07,28.2853,28.2853,28.0742,28.2619,1170080
2015-08-10,28.3557,28.703,28.2783,28.5575,1302590
2015-08-11,28.3604,28.473,28.1633,28.3698,1233368
2015-08-12,28.154,28.5997,28.0273,28.5716,1934590
2015-08-13,28.5575,28.6091,28.3182,28.3886,1507744
2015-08-14,28.4214,28.7452,28.3323,28.7217,1244754
2015-08-17,28.6091,28.886,28.459,28.7827,1259328
2015-08-18,28.8437,28.8531,28.3323,28.3886,2319906
2015-08-19,29.3176,29.3176,28.107,28.7264,2789554
2015-08-20,28.9282,30.0919,28.8578,29.8385,4109988
2015-08-21,29.7306,29.74,28.7874,28.8015,3332340
2015-08-24,27.9193,28.4026,27.3469,27.8396,3534754
2015-08-25,28.4073,28.4543,27.558,27.5815,2181932
2015-08-26,28.1164,28.398,27.5674,28.3651,1812710
2015-08-27,28.5481,28.8625,28.2947,28.8015,1709930
2015-08-28,28.7217,28.886,28.5857,28.8578,1536084
