date,open,high,low,close,volume
2015-01-02,20.1153,20.1237,19.8965,20.0396,4139896
2015-01-05,19.9301,19.9806,19.7702,19.8796,6250629
2015-01-06,19.9891,20.2205,19.6356,19.7955,10223548
2015-01-07,19.7366,20.0311,19.5851,19.9049,6558526
2015-01-08,20.0059,20.3257,19.9049,20.1153,8246052
2015-01-09,20.1995,20.2416,19.8796,19.9806,5191595
2015-01-12,20.0227,20.0985,19.947,20.0227,4983543
2015-01-13,20.1153,20.2331,19.8796,19.9891,6467495
2015-01-14,19.6608,19.9638,19.5855,19.9638,7191017
2015-01-15,19.9217,20.1153,19.8249,19.9975,5100962
2015-01-16,19.7786,19.9806,19.6608,19.9638,7067260
2015-01-20,20.0732,20.1575,19.8376,19.9386,6981448
2015-01-21,19.9301,20.0143,19.7871,19.8712,6111085
2015-01-22,19.9217,20.3257,19.846,20.292,8730553
2015-01-23,20.292,20.3594,20.0901,20.3089,7158068
2015-01-26,20.292,20.3425,20.1069,20.3173,5503880
2015-01-27,20.1658,20.3173,20.1237,20.1826,5641001
2015-01-28,20.3341,20.3341,19.7786,19.7786,7031374
2015-01-29,19.846,19.9638,19.6776,19.8965,6827779
2015-01-30,19.7366,19.8123,19.2568,19.2652,9157636
2015-02-02,19.2821,19.3831,18.8991,19.341,8994940
2015-02-03,19.3662,19.6356,19.24,19.6187,5540064
2015-02-04,19.543,19.6103,19.3662,19.4167,4791015
2015-02-05,19.543,19.7113,19.442,19.7113,3909708
2015-02-06,19.6861,19.7281,19.4336,19.4925,8601785
2015-02-09,19.4504,19.6019,19.2652,19.3073,5168984
2015-02-10,19.3999,19.5177,19.2316,19.4757,6250967
2015-02-11,19.4925,19.644,19.3662,19.5262,5097393
2015-02-12,19.6524,19.947,19.5177,19.947,5302843
2015-02-13,19.9133,19.9891,19.745,19.8796,6214009
2015-02-17,19.8291,20.0353,19.745,19.8291,6563909
2015-02-18,19.7702,19.8712,19.4883,19.8123,8065361
2015-02-19,18.4741,19.0548,18.331,18.4068,16789949
2015-02-20,18.3142,18.4783,18.2048,18.3226,12469282
2015-02-23,18.3226,18.4404,17.9944,18.1879,11579988
2015-02-24,18.1711,18.23,17.7924,17.9439,12281231
2015-02-25,18.0196,18.1122,17.8176,17.8849,8105020
2015-02-26,17.8429,17.9144,17.6156,17.7755,8726800
2015-02-27,17.7082,17.7924,17.5735,17.6745,9077767
2015-03-02,17.7166,18.1122,17.683,18.0364,8138299
2015-03-03,17.9354,18.0196,17.7671,17.9607,5836306
2015-03-04,17.8849,17.9186,17.4978,17.5904,5717779
2015-03-05,17.6745,17.7671,17.3884,17.3884,5888991
2015-03-06,16.8918,17.1695,16.7656,17.0686,13958509
2015-03-09,17.1022,17.2243,17.0686,17.1948,12544906
2015-03-10,17.0349,17.1443,16.9339,17.0517,9405968
2015-03-11,17.0433,17.178,16.9844,17.1611,8521269
2015-03-12,17.2116,17.5735,17.1527,17.5483,9458004
2015-03-13,17.3463,17.5567,17.3126,17.5062,12818838
2015-03-16,17.5651,17.7839,17.5399,17.6998,7285602
2015-03-17,17.6072,17.8008,17.5399,17.725,5988038
2015-03-18,17.6493,18.0449,17.4894,17.9944,9239665
2015-03-19,17.9102,18.0196,17.8513,17.8681,8429089
2015-03-20,17.9439,18.3226,17.927,18.2805,8950943
2015-03-23,18.3226,18.4404,18.0954,18.1122,8366705
2015-03-24,18.0449,18.1038,17.7587,17.8008,9175013
2015-03-25,17.6156,17.725,17.2369,17.2621,11684553
2015-03-26,17.1695,17.2369,16.875,17.0686,11244599
2015-03-27,17.1111,17.2428,17.0006,17.0346,6025066
2015-03-30,17.1281,17.3491,17.0941,17.2981,4619286
2015-03-31,17.2131,17.3831,17.1536,17.1536,6448817
2015-04-01,17.1451,17.2811,16.941,17.2216,6872787
2015-04-02,17.2301,17.4936,17.1791,17.4171,5712264
2015-04-06,17.3916,17.5106,17.2428,17.2896,7167866
2015-04-07,17.2386,17.2471,16.941,17.0006,6670597
2015-04-08,17.0176,17.2046,16.9835,17.1621,7039707
2015-04-09,17.1111,17.1111,16.771,16.9325,6875251
2015-04-10,17.0006,17.0686,16.8645,16.941,6130726
2015-04-13,17.1026,17.3278,17.0261,17.1961,7627507
2015-04-14,17.1961,17.3151,16.941,16.9666,6558847
2015-04-15,17.0006,17.0601,16.8475,16.941,7391795
2015-04-16,16.9581,17.2471,16.856,17.2046,9526870
2015-04-17,17.1366,17.6126,16.9666,17.5106,18798543
