date,open,high,low,close,volume
2015-01-02,141.4353,142.9575,137.9617,139.5229,983205
2015-01-05,138.2544,139.2984,135.3271,135.8248,1686695
2015-01-06,136.8103,138.0592,134.1172,135.7174,1771343
2015-01-07,136.3419,138.7911,136.3419,138.2934,877400
2015-01-08,140.1376,144.7919,140.1376,144.2455,1351932
2015-01-09,143.7674,144.4699,143.0161,143.1917,1221937
2015-01-12,143.1039,144.1187,141.3573,141.9818,789952
2015-01-13,143.6796,145.6018,142.2452,143.2795,794102
2015-01-14,141.7281,144.1478,140.9865,143.9723,945611
2015-01-15,144.3138,146.1287,143.8748,144.3333,882781
2015-01-16,144.2455,146.4214,143.2698,146.3043,816294
2015-01-20,147.202,147.4557,143.4259,145.3579,1660788
2015-01-21,145.8067,150.6367,145.514,149.5634,1642900
2015-01-22,149.9829,150.7147,147.9241,149.9244,988761
2015-01-23,150.2074,151.5344,147.6997,147.7972,661941
2015-01-26,147.3094,148.6169,145.2896,148.3144,822873
2015-01-27,147.3874,148.3632,146.4118,147.0947,634147
2015-01-28,147.9241,148.6071,144.8905,145.2993,982146
2015-01-29,145.3871,146.3239,142.655,145.9921,915496
2015-01-30,144.4309,146.0214,142.4209,142.8892,1005786
2015-02-02,143.3185,143.543,139.962,142.4404,1539572
2015-02-03,142.4209,145.1432,140.8694,144.9773,1242255
2015-02-04,144.5773,149.1731,141.7476,146.8898,1784261
2015-02-05,149.778,150.178,146.0116,146.7142,1203708
2015-02-06,146.6459,146.9386,143.7869,144.1577,1164201
2015-02-09,143.6991,145.6116,143.0844,143.582,756683
2015-02-10,145.1237,148.2071,144.4114,147.9729,784835
2015-02-11,147.7777,150.0415,147.2606,149.6024,717558
2015-02-12,150.2659,151.0075,149.1145,150.0024,655779
2015-02-13,149.5829,149.8951,148.1095,148.9682,727096
2015-02-17,148.9194,151.1246,148.7047,151.1051,914863
2015-02-18,150.8806,151.6807,150.5098,151.632,723964
2015-02-19,150.6562,151.5149,149.417,149.5634,1064108
2015-02-20,149.3682,153.037,148.9584,152.3345,1294493
2015-02-23,152.7638,161.5066,152.7443,160.5308,3259673
2015-02-24,160.5211,161.6334,159.6722,160.4528,1024518
2015-02-25,160.4528,162.1701,159.9063,161.3602,804724
2015-02-26,159.9942,160.5113,158.4242,159.3892,1720113
2015-02-27,158.7549,161.731,158.7549,160.3942,1495260
2015-03-02,160.121,160.8528,157.3304,158.0719,2140416
2015-03-03,157.7109,158.0719,155.7106,156.3644,1223451
2015-03-04,155.3593,157.4377,154.9007,156.3351,2300949
2015-03-05,156.2863,158.8623,156.2863,158.1793,972867
2015-03-06,157.0474,158.1451,155.291,155.857,1246151
2015-03-09,156.2082,159.1062,155.9448,158.4037,1046560
2015-03-10,156.7254,156.7937,154.325,155.1447,2359178
2015-03-11,155.7106,157.4279,155.1447,157.0962,956867
2015-03-12,157.9451,160.3942,157.2035,160.2966,992532
2015-03-13,159.5258,162.5506,158.6866,162.4628,1525608
2015-03-16,163.6044,171.0494,163.1556,170.0834,2796064
2015-03-17,168.4637,170.7274,168.4491,169.781,1647344
2015-03-18,170.1225,175.2061,169.4882,174.2987,1849950
2015-03-19,174.2499,178.5335,173.9572,176.5722,1704010
2015-03-20,177.8895,178.5725,175.7135,178.3578,2256250
2015-03-23,178.3578,178.6115,176.9723,177.6846,974500
2015-03-24,177.626,178.5432,176.0355,176.0355,967726
2015-03-25,177.0796,178.392,172.8741,173.0302,1427123
2015-03-26,172.5131,173.2448,170.5713,171.4592,1473045
2015-03-27,171.7719,173.7363,171.4201,173.492,1492135
2015-03-30,175.8962,177.2644,175.4173,177.0689,1365260
2015-03-31,175.945,177.2546,173.9806,173.9806,1304433
2015-04-01,173.7949,174.2934,170.736,173.6093,823021
2015-04-02,173.8047,176.0525,173.0522,173.9415,677969
2015-04-06,173.1695,174.87,172.5929,174.2152,516034
2015-04-07,177.8703,177.8703,172.9545,174.0588,973944
2015-04-08,174.655,175.5052,173.8047,174.6745,767333
2015-04-09,174.0881,175.0752,172.3388,173.6972,1382328
2015-04-10,173.6093,174.5084,172.9251,174.4302,648214
2015-04-13,174.7723,176.9419,174.4693,174.5279,561408
2015-04-14,174.3422,175.9157,174.049,175.4759,752881
2015-04-15,175.9059,176.5803,171.508,172.7199,1390893
2015-04-16,175.9157,176.4728,172.1042,173.6483,1510860
2015-04-17,172.2508,173.6093,172.0749,173.4529,993398
2015-04-20,174.6257,175.1827,174.3618,174.6452,621553
2015-04-21,175.1339,176.3457,174.8993,176.0428,613530
2015-04-22,175.9841,176.4044,174.7723,175.9255,710518
2015-04-23,174.997,177.9192,174.5572,177.7824,1070535
2015-04-24,177.4794,178.271,177.3817,178.2124,806758
2015-04-27,178.359,178.8085,175.7105,176.033,1235328
2015-04-28,176.3946,177.9192,173.7558,177.0005,1546443
