date,open,high,low,close,volume
2015-01-02,140.3532,142.0934,140.0835,141.0058,5525466
2015-01-05,140.3184,140.3184,138.5087,138.7871,4880389
2015-01-06,138.9263,139.1786,135.0109,135.794,6146712
2015-01-07,136.7772,136.7772,134.019,134.9065,4701839
2015-01-08,135.9419,138.3816,135.3415,137.8387,4241113
2015-01-09,137.8387,139.5092,136.8207,138.439,4488347
2015-01-12,138.3433,138.5609,135.5243,136.1159,4187638
2015-01-13,136.8294,139.1873,135.4547,136.4379,4377510
2015-01-14,134.7412,136.1594,133.7667,135.5591,4690294
2015-01-15,136.3334,136.5771,134.1321,134.4889,4251723
2015-01-16,133.8363,137.1513,133.8363,136.725,5756041
2015-01-20,136.3421,136.8903,134.019,136.5597,8392773
2015-01-21,133.1489,134.428,131.4436,132.3311,11897123
2015-01-22,132.2005,135.4895,132.0439,135.2023,6120113
2015-01-23,134.8891,137.1252,134.7673,135.62,4834847
2015-01-26,137.6995,138.7436,135.533,136.0463,7888143
2015-01-27,134.8108,134.9413,132.7661,133.7058,5659568
2015-01-28,133.9929,134.4541,131.8612,131.8612,4495933
2015-01-29,131.7133,135.3677,130.0949,135.2806,8320847
2015-01-30,133.9146,135.0718,133.1576,133.3926,6563570
2015-02-02,133.9929,134.5672,131.8264,134.5672,4712247
2015-02-03,134.6455,137.9953,134.6455,137.8822,5539406
2015-02-04,136.7859,138.091,136.3421,136.5684,3678459
2015-02-05,136.8555,137.9866,136.7338,137.3949,5253637
2015-02-06,137.8593,138.5077,136.8868,137.3161,3256452
2015-02-09,136.6852,137.9995,136.1595,136.4662,3057726
2015-02-10,137.3336,138.9283,135.8791,138.9283,4440614
2015-02-11,138.2273,139.3927,137.7104,138.6128,3626658
2015-02-12,139.0685,139.7519,138.5165,138.8932,3333063
2015-02-13,139.121,140.8909,138.9984,140.5405,3706919
2015-02-17,139.9709,141.4254,139.9534,141.0311,2894508
2015-02-18,141.8197,142.3542,140.7507,142.1088,4358385
2015-02-19,141.9862,144.1241,141.4517,143.5984,3504380
2015-02-20,143.3793,143.9926,142.0212,143.3881,3352982
2015-02-23,143.8963,144.0452,142.3805,142.7397,2714434
2015-02-24,142.3717,144.5622,141.513,144.422,4701626
2015-02-25,144.5184,144.5359,142.4505,142.6521,4004559
2015-02-26,143.4669,143.8174,139.9885,140.9523,7110772
2015-02-27,141.11,142.1965,140.3302,141.8898,4410037
2015-03-02,141.662,141.846,140.0236,140.6106,5917862
2015-03-03,140.4266,141.7233,140.19,141.0925,3234401
2015-03-04,140.6631,140.6806,139.0685,139.6818,3633635
2015-03-05,140.0673,141.5043,139.9298,141.2239,3791660
2015-03-06,140.3565,141.4517,138.4902,138.8757,4540174
2015-03-09,138.6128,141.1976,138.6128,140.8646,5193874
2015-03-10,139.8395,140.3915,138.2711,138.2711,4600968
2015-03-11,138.937,139.4365,136.6283,137.3862,5709890
2015-03-12,136.9218,139.0685,136.9218,138.4201,4567346
2015-03-13,137.9645,138.017,134.4071,135.1782,6064120
2015-03-16,135.8529,137.6403,135.6338,137.6315,3749638
2015-03-17,136.8605,137.8155,136.1332,137.5264,3311943
2015-03-18,137.43,140.8033,136.51,140.0235,5738827
2015-03-19,139.9271,140.9961,139.1473,140.0235,3878559
2015-03-20,141.0224,142.8185,140.4966,142.7134,9006417
2015-03-23,142.617,144.8776,142.582,144.2467,5930127
2015-03-24,144.3869,144.4745,142.7309,142.8185,4346145
2015-03-25,142.8886,142.8886,139.489,139.489,5428930
