date,open,high,low,close,volume
2015-01-02,94.3649,94.7743,93.2018,93.8345,291229
2015-01-05,93.4623,94.0299,91.9923,92.4575,382784
2015-01-06,92.8483,93.4437,90.8013,91.3223,421341
2015-01-07,91.8806,92.3272,91.1269,92.2249,516650
2015-01-08,92.9413,94.6068,92.8576,94.5696,333916
2015-01-09,94.9603,95.407,94.2904,95.0441,455256
2015-01-12,95.0255,95.3697,93.6326,94.0671,289475
2015-01-13,94.9045,95.8815,94.551,95.6675,606015
2015-01-14,94.7743,96.998,94.6068,96.7282,658889
2015-01-15,97.1655,98.6077,97.011,97.947,757848
2015-01-16,97.8168,99.9475,97.5632,99.8917,728128
2015-01-20,100.9151,100.9151,98.6635,100.0964,507639
2015-01-21,99.78,100.2824,98.7751,99.3985,677795
2015-01-22,100.0684,103.2505,99.8544,103.2226,786188
2015-01-23,103.111,103.1761,100.543,101.4641,891018
2015-01-26,101.2036,101.3059,100.1057,100.8314,470425
2015-01-27,99.8544,100.0405,98.9054,99.4823,521597
2015-01-28,100.0405,100.3848,97.8633,97.9377,710877
2015-01-29,97.8168,99.5009,97.7051,99.3706,334815
2015-01-30,98.5425,99.9196,98.3657,98.7286,410296
2015-02-02,99.1194,99.6404,98.0215,99.352,314413
2015-02-03,100.0964,100.6174,99.3148,100.4871,476695
2015-02-04,100.1987,100.8686,99.8358,100.2173,289326
2015-02-05,100.8221,101.2333,100.3848,101.0826,278590
2015-02-06,101.2129,101.5106,100.5616,101.4827,346151
2015-02-09,101.2408,101.3059,99.659,99.9103,361055
2015-02-10,100.1801,100.7291,99.7707,100.4313,371097
2015-02-11,100.5709,100.8593,99.2869,99.5567,1051031
2015-02-12,101.7246,108.3772,101.7246,106.7862,1342227
2015-02-13,107.3165,110.3312,106.842,108.8238,761781
2015-02-17,108.7494,109.4193,107.7445,109.0472,495458
2015-02-18,108.8518,110.1358,108.6936,110.0427,332763
2015-02-19,110.0427,112.0432,109.3914,111.7454,526745
2015-02-20,111.6617,113.0852,111.0104,112.955,418168
2015-02-23,112.2572,113.5132,112.1083,112.8061,432607
2015-02-24,112.5735,114.3041,112.2013,114.0994,452999
2015-02-25,114.4065,114.5181,112.9829,113.3923,472908
2015-02-26,113.5132,113.8854,112.8433,113.3644,470833
2015-02-27,113.4667,113.9878,112.6945,113.4481,371089
2015-03-02,111.6524,114.2948,109.1588,114.2297,401366
2015-03-03,113.8017,114.1087,112.3688,113.2248,280725
2015-03-04,113.0666,113.476,111.9315,112.7875,346337
2015-03-05,112.8154,113.0852,111.8664,112.4712,358861
2015-03-06,112.2013,112.313,110.2753,110.7312,396128
2015-03-09,111.2337,112.9178,111.122,112.2944,468581
2015-03-10,111.3825,111.5686,109.4193,109.4193,744139
2015-03-11,109.4193,110.2939,108.5773,109.0285,760573
2015-03-12,109.8194,111.6617,109.5496,111.1872,457689
2015-03-13,111.122,111.336,108.889,109.8287,465542
2015-03-16,110.2474,110.8615,109.9776,110.7126,298823
2015-03-17,110.1078,110.5079,108.6192,109.6985,461698
2015-03-18,109.2146,110.6847,107.2421,109.9311,601989
2015-03-19,109.8566,111.7268,108.9541,110.2474,510677
2015-03-20,110.5545,112.0246,110.4056,111.5779,638290
2015-03-23,111.3453,112.2292,111.0476,111.3639,490120
2015-03-24,111.1034,112.1734,110.7871,111.1965,427482
2015-03-25,111.5608,112.99,109.3656,109.3656,482343
2015-03-26,109.1414,109.6132,108.3661,109.0107,528528
2015-03-27,109.347,110.0289,108.8706,109.459,354408
2015-03-30,110.0756,111.4113,109.5151,110.6921,300774
2015-03-31,110.4959,110.6921,109.2909,109.6646,473910
2015-04-01,109.3843,110.3231,108.4315,109.2629,462791
2015-04-02,109.2535,110.9816,109.048,109.6552,334134
2015-04-06,109.0667,111.1218,109.0667,110.8042,317297
2015-04-07,110.58,111.6682,110.3745,110.4025,520111
2015-04-08,110.7481,111.1218,109.6739,110.4212,376165
2015-04-09,110.3558,110.6921,109.6038,110.4679,297391
2015-04-10,110.7294,111.1872,110.4169,111.1311,296276
2015-04-13,111.2806,112.4856,110.9256,110.9443,297739
2015-04-14,111.0564,111.5795,110.2811,111.0751,277277
2015-04-15,111.841,112.224,110.7108,110.8509,222941
2015-04-16,110.5426,111.4674,110.2344,110.8415,256259
2015-04-17,110.1409,110.8042,108.254,108.6183,437820
2015-04-20,109.375,110.1036,109.375,109.9168,204862
2015-04-21,109.9915,110.5146,108.9546,109.1228,237476
2015-04-22,109.2909,109.5338,107.5721,108.3475,475127
2015-04-23,108.3848,109.347,107.8356,108.8892,223123
2015-04-24,108.9359,109.4777,107.4601,108.2167,379551
2015-04-27,108.6837,109.4964,107.6431,108.5249,261720
2015-04-28,108.3194,109.2722,108.0205,109.2442,345041
2015-04-29,108.3568,109.2349,107.9832,108.581,297057
2015-04-30,108.0392,108.9266,106.5913,107.1892,438768
2015-05-01,107.8711,109.8047,107.8711,109.6832,310191
2015-05-04,109.7673,110.7855,109.5151,110.4399,345297
2015-05-05,110.2437,111.0377,108.5343,108.9173,268251
2015-05-06,109.6272,110.3371,108.17,110.3184,410088
2015-05-07,109.9074,110.608,109.1134,110.4305,256090
2015-05-08,111.6635,112.663,111.1685,111.5701,298369
2015-05-11,111.1778,111.7289,110.6827,111.4394,536523
2015-05-12,108.0579,109.5898,105.8721,106.8622,1013532
2015-05-13,106.5166,106.5166,103.2847,105.2649,971115
2015-05-14,105.844,107.5721,105.1995,107.4694,467945
2015-05-15,107.4133,107.8337,107.1331,107.8244,295372
2015-05-18,107.4414,107.8804,107.2545,107.6842,222653
2015-05-19,107.759,108.6464,107.4507,108.254,266731
2015-05-20,108.4035,110.0942,107.9738,109.786,419420
2015-05-21,109.5618,110.6547,109.5618,110.4679,492181
2015-05-22,110.2157,110.8976,110.0195,110.552,365123
2015-05-26,109.7299,110.197,108.7958,109.3843,419578
2015-05-27,109.2162,111.2152,109.1509,110.991,382760
2015-05-28,111.0377,111.8737,110.9163,111.4113,337176
2015-05-29,111.5795,112.2801,110.6921,111.1965,556126
2015-06-01,111.43,111.43,109.048,109.7673,432181
2015-06-02,109.459,110.2624,108.7304,108.7678,382430
2015-06-03,108.964,109.3376,106.4606,106.9276,952325
2015-06-04,106.1803,106.8249,104.938,105.0687,856462
2015-06-05,104.7605,105.0314,103.6956,103.7983,627679
2015-06-08,103.8731,104.8632,103.0417,103.0697,562413
2015-06-09,103.0697,103.1631,102.201,102.5279,607402
2015-06-10,103.0043,103.7236,102.64,103.5274,1131347
2015-06-11,103.5928,104.6857,103.3967,104.1066,754322
2015-06-12,103.9852,104.2374,102.8269,103.0604,363132
2015-06-15,102.1823,102.6774,101.6499,102.1636,420483
2015-06-16,102.2197,104.5456,102.173,103.9104,634450
2015-06-17,104.2467,105.1528,104.0132,104.228,625459
2015-06-18,104.8259,106.171,104.1159,105.8721,552674
2015-06-19,106.0028,107.049,105.3676,105.3863,536359
2015-06-22,106.1056,106.5726,105.5545,106.0495,355592
2015-06-23,106.4699,106.5259,105.5825,105.7506,376398
2015-06-24,105.6569,106.8388,105.291,105.6663,422197
2015-06-25,105.7413,106.4917,105.5256,105.6381,339327
2015-06-26,105.9946,106.3698,105.4824,105.6381,400965
2015-06-29,104.6813,105.3942,102.4583,102.5146,326223
2015-06-30,103.3869,103.7058,102.1206,102.5146,441270
2015-07-01,103.4432,103.9216,102.8616,103.3869,362337
2015-07-02,103.9028,103.9966,103.0305,103.4901,374495
2015-07-06,102.402,103.7809,102.1581,102.8991,279066
2015-07-07,102.8241,103.2931,101.4921,102.8616,410792
2015-07-08,101.933,102.4677,101.539,101.7266,515243
2015-07-09,102.9273,103.4713,102.0643,102.1581,333776
2015-07-10,103.5557,104.4468,102.7866,104.2592,278089
2015-07-13,105.1973,105.9195,104.278,105.6663,331171
2015-07-14,105.5349,106.3041,105.4318,106.1446,270706
2015-07-15,105.9289,106.7168,105.5912,105.7038,315030
2015-07-16,105.9758,106.5105,105.2254,106.3229,374051
2015-07-17,106.0602,106.4026,105.4411,105.6569,220291
2015-07-20,105.2254,105.4224,104.5125,104.6907,404083
2015-07-21,104.9909,107.2233,104.6063,104.6813,493579
2015-07-22,105.4318,106.9232,104.5875,105.3098,340185
2015-07-23,105.61,105.9946,104.9159,105.2254,379976
2015-07-24,105.0941,105.1222,103.1805,104.2123,381417
2015-07-27,103.6589,104.5125,103.2837,104.2217,365470
2015-07-28,104.6438,106.7825,104.0904,106.6512,439867
2015-07-29,106.6043,107.7017,105.7601,107.4672,350865
2015-07-30,107.2046,108.8649,106.9888,108.3489,468147
2015-07-31,109.165,109.6246,108.2176,108.424,474645
2015-08-03,108.2927,108.5741,107.5704,108.152,258431
2015-08-04,108.3489,109.559,108.3489,108.8086,258603
2015-08-05,109.9248,110.7596,109.3808,109.9717,384513
2015-08-06,109.9623,110.769,108.5459,109.2025,458997
2015-08-07,109.3057,109.6772,108.6679,109.0712,283293
2015-08-10,109.5027,111.5006,109.1181,111.4444,390909
2015-08-11,108.3771,109.8498,105.7882,106.9795,888108
2015-08-12,105.9852,107.3359,105.4505,106.6887,552176
2015-08-13,106.3322,107.017,105.4618,106.2009,501792
2015-08-14,106.2103,107.5798,106.0368,107.2702,350052
2015-08-17,106.8857,108.0535,106.7731,107.8612,368233
2015-08-18,107.6173,108.6679,107.6173,108.3677,324676
2015-08-19,107.1295,108.0206,106.623,107.0357,403658
2015-08-20,106.5667,106.82,104.7001,105.0565,705497
2015-08-21,106.1071,107.0451,104.9815,105.0096,1065488
2015-08-24,100.2446,103.6026,99.6161,101.3045,1178260
2015-08-25,103.734,103.7809,100.3665,100.4134,813237
2015-08-26,102.4208,102.8429,100.5166,102.1581,553839
2015-08-27,103.3306,105.2888,102.1863,103.8371,495431
2015-08-28,103.5933,104.1279,102.7866,104.081,350251
2015-08-31,103.7527,103.7527,102.7022,102.7584,297799
