date,open,high,low,close,volume
2015-01-02,73.65,74.88,72.68,73.76,781119
2015-01-05,73.82,74.98,73.22,74.22,968937
2015-01-06,73.23,74.83,69.05,71.49,2249174
2015-01-07,72.48,74.7,71.99,74.45,1009096
2015-01-08,75.0,75.648,72.94,73.21,1098148
2015-01-09,73.01,73.8399,71.48,72.03,1266248
2015-01-12,73.07,73.9601,71.6811,73.3,895953
2015-01-13,73.92,77.25,73.512,76.18,1635516
2015-01-14,75.28,77.24,74.55,75.775,1330644
2015-01-15,76.11,76.45,72.54,72.9,1395027
2015-01-16,73.03,74.45,72.25,74.38,1369116
2015-01-20,74.44,77.79,73.19,77.4,1155839
2015-01-21,76.51,78.88,74.995,77.43,1370032
2015-01-22,77.99,78.25,75.6701,77.61,861712
2015-01-23,77.29,80.0,76.84,79.9,1253872
2015-01-26,79.14,83.84,79.01,82.95,1913505
2015-01-27,81.99,83.77,81.52,83.07,1051601
2015-01-28,83.51,84.73,80.44,81.44,1540206
2015-01-29,81.7,81.7,79.56,81.34,842318
2015-01-30,81.05,82.81,79.51,79.71,701122
2015-02-02,80.44,81.0,76.4,78.375,995690
2015-02-03,79.45,79.498,73.25,75.96,1742702
2015-02-04,74.66,75.395,72.62,73.02,1837820
2015-02-05,73.5,75.66,73.31,75.25,968012
2015-02-06,74.05,76.86,73.17,75.35,638447
2015-02-09,74.32,77.31,74.27,75.81,628054
2015-02-10,76.74,76.99,75.31,76.46,720631
2015-02-11,75.48,78.4099,75.02,75.96,1190741
2015-02-12,76.62,78.67,73.51,75.66,1316303
2015-02-13,74.62,76.0,73.21,75.94,1284093
2015-02-17,76.1,78.18,75.51,77.8,1078163
2015-02-18,77.97,79.01,77.03,78.97,768350
2015-02-19,78.95,80.9,78.61,80.15,880025
2015-02-20,80.11,82.5,79.75,82.49,1176802
2015-02-23,82.49,84.95,82.49,83.41,1145687
2015-02-24,83.4,83.4,80.47,81.17,811204
2015-02-25,81.26,85.71,80.45,85.65,1496704
2015-02-26,85.65,88.44,84.3784,87.54,1359116
2015-02-27,87.01,87.6,84.23,85.85,917065
2015-03-02,85.48,88.93,85.19,88.68,932469
2015-03-03,88.69,88.87,86.34,87.95,914275
2015-03-04,87.81,88.81,87.01,87.91,756076
2015-03-05,89.6,94.4793,89.09,91.97,2811793
2015-03-06,91.75,91.75,88.5001,90.0,1855256
2015-03-09,90.41,90.5,88.16,89.57,1331967
2015-03-10,89.23,89.9763,87.89,89.33,1685283
2015-03-11,89.89,90.5,88.13,90.02,1061126
2015-03-12,90.0,90.07,88.78,89.96,1208126
2015-03-13,89.59,91.91,88.12,89.31,885791
2015-03-16,90.03,91.39,89.0603,91.28,933517
2015-03-17,92.02,93.42,90.77,92.34,914708
2015-03-18,91.79,93.0,90.75,92.25,782083
2015-03-19,93.17,97.13,93.17,97.08,1509481
2015-03-20,97.26,99.0,94.64,95.55,2274671
2015-03-23,94.59,94.96,92.35,93.395,1030492
2015-03-24,93.7,94.24,92.01,92.81,796273
2015-03-25,92.87,93.0,89.4,90.47,1520520
2015-03-26,89.59,90.9499,87.79,89.2,1353003
2015-03-27,89.72,95.72,89.05,94.36,1401500
2015-03-30,95.85,96.68,92.5401,94.19,1256212
2015-03-31,92.9,93.97,91.5,91.66,1038390
2015-04-01,92.3,92.48,87.415,89.44,1227089
2015-04-02,89.56,89.7,87.18,88.79,764691
2015-04-06,88.34,90.12,87.41,88.46,1001825
2015-04-07,88.83,91.32,88.29,89.39,662290
2015-04-08,89.64,92.14,89.3401,91.63,862228
2015-04-09,91.5,92.38,90.5,92.28,501970
2015-04-10,92.35,94.13,91.05,93.81,781872
2015-04-13,94.14,102.79,93.9501,99.83,2427925
2015-04-14,98.72,101.4,97.66,98.97,1388813
2015-04-15,99.43,101.38,98.5,100.29,1156026
2015-04-16,100.84,103.74,100.4,102.76,1752498
2015-04-17,101.76,102.74,101.01,101.66,1768573
2015-04-20,104.12,105.96,102.01,105.51,1250520
2015-04-21,106.76,109.89,104.73,109.185,1350979
2015-04-22,109.97,111.93,107.5,107.98,1152716
2015-04-23,107.6,108.43,106.581,107.85,1108069
2015-04-24,107.59,108.55,106.75,107.34,854645
2015-04-27,107.42,107.84,100.63,101.38,1431343
2015-04-28,101.73,104.01,97.14,99.6,1931151
2015-04-29,99.64,102.24,98.04,101.67,1502902
2015-04-30,99.64,102.72,96.02,97.16,1916724
2015-05-01,98.86,101.0,96.83,98.28,1622154
2015-05-04,99.26,104.77,98.51,101.0,1449525
2015-05-05,100.36,100.81,97.21,97.5,940699
2015-05-06,98.81,100.69,98.38,100.54,1322698
2015-05-07,100.63,103.64,100.32,102.08,1202535
2015-05-08,104.16,106.9,102.44,103.83,1363057
2015-05-11,104.0,105.4238,103.615,104.61,780426
2015-05-12,103.59,105.7,102.75,105.0,794322
2015-05-13,105.63,106.17,103.07,104.26,598201
2015-05-14,104.99,107.7,102.88,106.78,1199885
2015-05-15,107.3,107.6499,105.663,106.86,779054
2015-05-18,106.51,108.52,106.33,107.65,829598
2015-05-19,108.11,109.1,107.3,108.25,556793
2015-05-20,108.33,111.11,106.281,109.67,767739
2015-05-21,110.17,110.88,108.18,108.41,611970
2015-05-22,108.0,109.11,107.19,107.69,694683
2015-05-26,107.46,108.4,104.73,107.29,879939
2015-05-27,107.54,108.58,106.58,107.92,1075718
2015-05-28,107.92,108.69,106.11,108.14,639191
2015-05-29,107.9,111.075,107.06,110.15,1246321
2015-06-01,111.63,113.55,108.3,109.68,1135267
2015-06-02,109.52,110.9999,107.8,108.0,1103578
2015-06-03,107.93,109.09,106.75,108.98,937341
2015-06-04,108.09,109.01,105.89,106.84,1183450
2015-06-05,107.29,109.14,106.01,108.94,1101187
2015-06-08,108.87,109.805,105.64,107.0,873029
2015-06-09,107.14,107.192,104.34,106.25,797489
2015-06-10,106.25,106.25,102.57,105.53,1078901
2015-06-11,105.69,106.18,103.828,106.11,795528
2015-06-12,105.31,106.5082,104.29,105.49,568639
2015-06-15,105.17,105.76,103.23,103.68,822976
2015-06-16,103.09,104.55,103.0,104.07,769632
2015-06-17,104.42,105.79,104.062,105.39,492590
2015-06-18,105.68,110.99,105.4,108.9,880597
2015-06-19,109.5,109.5,106.5636,107.77,1387995
2015-06-22,108.53,109.8349,108.11,109.22,680420
2015-06-23,109.51,109.74,107.11,109.31,791093
2015-06-24,109.19,109.34,105.17,105.29,849636
2015-06-25,105.43,107.23,103.17,104.45,943246
2015-06-26,104.86,105.59,102.42,104.05,1865830
2015-06-29,101.86,104.55,100.59,100.82,874993
2015-06-30,103.01,104.3397,101.71,104.21,1182340
2015-07-01,105.15,105.86,102.42,104.45,849445
2015-07-02,104.4,105.71,103.64,105.58,907409
2015-07-06,104.22,109.21,104.22,108.58,1248775
2015-07-07,108.73,109.5,106.518,109.32,811023
2015-07-08,108.23,108.93,105.31,106.0,715972
2015-07-09,106.8,109.355,106.64,108.11,625696
2015-07-10,109.77,109.82,107.04,108.33,736733
2015-07-13,109.25,113.5,108.58,113.0,1019162
2015-07-14,113.61,117.97,113.1,117.46,1365459
2015-07-15,118.83,121.7,115.389,115.88,1835985
2015-07-16,117.06,118.86,116.305,117.69,820594
2015-07-17,117.49,117.88,114.24,117.04,713592
2015-07-20,117.85,118.09,115.01,115.77,672242
2015-07-21,116.14,116.295,112.56,113.87,656269
2015-07-22,112.67,115.3461,112.01,114.42,661262
2015-07-23,115.17,115.66,112.3,113.21,544232
2015-07-24,112.49,113.57,108.28,108.54,1013275
2015-07-27,108.0,108.13,103.73,104.37,1398563
2015-07-28,104.55,106.27,103.1,105.49,1295653
2015-07-29,106.18,106.67,101.55,103.74,1061089
2015-07-30,102.96,103.92,99.65,102.96,1120978
2015-07-31,104.26,105.24,102.7213,104.28,1001300
2015-08-03,104.28,105.48,103.1,103.98,1138991
2015-08-04,109.23,111.42,105.23,109.74,1798036
2015-08-05,111.4,113.23,109.77,110.96,1123900
2015-08-06,111.95,113.62,104.2,104.35,1452085
2015-08-07,104.97,108.81,101.52,102.0,1654957
2015-08-10,103.59,106.71,103.41,103.94,1051650
2015-08-11,102.73,105.22,102.0701,104.21,926025
2015-08-12,102.98,107.86,100.38,107.28,1732982
2015-08-13,107.69,109.94,104.24,107.91,924089
2015-08-14,106.89,108.63,104.28,105.8,780989
2015-08-17,105.08,115.0,104.21,114.6,2315369
2015-08-18,114.4,116.8999,113.74,113.97,1602269
2015-08-19,112.72,114.74,110.87,112.4,1094565
2015-08-20,111.35,114.2,107.37,107.52,1361941
2015-08-21,105.48,110.22,103.58,104.31,1318695
2015-08-24,92.18,102.98,89.3701,97.37,1839899
2015-08-25,101.26,103.91,100.7,101.65,1456905
2015-08-26,105.32,108.68,101.0,108.49,1728294
2015-08-27,109.8,113.87,109.38,113.85,1500207
2015-08-28,113.15,120.0,112.13,119.93,1816063
2015-08-31,119.48,121.93,115.82,116.19,1871817
2015-09-01,114.85,118.99,114.0,115.12,1717513
2015-09-02,116.63,123.3099,114.35,123.28,2217997
2015-09-03,124.78,124.8,115.4,116.07,1559560
2015-09-04,115.03,117.8,112.75,115.88,1056810
2015-09-08,118.9,120.41,116.15,120.13,732469
2015-09-09,122.55,124.61,117.86,118.2,1364180
2015-09-10,118.16,126.94,118.16,124.5,1789630
2015-09-11,123.43,131.97,123.43,131.01,2078689
2015-09-14,131.17,131.7,125.35,128.21,1255960
2015-09-15,129.17,132.618,127.29,131.47,1230170
2015-09-16,130.69,133.62,128.26,130.8,852635
2015-09-17,130.9,133.0,128.51,130.11,1383884
2015-09-18,129.14,129.39,125.51,125.93,1399068
2015-09-21,127.0,127.375,114.72,118.66,1874391
2015-09-22,116.8,118.87,113.74,117.78,1635266
2015-09-23,118.47,119.28,114.94,116.49,799268
2015-09-24,115.21,116.5349,109.13,111.95,1542838
2015-09-25,113.52,114.81,103.12,106.62,1978760
2015-09-28,105.55,105.55,89.2101,95.16,3518417
2015-09-29,94.22,102.87,91.97,99.59,3509963
2015-09-30,103.0,110.75,102.79,110.33,3167993
2015-10-01,110.37,118.03,107.65,117.93,2930901
2015-10-02,115.03,131.33,114.68,126.46,4442593
2015-10-05,128.12,128.6899,118.01,120.83,2562109
2015-10-06,122.29,122.98,106.0,112.46,7249187
2015-10-07,113.56,114.9657,106.16,108.65,2893973
2015-10-08,108.63,108.71,99.8,103.44,3118868
2015-10-09,103.04,107.52,101.45,105.0,1597641
2015-10-12,105.49,106.65,101.23,106.01,1125022
2015-10-13,101.49,108.99,101.05,101.21,2209620
2015-10-14,103.5,108.46,102.29,105.91,2437015
2015-10-15,105.36,112.67,104.57,112.52,2207311
2015-10-16,111.72,112.28,106.62,107.78,2503498
2015-10-19,108.31,112.58,106.06,110.69,1600874
2015-10-20,110.63,111.48,106.78,107.5,1295124
2015-10-21,108.98,110.2,103.29,107.15,1768453
2015-10-22,107.03,110.79,103.87,109.02,1466496
2015-10-23,110.78,113.8691,107.45,110.02,1440609
2015-10-26,109.8,114.0,107.11,112.29,1298771
2015-10-27,111.88,117.69,111.0,117.64,1372827
2015-10-28,117.22,120.42,113.3,120.36,1491728
2015-10-29,120.61,124.34,116.15,117.03,1544104
2015-10-30,117.41,118.88,113.91,117.53,1333585
2015-11-02,119.61,120.95,116.47,120.65,1524258
2015-11-03,124.5,124.98,115.1,119.99,2977703
2015-11-04,121.26,123.55,116.56,117.14,1706550
2015-11-05,117.2,119.1,113.2,116.76,1503769
2015-11-06,116.51,117.92,90.33,100.21,9135512
2015-11-09,101.5,108.29,101.5,105.86,2389742
2015-11-10,104.86,109.8,103.2,109.16,1784854
2015-11-11,109.97,109.97,104.18,106.15,1219164
2015-11-12,106.36,107.83,103.38,104.2,1070665
2015-11-13,103.23,108.91,102.26,107.36,1293869
2015-11-16,107.13,108.85,104.708,108.06,1176103
2015-11-17,108.6,113.71,106.76,113.48,1404654
2015-11-18,114.62,117.0,112.87,116.86,1464426
2015-11-19,116.66,117.86,113.66,116.43,896120
2015-11-20,117.9,117.9,112.02,113.13,1480942
2015-11-23,112.94,115.1,111.76,112.98,1020416
2015-11-24,112.13,113.3879,110.655,111.72,855257
2015-11-25,111.74,115.5,109.0,115.41,1439434
2015-11-27,115.63,118.1799,115.19,116.75,589887
