date,open,high,low,close,volume
2015-01-02,88.3477,89.2579,86.5848,87.3896,1882035
2015-01-05,86.5177,87.5094,85.9812,87.0447,2499623
2015-01-06,87.0064,87.38,83.9404,84.3715,2288407
2015-01-07,84.5253,85.5534,84.4292,85.1979,1657627
2015-01-08,85.6879,87.0811,85.6302,86.3413,1954769
2015-01-09,86.7929,86.9515,84.4196,84.5253,2217676
2015-01-12,84.458,84.8135,83.0936,83.3242,1835095
2015-01-13,84.1602,85.4333,82.2769,82.9303,1553614
2015-01-14,81.8637,82.8822,81.7484,82.8534,1618053
2015-01-15,82.7765,83.2474,81.5659,81.7484,910588
2015-01-16,81.6235,83.0552,81.4323,83.036,1393669
2015-01-20,83.6413,84.5253,82.7958,83.9968,1843383
2015-01-21,82.5556,84.4868,82.5556,83.0168,1770550
2015-01-22,83.526,85.7648,82.8918,85.3132,2997443
2015-01-23,85.8897,86.5815,85.4189,85.9185,2138613
2015-01-26,85.9569,86.1107,85.1738,85.8608,2058623
2015-01-27,84.7367,85.9954,84.0737,84.9865,1520463
2015-01-28,85.8128,86.0242,84.0641,84.0737,1541936
2015-01-29,83.9007,85.3132,83.6317,84.9865,1617449
2015-01-30,84.5157,85.0345,83.3338,83.4203,1900347
2015-02-02,84.0833,85.3756,82.4114,84.8231,1772273
2015-02-03,85.073,86.9754,85.073,86.9562,1998097
2015-02-04,86.447,87.5711,86.2836,86.9946,1483457
2015-02-05,86.9274,88.2053,86.6682,88.1188,1084497
2015-02-06,87.1099,87.5808,83.9103,84.3908,3880379
2015-02-09,84.237,85.4285,83.5644,84.4004,2200591
2015-02-10,85.0345,85.7744,84.6598,85.6495,1817522
2015-02-11,85.8705,86.2644,85.0826,85.3132,1863113
2015-02-12,85.6879,86.1779,85.2027,85.8897,1969325
2015-02-13,86.1203,86.7448,85.9473,86.716,2357931
2015-02-17,86.5334,86.764,86.005,86.5623,2884774
2015-02-18,86.4758,86.7544,85.5726,86.2452,2404361
2015-02-19,86.2068,87.6768,85.7744,87.5423,2810098
2015-02-20,91.1935,93.096,90.4152,92.9326,4828497
2015-02-23,92.7501,92.9326,92.1736,92.5675,1831166
2015-02-24,92.4426,93.6245,92.1736,93.562,1399921
2015-02-25,93.365,94.249,93.2209,93.8166,1381311
2015-02-26,93.7109,94.2298,93.4707,93.8551,1061035
2015-02-27,93.4995,94.076,93.317,93.807,1298144
2015-03-02,93.7398,94.8255,93.4323,94.8159,997333
2015-03-03,94.4796,94.691,93.7782,94.1577,1311248
2015-03-04,93.5956,94.2346,93.0887,93.6341,1143994
2015-03-05,93.759,94.3355,93.0383,94.2778,1121647
2015-03-06,93.8166,94.4123,93.3266,93.5956,1641745
2015-03-09,93.8358,94.0664,93.1152,93.8214,1215820
2015-03-10,92.875,93.1488,91.6451,91.6547,1348117
2015-03-11,91.7028,92.3561,91.2923,91.4529,1060048
2015-03-12,91.6643,92.9519,91.5106,92.8894,793999
2015-03-13,92.5675,94.1529,92.5483,93.9415,1736749
2015-03-16,94.2586,95.844,93.9704,95.4885,1451710
2015-03-17,94.8832,95.4885,94.5565,95.1041,1453763
2015-03-18,94.7871,96.7184,94.5853,96.0169,1437711
2015-03-19,95.9016,96.4493,95.8728,95.8728,1194984
2015-03-20,96.4878,96.9297,96.2283,96.4974,3435443
2015-03-23,96.9105,96.9105,96.1419,96.2091,1166508
2015-03-24,96.1034,96.776,95.7863,95.796,1476237
2015-03-25,95.7479,95.796,93.4899,93.5043,1437307
2015-03-26,92.9519,93.7782,92.5483,93.1488,788287
2015-03-27,92.8654,93.4803,92.2793,93.2593,1023712
2015-03-30,93.9704,94.8832,93.9704,94.3835,876053
2015-03-31,93.5284,94.7679,93.1632,93.1632,1871553
2015-04-01,93.0287,93.8743,92.481,93.8502,1304072
2015-04-02,93.8647,94.8447,93.538,94.6429,1081713
2015-04-06,93.6341,94.912,93.1248,94.0184,1332496
2015-04-07,94.3739,94.7582,93.5092,93.538,1231731
