date,open,high,low,close,volume
2015-01-02,41.892,42.0157,41.2349,41.5301,1671050
2015-01-05,41.1778,41.4349,40.8445,40.9016,1622900
2015-01-06,40.8254,40.873,39.9683,40.454,2111826
2015-01-07,40.7207,41.1206,40.6349,41.1016,2606575
2015-01-08,41.3587,41.892,41.3396,41.892,2564528
2015-01-09,41.9682,42.1205,41.4777,41.6349,2570543
2015-01-12,41.6825,41.711,41.0921,41.2063,2405788
2015-01-13,41.4158,41.8063,40.9873,41.292,3210021
2015-01-14,40.7968,40.8825,40.1778,40.8159,2171532
2015-01-15,40.854,40.9492,40.4921,40.6159,2930506
2015-01-16,40.3492,40.5207,39.9017,40.4731,2835993
2015-01-20,40.254,40.5588,39.816,40.1207,2946142
2015-01-21,40.0155,40.5032,40.0011,40.2928,2252530
2015-01-22,40.2163,40.7328,39.6999,40.7232,2575090
2015-01-23,40.618,40.7232,40.4133,40.5415,1725432
2015-01-26,40.4363,40.5511,40.1589,40.3598,2222565
2015-01-27,39.8816,40.025,39.4225,39.7859,3218148
2015-01-28,40.0442,40.2928,39.4034,39.4321,2256671
2015-01-29,39.2791,40.0155,39.1738,39.8911,3347013
2015-01-30,38.3514,39.652,38.1505,39.0304,5473419
2015-02-02,38.9921,39.7764,38.6957,39.6329,4268960
2015-02-03,39.7955,40.3292,39.6234,40.025,3204975
2015-02-04,39.719,40.1302,39.499,39.6042,3068903
2015-02-05,39.7381,40.2546,39.6234,40.2068,2007509
2015-02-06,40.2641,40.3789,39.5564,39.7572,4453135
2015-02-09,39.6425,40.1685,39.5755,39.939,4872693
2015-02-10,40.1494,40.2594,39.9868,40.1302,4632167
2015-02-11,40.1302,40.3693,39.939,40.1111,3938942
2015-02-12,40.1685,41.1631,40.1685,41.0484,4637187
2015-02-13,40.9814,41.407,40.9527,41.3066,3686141
2015-02-17,41.2779,41.4498,41.0866,41.2397,1425635
2015-02-18,41.2492,41.517,40.771,40.9049,3537384
2015-02-19,40.8954,41.144,40.771,40.8762,1389766
2015-02-20,40.7041,40.8762,40.1685,40.838,2569147
2015-02-23,40.8284,40.838,40.3693,40.6371,1958113
2015-02-24,40.5702,40.838,40.3693,40.7519,1338539
2015-02-25,40.7615,41.3162,40.5797,41.0292,2856317
2015-02-26,40.9719,41.0484,40.7232,40.8284,1607610
2015-02-27,40.838,40.9527,40.2928,40.3789,2881408
2015-03-02,40.4745,41.3736,40.3406,41.3736,3205019
2015-03-03,41.0866,41.2674,40.8571,41.2397,2016484
2015-03-04,41.1249,41.1249,40.5989,40.9336,2678905
2015-03-05,40.9527,41.0197,40.7232,40.8093,1066675
2015-03-06,40.5224,40.7041,40.1781,40.2641,1800859
2015-03-09,40.1111,40.838,40.0824,40.6658,1520660
2015-03-10,40.2641,40.2641,39.8242,39.8242,1748793
2015-03-11,39.8146,39.9294,39.6616,39.7477,1417444
2015-03-12,39.9772,40.6084,39.9007,40.5319,1225239
2015-03-13,40.5319,40.618,39.7526,40.245,2038899
2015-03-16,40.4076,40.6371,40.2546,40.4745,1594062
2015-03-17,40.3215,40.5511,40.2833,40.4363,1528594
2015-03-18,40.312,41.2683,40.1207,41.0484,1729020
2015-03-19,40.8762,40.9432,40.5032,40.7997,1108590
2015-03-20,41.1536,41.3066,40.8667,41.2588,2972734
2015-03-23,42.0335,42.0813,41.4309,41.5648,2676528
2015-03-24,41.4596,41.7657,41.3449,41.4309,2129982
2015-03-25,41.4501,41.584,41.144,41.2492,3204400
2015-03-26,41.1249,41.1292,40.7423,40.8284,1678300
2015-03-27,40.6849,40.9432,40.4841,40.924,1351888
2015-03-30,41.0484,41.8039,41.0198,41.5648,1580557
2015-03-31,41.4309,41.5266,41.1152,41.1823,1713982
2015-04-01,41.1058,41.4835,40.5797,41.2014,2585821
2015-04-02,41.1153,41.6222,40.9432,41.4405,1803877
2015-04-06,41.0771,41.517,40.9097,41.3066,1593699
2015-04-07,41.2683,41.3736,40.9049,40.9336,1499692
2015-04-08,40.9336,41.2358,40.8475,41.1345,2353775
2015-04-09,41.1345,41.6318,41.0675,41.5648,1755609
2015-04-10,41.5648,41.7848,41.364,41.5553,945382
2015-04-13,41.4501,41.4596,41.1631,41.2683,1128248
2015-04-14,41.1823,41.4022,40.924,41.3353,1529452
2015-04-15,41.3736,41.67,41.3257,41.4788,1281208
2015-04-16,41.3544,41.6031,41.1536,41.4214,1018147
2015-04-17,41.0675,41.1058,40.4459,40.5797,3001000
2015-04-20,40.7423,41.0006,40.6563,40.8762,1360194
2015-04-21,41.1058,41.4118,40.6037,40.7136,1722501
2015-04-22,40.7473,41.0164,40.4782,40.9395,1481522
2015-04-23,40.8146,41.2951,40.7281,40.9299,2827034
2015-04-24,38.2871,39.8824,38.1718,38.4793,12089843
2015-04-27,38.6138,38.8445,38.3447,38.4505,5573244
2015-04-28,38.4793,38.5177,38.0276,38.412,2527636
2015-04-29,38.4408,38.6907,38.2679,38.4505,4054656
2015-04-30,38.2871,38.3928,37.7297,37.845,4628703
2015-05-01,37.8931,38.2102,37.8642,38.0853,2680054
2015-05-04,38.1045,38.4793,38.1045,38.3159,2223064
2015-05-05,38.3447,38.4889,37.8498,37.9603,2324203
2015-05-06,38.2294,38.3399,37.7681,38.0468,2456224
2015-05-07,38.1237,38.3159,37.8546,38.0372,1363942
2015-05-08,38.2679,38.5466,38.066,38.2198,2694681
2015-05-11,38.191,38.412,37.9507,37.9699,1720059
2015-05-12,37.8738,37.9699,37.5087,37.5279,2882553
2015-05-13,37.6048,37.9603,37.6048,37.7489,2791158
2015-05-14,37.9603,38.1429,37.6288,38.066,3290791
2015-05-15,38.0276,38.2006,37.8162,37.9315,2327915
2015-05-18,37.8162,38.3447,37.7777,38.2006,2252330
2015-05-19,38.3928,38.9117,38.3543,38.6234,5706628
2015-05-20,38.3736,39.2769,38.3736,39.2385,8044716
2015-05-21,39.1328,39.5364,38.979,39.2961,4761979
2015-05-22,39.2097,39.4595,39.0751,39.3346,2307628
2015-05-26,39.2097,39.2769,38.8156,38.8445,2873988
2015-05-27,38.8156,39.2049,38.7964,39.1808,1586849
2015-05-28,39.0559,39.1712,38.9021,39.1616,1744151
2015-05-29,39.1904,39.1904,38.7195,38.7868,3050215
2015-06-01,38.8156,38.8829,38.5946,38.7003,2103833
2015-06-02,38.6523,38.8445,38.4889,38.7868,3009850
2015-06-03,38.9598,39.1232,38.806,38.9694,1141155
2015-06-04,38.6715,38.8589,38.4985,38.5562,1474369
2015-06-05,38.4505,38.6811,38.3832,38.6523,1298065
2015-06-08,38.5658,38.7003,38.4649,38.5177,2013980
2015-06-09,38.5562,38.7868,38.4697,38.6619,1773714
2015-06-10,38.7484,39.0847,38.7003,38.8925,1281484
2015-06-11,38.9598,39.0943,38.8252,39.0175,1252042
2015-06-12,38.9214,38.931,38.5658,38.7099,1708396
2015-06-15,38.3832,38.3928,37.672,38.0949,1920182
2015-06-16,38.0949,38.3928,37.845,38.364,1976863
2015-06-17,38.3736,38.9117,38.3351,38.7003,2393933
2015-06-18,38.8252,39.1232,38.6811,38.8733,2595031
2015-06-19,38.7099,38.8541,38.5177,38.5754,2280836
2015-06-22,38.6811,38.8252,38.4408,38.4408,2035128
2015-06-23,38.4697,38.6138,38.1766,38.2775,3073124
2015-06-24,38.239,38.4408,38.1237,38.1525,3198273
2015-06-25,38.1045,38.3351,37.6624,37.6816,2082165
2015-06-26,37.6912,38.0084,37.6096,37.8546,2227390
2015-06-29,37.4798,37.5855,36.8071,36.8359,1852600
2015-06-30,37.0954,37.2203,36.7398,36.9801,3081583
2015-07-01,37.2107,37.3549,36.9993,37.3261,2184509
2015-07-02,37.4125,37.4798,36.7687,36.9128,1977022
2015-07-06,36.5188,36.9609,36.4707,36.7206,1696816
2015-07-07,36.7398,37.2203,36.3843,37.1819,2367004
