date,open,high,low,close,volume
2015-01-02,43.9318,44.1475,43.1965,43.7652,780607
2015-01-05,43.2554,43.3079,41.922,42.1867,1303300
2015-01-06,42.1475,42.1769,40.9024,41.422,1566873
2015-01-07,41.7259,42.0544,40.7161,40.873,1540655
2015-01-08,41.2652,42.3534,40.9348,42.3436,1413724
2015-01-09,42.3044,42.5593,41.0789,41.2063,856183
2015-01-12,41.0593,41.1671,39.8044,39.9612,1241910
2015-01-13,40.2259,40.4024,39.1279,39.471,1656004
2015-01-14,38.7749,39.2749,38.2651,39.1083,1337418
2015-01-15,39.4514,39.7357,37.7553,37.8043,1701500
2015-01-16,37.6082,38.3043,37.3926,38.1867,1615804
2015-01-20,38.1769,38.4171,37.9122,38.2063,1170438
2015-01-21,38.1181,38.8926,38.1181,38.8043,1630242
2015-01-22,38.9416,39.0494,38.422,38.824,1069616
2015-01-23,38.6671,39.2455,38.4318,39.0102,1266475
2015-01-26,39.02,39.3043,38.471,39.1867,1369475
2015-01-27,38.5102,38.8828,37.873,38.3534,1318508
2015-01-28,38.471,38.5585,37.5641,37.6082,1780779
2015-01-29,38.7553,39.2063,37.3926,37.9906,2531844
2015-01-30,37.52,37.7161,37.1279,37.3533,1931232
2015-02-02,37.6475,39.2357,37.4711,39.0691,2422880
2015-02-03,39.7063,40.8044,39.6867,40.3142,2172782
2015-02-04,39.9906,39.9906,38.6279,39.02,1948165
2015-02-05,39.324,40.2063,39.1671,40.0691,1294480
2015-02-06,40.1769,40.422,39.8436,40.1083,1451052
2015-02-09,40.02,40.775,40.02,40.6279,1249259
2015-02-10,40.7848,40.873,40.02,40.6475,1110670
2015-02-11,40.4024,41.2553,40.324,41.1181,1363038
2015-02-12,41.3534,41.7446,41.3044,41.7259,1416890
2015-02-13,42.0103,42.4809,41.9318,42.422,1564989
2015-02-17,42.3828,42.4122,41.8338,42.4024,1308975
2015-02-18,42.3828,43.1181,42.3191,42.9612,1383608
2015-02-19,42.6769,43.0261,42.3436,42.9514,1152488
2015-02-20,42.7554,43.5789,42.3828,43.5691,1220193
2015-02-23,43.5593,43.5593,42.922,43.3338,1173948
2015-02-24,43.4416,43.8338,43.2848,43.6377,892143
2015-02-25,43.7652,44.0005,43.6279,43.873,1000288
2015-02-26,43.8436,43.9318,43.5005,43.6671,1603617
2015-02-27,43.6769,43.9809,43.2947,43.4711,1564635
2015-03-02,43.4613,43.6181,42.7848,43.324,2153319
2015-03-03,43.2456,43.3828,42.9907,43.1279,1403749
2015-03-04,42.8926,43.0299,42.2946,42.922,1134045
2015-03-05,43.0985,43.1671,42.5985,42.9907,1180031
2015-03-06,42.5495,43.1867,42.0789,42.2456,1338417
2015-03-09,42.2358,42.4907,42.0299,42.4122,927958
2015-03-10,41.9808,42.7946,41.8975,42.5005,1914006
2015-03-11,42.4907,42.4907,41.8044,42.1965,1356510
2015-03-12,42.2848,42.8338,41.922,42.775,1155243
2015-03-13,42.5691,42.7161,41.9122,42.373,1124000
2015-03-16,42.3828,42.8142,42.0495,42.8044,682626
2015-03-17,42.5103,42.8828,42.2161,42.6377,665098
2015-03-18,42.3338,43.775,42.0985,43.7554,1336450
2015-03-19,43.3632,43.4515,42.6377,43.1279,1255320
2015-03-20,43.3534,43.976,43.1475,43.922,1517933
2015-03-23,43.9318,44.1966,43.7064,44.0789,869785
2015-03-24,44.1279,44.275,43.6083,44.226,970081
2015-03-25,44.4613,44.5397,43.8269,44.0691,1070095
2015-03-26,44.0397,44.422,43.7064,44.0789,971431
2015-03-27,43.8828,43.9907,43.1475,43.4122,1044397
2015-03-30,43.6671,44.1475,43.3436,44.0789,898412
2015-03-31,43.775,44.427,43.6181,44.275,874376
2015-04-01,44.3044,44.3436,43.3191,43.4416,1176726
2015-04-02,43.4318,44.1966,43.1475,43.4122,860330
2015-04-06,43.275,44.6377,43.275,44.3632,1014991
2015-04-07,44.2946,44.373,43.8338,44.0691,790144
2015-04-08,44.0887,44.3828,43.824,44.3632,778959
2015-04-09,44.3632,45.1083,44.1181,45.0005,1022457
2015-04-10,45.0985,45.7358,44.9221,45.6868,1301401
2015-04-13,45.2456,45.775,44.4122,45.5103,1716970
2015-04-14,45.4221,45.9319,45.1574,45.8828,1060921
2015-04-15,46.0299,47.3044,45.8142,47.2652,1510425
2015-04-16,47.0986,47.1329,46.5299,46.824,1165027
2015-04-17,46.3632,46.6574,46.0789,46.5299,1112269
2015-04-20,46.7652,46.9221,46.4123,46.4613,681284
2015-04-21,46.5495,46.5495,45.9907,46.1966,803011
2015-04-22,46.226,46.2554,45.5691,46.0299,659161
2015-04-23,46.0691,46.5005,45.7358,46.2358,783331
2015-04-24,45.9221,46.1201,44.9711,45.4025,1394902
2015-04-27,45.4809,46.2064,45.4809,45.7456,888594
2015-04-28,41.8926,43.275,40.8632,43.1377,3938736
2015-04-29,42.7161,43.5789,42.4612,43.2848,2321038
2015-04-30,42.8436,43.324,41.9122,42.0201,1575120
2015-05-01,41.9122,42.5152,41.8338,41.9122,1655939
2015-05-04,42.0299,42.6573,41.8387,42.0495,1640557
2015-05-05,42.1769,42.8142,41.8044,41.9612,1932909
2015-05-06,42.2946,42.5495,41.6622,42.1083,1191051
2015-05-07,42.1573,42.5593,42.0495,42.4416,887083
2015-05-08,42.9318,43.2554,42.5691,42.8926,1232890
2015-05-11,42.8044,43.2358,42.6279,42.9318,709391
2015-05-12,42.8044,43.1279,42.4612,42.6769,903699
2015-05-13,42.8142,43.3779,42.6916,43.1671,1036931
2015-05-14,43.4515,43.6475,42.8926,43.422,939823
2015-05-15,43.3926,43.4318,42.922,43.1377,1054764
2015-05-18,43.0789,43.4515,42.7358,43.3926,862862
2015-05-19,43.2652,43.3436,42.5201,42.8828,814066
2015-05-20,42.9711,43.373,42.7554,43.3044,620878
2015-05-21,43.373,43.7848,43.2456,43.4515,568871
2015-05-22,43.2456,43.5887,42.6916,42.7161,650286
2015-05-26,42.4809,42.6474,42.0005,42.2063,988654
2015-05-27,42.3534,42.7456,42.0005,42.7063,693771
2015-05-28,42.4907,42.7358,42.1867,42.4907,725136
2015-05-29,42.5495,42.7652,42.1769,42.4122,1531892
2015-06-01,42.5299,42.9318,42.275,42.5985,835579
2015-06-02,42.3436,43.0495,42.1965,42.8044,1186942
2015-06-03,42.8632,43.6867,42.775,43.3828,1113017
2015-06-04,43.0201,43.0201,42.2554,42.3142,1878532
2015-06-05,42.2063,42.8632,42.0789,42.7848,1652938
2015-06-08,42.5005,42.6769,41.7259,41.8142,1731197
2015-06-09,42.0691,42.5691,41.7652,42.0985,1085204
2015-06-10,42.4514,42.8632,42.3338,42.8142,1012652
2015-06-11,42.7652,42.9024,42.5201,42.5985,522182
2015-06-12,42.2554,42.5201,41.971,42.2652,534718
2015-06-15,41.8436,42.0103,41.3828,41.471,960287
2015-06-16,41.4612,41.8926,41.3534,41.8436,689584
2015-06-17,42.0103,42.324,41.6671,41.9514,689114
2015-06-18,42.0985,42.471,41.8731,42.3436,877298
2015-06-19,42.275,42.8436,42.2161,42.6867,1794074
2015-06-22,42.9612,43.2358,42.7161,42.9024,1393070
2015-06-23,42.9024,43.1573,42.7063,43.0005,1066269
2015-06-24,42.922,43.2064,42.1769,42.1867,1064338
2015-06-25,42.2161,42.3925,41.5789,41.6671,828407
2015-06-26,41.6671,41.8926,41.3142,41.4024,1643239
2015-06-29,40.9514,41.3632,39.7161,39.8534,1768985
2015-06-30,40.3142,40.4661,39.7259,39.824,1666884
