date,open,high,low,close,volume
2015-01-02,94.7548,95.2058,93.9249,94.2767,5756961
2015-01-05,94.2406,94.4661,93.5208,93.6183,8079279
2015-01-06,94.1144,94.7007,92.8516,93.1582,7428022
2015-01-07,93.7265,95.4583,93.6363,95.2148,7931714
2015-01-08,95.6658,96.0537,95.3862,95.9635,9925854
2015-01-09,96.0627,96.0627,94.4842,94.6556,7364760
2015-01-12,94.863,95.4493,94.0783,94.3308,6838966
2015-01-13,95.1066,95.9093,94.0242,94.4932,10155188
2015-01-14,93.6814,94.1955,93.3657,93.8077,8887694
2015-01-15,92.8786,93.7445,91.9586,92.4457,10834811
2015-01-16,92.0578,94.3669,92.0037,93.8438,14092276
2015-01-20,91.5978,92.0488,90.4342,91.3633,20467800
2015-01-21,90.7048,92.0939,90.5605,91.9135,11702890
2015-01-22,92.3555,93.6543,91.6158,93.5912,9036608
2015-01-23,92.8516,92.8786,91.9493,92.1841,10125960
2015-01-26,91.8233,92.4096,91.2911,92.2382,8962787
2015-01-27,91.8503,92.6956,91.0385,92.0849,10160531
2015-01-28,92.4366,92.8425,91.4986,91.5346,9053222
2015-01-29,91.5617,92.4186,90.804,92.3464,7569330
2015-01-30,91.6248,92.0037,90.2809,90.326,10676345
2015-02-02,90.6417,90.9664,89.6405,90.9483,8990701
2015-02-03,91.4625,92.5088,91.2099,92.4186,10005207
2015-02-04,92.1119,92.4096,91.1197,91.4264,9514074
2015-02-05,91.6158,92.5088,91.5166,92.4186,6642224
2015-02-06,92.1029,92.4096,90.9483,91.1919,9215663
2015-02-09,91.1558,91.1558,89.3879,90.0013,9851745
2015-02-10,90.3711,90.8311,89.681,90.5154,12275450
2015-02-11,90.6146,90.9123,90.1546,90.5425,8177011
2015-02-12,90.6507,90.6868,87.629,88.7926,25835156
2015-02-13,88.7926,89.902,88.6934,89.8569,11153595
2015-02-17,89.6495,90.6326,89.4059,90.5966,8627082
2015-02-18,90.8311,91.0476,89.6405,90.1636,7878157
2015-02-19,90.1546,90.9574,89.8479,90.8311,10028180
2015-02-20,90.9946,91.1635,90.0227,91.0672,10085673
2015-02-23,91.5032,91.5305,90.6494,90.9946,6878246
2015-02-24,91.0581,91.7848,90.8311,91.4669,6588073
2015-02-25,91.6849,92.0028,90.9764,91.9301,9683963
2015-02-26,92.0845,93.7195,91.9392,93.3743,11437890
2015-02-27,93.5923,93.8557,93.0837,93.1109,8500014
2015-03-02,93.4288,93.9284,93.2835,93.7558,7277612
2015-03-03,93.6468,93.6468,92.4751,92.9565,6419659
2015-03-04,92.7567,92.7567,91.8938,92.3298,8665474
2015-03-05,92.7113,93.7467,92.6477,93.12,8042336
2015-03-06,92.7294,93.0383,90.7221,90.931,9287621
2015-03-09,91.0127,91.6667,90.6131,91.4305,5701061
2015-03-10,90.822,91.2307,90.386,90.4042,8735743
2015-03-11,90.6766,90.6766,89.2143,89.3051,9138141
2015-03-12,89.8864,91.0491,89.7683,90.6766,8317996
2015-03-13,90.6948,90.8765,89.5951,90.1135,7821813
2015-03-16,90.5949,91.8029,90.5949,91.7939,7726509
2015-03-17,90.931,91.3034,90.2952,90.7311,7301526
2015-03-18,90.7311,92.4115,90.0408,92.1572,7972458
2015-03-19,91.7757,92.6068,91.6576,92.3661,6863107
2015-03-20,92.5296,93.4652,92.4297,93.011,12433761
2015-03-23,93.0746,93.8739,92.8566,93.5378,9015961
2015-03-24,93.4016,93.7649,92.5841,92.6113,8390708
2015-03-25,92.5114,93.1018,91.1399,91.1399,8444099
2015-03-26,90.7856,91.5668,90.4314,90.9582,9972373
2015-03-27,91.0854,91.694,90.9673,91.1399,5847382
2015-03-30,91.9574,92.5205,91.5214,92.2389,6061170
2015-03-31,91.7121,92.1844,91.367,91.376,8027954
2015-04-01,91.2489,91.2489,89.5685,90.059,11368126
2015-04-02,90.3224,90.822,89.8228,90.5041,6097146
2015-04-06,89.7774,90.4314,89.0508,90.0681,9697623
2015-04-07,90.4223,91.6213,90.316,90.9219,7900303
2015-04-08,90.6857,91.2398,90.4677,90.9764,7354110
2015-04-09,91.3488,92.3298,91.1308,92.0391,8073887
2015-04-10,92.0391,92.7748,91.6758,92.7022,6786456
2015-04-13,92.2299,92.6295,91.3306,91.3306,10753497
2015-04-14,91.7848,92.1572,90.9991,91.3034,9322175
2015-04-15,91.3215,91.9574,91.1308,91.376,8237103
2015-04-16,91.0763,91.1216,90.6221,90.6403,7324783
2015-04-17,90.2588,90.6962,90.0227,90.4496,11084248
2015-04-20,91.0672,91.6304,90.8765,91.0218,6668541
2015-04-21,91.4305,91.7303,90.9764,91.1035,6532698
2015-04-22,91.4033,91.5577,90.7947,91.2216,4764283
2015-04-23,91.2852,91.5759,90.7493,91.2489,7351494
2015-04-24,90.931,92.2199,90.8311,91.812,6566915
2015-04-27,91.8847,92.2844,91.258,91.3579,9113861
2015-04-28,91.2398,91.6899,90.2043,91.5032,7484612
2015-04-29,91.2943,91.3851,90.7402,91.1853,8926249
2015-04-30,90.8946,90.9673,89.7138,90.1044,10170628
2015-05-01,90.4859,91.1853,90.4859,90.9491,6255973
2015-05-04,91.1308,91.3306,90.9764,91.149,5532387
2015-05-05,90.9491,91.0945,90.1862,90.3769,8828129
2015-05-06,90.4859,90.713,89.6139,90.0772,8030769
2015-05-07,89.8683,90.8311,89.841,90.5222,6401552
2015-05-08,91.267,92.3479,91.2334,92.1663,7508622
2015-05-11,92.03,92.3389,91.7485,91.7666,5698884
2015-05-12,91.6304,91.7848,91.0854,91.258,6903070
2015-05-13,91.4487,91.8574,91.258,91.3306,5826750
2015-05-14,91.7121,92.5296,91.694,92.4933,5454009
2015-05-15,92.6295,92.9383,92.3479,92.9202,6023543
2015-05-18,92.9838,94.7731,92.9383,93.9375,10479584
2015-05-19,94.1555,94.5733,93.7875,94.428,7724081
2015-05-20,94.8458,94.9003,93.8376,94.101,7146547
2015-05-21,94.1558,94.5133,93.6343,93.7075,6875627
2015-05-22,93.5703,93.6984,92.7102,92.7285,6216965
2015-05-26,92.6187,92.9115,92.024,92.2436,7918872
2015-05-27,92.4175,92.7834,92.2253,92.5273,9297934
2015-05-28,92.4175,93.0488,92.2345,92.5456,5700051
2015-05-29,92.9115,92.9756,91.3378,91.6215,9957798
2015-06-01,91.7496,92.0423,91.2372,91.53,7298085
2015-06-02,91.4202,91.713,90.6699,91.4751,8312446
2015-06-03,91.7862,91.8868,91.347,91.5757,5375153
2015-06-04,91.4385,91.9234,90.6333,90.7889,8057860
2015-06-05,90.5693,90.6242,89.8465,90.2033,7557268
2015-06-08,90.2125,90.5601,89.6269,89.6269,7054613
2015-06-09,90.0661,90.1576,89.4805,89.8556,7844315
2015-06-10,90.1027,91.0817,89.8465,90.4687,10025139
2015-06-11,90.7614,91.3104,90.4229,90.798,6175188
2015-06-12,90.4687,90.788,89.7733,89.9837,8717217
2015-06-15,89.4348,89.5446,88.7577,89.1969,6833452
2015-06-16,89.206,90.1118,88.8401,89.9929,6049522
2015-06-17,90.0112,90.6881,89.8008,90.3314,6155753
2015-06-18,90.4504,91.9966,90.3131,91.8228,8815756
2015-06-19,91.3836,91.6764,91.2921,91.3653,11653584
2015-06-22,92.0423,92.2619,91.4842,91.5757,5055871
2015-06-23,91.5849,91.8228,91.0176,91.2921,6046627
2015-06-24,91.0451,91.3195,90.6425,90.8804,7254699
2015-06-25,91.0359,91.4751,90.6791,90.6882,6581098
2015-06-26,90.9719,91.6123,90.6882,91.164,9041052
2015-06-29,90.5601,90.8987,89.3158,89.3707,11150902
2015-06-30,90.0569,90.0752,89.0231,89.1694,8967911
2015-07-01,89.938,90.2811,89.3341,90.0935,6726694
2015-07-02,90.4412,90.5967,89.9563,90.0661,6091886
2015-07-06,89.3982,90.121,88.4192,89.8465,6817796
2015-07-07,90.2399,90.5601,89.2243,90.5053,7122569
2015-07-08,90.0478,90.2033,89.3799,89.4531,6845543
2015-07-09,90.6242,91.0723,90.0295,90.0295,7316390
2015-07-10,91.2921,91.3927,90.6608,91.0634,6969285
2015-07-13,91.5391,91.9325,91.3744,91.7404,6986321
2015-07-14,90.8163,91.3836,90.1667,91.2921,9890556
2015-07-15,91.2738,92.3534,91.1549,91.8777,7990325
2015-07-16,92.3626,92.7377,92.207,92.509,5774981
2015-07-17,92.3077,92.326,91.4568,91.5666,8054183
2015-07-20,91.9508,92.0881,91.5849,91.8319,5016152
2015-07-21,92.0423,92.2345,91.5574,91.8045,5891640
2015-07-22,91.8685,92.143,91.2463,91.6581,6721856
2015-07-23,91.9508,92.0423,91.4934,91.6764,5016148
2015-07-24,91.2646,91.4476,90.6242,90.7157,6524173
2015-07-27,90.551,90.5693,89.5857,89.9197,8733993
2015-07-28,90.4778,90.7889,90.0478,90.5967,7757505
2015-07-29,90.8163,91.5391,90.6242,91.2463,7853488
2015-07-30,91.3104,91.4934,90.9261,91.347,5517401
2015-07-31,91.8045,92.39,91.4568,91.6855,6216815
2015-08-03,91.4934,91.6855,90.7889,91.5117,6172519
2015-08-04,91.8685,91.9508,91.1732,91.3104,6005340
2015-08-05,92.0149,92.4083,91.8136,91.9691,4571280
2015-08-06,91.9417,92.0423,90.5876,90.6425,6987963
2015-08-07,90.5967,90.6425,89.8099,90.4412,6027855
2015-08-10,91.1,91.5483,90.9902,91.3012,6133458
2015-08-11,90.6242,90.8895,90.368,90.5876,6682636
2015-08-12,90.0295,90.3314,89.1237,90.3131,7607491
2015-08-13,90.3406,90.5601,89.8008,90.1027,5047960
2015-08-14,89.9654,90.4183,89.5471,90.4046,5177310
