date,open,high,low,close,volume
2015-01-02,56.9641,57.2734,56.4638,56.8458,12599991
2015-01-05,56.4547,56.6548,54.79,55.0811,20100577
2015-01-06,55.1629,55.263,53.0798,53.6529,29074111
2015-01-07,54.4807,54.4807,53.3663,53.7347,23843244
2015-01-08,54.5534,55.3994,54.5534,54.9355,16971056
2015-01-09,55.2357,55.2994,53.9349,53.9803,15396195
2015-01-12,53.9258,54.0349,53.007,53.5164,15455234
2015-01-13,53.9076,54.3078,53.098,53.5255,21644739
2015-01-14,51.7698,51.8517,50.278,51.6789,49602310
2015-01-15,50.6964,51.4969,49.5775,50.0232,42458146
2015-01-16,49.723,50.942,49.7049,50.8783,29368910
2015-01-20,50.9784,51.2968,50.4173,50.6782,23477689
2015-01-21,50.4417,51.3241,50.2052,50.8419,21842362
2015-01-22,51.2877,52.5158,50.9011,52.3884,31423538
2015-01-23,52.5067,52.6431,51.5424,51.5606,15458254
2015-01-26,51.315,51.8426,51.124,51.6425,12577658
2015-01-27,50.9875,51.4969,50.7191,51.124,15220526
2015-01-28,51.506,51.5606,49.8049,49.8049,24354354
2015-01-29,50.278,50.8419,49.7412,50.6418,20393264
2015-01-30,50.0232,50.4826,49.4592,49.4683,26943713
2015-02-02,49.6048,50.6236,49.3683,50.4599,20308885
2015-02-03,50.8601,51.6516,50.8238,51.597,18812501
2015-02-04,51.2331,51.9154,51.1967,51.2877,14934076
2015-02-05,51.7243,51.8881,51.3605,51.6425,11293901
2015-02-06,52.534,53.4254,52.3429,52.6613,25214001
2015-02-09,52.2338,52.8478,52.0609,52.5976,14372365
2015-02-10,53.1434,53.4056,52.8069,53.1798,16367266
2015-02-11,52.816,53.3572,52.6158,53.098,13061925
2015-02-12,53.6074,54.3169,53.2617,54.1896,23211327
2015-02-13,54.0895,54.7809,53.9803,54.2805,16479114
2015-02-17,53.9985,54.7081,53.9576,54.6717,15308763
2015-02-18,54.3897,54.4283,53.7802,54.0076,14278117
2015-02-19,53.8075,54.1077,53.4891,53.8803,11256543
2015-02-20,53.6347,54.4807,53.0798,54.3988,15379042
2015-02-23,54.1259,54.1532,53.4891,53.9894,16813999
2015-02-24,54.8081,55.7178,54.6535,55.3267,22937701
2015-02-25,55.2721,55.736,55.263,55.6178,18307912
2015-02-26,55.5177,56.1272,55.4085,56.018,15444802
