date,open,high,low,close,volume
2015-01-02,12.682,12.7273,12.374,12.5552,6203660
2015-01-05,12.4827,12.4918,12.1657,12.1747,7408463
2015-01-06,12.2019,12.211,11.758,11.8033,13236875
2015-01-07,11.9392,12.0298,11.7852,11.8939,11281209
2015-01-08,12.0117,12.1702,11.9574,12.1385,9180097
2015-01-09,12.1385,12.1385,11.7943,11.7943,9640064
2015-01-12,11.7852,11.8215,11.5769,11.6493,7665668
2015-01-13,11.749,11.8486,11.3912,11.5044,11630489
2015-01-14,11.3504,11.3504,11.0877,11.2508,17117803
2015-01-15,11.2055,11.2961,10.9084,11.0152,12889197
2015-01-16,10.9881,11.2327,10.9428,11.2327,13083294
2015-01-20,11.2236,11.2598,11.0605,11.1058,12997939
2015-01-21,11.0877,11.2327,11.0152,11.1692,17101821
2015-01-22,11.4138,12.1023,11.4048,12.0207,30309260
2015-01-23,12.0298,12.1838,11.9302,12.0207,13642221
2015-01-26,12.0389,12.2291,11.9664,12.211,10233868
2015-01-27,12.0026,12.1929,11.9845,12.057,9657851
2015-01-28,12.1566,12.1566,11.7128,11.7218,12465103
2015-01-29,11.749,11.9845,11.6878,11.9573,10502795
2015-01-30,11.758,11.9573,11.7218,11.7671,10476149
2015-02-02,11.8577,12.066,11.749,12.0207,11852494
2015-02-03,12.0932,12.3106,12.0842,12.3016,12911563
2015-02-04,12.2835,12.3922,12.2472,12.2744,6868221
2015-02-05,12.4737,12.5326,12.3922,12.5009,12072445
2015-02-06,12.7092,12.9538,12.6639,12.827,19184784
2015-02-09,12.682,12.7047,12.5552,12.5733,10584222
2015-02-10,12.682,12.682,12.528,12.6639,7236713
2015-02-11,12.6277,12.6367,12.4873,12.6096,12513446
2015-02-12,12.7001,12.8858,12.6367,12.8541,9700296
2015-02-13,12.8904,12.9447,12.7001,12.7817,8855453
2015-02-17,12.7636,12.836,12.6126,12.8179,7620563
2015-02-18,12.7998,12.8088,12.5869,12.6277,6783350
2015-02-19,12.6005,12.6186,12.4193,12.5914,6637256
2015-02-20,12.6839,12.8581,12.5371,12.8581,7623938
2015-02-23,12.8123,12.8306,12.6839,12.7572,4633777
2015-02-24,12.8031,12.9223,12.7664,12.9131,7335302
2015-02-25,12.9131,13.0232,12.8581,12.9773,8383991
2015-02-26,12.9315,12.9957,12.8398,12.9407,8619554
2015-02-27,12.89,12.9775,12.8163,12.8347,6735902
2015-03-02,12.8531,12.9637,12.7979,12.9176,5770734
2015-03-03,12.8439,12.9499,12.7886,12.8992,6771337
2015-03-04,12.8071,12.8485,12.7057,12.8071,11159120
2015-03-05,12.8347,12.9729,12.6596,12.9729,11170214
2015-03-06,13.0098,13.3599,12.9821,13.1848,13553816
2015-03-09,13.148,13.2309,13.0927,13.2033,9682973
2015-03-10,13.0466,13.0558,12.8439,12.8716,11961494
2015-03-11,12.8992,13.148,12.8577,13.1111,11370345
2015-03-12,13.3322,13.4797,13.2585,13.4612,16077508
2015-03-13,13.4428,13.5349,13.2585,13.3691,10739619
2015-03-16,13.4336,13.4797,13.2862,13.4428,8385696
2015-03-17,13.3415,13.4612,13.277,13.4612,7821593
2015-03-18,13.4336,13.581,13.1848,13.3322,13410702
2015-03-19,13.323,13.3415,13.1664,13.2954,13281047
2015-03-20,13.3507,13.5257,13.323,13.4981,12773928
2015-03-23,13.5165,13.5257,13.3691,13.406,8403947
2015-03-24,13.3599,13.3599,13.1848,13.1848,10217916
2015-03-25,13.1756,13.1848,12.8808,12.9268,11280065
2015-03-26,12.8992,13.0789,12.8071,13.0374,10578974
2015-03-27,13.0098,13.0098,12.8255,12.8992,7237394
2015-03-30,13.0282,13.1572,12.9867,13.0835,4981766
2015-03-31,12.9176,13.065,12.9084,13.0466,8104263
2015-04-01,12.9821,13.065,12.89,13.0466,17691359
2015-04-02,12.9913,13.1572,12.9913,13.1295,8030403
2015-04-06,12.9821,13.0835,12.8347,13.0466,7257678
2015-04-07,13.0927,13.2125,13.0052,13.1295,8558727
2015-04-08,13.1111,13.2309,13.0374,13.0743,6580370
2015-04-09,13.065,13.1295,12.9637,13.0743,6776493
2015-04-10,13.065,13.0927,12.9084,12.9545,9370541
2015-04-13,12.9453,13.1388,12.9268,13.1295,15194081
2015-04-14,13.1203,13.1756,12.9545,12.9913,14361195
2015-04-15,12.9637,13.1664,12.9545,13.0743,10846257
2015-04-16,12.9545,13.3875,12.8071,13.2677,21619429
2015-04-17,13.1664,13.2401,12.8992,12.9821,11848421
2015-04-20,13.0743,13.2079,13.019,13.0927,8117884
2015-04-21,13.1388,13.1894,13.065,13.065,7977793
2015-04-22,13.0466,13.2401,12.9545,13.2125,10232017
2015-04-23,13.194,13.2585,13.1019,13.2125,9558082
2015-04-24,13.2033,13.2033,13.1019,13.1111,7453170
2015-04-27,13.1295,13.194,13.0006,13.0006,6984658
2015-04-28,12.9913,13.1572,12.9038,13.1388,7509746
2015-04-29,13.0927,13.4152,13.0927,13.3507,11081790
2015-04-30,13.3967,13.4705,13.2401,13.3138,11544523
2015-05-01,13.3783,13.4244,13.2309,13.2677,6469561
2015-05-04,13.3599,13.4889,13.277,13.4797,7626092
2015-05-05,13.4244,13.6639,13.3967,13.4981,16124288
2015-05-06,13.277,13.5534,13.2493,13.323,19322078
2015-05-07,13.3507,13.3599,13.1664,13.2217,11857379
2015-05-08,13.3138,13.452,13.2033,13.4336,9149169
2015-05-11,13.4428,13.6409,13.3875,13.581,7701600
2015-05-12,13.4981,13.6271,13.3691,13.5626,14789775
2015-05-13,13.5626,13.7929,13.5073,13.7469,16406268
2015-05-14,13.7837,13.8759,13.6778,13.7561,11426582
2015-05-15,13.8206,13.8206,13.4889,13.5442,12852921
2015-05-18,13.5718,13.7284,13.5442,13.6916,6735511
2015-05-19,13.7469,13.9219,13.71,13.9219,9194127
2015-05-20,13.8943,13.9127,13.7561,13.7929,6145384
2015-05-21,13.7469,13.8482,13.6916,13.7469,6833276
2015-05-22,13.7653,13.8206,13.6732,13.7284,4169181
2015-05-26,13.6363,13.6916,13.5257,13.6547,10448996
2015-05-27,13.71,13.8206,13.6639,13.7745,8899316
2015-05-28,13.7653,13.8021,13.6639,13.6916,6664831
2015-05-29,13.6869,13.7194,13.5017,13.5017,12133012
2015-06-01,13.5573,13.5897,13.2888,13.4369,9810478
2015-06-02,13.4184,13.6314,13.3999,13.5573,8655451
2015-06-03,13.6314,13.8444,13.6221,13.7425,11391784
2015-06-04,13.474,13.7796,13.474,13.6592,9099156
2015-06-05,13.761,14.0203,13.761,13.9833,10996854
2015-06-08,13.974,14.1037,13.9185,13.9925,8422422
2015-06-09,14.0203,14.2426,13.8629,14.2055,10789632
2015-06-10,14.2796,14.4093,14.2055,14.2704,11200950
2015-06-11,14.3074,14.3259,14.1778,14.2241,5434783
2015-06-12,14.2148,14.2518,14.0944,14.2333,6439255
2015-06-15,14.0852,14.2935,14.0203,14.2148,4386395
2015-06-16,14.187,14.3259,14.1315,14.2981,5486970
2015-06-17,14.3722,14.4463,14.0759,14.1222,9836044
2015-06-18,14.1685,14.2333,14.0018,14.2333,8110690
2015-06-19,14.1592,14.2287,14.0852,14.0852,7472892
2015-06-22,14.2426,14.2889,14.187,14.2889,5306857
2015-06-23,14.3444,14.5111,14.3259,14.4926,11432273
2015-06-24,14.4741,14.5389,14.2889,14.2889,6929008
2015-06-25,14.3722,14.4278,14.1778,14.2333,9773701
2015-06-26,14.2889,14.3907,14.2055,14.2241,7906235
2015-06-29,14.0481,14.1639,13.8536,13.8629,8719795
2015-06-30,13.9648,14.1593,13.8722,13.9092,10361565
2015-07-01,14.1407,14.2148,14.0805,14.1778,8132467
2015-07-02,14.1315,14.1315,13.8814,13.9648,8059738
2015-07-06,13.8351,13.9277,13.7518,13.8999,7355217
2015-07-07,13.8629,13.8999,13.5605,13.8073,9274131
2015-07-08,13.6869,13.7333,13.5388,13.548,6481581
2015-07-09,13.8536,13.8536,13.6499,13.724,5912039
2015-07-10,13.9277,13.974,13.7703,13.8166,10268425
2015-07-13,13.974,14.0388,13.8907,13.9277,10180222
2015-07-14,13.8536,14.0574,13.8073,14.0574,7509700
2015-07-15,14.1222,14.2518,14.0574,14.1592,10273862
2015-07-16,14.1963,14.2518,13.8986,14.0481,14588878
2015-07-17,13.9833,14.0203,13.7055,13.8351,11328409
2015-07-20,13.8722,14.1222,13.8722,14.0759,8310261
2015-07-21,14.0944,14.2109,13.9277,13.9277,11251541
2015-07-22,13.9185,14.2472,13.9185,14.1963,10169805
2015-07-23,14.2055,14.3167,14.0111,14.0296,11038637
2015-07-24,13.9925,14.0666,13.8907,13.9092,7648990
2015-07-27,13.8073,13.8259,13.6592,13.6869,7661720
2015-07-28,13.6777,13.8166,13.6036,13.7147,7338960
2015-07-29,13.724,13.8907,13.6684,13.8536,8982451
2015-07-30,13.8166,13.8999,13.7703,13.8629,5161179
2015-07-31,13.8629,13.8907,13.7147,13.7425,7105645
2015-08-03,13.7333,13.7888,13.5758,13.6592,6480036
2015-08-04,13.6869,13.8629,13.6545,13.7518,6266297
2015-08-05,13.8073,13.974,13.761,13.7981,6301142
2015-08-06,13.8444,13.8999,13.7147,13.7147,6766465
2015-08-07,13.7333,13.8305,13.4647,13.5573,11499189
2015-08-10,13.6406,13.8907,13.6314,13.8536,9839674
2015-08-11,13.6684,13.7333,13.5342,13.6314,12112359
2015-08-12,13.5203,13.5573,13.1776,13.3351,12028349
2015-08-13,13.3814,13.5388,13.3536,13.511,6548639
2015-08-14,13.5295,13.6869,13.474,13.6777,6173506
2015-08-17,13.5666,13.724,13.4925,13.6592,5425248
2015-08-18,13.6684,13.761,13.6314,13.7147,5561433
2015-08-19,13.6499,13.724,13.548,13.5573,10324087
2015-08-20,13.4462,13.4832,13.1684,13.1684,11441977
2015-08-21,13.0109,13.0572,12.7702,12.7702,13568879
2015-08-24,12.1312,12.409,11.8256,11.983,23879591
2015-08-25,12.2794,12.3997,11.733,11.733,14229558
2015-08-26,12.1034,12.4831,11.9136,12.4368,20050766
2015-08-27,12.6313,12.872,12.5942,12.8535,16690798
2015-08-28,12.7371,12.8954,12.6533,12.8302,8406006
2015-08-31,12.7464,12.8675,12.6813,12.793,7654697
2015-09-01,12.495,12.5788,12.104,12.1878,10881704
2015-09-02,12.4019,12.4299,12.1785,12.4019,9491891
2015-09-03,12.4392,12.63,12.388,12.523,8194500
2015-09-04,12.374,12.4485,12.2623,12.3554,7531040
2015-09-08,12.6533,12.7557,12.523,12.7371,7704229
2015-09-09,12.8861,12.9513,12.5695,12.5975,7883742
2015-09-10,12.5323,12.7883,12.495,12.6347,8108284
2015-09-11,12.5509,12.5975,12.4764,12.5788,7545081
2015-09-14,12.5788,12.793,12.5323,12.6626,7094582
2015-09-15,12.644,12.8768,12.644,12.8675,6807172
2015-09-16,12.8209,12.8768,12.6254,12.8488,8280887
2015-09-17,12.8582,12.9047,12.4019,12.4485,10734048
2015-09-18,12.3274,12.3274,11.9923,12.0295,15783335
2015-09-21,12.1505,12.2809,12.0947,12.2157,7264212
2015-09-22,12.0295,12.1273,11.8341,11.9364,14183940
2015-09-23,11.9085,12.1086,11.8898,12.0109,10153609
2015-09-24,11.8619,11.9643,11.7781,11.9085,14493954
2015-09-25,12.104,12.3274,12.104,12.2902,14803083
2015-09-28,12.2343,12.2437,11.8712,11.8805,10144451
2015-09-29,11.9085,11.9978,11.806,11.8898,11798438
2015-09-30,12.0295,12.1133,11.9038,12.1133,9591733
2015-10-01,12.104,12.2157,12.0388,12.1878,8431774
2015-10-02,11.8433,12.0947,11.5826,12.0854,11043896
2015-10-05,12.1692,12.4159,12.1599,12.374,6094849
