date,open,high,low,close,volume
2015-01-02,20.9781,21.1857,20.9283,21.1442,2716503
2015-01-05,21.1359,21.5096,21.1027,21.3352,4106091
2015-01-06,21.4598,21.6093,21.3518,21.4598,4957917
2015-01-07,21.5677,22.0743,21.4099,22.0162,4571887
2015-01-08,22.1242,22.2197,21.9498,22.0909,4189148
2015-01-09,22.1491,22.1906,21.9581,22.0411,2812305
2015-01-12,22.0826,22.2487,22.066,22.174,2691404
2015-01-13,22.2072,22.3816,22.1159,22.2737,3457282
2015-01-14,22.1325,22.6723,22.1076,22.6474,3532600
2015-01-15,22.747,22.8965,22.5477,22.6557,3529017
2015-01-16,22.5726,23.0294,22.5602,23.0128,3406307
2015-01-20,23.0709,23.0875,22.5892,22.6723,2874781
2015-01-21,22.556,22.7055,22.4647,22.6723,2719755
2015-01-22,22.8384,23.2702,22.8301,23.2702,2424428
2015-01-23,23.2785,23.3367,23.1124,23.237,2035533
2015-01-26,23.1789,23.5194,23.0958,23.5028,2419933
2015-01-27,23.4031,23.5734,23.3782,23.5277,2079741
2015-01-28,23.5941,23.7021,23.345,23.3533,2650207
2015-01-29,23.3699,23.5277,23.1913,23.4945,2379891
2015-01-30,23.4031,23.4529,22.9547,22.963,3309664
2015-02-02,22.963,23.0958,22.473,23.0626,2971664
2015-02-03,23.0045,23.3118,22.9297,23.3035,2490209
2015-02-04,23.1872,23.2868,22.9879,22.9962,4798358
2015-02-05,23.0045,23.3325,22.9463,23.2702,3115383
2015-02-06,23.2038,23.2038,22.0826,22.1989,5948325
2015-02-09,22.2155,22.3069,21.9705,22.0245,2215665
2015-02-10,22.0577,22.3816,21.9498,22.3235,2937503
2015-02-11,22.3733,22.473,22.0328,22.2404,4596119
2015-02-12,22.257,22.502,22.1159,22.4896,2198054
2015-02-13,22.4647,22.4896,22.1408,22.282,1698594
2015-02-17,22.282,22.4564,22.0993,22.2238,3460408
2015-02-18,22.2238,22.4148,21.9913,22.3733,1979217
2015-02-19,22.2986,22.3567,21.846,21.875,2604854
2015-02-20,21.9165,22.4148,21.792,22.3401,4503067
2015-02-23,22.3235,22.6557,22.3069,22.6391,3931980
2015-02-24,22.4979,22.4979,21.8999,21.9664,4283835
2015-02-25,21.9248,22.1159,21.9041,21.9664,3056074
2015-02-26,21.8999,21.8999,21.5927,21.7338,2409782
2015-02-27,21.7587,21.9248,21.601,21.8252,2361289
2015-03-02,21.8086,22.1117,21.7255,21.8501,2004482
2015-03-03,21.7671,21.9498,21.684,21.8833,2274798
2015-03-04,21.8335,21.8999,21.4349,21.5013,2315355
2015-03-05,21.6259,21.929,21.5677,21.7421,1894195
2015-03-06,21.3352,21.3352,20.9698,21.003,3475355
2015-03-09,21.1027,21.2438,21.0487,21.194,2057382
2015-03-10,21.1276,21.3933,21.111,21.2605,2747426
2015-03-11,21.2605,21.3933,21.2023,21.2688,2223586
2015-03-12,21.3601,21.7006,21.2937,21.6591,1765375
2015-03-13,21.6674,21.7837,21.5262,21.6259,1716097
2015-03-16,21.7421,22.0826,21.7421,21.9415,2319696
2015-03-17,21.8418,22.0494,21.7754,21.8584,1559237
2015-03-18,21.8584,22.5145,21.7338,22.473,1985339
2015-03-19,22.3484,22.5726,22.2238,22.4148,1885727
2015-03-20,22.4647,23.0626,22.3567,23.0377,3717322
2015-03-23,23.0294,23.2121,22.9131,22.963,2779912
2015-03-24,22.9048,22.9796,22.6764,22.7138,3850144
2015-03-25,22.7719,22.8135,22.1906,22.2155,2249116
2015-03-26,22.1242,22.282,21.9165,21.9664,2558986
2015-03-27,21.9664,22.1823,21.9539,22.0245,2208268
2015-03-30,22.1906,22.5062,22.0411,22.4481,3024874
