date,open,high,low,close,volume
2015-01-02,36.998,37.3728,36.8498,37.3205,8662289
2015-01-05,36.8934,37.2159,36.1088,36.3093,15811108
2015-01-06,35.9606,36.2221,35.0626,35.5944,20023006
2015-01-07,35.8124,36.3093,35.7165,36.0652,12045879
2015-01-08,36.2134,37.1375,36.1524,36.9108,15461199
2015-01-09,36.9718,37.0503,36.2047,36.4488,10290542
2015-01-12,36.2657,36.6144,35.8734,36.2744,12522865
2015-01-13,36.2744,36.5484,35.3678,35.6467,14166540
2015-01-14,35.2457,35.9867,35.0604,35.9344,13330471
2015-01-15,36.257,36.3616,35.3939,35.5421,10391816
2015-01-16,35.6206,36.2483,35.4985,36.2047,8760796
2015-01-20,36.4313,36.5359,35.9606,36.4575,8786193
2015-01-21,36.5708,36.7713,36.4575,36.6144,10657602
2015-01-22,36.9457,37.4251,36.3616,36.6841,16916386
2015-01-23,37.0503,37.0852,36.5882,36.8498,11256384
2015-01-26,37.1287,37.181,36.6231,36.8498,9304898
2015-01-27,36.7626,37.0503,36.7452,36.9893,9409799
2015-01-28,37.0241,37.0503,35.9257,36.0565,14269521
2015-01-29,36.1446,36.1622,35.2104,35.8802,14249851
2015-01-30,35.5365,36.5941,35.4307,36.1799,14652693
2015-02-02,36.4531,36.7439,35.5549,36.6822,13584524
2015-02-03,36.9378,36.9907,36.2856,36.5588,15759897
2015-02-04,36.3649,36.4266,35.8714,35.9595,12786318
2015-02-05,36.4002,36.6558,36.2063,36.5677,9426825
2015-02-06,36.7087,36.788,36.387,36.4971,8198999
2015-02-09,36.5148,36.6646,36.1226,36.3121,8192301
2015-02-10,36.4002,36.647,36.1358,36.6205,7945548
2015-02-11,36.4707,36.7087,36.1358,36.3209,8115394
2015-02-12,36.6293,36.8585,36.431,36.8056,8276879
2015-02-13,36.9466,37.0083,36.7527,36.9907,8533143
2015-02-17,36.9995,37.2375,36.8056,37.1053,9040642
2015-02-18,36.8761,37.211,36.8409,37.1758,7872355
2015-02-19,36.8144,37.1317,36.8144,37.026,7892556
2015-02-20,36.9114,37.0392,36.647,36.9026,9709989
2015-02-23,36.7704,37.0436,36.6822,37.0436,7653290
2015-02-24,37.0436,37.308,36.8938,37.167,7879355
2015-02-25,37.167,37.2904,37.0348,37.1141,7227005
2015-02-26,37.0171,37.0436,36.149,36.3297,10869232
2015-02-27,36.3385,36.4619,35.9683,36.1446,10644276
2015-03-02,36.1534,36.3826,35.9331,35.986,10911286
2015-03-03,36.0917,36.3121,35.7171,36.2151,7825982
2015-03-04,36.1446,36.1975,35.8626,36.171,7788148
2015-03-05,36.0741,36.3032,35.9463,35.9948,5595075
2015-03-06,35.8185,35.9243,35.4748,35.6158,8754933
2015-03-09,35.5276,35.7215,35.2809,35.3337,9103781
2015-03-10,35.1222,35.4748,34.9724,35.3337,9492568
2015-03-11,35.272,35.3426,34.99,35.087,8420923
2015-03-12,35.1927,35.1927,34.8666,35.0517,7540809
2015-03-13,34.849,35.215,34.7697,35.1839,8330668
2015-03-16,35.0605,35.9199,35.0076,35.8009,11276998
2015-03-17,35.7921,36.03,35.4924,35.986,10133171
2015-03-18,36.1182,36.8585,35.9331,36.6293,12009995
2015-03-19,36.5588,36.7175,36.3691,36.6029,8100076
2015-03-20,36.5941,37.1229,36.5677,37.1229,21224803
2015-03-23,37.0348,37.2816,36.7968,37.1493,8867871
2015-03-24,37.2022,37.2375,36.3121,36.3297,9430466
2015-03-25,36.5765,36.7351,36.2415,36.2504,9229059
2015-03-26,36.5765,36.6558,36.2239,36.3826,6586581
2015-03-27,36.3209,36.647,36.2415,36.3738,7034100
2015-03-30,36.9819,37.2022,36.81,37.0788,11577822
2015-03-31,36.9114,37.2683,36.7704,37.07,10712741
2015-04-01,37.4138,37.4138,36.8938,36.9466,8302160
2015-04-02,36.8497,37.0171,36.6323,36.7704,6200287
2015-04-06,36.7615,37.1493,36.6558,36.9907,5481993
2015-04-07,36.9995,37.2022,36.9167,37.0083,6913033
2015-04-08,36.8497,37.3521,36.8012,37.0612,7602880
2015-04-09,36.9819,37.3256,36.9466,37.3168,7730475
2015-04-10,37.3344,37.8544,37.2375,37.8368,12245527
2015-04-13,37.828,37.991,37.7575,37.8809,10172180
2015-04-14,37.8721,37.9866,37.7575,37.9073,8755773
2015-04-15,37.9338,38.348,37.9338,38.2775,12075816
2015-04-16,38.1805,38.8592,37.9205,38.4978,15156208
2015-04-17,38.251,38.7799,38.1805,38.6917,13205692
2015-04-20,38.7975,39.1324,38.3304,38.5243,11344771
2015-04-21,38.5683,38.8222,38.3921,38.4361,7973127
2015-04-22,38.5683,38.9561,38.251,38.8416,7393230
