date,open,high,low,close,volume
2015-01-02,173.5476,175.6978,172.59,174.6408,902755
2015-01-05,174.2704,175.7159,170.3857,171.009,1506476
2015-01-06,171.3071,172.5448,168.7595,170.205,1206318
2015-01-07,171.0361,172.5719,170.9458,172.4003,942037
2015-01-08,172.4635,177.866,172.4635,176.285,1952999
2015-01-09,176.2489,178.0376,176.0049,176.1856,1439524
2015-01-12,176.6283,177.2788,174.9993,175.6887,896874
2015-01-13,177.1975,179.2753,174.0716,175.5803,1094981
2015-01-14,175.3997,175.481,173.123,174.5685,1101279
2015-01-15,175.4087,175.9236,173.3218,173.7916,897276
2015-01-16,173.3489,175.9598,173.3489,175.9056,1085573
2015-01-20,177.6401,177.9654,174.3698,176.8451,858244
2015-01-21,176.1676,177.7486,175.3635,176.6193,966793
2015-01-22,177.9744,179.3837,176.4205,178.9591,1307908
2015-01-23,178.8688,179.6728,177.9292,178.3719,1313920
2015-01-26,177.2968,177.9021,174.3878,176.7819,1339423
2015-01-27,174.3607,174.7989,171.9395,172.1473,1943283
2015-01-28,173.3127,175.9869,170.747,170.9729,1570436
2015-01-29,170.9819,173.9361,169.0305,173.909,2017001
2015-01-30,171.4427,172.5176,170.0966,170.1779,2288812
2015-02-02,170.214,171.4336,168.0458,171.0452,1554005
2015-02-03,171.9937,173.7283,171.28,173.4573,1618183
2015-02-04,172.861,174.8395,172.2106,173.7102,1230868
2015-02-05,174.433,175.6887,173.0779,175.3183,1063892
2015-02-06,175.5261,177.9292,174.2704,176.3844,1127096
2015-02-09,175.5803,176.1585,174.0924,174.3788,1208275
2015-02-10,176.2579,177.0529,175.1557,176.7729,1280714
2015-02-11,176.3211,178.137,176.1676,177.351,1439827
2015-02-12,177.7124,179.0856,177.4233,178.4081,1217908
2015-02-13,178.2364,179.2302,177.2426,177.9292,1253937
2015-02-17,177.5498,179.1489,176.8632,178.4894,1023492
2015-02-18,178.4894,179.4018,177.9292,179.3928,902483
2015-02-19,179.3837,182.2566,178.8507,182.2295,1776085
2015-02-20,181.4616,184.2984,180.9376,184.2893,1302351
2015-02-23,184.2984,185.7981,183.5756,185.7348,1440937
2015-02-24,185.6625,186.9454,185.0392,186.6653,1168595
2015-02-25,187.0538,187.0628,184.7501,185.0753,2759828
2015-02-26,184.9752,185.5121,182.4998,183.2278,1349700
2015-02-27,182.9275,183.783,182.0174,182.0629,1311416
2015-03-02,182.6272,184.866,182.2795,184.7659,1037428
2015-03-03,184.2471,184.2471,181.4987,181.9537,1312140
2015-03-04,181.7444,182.0902,180.9071,181.08,851444
2015-03-05,181.4441,182.0447,180.8798,181.1983,872333
2015-03-06,180.5431,180.7797,179.0232,179.8878,1221043
2015-03-09,179.6694,182.4634,179.4783,181.7808,887636
2015-03-10,180.5704,181.0891,179.5693,179.815,1087980
2015-03-11,180.1426,180.5658,179.2052,179.4783,952960
2015-03-12,179.7786,181.0618,179.7786,180.9071,1047883
2015-03-13,180.1699,181.1164,178.0139,179.3873,1155424
2015-03-16,180.3975,184.1106,180.2882,183.9377,1198049
2015-03-17,183.3643,183.8376,182.0447,182.6272,936551
2015-03-18,182.7182,185.1936,180.5203,184.3836,873573
2015-03-19,184.2926,185.0753,182.9639,184.0105,1178037
2015-03-20,184.7932,185.6942,183.5373,185.4484,3938121
2015-03-23,185.048,186.1947,184.6749,184.6749,1028052
2015-03-24,184.147,185.9899,182.8804,185.0207,1250876
2015-03-25,185.0571,185.6578,181.1073,181.1255,1338189
2015-03-26,179.8059,183.0367,178.6137,182.5271,1499749
2015-03-27,182.5271,184.6294,182.2358,184.0469,1256654
2015-03-30,185.2027,187.6508,184.7477,186.4677,1048964
2015-03-31,185.1663,186.718,184.7113,184.7113,1262539
2015-04-01,183.9286,184.2653,179.6785,180.8889,1897154
2015-04-02,181.4441,181.617,179.8969,180.8525,1387642
2015-04-06,181.4077,183.036,180.0607,182.4998,1366317
2015-04-07,182.9275,184.3381,181.9264,182.1539,1084827
2015-04-08,182.427,183.7375,181.6769,182.7546,944803
2015-04-09,182.4907,183.7557,182.2813,183.3279,828374
2015-04-10,183.2642,184.0105,182.2722,182.3814,1278988
2015-04-13,182.0447,183.0457,179.1233,179.3327,2130365
2015-04-14,179.187,179.9879,178.6956,179.5966,1586886
2015-04-15,180.443,181.526,179.3236,179.4783,1154309
2015-04-16,178.9049,180.2336,178.0767,179.3964,1065342
2015-04-17,178.195,178.7775,176.5023,177.3032,1230786
2015-04-20,177.7218,179.8787,177.467,179.1051,1276939
2015-04-21,180.2427,180.5067,177.5625,178.641,1421126
2015-04-22,179.0141,180.2791,177.659,179.8605,1127369
2015-04-23,179.7331,181.0436,178.4226,179.4692,1178730
2015-04-24,179.2963,179.5056,177.467,177.8037,1307363
2015-04-27,178.0494,178.9049,176.1292,176.4113,1378395
2015-04-28,176.3294,176.8049,174.3588,176.5751,1095622
2015-04-29,175.9926,176.6206,173.7629,174.0906,1427160
2015-04-30,173.7993,174.2453,168.9577,169.8222,2257228
2015-05-01,170.0043,172.143,170.0043,172.0065,1196001
2015-05-04,172.1885,173.6901,172.143,172.6344,912656
2015-05-05,172.234,172.8255,170.2864,170.5048,993636
2015-05-06,171.5605,172.0702,169.1943,170.0316,1192862
2015-05-07,169.8678,171.9609,169.5856,171.2875,1040858
2015-05-08,172.8801,173.8585,172.4433,173.3534,950627
2015-05-11,172.7436,173.9904,172.4979,173.3443,832022
2015-05-12,172.2067,174.1088,171.5969,173.4717,941811
2015-05-13,173.7993,174.7276,173.6537,173.8266,980927
2015-05-14,174.3909,175.9608,174.2498,175.6923,1004512
2015-05-15,175.6741,176.3839,174.8277,175.0643,1356467
2015-05-18,175.1463,176.2202,175.0643,175.7196,822104
2015-05-19,175.665,176.839,175.5649,175.9926,772271
2015-05-20,176.4659,176.4659,175.1557,175.8743,826517
2015-05-21,176.1656,176.5023,175.21,175.7469,769670
2015-05-22,175.8834,175.9744,174.8823,175.5194,995635
2015-05-26,175.3556,175.3556,173.044,173.3807,1380511
2015-05-27,173.3261,174.3636,172.9529,174.1452,1196082
2015-05-28,173.7415,174.9799,173.3013,174.3928,1468947
2015-05-29,174.2185,174.3745,172.0996,172.6316,1517426
2015-06-01,173.8058,176.3465,172.7876,175.2642,2003827
2015-06-02,174.8423,175.466,173.182,174.989,1469155
2015-06-03,175.5853,176.4199,175.0074,176.0164,1340274
2015-06-04,174.9799,176.3833,174.2736,174.4387,1853956
2015-06-05,173.7415,174.0718,172.8426,173.6682,1389183
2015-06-08,173.6773,175.0441,173.4205,173.7049,964763
2015-06-09,174.6772,174.7781,173.6406,173.6865,1041153
2015-06-10,173.6865,174.879,173.2187,173.6223,1729345
2015-06-11,173.7507,175.6954,173.7507,175.6403,1333103
2015-06-12,174.8239,175.6862,174.4845,175.1817,1110108
2015-06-15,174.2827,174.8148,173.3746,174.2094,710641
2015-06-16,173.604,175.3284,173.2647,175.0349,853823
2015-06-17,175.5302,175.9155,174.0259,175.2184,862134
2015-06-18,175.6587,178.4013,175.5532,176.8053,1159733
2015-06-19,176.7502,176.7502,175.1908,175.3284,1234928
2015-06-22,176.0714,177.0162,175.8054,176.1907,716879
2015-06-23,176.5117,176.9887,175.0899,175.7871,573046
2015-06-24,175.4018,175.9247,174.3928,174.4387,857638
2015-06-25,174.7414,175.356,173.9892,174.2736,884938
2015-06-26,174.7689,174.7964,172.916,173.0352,1876298
2015-06-29,172.0721,172.9252,170.0724,170.1733,1202615
2015-06-30,171.6868,172.2556,169.9991,170.5219,1275262
2015-07-01,170.6228,172.7142,170.6228,172.6041,950075
2015-07-02,173.0995,173.1728,171.3137,171.8061,1024465
2015-07-06,171.2832,172.8885,170.9989,172.439,902600
2015-07-07,172.971,174.5396,172.0262,174.4295,1328545
2015-07-08,172.916,175.5026,172.7142,174.3286,1528244
2015-07-09,175.8972,177.1447,175.3926,176.2365,1442158
2015-07-10,177.9427,180.7037,176.9153,178.1261,1638850
2015-07-13,179.7864,181.9794,179.4287,181.5109,1197212
2015-07-14,182.4465,183.2904,181.9512,182.5841,1059184
2015-07-15,182.7125,183.1253,181.676,182.9143,972152
2015-07-16,183.2721,185.1158,183.0886,184.9415,976176
2015-07-17,184.3086,184.9782,183.8224,184.5379,997953
2015-07-20,185.5744,188.3996,184.4003,188.1612,2051965
2015-07-21,187.5282,187.8218,186.0698,186.3449,1766978
2015-07-22,186.5101,187.5282,185.2901,186.0147,1124876
2015-07-23,186.0331,188.0052,185.8771,186.0514,1175219
2015-07-24,186.0239,186.156,184.0793,184.4095,1125000
2015-07-27,183.7857,185.0699,182.8868,184.5287,997872
2015-07-28,185.6753,187.7851,184.6296,186.7852,1125298
2015-07-29,187.8309,193.0044,187.409,190.9313,2491048
2015-07-30,190.0783,191.2524,188.9133,189.3903,1554849
2015-07-31,190.436,191.2616,189.4453,189.9682,1116804
2015-08-03,190.1241,190.7846,189.0161,190.6011,1064667
2015-08-04,191.2616,192.4357,190.1058,192.1972,1066471
2015-08-05,192.6466,193.3163,191.7752,192.1054,1210939
2015-08-06,192.3806,192.5733,190.9435,191.9495,1148345
2015-08-07,191.711,192.0688,190.0783,191.7936,997613
2015-08-10,192.665,194.0684,192.0229,193.3438,978459
2015-08-11,191.7569,192.4082,190.702,191.5826,985751
2015-08-12,190.3718,192.0045,189.6471,191.5092,932151
2015-08-13,191.4634,193.2796,191.4267,192.4357,1091175
2015-08-14,192.399,194.5362,192.0137,194.4262,916141
2015-08-17,193.4355,195.4902,193.3346,195.3985,776428
2015-08-18,194.7931,195.692,194.5914,195.0774,774992
2015-08-19,194.4262,195.2976,193.2429,193.8024,1303749
2015-08-20,193.5272,194.0042,191.8303,191.8303,1406359
2015-08-21,191.3074,191.5643,187.6475,187.7484,2038453
2015-08-24,174.2919,186.455,166.862,181.1256,3308679
2015-08-25,188.5005,188.5097,182.1255,182.5199,2100552
2015-08-26,186.4183,186.4183,180.5661,185.4001,2933824
2015-08-27,187.0512,189.8214,186.1248,188.4363,1688076
2015-08-28,188.1592,188.94,186.0801,188.4087,1391216
2015-08-31,187.7711,187.7988,185.8029,185.8953,1086765
2015-09-01,182.8368,184.4261,182.0477,182.6058,1674521
2015-09-02,184.5185,188.6073,184.1397,188.538,1490607
2015-09-03,189.1386,190.7742,188.7968,189.6099,1350948
2015-09-04,188.076,188.8152,186.1078,187.2259,1213571
2015-09-08,188.6674,191.5411,188.5011,191.2824,1320745
2015-09-09,193.1212,193.343,188.9816,189.1109,1110283
2015-09-10,188.2331,191.5411,188.2331,190.4877,1370160
2015-09-11,190.1736,191.2362,189.73,191.0976,1085923
2015-09-14,191.3009,191.3009,189.9425,190.3491,1034319
2015-09-15,190.7002,192.6961,189.8963,192.0493,1253748
2015-09-16,191.8645,192.3727,190.654,191.7906,927827
2015-09-17,192.0586,194.5349,191.3933,191.8276,958851
2015-09-18,190.3491,190.3791,187.2536,187.8635,3010557
2015-09-21,188.8245,190.1551,187.748,188.8245,964886
2015-09-22,187.0781,188.4733,186.191,188.1869,1119469
2015-09-23,188.6212,189.4158,186.385,187.3645,601166
2015-09-24,186.191,190.2475,184.3984,189.2033,1667578
2015-09-25,191.0329,191.0699,187.577,188.3994,1413962
2015-09-28,187.1612,188.9076,184.805,185.0083,1315374
2015-09-29,184.805,187.503,183.8902,187.0873,1226718
2015-09-30,188.8152,191.9292,188.7136,191.5596,1721813
2015-10-01,190.6356,191.5873,187.4061,189.1941,1889689
2015-10-02,186.6623,190.9128,186.4775,190.9128,1154771
2015-10-05,192.4744,195.7639,191.9234,195.6438,1347588
2015-10-06,195.6161,196.4939,194.2947,194.4148,1625662
2015-10-07,195.6992,197.7598,195.0044,196.7711,1127110
2015-10-08,196.152,198.3502,195.2834,198.0832,782818
2015-10-09,198.1479,199.8388,197.0206,197.0575,1339964
2015-10-12,197.3809,198.3234,196.5955,198.0462,1048086
2015-10-13,197.0206,198.074,195.8378,195.8748,1026158
2015-10-14,195.9395,196.4384,192.1879,192.3358,1192894
2015-10-15,193.3337,195.6161,191.7444,193.2875,1497619
2015-10-16,194.4148,194.9692,192.8347,193.8419,1145664
2015-10-19,193.343,194.7221,192.6592,194.6366,1329875
2015-10-20,191.6243,193.6248,189.5545,192.8717,1926488
2015-10-21,193.8234,196.9605,192.8809,195.4867,1334024
2015-10-22,196.0965,200.5041,196.0965,200.0606,1190158
2015-10-23,201.4374,202.7495,200.7259,202.6571,1280865
2015-10-26,202.6571,204.5329,202.2598,204.154,1383815
2015-10-27,203.2577,208.0442,203.1099,206.0945,1399861
2015-10-28,205.3645,207.3881,201.7701,204.2464,1973558
2015-10-29,204.2095,205.7711,201.2249,201.6684,1795865
2015-10-30,202.3614,203.923,201.7383,203.1284,1774826
2015-11-02,203.1838,204.2095,202.2783,203.8306,1160716
2015-11-03,203.2855,203.7105,201.7516,202.269,1046425
2015-11-04,203.0175,203.6107,201.9087,202.2044,933118
