date,open,high,low,close,volume
2015-01-02,29.5831,29.6851,29.1794,29.5032,1011334
2015-01-05,29.4855,29.5787,29.0729,29.1439,1835056
2015-01-06,29.2149,29.6807,29.0241,29.0507,2481240
2015-01-07,29.2637,29.5565,28.9709,29.5299,1501748
2015-01-08,29.694,30.1199,29.6097,29.9957,2024600
2015-01-09,30.0623,30.0623,29.5077,29.5698,1109546
2015-01-12,29.6363,29.6896,29.3591,29.4899,907230
2015-01-13,29.7118,30.1377,29.4766,29.694,908050
2015-01-14,29.5476,30.2486,29.5299,30.2397,1254576
2015-01-15,30.2397,30.3551,30.0933,30.3107,1692452
2015-01-16,30.253,30.9096,30.1736,30.8786,2001132
2015-01-20,30.9008,31.0028,30.537,30.8653,1297732
2015-01-21,30.7765,31.0871,30.4749,31.0871,784814
2015-01-22,31.1936,31.3089,30.8343,31.0782,881416
2015-01-23,31.1758,31.411,31.0117,31.1448,773192
2015-01-26,31.0605,31.1315,30.7233,31.1315,970726
2015-01-27,31.0072,31.269,30.9318,31.0649,1163208
2015-01-28,31.1141,31.5389,30.8548,30.9442,1057642
2015-01-29,30.9531,31.4718,30.8015,31.445,886052
2015-01-30,31.3332,31.3668,30.658,30.6804,915964
2015-02-02,30.7474,30.8909,30.2421,30.8235,1224086
2015-02-03,30.7117,31.0113,30.5641,30.9039,954922
2015-02-04,30.9352,30.9352,30.2958,30.4568,1332468
2015-02-05,30.6267,30.81,30.3718,30.7698,601896
2015-02-06,30.6267,30.6669,29.2494,29.4149,1172968
2015-02-09,29.2718,29.4954,28.8201,28.9051,1593484
2015-02-10,28.9409,29.549,28.8783,29.549,1594248
2015-02-11,29.4327,29.4327,28.8559,28.914,1184600
2015-02-12,28.9543,29.0571,28.7173,28.8246,1033476
2015-02-13,28.7978,28.7978,28.1851,28.4266,2000040
2015-02-17,28.3327,28.6368,28.1225,28.3595,1883192
2015-02-18,28.364,29.1153,28.3629,29.084,1617856
2015-02-19,29.0795,29.1734,28.7531,28.8648,1113344
2015-02-20,28.8425,28.9319,28.5965,28.8917,1222500
2015-02-23,28.9006,29.1153,28.7709,29.1063,1148130
2015-02-24,29.1063,29.3657,28.8425,29.2941,1767658
2015-02-25,29.3075,29.4012,28.7083,28.7844,1115748
2015-02-26,28.8648,28.999,28.449,28.4892,1015048
2015-02-27,28.5026,28.5429,28.288,28.44,804194
2015-03-02,28.373,28.4177,27.6307,27.9079,1348682
2015-03-03,27.7648,28.0286,27.5502,28.0107,882788
2015-03-04,27.9079,27.9079,27.6485,27.7648,794370
2015-03-05,27.8587,27.9794,27.5591,27.814,1315048
2015-03-06,27.5233,27.5233,26.8615,26.942,2106960
2015-03-09,26.9599,27.3065,26.9554,27.1432,2191044
2015-03-10,27.0762,27.3937,27.0046,27.1298,1954988
2015-03-11,27.1298,27.2774,26.8839,26.9688,1670848
2015-03-12,27.0985,27.4563,27.0985,27.3445,1408980
2015-03-13,27.3355,27.3355,26.7944,27.0627,1461078
2015-03-16,27.2148,27.814,27.1701,27.6307,1329180
2015-03-17,27.5278,27.7335,27.4607,27.5859,1359468
2015-03-18,27.5815,28.3953,27.492,28.1807,1551586
2015-03-19,28.1136,28.4579,27.8945,28.0465,1416934
2015-03-20,28.1047,28.4758,27.9973,28.4311,2717588
2015-03-23,28.4311,28.5831,28.3104,28.364,1009566
2015-03-24,28.2522,28.4445,27.9481,27.966,1137256
2015-03-25,28.2477,28.2947,27.7201,27.7335,1425224
2015-03-26,27.6798,27.8364,27.3042,27.4115,1781058
2015-03-27,27.5144,27.8006,27.3624,27.5636,1823684
2015-03-30,27.6888,28.0644,27.5457,27.9839,1325536
2015-03-31,27.9392,28.3417,27.7424,28.1717,2547700
2015-04-01,28.1583,28.203,27.7961,28.1047,1747088
2015-04-02,28.1091,28.3282,28.0197,28.1315,1147612
2015-04-06,28.1717,28.6815,28.1494,28.4624,1321006
2015-04-07,28.4579,28.5474,27.9705,27.9929,1381092
2015-04-08,27.9884,28.0242,27.6843,27.9571,1450720
2015-04-09,27.9526,28.0018,27.6664,27.9526,1635158
2015-04-10,28.0376,28.2969,27.8498,28.2343,968202
2015-04-13,28.2209,28.3282,28.0331,28.0555,1213172
2015-04-14,28.1404,28.2925,28.0018,28.1762,912890
2015-04-15,28.1941,28.4132,28.0555,28.0868,1223572
2015-04-16,27.9973,28.0197,27.5994,27.89,1293056
2015-04-17,27.7246,27.975,27.6754,27.7916,1134752
2015-04-20,27.8945,28.5116,27.8945,28.2075,1173934
2015-04-21,28.2254,28.4087,27.8811,27.9929,924476
2015-04-22,28.1091,28.1807,27.814,28.0599,889028
2015-04-23,28.0555,28.2656,27.9786,28.1181,1571470
2015-04-24,28.0957,28.4803,27.9839,28.3193,836668
2015-04-27,28.4177,28.4937,27.8095,27.8632,1346852
2015-04-28,27.8406,28.1484,27.6692,28.0707,1207512
2015-04-29,27.8361,28.0076,27.6466,27.8632,856118
2015-04-30,27.7143,27.9218,27.1594,27.2812,2226854
2015-05-01,27.218,27.5248,27.1052,27.5248,1453434
2015-05-04,27.5429,28.1429,27.5338,27.9128,2048756
2015-05-05,27.7865,27.8767,27.1684,27.2677,1299388
2015-05-06,27.3038,27.4301,26.8977,27.1549,839340
2015-05-07,27.209,27.4165,27.1188,27.2,1144694
2015-05-08,27.5113,27.7008,27.024,27.1865,2431880
2015-05-11,27.1233,27.4842,27.024,27.1098,1255412
2015-05-12,26.9654,27.1368,26.7443,27.024,1080266
2015-05-13,27.1368,27.2496,26.7736,26.83,1000612
