date,open,high,low,close,volume
2015-01-02,84.2839,84.9493,82.5726,83.3116,4506550
2015-01-05,82.9323,82.9906,80.7543,80.9682,6441396
2015-01-06,81.3474,81.464,79.5388,80.7931,7691693
2015-01-07,81.933,82.1084,80.9296,82.0499,5846780
2015-01-08,82.9949,83.4139,82.8391,83.3262,5174184
2015-01-09,83.7549,83.7841,82.2253,82.2643,4582226
2015-01-12,82.235,82.6637,80.7737,81.2121,4030140
2015-01-13,81.9233,83.0437,80.6081,81.3972,4226198
2015-01-14,79.8871,81.329,79.7313,81.3095,5084272
2015-01-15,81.6408,81.9623,80.0625,80.1307,4331532
2015-01-16,79.9359,81.6992,79.7215,81.6408,4763712
2015-01-20,82.2156,82.7027,81.0465,82.0889,3540854
2015-01-21,81.6213,82.1766,81.1536,81.5628,3598443
2015-01-22,81.2121,82.352,80.3743,82.2058,4796164
2015-01-23,82.1084,82.6442,81.6408,82.2156,5012243
2015-01-26,82.1279,82.5176,80.7347,81.4459,5440379
2015-01-27,80.4814,80.6763,78.8739,79.6631,5486658
2015-01-28,81.1829,81.3972,78.5914,78.6596,5070199
2015-01-29,78.2309,79.4487,77.7633,79.2831,6277176
2015-01-30,81.8648,82.615,79.3854,79.9164,13332352
2015-02-02,79.6046,81.0854,78.5037,80.8419,10576479
2015-02-03,81.1342,81.7187,80.3158,81.6505,8490396
2015-02-04,81.7577,82.7806,81.368,82.011,4924208
2015-02-05,82.4007,83.6964,81.8356,83.6087,5426512
2015-02-06,83.4139,83.56,81.7918,81.9915,5540935
2015-02-09,81.8064,82.6443,81.4557,82.4104,3951054
2015-02-10,82.9755,82.9852,81.7284,82.0597,4441832
2015-02-11,82.0597,82.6004,81.7772,82.2838,4051349
2015-02-12,83.2288,85.7131,83.1119,85.2649,7053465
2015-02-13,85.5669,85.7228,84.3881,84.8947,5511343
2015-02-17,85.6643,85.8982,84.9921,85.2649,5083403
2015-02-18,84.9434,85.5767,84.6122,85.4695,2974348
2015-02-19,85.3818,87.1257,85.3234,86.9016,5271748
2015-02-20,86.7263,88.594,86.5899,88.4507,6276534
2015-02-23,88.5773,88.7916,87.6226,88.7722,4316298
2015-02-24,88.2168,89.2875,87.9148,88.967,5547506
2015-02-25,89.6782,90.3699,89.0352,90.2822,6144401
2015-02-26,90.4965,90.6037,88.7137,88.9085,5666718
2015-02-27,88.665,89.3177,87.6518,87.8077,4675263
2015-03-02,87.2523,89.7854,87.1939,89.649,5568305
2015-03-03,89.5321,89.571,88.1876,88.626,3444357
2015-03-04,88.3045,89.5174,87.8077,89.347,4734532
2015-03-05,89.6295,90.555,89.0936,90.4186,4651263
2015-03-06,90.1263,90.1458,88.3337,88.4507,4963213
2015-03-09,88.1876,89.0839,87.7492,88.7722,4145635
2015-03-10,87.8564,88.061,86.5509,86.5509,5050244
2015-03-11,85.3331,85.8982,84.6122,84.7291,9453441
2015-03-12,85.4695,87.2036,85.4208,86.9503,7035486
2015-03-13,86.9503,86.9503,85.0993,85.489,4610179
2015-03-16,86.2197,86.6386,85.6643,86.4242,3843868
2015-03-17,85.9858,86.2781,85.489,85.7033,2880821
2015-03-18,85.4598,86.9601,84.9726,86.5899,5437345
2015-03-19,86.5606,87.3595,86.3561,86.7263,3172466
2015-03-20,87.2621,88.0317,87.077,87.5056,4371997
2015-03-23,87.6226,88.3143,87.0185,87.0283,3395238
2015-03-24,87.0965,87.6226,86.7457,87.1841,4050455
2015-03-25,87.2621,87.3108,85.1188,85.1188,3813570
2015-03-26,84.4758,86.0248,84.3306,85.6643,4141810
2015-03-27,85.6351,86.0443,84.6317,85.0019,4927397
2015-03-30,85.3818,86.0151,85.2259,85.411,3451098
2015-03-31,85.0798,85.9858,84.164,84.164,5985500
2015-04-01,84.4953,84.505,83.1703,84.505,4737377
2015-04-02,84.6804,85.601,84.4368,84.7875,4628750
2015-04-06,84.1251,85.4003,83.9984,85.0895,5854210
2015-04-07,85.3628,86.3877,85.1774,85.8118,4091319
2015-04-08,86.2803,87.5394,86.1632,87.1782,3659886
2015-04-09,86.9635,87.5491,86.0265,86.9245,3482136
2015-04-10,87.3344,87.3344,86.2022,86.4462,2575718
2015-04-13,86.5048,87.2856,86.1339,86.1339,3526040
2015-04-14,85.8997,87.3246,85.8948,86.983,3453828
2015-04-15,87.0123,87.4222,86.5341,87.1099,2683577
2015-04-16,86.8171,87.0416,86.4657,86.5926,2952063
2015-04-17,85.8801,86.1925,84.5137,84.8456,4352823
2015-04-20,85.1286,85.7782,84.9236,85.236,2681094
2015-04-21,85.4019,86.0656,85.1774,85.6654,3148214
2015-04-22,86.3584,90.2137,86.3584,89.0132,12232012
2015-04-23,89.0132,89.2084,88.0176,88.7008,4323266
2015-04-24,88.5447,88.9741,88.0469,88.5447,3519342
2015-04-27,88.7496,89.0766,87.5394,87.5979,4854331
2015-04-28,87.5003,88.2714,87.1685,88.0664,4786258
2015-04-29,88.9448,91.3459,87.6565,88.0859,9364693
2015-04-30,88.0859,89.1967,87.5101,88.0469,7470749
2015-05-01,88.1933,89.1205,88.0957,89.062,4663074
2015-05-04,89.2962,89.7842,88.6325,88.9936,4596883
2015-05-05,88.9546,89.7159,88.3885,88.6032,3707350
2015-05-06,88.8668,89.2572,87.8029,88.3983,3495788
2015-05-07,88.5349,89.9501,88.1835,89.8428,4370405
2015-05-08,90.6138,92.0681,90.4186,91.2678,9933442
2015-05-11,91.2385,91.6679,90.282,90.3015,4731425
2015-05-12,89.6866,90.5065,89.3841,90.1746,5191775
2015-05-13,90.526,90.7505,89.8135,90.3015,3443338
2015-05-14,90.8627,91.6484,90.5748,91.5899,3467382
2015-05-15,91.5899,92.234,90.7993,90.9847,3403777
2015-05-18,90.6724,90.9262,89.6281,90.8481,4281186
2015-05-19,91.3654,91.8143,90.9164,91.5508,3279694
2015-05-20,91.8436,91.8436,90.5846,91.0042,2701147
2015-05-21,90.8578,91.1116,90.5065,90.6724,2890989
2015-05-22,90.7212,91.053,90.4284,90.4674,2449155
2015-05-26,90.3796,90.4186,89.3548,89.6866,2965399
2015-05-27,89.9013,90.5553,89.6866,90.3698,2597831
2015-05-28,90.3796,90.731,89.9013,90.5943,1778401
2015-05-29,90.5846,90.6919,89.9404,90.0477,3561409
2015-06-01,90.1844,90.7114,89.4133,90.3406,2635385
2015-06-02,89.9306,91.2775,89.2474,90.9359,2796471
2015-06-03,91.0628,91.8046,90.6724,91.258,3638904
2015-06-04,90.7212,91.4142,90.1063,90.3503,3320325
2015-06-05,90.2234,90.6138,89.5012,90.3991,2654972
2015-06-08,90.1746,90.3894,89.5734,89.6964,2561519
2015-06-09,89.5305,90.0917,89.1059,89.8818,2375067
2015-06-10,90.282,92.0974,90.1829,91.9119,3727776
2015-06-11,92.0876,92.8489,91.7265,92.234,3403628
2015-06-12,91.7948,92.0095,90.975,91.5215,2777547
