date,open,high,low,close,volume
2015-01-02,21.2368,21.3037,20.76,20.9189,3013148
2015-01-05,20.8018,20.8604,20.4003,20.5593,2948631
2015-01-06,20.5927,20.7433,20.2498,20.5342,3432516
2015-01-07,20.6853,20.9875,20.6349,20.8448,2725216
2015-01-08,21.0547,21.6927,20.9875,21.6759,4808499
2015-01-09,21.7347,21.7766,21.2897,21.3065,5749953
2015-01-12,21.3905,21.4492,21.105,21.147,3130255
2015-01-13,21.3485,21.5919,20.4166,20.7776,5272964
2015-01-14,20.5342,20.7105,20.2487,20.5258,4997671
2015-01-15,20.5678,20.6433,19.9213,19.9465,6125629
2015-01-16,19.8961,20.3243,19.5016,20.2907,4226947
2015-01-20,20.3831,20.4418,19.7534,19.8961,3622557
2015-01-21,19.8206,20.2991,19.8206,20.232,5025360
2015-01-22,20.3663,20.7692,20.2571,20.6685,5230279
2015-01-23,20.6685,20.744,20.467,20.6937,3392749
2015-01-26,20.7608,21.2981,20.5845,21.2729,3810119
2015-01-27,21.0043,21.21,20.9119,21.1134,3338646
2015-01-28,21.2729,21.4156,20.9707,21.0043,3096853
2015-01-29,20.8868,21.4156,20.7357,21.3401,3690620
2015-01-30,21.1806,21.2561,20.828,20.8532,3367002
2015-02-02,21.0379,21.2645,20.6601,21.1218,4599331
2015-02-03,21.2729,21.8102,21.2226,21.8018,4100091
2015-02-04,21.7011,22.1376,21.6255,21.9277,5119933
2015-02-05,21.9361,21.9361,21.1302,21.4828,5557459
2015-02-06,21.5164,21.9529,21.4408,21.869,5704244
2015-02-09,22.868,23.0023,21.8606,22.0033,7140172
2015-02-10,21.8438,22.3139,21.6339,22.0956,5551905
2015-02-11,22.0369,22.2467,21.9026,21.9277,3032215
2015-02-12,21.9865,22.2384,21.9865,22.188,3531027
2015-02-13,22.188,22.3475,22.0453,22.2048,2678595
2015-02-17,22.1712,22.5658,22.1208,22.4734,2237617
2015-02-18,22.4398,22.4398,22.2384,22.3811,2210486
2015-02-19,22.3307,22.5993,22.3139,22.4902,2506041
2015-02-20,22.3559,22.4776,22.1796,22.4566,3180150
2015-02-23,22.5238,22.6245,22.188,22.3055,2611049
2015-02-24,22.4398,22.7085,22.4314,22.5322,4981339
2015-02-25,22.5574,22.6245,22.3643,22.4902,2057635
2015-02-26,22.4566,22.4566,21.9445,22.0117,3085667
2015-02-27,22.0369,22.1544,21.9445,21.9865,2155215
2015-03-02,22.0201,22.2803,21.9355,22.2719,4151190
2015-03-03,22.2048,22.2719,22.0033,22.1544,2273425
2015-03-04,22.0117,22.2551,21.8018,22.23,3231937
2015-03-05,22.2216,22.5993,22.2174,22.5238,3071872
2015-03-06,22.3979,22.3979,21.7682,21.8018,3117468
2015-03-09,21.8774,22.0243,21.8102,21.9026,1981657
2015-03-10,21.7514,22.0621,21.6171,21.9445,4056851
2015-03-11,21.9529,22.0705,21.785,21.9781,2314778
2015-03-12,22.1376,22.6035,22.0788,22.5993,3173947
2015-03-13,22.5658,22.5826,22.0411,22.2132,2821662
2015-03-16,22.2887,22.3811,22.0705,22.0705,2438223
2015-03-17,21.911,21.9261,21.6423,21.6927,3250740
2015-03-18,21.5668,22.1208,21.3989,22.0033,3108824
2015-03-19,21.9445,22.0788,21.8018,22.0537,2504257
2015-03-20,22.0537,22.5993,22.0453,22.465,4128840
2015-03-23,22.4986,22.6329,22.2887,22.3475,2502306
2015-03-24,22.3139,22.7421,22.1712,22.4902,2456017
2015-03-25,22.4902,22.5993,21.8522,21.9361,3474501
2015-03-26,21.869,21.9529,21.6255,21.7011,3016551
2015-03-27,21.7095,22.0705,21.5835,22.0033,2573843
2015-03-30,22.146,22.5574,22.0705,22.2048,4395817
2015-03-31,22.1124,22.6161,22.0201,22.4147,3607246
2015-04-01,22.507,22.507,21.8018,21.8858,3771678
2015-04-02,21.8438,22.4482,21.785,22.3475,5574208
