date,open,high,low,close,volume
2015-01-02,84.4426,85.2231,83.4738,83.6622,6019693
2015-01-05,83.6981,84.0389,82.7292,82.7382,6211872
2015-01-06,83.1329,84.1556,82.4242,82.8907,6484094
2015-01-07,83.6622,84.3709,83.3033,84.335,6400320
2015-01-08,84.5323,85.2052,84.3718,84.649,5476740
2015-01-09,84.2991,84.2991,83.2316,83.6173,4283293
2015-01-12,83.9044,84.1556,83.0701,83.4379,3989585
2015-01-13,84.2812,84.7207,82.9086,83.2764,5971237
2015-01-14,82.0384,82.5767,81.7424,82.1192,7745521
2015-01-15,82.5049,82.8458,81.6034,81.9756,5737468
2015-01-16,81.6796,82.2537,81.4015,82.0743,6926995
2015-01-20,82.2089,82.4242,80.944,81.4553,6967278
2015-01-21,80.8812,81.1503,80.325,81.0427,8682226
2015-01-22,81.2939,81.6078,80.5941,81.5361,7536416
2015-01-23,81.563,82.2089,80.2263,80.343,11495980
2015-01-26,80.1905,81.3629,80.1007,81.3387,7753275
2015-01-27,80.7018,81.0158,80.343,80.3519,6640833
2015-01-28,80.5044,80.5762,79.6343,79.6432,6921322
2015-01-29,82.0833,83.8775,81.868,83.6711,19146887
2015-01-30,83.1149,83.698,82.8099,82.9266,12385371
2015-02-02,82.5767,83.1239,82.0205,82.9894,6751432
2015-02-03,83.106,84.3081,82.9355,84.2542,7373047
2015-02-04,83.8775,84.7118,83.8775,84.3709,6464783
2015-02-05,84.4157,85.0706,84.326,84.631,5564108
2015-02-06,84.4606,84.7566,84.012,84.317,4662736
2015-02-09,83.6981,83.8326,83.0163,83.1777,8203013
2015-02-10,83.725,84.5323,83.402,84.344,4697610
2015-02-11,84.4695,84.6221,83.6981,84.5144,5153937
2015-02-12,84.3709,85.7614,84.1197,85.3038,7910116
2015-02-13,85.5819,85.9856,85.1603,85.8062,6762195
2015-02-17,85.3307,85.573,84.4068,84.64,5971992
2015-02-18,84.5323,85.0347,84.326,84.8463,5617510
2015-02-19,84.7746,84.8194,84.0928,84.4965,6312190
2015-02-20,84.4695,84.7656,83.9313,84.4965,8154994
2015-02-23,84.4337,84.6938,84.2812,84.6041,5681950
2015-02-24,84.3978,85.5191,84.0479,85.2052,5643590
2015-02-25,85.1424,89.0895,85.0975,88.5064,16751573
2015-02-26,88.1625,90.3795,87.7734,90.0447,16098778
2015-02-27,89.737,89.8547,89.1217,89.4927,7552453
2015-03-02,89.2393,91.4744,88.9588,90.4881,12363347
2015-03-03,90.4609,90.8862,90.0809,90.2528,8149729
2015-03-04,90.3162,90.9224,89.7461,90.7143,9179359
2015-03-05,89.5922,90.4157,89.0946,89.6827,9438793
2015-03-06,88.9226,89.5742,87.7372,87.8911,9677859
2015-03-09,87.6015,88.9045,87.6015,88.4159,8460337
2015-03-10,87.692,87.882,86.959,87.131,7838923
2015-03-11,87.14,87.5653,85.9094,85.9275,9391099
2015-03-12,86.3437,87.2667,86.217,87.0948,8765071
2015-03-13,87.0857,87.8187,86.6423,87.1853,5152750
2015-03-16,87.7101,88.1987,87.5382,87.9092,4772244
2015-03-17,87.683,87.9092,86.8595,87.0224,4530709
2015-03-18,86.8776,87.9906,86.2623,87.7734,5830963
2015-03-19,87.6468,87.7825,86.8505,86.8505,3615389
2015-03-20,87.1581,88.425,86.9771,87.8187,10014005
2015-03-23,87.5925,89.6918,87.5925,89.2393,9232037
2015-03-24,89.0946,90.3433,88.7417,89.909,7549944
2015-03-25,89.6103,90.1352,88.7779,88.805,6030541
2015-03-26,88.3164,88.6512,87.045,88.3526,10445795
2015-03-27,88.0992,88.5425,87.5653,87.7372,4642382
2015-03-30,88.1625,88.9679,88.1082,88.5697,4074543
2015-03-31,88.5154,89.0674,88.1716,88.1716,5616991
2015-04-01,87.6015,87.7915,86.8686,87.131,7484752
2015-04-02,86.8324,87.0857,85.7013,86.7147,6614276
2015-04-06,86.6423,87.6106,86.3709,87.1219,4501296
2015-04-07,87.0857,87.5834,86.9545,87.1853,4443683
2015-04-08,87.5291,88.2259,86.8505,87.6377,4445210
2015-04-09,87.6377,88.1625,87.0586,87.3662,4790037
2015-04-10,87.683,88.6331,87.3753,88.4973,5937847
