date,open,high,low,close,volume
2015-01-02,203.3861,204.2325,200.1367,201.5766,787807
2015-01-05,200.7496,204.5243,200.4578,203.2304,1261701
2015-01-06,203.3277,206.2463,201.2166,202.7635,1197404
2015-01-07,204.5049,209.3497,203.7655,208.9217,1163281
2015-01-08,210.3323,212.1321,209.1746,211.3052,1665221
2015-01-09,211.5776,212.2196,210.3907,210.7895,741048
2015-01-12,211.8402,212.0153,208.0461,208.8341,721148
2015-01-13,211.2857,212.3169,207.2191,208.8244,901480
2015-01-14,207.3553,209.4762,206.7327,207.7348,730180
2015-01-15,207.8321,208.4936,205.4777,205.5653,974830
2015-01-16,204.8065,208.4158,203.4445,208.1726,921854
2015-01-20,210.1961,210.1961,206.3825,209.0384,862084
2015-01-21,207.9585,210.3031,207.6472,209.3886,751467
2015-01-22,209.1649,213.0563,207.3991,212.9493,942603
2015-01-23,212.9201,213.7179,211.5678,211.7624,615126
2015-01-26,211.2176,213.1049,209.9042,212.9979,690558
2015-01-27,211.7429,213.1244,209.8459,211.8013,749934
2015-01-28,213.1147,216.8796,211.704,212.0251,1910506
2015-01-29,211.6457,213.786,210.4782,213.5719,1112586
2015-01-30,212.7158,213.1925,206.4603,206.8786,1352860
2015-02-02,207.0538,209.0676,204.9135,208.9995,1069939
2015-02-03,209.4081,210.2447,203.3277,207.3456,1708352
2015-02-04,206.6646,207.978,204.9427,205.1178,1683829
2015-02-05,206.7035,211.3927,206.579,210.0015,2398809
2015-02-06,214.9826,218.9518,212.8082,216.7143,2099265
2015-02-09,215.0215,215.2161,209.9237,212.3364,1765140
2015-02-10,214.107,216.8602,213.0368,216.4127,1234233
2015-02-11,215.6149,218.8935,215.3231,217.6579,1031967
2015-02-12,218.8935,218.8935,216.8957,218.6697,680624
2015-02-13,217.6871,218.874,216.5391,218.7865,583945
2015-02-17,218.6113,220.6349,218.2416,219.915,1048414
2015-02-18,219.7107,220.343,217.9303,219.5161,630244
2015-02-19,219.1561,220.8684,218.1638,219.234,651041
2015-02-20,218.8351,223.0758,218.5043,222.9406,826530
2015-02-23,223.2713,224.0691,222.3559,223.5827,860039
2015-02-24,223.5827,224.7549,222.9406,223.9523,867803
2015-02-25,224.3901,225.2647,223.2811,223.3686,840001
2015-02-26,222.979,225.1896,222.531,223.4659,1379117
2015-02-27,223.164,225.1021,222.3801,222.7258,656954
2015-03-02,222.5408,224.3716,221.6837,222.2583,1134218
2015-03-03,222.6966,222.9498,219.7068,221.7422,788996
2015-03-04,221.4111,222.4921,219.0056,221.7227,816021
2015-03-05,222.7647,224.0113,221.9759,223.2127,614450
2015-03-06,222.7647,222.7647,218.2362,218.7329,1072346
2015-03-09,219.1224,219.9892,216.7754,219.4633,793112
2015-03-10,217.5935,218.022,212.3053,215.0809,1094465
2015-03-11,215.6652,217.1747,214.9737,216.3761,765839
2015-03-12,217.5545,219.4536,217.4866,219.2004,559587
2015-03-13,218.8303,220.3788,217.3013,218.7719,539143
2015-03-16,220.4469,224.1087,219.7847,223.5439,825544
2015-03-17,222.0928,222.8914,220.2815,222.2389,557873
2015-03-18,221.5766,223.5828,220.2911,222.9595,1102420
2015-03-19,222.7453,222.9693,218.5089,219.8529,1549860
2015-03-20,222.1609,224.1964,220.2444,223.9334,1292730
2015-03-23,224.2061,226.6116,223.2712,224.245,927781
2015-03-24,223.875,225.2287,222.3362,222.4336,667559
2015-03-25,222.2973,224.2158,219.6289,219.6289,956987
2015-03-26,219.2588,223.2322,217.7786,220.145,1297010
